,date,funny,business_id,text,user_id,useful,cool,stars,review_id
34989,2017-04-23,0,-RJ216TTIghZshCkUlD1WQ,"Just replaced I Love Sushi in Henderson as our favorite sushi den. Small, cozy atmosphere with awesome food. Don't go there without getting the Avocado Treasure Chest.",L85cv9R2kU1X6JmNVETcgA,0,0,5,6xw3OyIp2IOAZed6mu-Njg
76694,2015-11-22,0,-RJ216TTIghZshCkUlD1WQ,"Every sushi and dish we had represents Japan.  My wife found the restaurant from a blog of a Japanese resident of the town.  The location is off-the strip, and in a strip mall of the middle of Chinatown.  Nonetheless, the chef Takashi offered perfection of his creation.  We had nearly ten kinds of nigiri type sushi, fish on rice, plus grilled mackerel, fish cake stew, miso soup and pickled vegi.  Materials are very fresh, and precisely prepared.  Sushi rice was perfectly cooked and flavored. Of special note, the chef brighten up the flavor of salmon roe by marinating as the northern Japanese way.  The pickled vegi is also the northern Japanese version with rice based flavor.  Mackerel was nicely chosen and cooked perfectly.  The chef made great effort for the miso soup and fish cake stew, which can be recommended for every one who loves real Japanese food.  Another surprise came in the end, with the extremely generous size of bill.  I am sure that this restaurant will be the best sushi place in my town if he opens one. Or, I need to find a job in LV.",_YbuH4ARSRi9fUncRy5nKA,0,0,5,4WTV8AUFvoubXjJBQ22q5Q
133886,2017-06-01,0,-RJ216TTIghZshCkUlD1WQ,Seriously the best Sashimi. I got the overflow bowl which was full of large cuts that tasted great. Plus the value is the best in Las Vegas. I would highly recommend this place. I need to try more items on the menu but so far I'm hooked.,Kr8GVDf5UupHTozB0em_fg,0,0,5,lKaHG1m2WaOpUCXVl_pYcQ
154070,2017-03-22,0,-RJ216TTIghZshCkUlD1WQ,"Wow, fresh fish N excellent service let me spent A good time with sushi Takashi!! I ordered a special sashimi combo coz I saw the pic of the combo on yelp before I came there. 
1.Authentic sushi chef made a great sashimi plate that really amazed me so much!!
2.Severs are nice, professional, always communicated with customers. (They are improving the quality of service now)
3.Nice atmosphere, clean table and sofa. 
 In a word, it is the great place for people to eat sushi for dinning.",drYphS197eGYHUrssa5CHg,0,0,5,kjflRqv8RHoP8MDB_a-zxA
157890,2016-08-13,0,-RJ216TTIghZshCkUlD1WQ,"I feel very lucky to have found Sushi Takashi, somewhat randomly selecting it based on a few Yelp reviews. We were visiting from out of town (everyone flying in from coast to coast) and I needed a family reunion dinner venue (11 people total - my older parents, two siblings, and four little nieces and nephews, one of whom has severe food allergies to nuts, gluten/wheat, soy, dairy, etc.). I selected Sushi Takashi simply because it was Japanese-owned and could accommodate a larger party, and because it was a range of ages, I wanted something family-friendly but not too touristy - i.e., not a Nobu or Sushi Samba, but not a Benihana.

The Sushi Takashi staff were SO accommodating and attentive, even though my family was ""That Party"" with all these random demands and being pretty high maintenance :-) Constant attention to our table by 3-4 different servers, our water glasses were never empty, we kept asking to order extra things (we were hungrier than we thought), and everything was extremely fresh, including the large sashimi platter.  My sister and I joked that we thought even the water tasted better than normal, and our server ended up informing us that the restaurant spends several hundred dollars a month on a special water filtering system - our taste buds were right!

We ended up going to Sushi Takashi two of our three nights in Las Vegas, and even on the one night that we ate a nearby Chinese restaurant, we made a special third trip back to Sushi Takashi to pick up a meal for my niece - the Chinese restaurant could not accommodate her food allergies, and she was crazy about the grilled salmon that Sushi Takashi specially prepared for her, so she was thrilled to eat it three nights in a row!

Mr. Takashi himself held court behind the sushi bar and couldn't be nicer - he spoke Japanese with my mother, and both nights he sent over complimentary miso soups, a turnip and butternut squash soup (truly delicious), and a sashimi/ceviche-style platter for our large group. 

Thank you so much for your wonderful hospitality, Sushi Takashi, and my family has already decided this will be our go-to place whenever we come to Las Vegas.",HWxW22QuTuduqFhWv5y51Q,0,1,5,__OzCTb0dzujbDQVbK8K6w
182730,2016-01-01,0,-RJ216TTIghZshCkUlD1WQ,"First of all, call ahead or you will be waiting, this is a small restaurant and tables don't turn over quickly. We were a party of 4 and all had the 12 course meal. I won't go into detail about each course except to say that every course was perfect. This is a lot of food, these courses are not tiny samples, they are small plates and around course 6 and 7 you start feeling it. I will recommend this place to anyone visiting Vegas, such a tremendous value and such incredible food. I have noticed some yelpers complaining about the time it takes......IT'S 12 COURSES, you don't get them all at once, that would be dumb. Allocate 2-3 hours to enjoy this feast, and then you too can write witty 5 star comments on Yelp.",4xtuIa1l84kE1VrrmbeWVA,0,0,5,4SK23sMf1I7v65y7WYfzWw
203793,2017-12-29,1,-RJ216TTIghZshCkUlD1WQ,"First time here and I'm so disappointed. Service sucked so bad... the host/ server told us the wait time was 20 minutes. Then a larger group came and they were taken in 5 minutes later so i asked why and he told me they had a reservation but offered us the booth which was empty the whole time we were waiting. Once we sat down, we waited for a long time before our order was taken and waited even longer for our food to arrive. The only good thing about the food was the appetizer which came after our food. And to top it off the customer service sucked really bad like really really really bad. The waiter never came to check on us besides taking the order. I didn't like it at all and will NOT go back.",S6nj-E5n9-BXE7JzDKWVbw,0,0,1,7QcqmmmkSiWvYwNqvkF2dw
255588,2016-12-06,0,-RJ216TTIghZshCkUlD1WQ,??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,5iI8AC_XSF-kteCmAoJBdw,0,0,5,WTRSavQJEsNEoQEue3r1lQ
269026,2016-02-24,1,-RJ216TTIghZshCkUlD1WQ,"Great chef, delicious food.  Sat at the sushi bar and we enjoyed every moment with Takashi-San.  Blue fin tuna, the chewy salmon skin, we will never forget?  For sure will come back again from Edmonton to visit this place.  

Remember if you want to try this place, come hungry.  You will not disappointed.  Good service.",jdIjG0e7b2RkZmpEsA_-ow,1,1,5,qX71mEzzOEgMddRKo287MQ
329512,2016-05-05,0,-RJ216TTIghZshCkUlD1WQ,Great food and great atmosphere.  We went for my wife's birthday and both chose the 10 course meal which was awesome.  What's great other than the food being awesome is that you have options.  With each course there are at least two choices.  The plating of each course definitely matched the excellence of the flavor for each dish as well.  Since I had put a note in the reservation that it was my wife's birthday they also sent out a complementary dessert which tasted as great as it looked.  We will definitely be back and have already spread the word to several friends.  From the food to the timely and friendly service this place is a must for visitors and locals alike.,3FNQIuVr2KJepYoO3fr2jQ,0,0,5,fKrip2hueUrf_fyvQb_Bjw
