,date,funny,business_id,text,user_id,useful,cool,stars,review_id
65456,2015-08-28,1,0YG_kM5caZhtwd6nbnei6A,"Ok if your in vegas and looking for a quality steak go here. Me and the bachelor party of 15 other guys got reservations here because we didn't want spend $200+ each on a nice dinner on the strip. We were not disappointed. Hands down one of the best meals I have ever had. The server Laura also added to our night. She fit right in with all the boys in our private dinning room. She started the night out with shots for everyone and then she said ""trust her"" I'm glad we listened, cause she kept bring appetizers and oysters, etc. She was spunky and kept firing little one liners to all the guys. She even brought a chocolate milk out to one of the younger guys who was ""acting like a baby"". Honestly it was the perfect dinner for our group. Get the bone in NY and trust Laura ! Oh and Apps, drinks, and steaks for everyone was less than 1900 bucks for 17 guys. That same meal would have been around 4,000 bucks on the strip.",mjc2ph41J4eACipqWE6xoQ,2,1,5,1Xh0RAyaDDAGL4durhR6eQ
97693,2015-10-25,0,0YG_kM5caZhtwd6nbnei6A,"We came on saturday early evening.  We received a $25 coupon for staying at the hotel.  We started with th calimari. The batter was crispy and not to salt but had some great flavor. The sauce was a red sauce which was plain I would have prefered an aioli.  The sour dough bread was fresh and delightful. The rasin bread was amazing. The main course was nothing less than spectacular, the hanger steak was cooked to perfection. We also ordered the scallops they were wonderful. 
  Our server, Gary, was a master at his craft. He created a excellent dining experience.",J9AsmkKN036CWnWK6DfanQ,1,0,4,MbKmf_nkU1QdAZASFXt3cQ
109005,2016-04-29,0,0YG_kM5caZhtwd6nbnei6A,"Impressed with the table setup as well as the customer service. The salad wasn't fresh, but it was edible. The meat was cooked just right. I enjoyed the intimacy and calmness of the restaurant. Easy checkout!!!",gYoF557UYaLm1i7TQDxGBw,0,0,4,mNUZXpbakL3If78x8r6h9A
221781,2015-11-01,1,0YG_kM5caZhtwd6nbnei6A,Very poor service .. Everybody was least interested.we went on Halloween night so maybe folks were not in the mood to serve! Starting from the host at the  entrance to the food quality was bad. The food was greasy and awful. Maybe for the ambience I would give this 2 star otherwise its 1 star,z1CybGB8Wn8FGZVUU56dqg,0,0,2,CbjbA-MkzpGCWvlNb8jWeA
281030,2016-12-31,0,0YG_kM5caZhtwd6nbnei6A,The lobster was huge and delicious...the king crab legs was amazing!!!!  We also tried the lamb chops and new York strip...you can not go wrong....great atmosphere and ambiance.   I love it.,6WZG-yEKrAJHlno3bSm2OA,0,0,5,oA4hEhvSjBPW5i_V_oiFJg
331671,2015-10-23,0,0YG_kM5caZhtwd6nbnei6A,"Best seafood ever jackpot was the best , very good birthday date in along time..service was awesome, atmosphere ok , but very pleasant",4w38xe_3v-hskQcxPLnCSA,0,0,5,LQPGw05OCEOKR089Pkdh_g
339206,2017-10-20,0,0YG_kM5caZhtwd6nbnei6A,"Food was very delicious. We ordered Rib eye steak with asparagus, atlantic salmon scampi, and iceberg wedges. 3 stars is for the super slow service and we had to requests 3 times to get a simple straw. I do commend the server named Alma for her assistance on her service. She was not our waitress but next time we come back again I will personally request her to be our server.",0fG2_hofEnERfJJP8Wc2dA,1,0,3,XW4Q06Wf93-ThtXURydJWA
348062,2014-09-01,0,0YG_kM5caZhtwd6nbnei6A,"Beautiful food, excellent value, and the staff is friendly and inviting. Thank you, Laura!",w3PyN4UQja034gWyT_xjpw,0,0,5,tuMv-lUviYTjnlPhHC33Uw
388922,2015-04-07,0,0YG_kM5caZhtwd6nbnei6A,"We dined here for brunch on Easter Sunday and couldn't have been more pleased.  The restaurant was lovely, the food and CHEF were superb and our waiter BILLY, was the best in Vegas. 
The selection of foods offered, ranged from wonderfully fresh shell fish and smoked salmon, to custom-built omelets that were on point , to delicious and juicy prime rib, lamb and turkey. The bottomless champagne, mimosas and Bloody Marys, were the icing on the proverbial cake.
This restaurant has recently been remodeled and has been transformed into a handsome venue for a steak dinner or any other special meal. The service was top notch, friendly and very professional.  You will want to come back again and again. And all you wine lovers will be in heaven.  The wine library as you enter will take your breath away and soothe your thirst for all things grape!!
Again, please keep in mind BILLY for your server.  He made our meal all the more special with his affability, charm, attention to detail, as well as his special attention to all of our needs.
Nice private room in the back was perfect for our party of 10!
We can't wait to come back.",8PHMEV2q3UZitzLw59-ARg,0,0,5,8L1MIhX1lGUS__zlbzZOlA
425429,2015-08-22,1,0YG_kM5caZhtwd6nbnei6A,"Girls night out at the charcoal room ! Wonderful dinner !! Our waitress ,Laura , suggested splitting three ways ...the crab dip , pan seared rib eye, Alaskan king crab legs , and a couple of sides . 
Can't say enough about how delicious the meal was for us all ! Great wine and a lovely experience! Highly recommend this place and can't wait to go back !!",VjumZY7pKu_ghu9zzQ_tMw,2,1,5,k7DE56Si0WaLcG1HMpLywA
