,date,funny,business_id,text,user_id,useful,cool,stars,review_id
52266,2016-10-05,0,0dr1FgqQSEMbaTu9SDqiIg,noodles are dry no flavore need to add more flavor rice was dry wont order from here again,RR8DzJqvGmfXIiDLwRk6Qw,0,0,2,3Nm9MWhZJk0eS2xQ4dubMw
55108,2016-06-20,0,0dr1FgqQSEMbaTu9SDqiIg,"This was my first time eating from this establishment. I ordered Combo Fried Rice & Chinese Chicken Salad.  Below is the content of the email I sent them after partially consuming the Combo Fried Rice, the remainder of which went in the garbage. I don't know about the salad because I was not able to eat after the rice.   

Initially, I thought anyone could have a bad day and that I would not post a review, but contact them by email to state my dissatisfaction and follow up with a phone call so they could discontinue serving that rank pork.  However, when I called the gentleman who took my call blamed me because I ordered it at 11:30, but was calling 2 hours later.  I explained to him that the food was not delivered until 12:30 (as stated 40- 55 min for delivery) so he could just stop it because we know that it did not go bad in 1 hr. or 2 hrs. for that matter.  He then went on to tell me how fresh the food was etc...  I explained that I was not calling to get anything from them, but just asking that they do not give that meat to anyone else.  The guy wanted to continue the debate and I expressed to him that I had initially decided not to post the review, but since he did not think it was necessary to do anything about the bad meat that I felt obligated to post the review.  So here you have it:
    
The pork in the Combo Fried Rice was old and should have been thrown away.  I am sick and tired of restaurants that chance getting people sick just to save a nickel or dime, especially in delivery orders that are not likely to be returned.  Guess what?  You save nothing if people are afraid to eat there.  Not that it matters to you, but now I have to try and make it through the remainder of my work day with a stomachache.  In the future I'll stick to Panda Express.  People say it is not authentic, but I prefer that to ptomaine or botulism.  Throw the old stuff away.  It is not worth someone getting sick",krzvjngykSZlMGPtVzDT5A,0,0,1,t57o0iZoE24npjiIYzQjwA
208231,2017-03-31,0,0dr1FgqQSEMbaTu9SDqiIg,"Came for the lunch special $6 and change. Comes with rice, noodles and one entree. It was really good lots of flavor. Very friendly staff and clean. They even gave my daughter fried donut while we waited, really nice of them. Will come again.",GwT3ZwjSKqIXp2yjYXfn5w,0,0,5,X8t19DZQ83JYXgO2uOWSig
223545,2014-01-14,0,0dr1FgqQSEMbaTu9SDqiIg,Disgusting & they got our order completely wrong. Came home to find out they did it that way so we had to pay $20 more not getting the meals like we ordered! Will not be going to this filthy place again.,7kAcGdKq2HS_VNxy7c32nQ,1,0,1,QlGrHCvrroxTOFG1eHbQAw
263675,2014-01-18,0,0dr1FgqQSEMbaTu9SDqiIg,We went here to have a bite and unfortunately there was a notice from the health inspector that they had been shut down due to unsanitary conditions. We will  not be back after that.,cLa2sB8YPB7rgeHLqw4YXg,0,0,1,gEUXt1kCAMBcs7tYobAofw
388135,2017-08-24,0,0dr1FgqQSEMbaTu9SDqiIg,"This is my go to place when I have a craving for (Americanized) Chinese food. Their Food & Customer Service is ALWAYS top notch. 

I highly recommend their Orange Chicken, Crab Rangoons, and most importantly the Wontons.",0vX8LJL87zV9MhmGfFvtbw,1,0,5,sKTivCsEZmNVet4ZcP1fFw
448681,2017-03-10,0,0dr1FgqQSEMbaTu9SDqiIg,"Food is decent, generous portions, and reasonably priced. I tried the Mongolian beef. Not the best I've ever had but it was good. Came with a large side of white rice. I also ordered Boba Milk Tea. It was fantastic! 

I like the ambiance here. Seems most people come to pick up to-go orders but there are comfy seats inside. Booths and tables. They play j-pop and other Asian music inside. I liked that. 


The staff is very friendly! One lady was being a bit of a pain asking ridiculous questions and the staff was gracious in response to her. Overall, I would come back again. Fair food, fair price, friendly staff.",HIXvkz_4n1nAK45BdTIqjQ,0,0,3,vDfy_w9j70QssDXgJV8_Kw
648434,2015-03-23,0,0dr1FgqQSEMbaTu9SDqiIg,"The chow mien was a little too greasy, the flavor on all the food was good. 
I got the Mongolian beef & Kung the Mongolian beef was pure fat & I got about 6 pieces of beef on each and the rest is the container filled with veggies Skimpy",98LWvpLbma0YxPWSJAaovA,1,0,2,vYX9i_VZSIPiBVf6eTWWpQ
660831,2017-01-10,0,0dr1FgqQSEMbaTu9SDqiIg,Awesome food and fast service. I would highly recommend most things on their menu. Thank you for the drink cups while we wait :)!,RMHpkyIOpwvnKgBfkvZj7Q,0,0,5,FGLFbrSXgf32XAm0HLZSQA
681806,2014-03-08,0,0dr1FgqQSEMbaTu9SDqiIg,"It's a simple enough place, Americanized Chinese style dishes. That said, I've tasted worse. I tend to order pickup and they've yet to get an order wrong, which is pretty rare. Now it's possible that's because I order through Eat24 where it's all written down. The prices are fair for the portions and the service is what one would expect. Keeping in mind that most people only choose to post when they love or hate something I'm trying to give a fair middle of the road review for this restaurant. Im a vegetarian so I'm always thankful that they can swap out the chicken for tofu when requested without added charge. So yeah, middle of the road.",UZ4sHcl15xfWbrPb8aAt3g,0,0,4,FC_E67XqJMVtwPNe0PPLCQ
