,date,funny,business_id,text,user_id,useful,cool,stars,review_id
385158,2016-04-11,0,0eZHVYDyACtVVOIgoBlV3g,"I love there Hot and Sour soup, one of the best ones I have ever tried.
Good service, nice portions.",HQ3aAq6SWVm0jOxbRnqUEg,0,0,4,Oru7bTTqBOkxqWKMTTrijA
401400,2012-07-14,0,0eZHVYDyACtVVOIgoBlV3g,"I enjoy coming to this place at night after a long day at work.  The workers are very sweet patient people. The food portion is more than enough, I always end up having left overs. Don't be fooled by the empty scene, this place is definitely worth trying.  I recommend the house fried rice.",oPy_n4Z5IK9dM9E5xpDA2g,0,0,5,KQ8_Cg9G_rH9-ADrn46lLA
577837,2013-09-13,0,0eZHVYDyACtVVOIgoBlV3g,"Overall the food and service is average. We ordered 

Shrimp with scrambled eggs (shrimp is large, good portion however a little too salty)
String bean with garlic sauce (A-OK)
Preserved veg with pork hot pot (a little too sweet for me besides that it's good)

Con : They charge for steam rice. (My cousin who lived in Vegas says most Chinese restaurant do no charge for steam rice).",k0viiaLIIWfn8epnfY8d2w,0,0,3,3pkgbM-lJJAj7Zk8CHZpmg
586808,2015-01-08,0,0eZHVYDyACtVVOIgoBlV3g,Ran into this place after no. 1 Boba was closed just to get some milk tea boba. Let's just say I will never go back to this place. The service was terrible the guy at the register was not very friendly and was rude to me. It's a shame because the boba was good and at a decent price but because of the way I was treated I will never come back here.,lNjOa231tvbb5lDGDetlJA,0,0,1,5AL8dtPSwGxxT36oyJUUFQ
755239,2014-11-14,0,0eZHVYDyACtVVOIgoBlV3g,"This review is only for the Beef Chow Fun. They did a good job cooking it, large portion and cheap too! It was a little under salted but the included hot sauce fixed that. The service leaves a bit to be desired but kind of expected.",YnOBcsKwVXyd6XI6jtaMiw,0,0,4,8xHTYTNYhvg-yX9pslwcnw
774393,2014-09-26,0,0eZHVYDyACtVVOIgoBlV3g,"I found this place on Yelp, so a group of co-workers and I decided to give it a try. Well...big mistake! It was empty when we got there, that should of been the first sign! We waited for a minute to be seated, no one came so we sat our selves, we waited 5 minutes for someone to help us.....no one came to our table. So I got up to ask the lady at the register to help us, she pointed at our table and nodded her head yes. Shortly after she came to our table, gave us menus and with a rude attitude she poured our waters, never said a word, turned around and went back to the counter. After looking over the menu for about 10 minutes because we had to, we were ready to order so we looked over to see if they would even acknowledge us...Nothing! There were 5 employees standing by the counter, not one bothered to help us....it's like we were not there. So we left. Never again will we set foot in this place, worst service ever!!!!!",7R_zC0LC_oFNXBarkFJauw,1,0,1,OYF2O2mHPNpFReXa58UgFw
846975,2014-03-17,0,0eZHVYDyACtVVOIgoBlV3g,"I live within a 5 minute walk from Chinatown in Vegas, Not to many places in the area I haven't tried. I've eaten at Da Sheng's dozens of times over the years. It's not always the same. Sometimes the food is excellent sometimes not so good no matter what you order. Same with the service. That's my biggest gripe. Since it's in the middle of the mall with gift stores all around I think they assume you are a tourist and treat you as such. for us locals If they know you, you get better service. Once I was there and the waiter was close to being very rude, and just rushed me to order and seemed like he wanted me out of there in a hurry, the place was empty that day as it was late. A friend of mine, one of the shop owners, happened to walk by and wave and did a traditional bow as he passed by. all of a sudden my waiter did a 180 and treated me like a king. As far as the food I think it's who the cook is on any given day. I've had the same dish taste like wet cardboard or the best thing you ever ate. I generally take home the leftovers and the second day seems always better after it's marinated in my fridge. I've also gotten beef when I ordered lamb. They have a big lunch crowd and lunch specials. I think that tires out the help too, so if you go late in the afternoon you will certainly know the difference. Price wise it's very reasonable and also good for large crowds and banquets. It's a big place.and I would recommend it for that purpose for sure. I gave it 4 stars because more often than not I have a good meal and good service, and the examples I mentioned above are the exception. Bear in mind it's not gourmet nor is it intended to be. many of the people who work in the mall eat there for convenience and business is generally steady. As I said it's a big place s it looks empty much of the time, don't let that throw you off for trying it.",U6YCus8ab-JeqsnSN0GTyw,0,0,4,6Qqy8MyniV9e_0mcTau7EA
863701,2016-06-17,0,0eZHVYDyACtVVOIgoBlV3g,"Well, I was hoping this food would be delicious, because the service was great, it arrived promptly, and the delivery guy was very nice.  I am very sad to say it was the absolute worst take out I have ever had in Las Vegas.

The wontons were very generic no flavor at all.

Pork fried rice- I can't even call it fried rice, the rice was really soft and tasteless.  I'm not sure what type of meat was in it, we ordered pork fried rice but it was very mushy.

Salt and pepper chicken wings- just fried wings with a slice of jalepeno on top, tasted zero salt.

Kung pao chicken- appeared to be and tasted the same as the meat that was supposed to be pork in the fried rice, it was very greasy and mushy, I could not eat it at all.  

A waste of money and I will not reorder from here.",8aYHQwurZr23gDskfkfQeg,0,0,1,nhWj5uZMJqDGcvOYVNMPvQ
998176,2013-11-07,0,0eZHVYDyACtVVOIgoBlV3g,Never had the guts to eat here because it's always empty when I come around here. Finally ate here and I wasn't impressed. Sodas came by the can so you have to pay for refills obviously. The food was okay and the price is pretty good.,uUdEiuXFLAZZ5Xhe1JhwYw,1,0,3,iWS91m5J9PbSCpVAREsILQ
1091960,2016-05-24,0,0eZHVYDyACtVVOIgoBlV3g,"One thing I hate the most is, I bought something to eat, and when I am hungry, I expected to get what I paid for.

It's so simple, I order the fish, I expect to see fish, but instead I see beef, I normally eat in the restaurant, but today I ordered Togo, Then I got home, I see something I cannot eat, and I even paid tip to the waiter because I trusted him, I go to the restaurant like twice a month, I always order the same thing, And this is what I get, thanks a lot, never coming again.",ULLVonG6S41IAPednW7_YQ,0,0,1,-z8cWtDoXBkp4-FsXLWlWQ
