,date,funny,business_id,text,user_id,useful,cool,stars,review_id
82103,2017-07-10,0,0mnnlFCploePlnEaddw63g,Everything was great. My family had a great time..The food was great  I like the thin crust.. I really recommend... My favorite super six pizzai,55TZ6Z5Nc48HAZNpGJ3bIA,0,0,5,tfAUQKGsXym4QKd7OymmmA
350171,2017-09-25,0,0mnnlFCploePlnEaddw63g,"Really good pizza, ordered the pepperoni mushroom and sausage thin crust but it wasn't too thin, the only reason why I didn't get 5 stars is because it took over an hour to get delivered and I only live a half a mile away.",OI4uXYylilHcdVrt1-303Q,0,0,4,9DbLmqstL0Nq2xHSHttXJQ
363546,2017-11-17,0,0mnnlFCploePlnEaddw63g,Most pizza is either okay or really good. This place is the rare occasion of just plain bad pizza. Not only does it taste bad but it is highly over-priced. There are plenty of other good pizzerias around. Skip this one.,PXK9X3z0QYAor7p8UP8tIQ,1,0,1,grAuEn1A_fRH_pfOQLvEmg
585287,2017-10-23,0,0mnnlFCploePlnEaddw63g,"Greatest pizza on face of earth,  the gods of pepperoni, cheese and sausage live beneth the streets of Homewood Illinois.  As word spreads, temples such as this poo up if far off places.  They deliver the heavenly delicious message of sweet sauce thin crust chicago pizza. Treat yourself.",2roTdXrbiqYziX5mQ4B1qA,0,0,5,2hL5czKLwPA-w3GkU3cXjA
1056244,2017-10-25,0,0mnnlFCploePlnEaddw63g,"Excellent pizza!  Friendly service.  We come here at least twice a year (we are from out of country). Love the new location, worth the drive.  Come here hungry.  Their sauce is the best I have ever had.  Went there tonight with friends. We all ordered different pies, and they all looked, smelled, and tasted wonderful.  Hopefully they get their liquor licence soon. Beer with pizza is a must have.",AkKJwUAsXsyhRlEIrIIeRw,0,0,5,FzPmdL82gOI__2GrNrvH7g
1313926,2018-05-14,0,0mnnlFCploePlnEaddw63g,"Pizza quality is always different. No consistency. The people answering the phone have a hard time handling English it seems. You can't charge 33 dollars for a pie and have limp soggy crust. Common, I've had too many bad and good pies here. You never know what your gonna get.",y5aa61ndd1hBny-WyI9J1A,0,0,2,BPH7t9oP4VnjeeZJKxL3wg
1369758,2017-07-30,0,0mnnlFCploePlnEaddw63g,"If you are looking for mind blowing, amazing pizza, look no further! We ordered the combo appetizer with breaded mushrooms, toasted ravioli, and poppers. The breading was good, not too much and the right amount of crunch. We also ordered a medium ""the works"" on thin crust. The crust seems to melt in your mouth. The marinara has a good balance of sweetness and spice and ties in the fresh ingredients wonderfully. We had leftover pizza which was amazing cold and even better reheated by using an air fryer. The staff is friendly and very attentive. The atmosphere was great and the place was clean. It's a little expensive, but totally worth it!! I think I have a new favorite!!!",YZzeXtTdKAhnqsj7PkFPWQ,0,0,5,KWZChsZgU3asxyLM0dagWg
1560935,2018-05-09,0,0mnnlFCploePlnEaddw63g,"A little on the fence, we love the pizza and delivery is always fast. We have ordered three times, however, this last time, the wings were supposed to be naked with sauce on the side, all 16 wings cakes smothered in hot sauce. I called back after delivery to tell them, because the two out of three of us won't eat them, and the lady on the phone said oh ok, sorry about that, I know which order you are and will have them remake them. We waited and waited, no wings ever came. Tried to call back and phone just rang and rang... I know it was super busy, so maybe it was just bad timing, but was a bit disappointed.",pfLhJgh8s1cj0BU1wjc4zQ,0,0,3,cpS0f5T9bGpCNXEQfdqGdw
1586204,2017-07-29,0,0mnnlFCploePlnEaddw63g,"Love the pizza, love the beef. Only gave 4 stars because we ordered pizza with light sauce and it definitely wasn't light sauce. Went a second time for the beef and it was tasty. I like my beef sliced much thinner, but it was good. Again, 4 stars for my second visit due to the price. $32 and change for 3 beefs!?!?! None of us wanted the fries (but it comes with it anyway) which is why I would guess that it's so pricey? I did see a lunch special that's cheaper, but when you gotta have a real Chicago beef, you can't wait for the special! Either way, I'll be back and super excited to have them in the neighborhood!",H8frImsp7Lpbhk1G7_Q0qQ,0,0,4,w4ak_kSfLVbCS5chazXqYg
1606590,2017-10-19,9,0mnnlFCploePlnEaddw63g,When Aurelio's Pizza relocated to this spot I was hoping that it would be better. Inside there was a funky ass smell and the girl at the register was nice but she didn't speak English very well so it wasn't easy to understand what she was saying. The food is way overpriced in my honest opinion. I shelled out $20 for a medium pizza which isn't what I would assume most people would expect to pay at a pizza chain..... I mean it doesn't say Wolfgang Puck on the building so come on! The cheese on my pizza tasted rotten and when I took a bite all the cheese and pepperoni pulled off together leaving just the crust. I'm not sure if the funky smell inside the restaurant was from the funky tasting cheese or not but all around this wasn't a great experience.,eytpwJXgg5nWU6jrlQ6qAA,16,11,1,ujOo57czYVSLe9k0uBEJyg
