,date,funny,business_id,text,user_id,useful,cool,stars,review_id
18774,2016-12-19,0,0q_BHpxbikVtPRRLRu-U0g,"OMG!!!  Maine Lobster Salad, Pan Seared U-10 Day Boat Scallop, Roasted Tournedo Loin of Colorado Lamb and Pineapple Tart.  Simply delicious!!!!!
Honestly, I have to rethink how I give out my 5 star restaurant ratings because by far this food is in another category.  You would have to travel to France for better French food. The view of the Bellgaio Fountains and the Picasso's on the wall is icing on the cake! Truly one of my favorite restaurants in Vegas as it's always such a lovely dining experience.",9b6E7Nfdpur3BI8HzIiQcA,0,0,5,gwL_HaIHQ6GNj4aJhtKezQ
19421,2008-03-14,1,0q_BHpxbikVtPRRLRu-U0g,"How appropriate that the half-brilliant food at Picasso should so closely resemble the minor-league paintings, courtesy of the restaurant's namesake, that grace the walls of this mostly adequate fine-dining establishment located ""lakeside"" at the Bellagio Hotel.

You might think that I'd have felt cheated having been presented with such inauspicious works from an artist who's membership in ""The Pantheon"" is so rightfully secure.  You would be wrong, however, to make that assertion.  In my mind, even the least-interesting Picasso still veritably hums with the genius that has conferred upon him the status as a near-consensus choice as the single most important artist of the modern era.

And just as one must, in the course of appreciating the art, ignore the piggish chauvinism that the artist himself exhibited during his reign... one must likewise ignore the missteps that mar the canvas of Chef Julian Serrano's menu if one is to be receptive to the more vivid charms that are in evidence.

The space itself is quite lovely.  Rich and sumptuous, with dim lighting that is punctuated by spotlights shining down on both the tables and the million-dollar canvasses that line 3 of the surrounding walls.  The fourth wall opens up onto the aforementioned ""lake"" and its ever-present circus of projectile choreography.  As cheap a thrill as it is, I must confess an abiding fondness for this brand of contemporary Vegas kitsch.  You would do well to note that the fountains are freakin' LOUD, though... and if you are the skittish type you might ask for a table a little farther away from the sideshow.

Our meal commenced with an amuse of boiled quail egg and smoked salmon on a skewer served with a small cup of leek and potato soup garnished with slivered almonds.  The skewer was rich and silky, with the appropriate notes of salt and smoke, and the soup was earthy and luscious, the almonds providing good textural contrast.

My first course was a bowl of butternut squash soup, (a holdover from the fall/winter menu perhaps?)  Regardless, it was cloying and unremarkable.  It was helped, slightly, by the addition of some tasty bread and butter but on the whole it left me with that arched-eyebrow ""Oh Lord, here-we-go"" look of disappointment that I sometimes get.  Yes, sometimes.  REALLY, it's only SOMETIMES!!  Stop hitting me in the shoulder, dammit!

Second course found me sizing up a dish of langoustine tails with asparagus in a saffron broth.  Sounds delicious, right?  Well in this case everything clicked and I'm happy to report that delicious is exactly what it was.  A brilliant little piece of chamber music on a plate.  A richly satisfying meditation of harmony and balance and if I weren't such a neurotic snob I would have licked my plate clean.  In my shame I must confess that the best I could do was to sop up the remaining broth with more of that tasty bread.

For the main course I selected the veal chop and for the most part was happy I did.  The chop itself was delicate and toothsome.  My only complaint is that the pan jus upon which it rested was lifeless and ordinary.  Pan jus is one of those things that, when done properly, can elevate a simple dish toward unexpected heights.  Such an elixir should be part of every great chef's arsenal but on the night in question it's addition did little more than color the plate.  Pity.

My friends and I decided to supplement our menu with a plate of the night's special meat, an offering of Kobe beef, which we felt necessary to compliment the fine bordeaux and Rioja we had assembled.  When it was presented to the table, however, it was distressingly overdone.  Not even borderline, mind you, but just short of grey-all-the-way-through.  How it even made it out of the kitchen is a puzzle I am sure I will never decode.  To their faint credit, the offending dish was whisked away and replaced with a suitably-cooked replacement.  That said, the beef was only great, falling well short of the magnificence that it should have shown.  What a disappointing, yet somehow fitting metaphor for the overall experience.

One aspect I feel compelled to note is the incredibly gracious treatment shown to us by the Head Sommelier, Robert.  We brought our own wines and he really went the extra mile in creating a superb experience.  If only the restaurant as a whole had manifest such careful attentions I imagine I would have expected nothing less than the Young Ladies of Avignon to grace the walls.  As it was, the wine service was enough to catapult Picasso in my esteem to 4-star status.  And if you hit it really big at the tables, ask Robert to open one of the 1947 Cheval Blancs he has in the cellar.  Just be sure to let me know what time the reservation is.",yDbtyjFQKhqLhCFjfqQ08A,3,4,4,a7pQIOx8dXKBwRivNGvlCQ
38524,2012-11-09,0,0q_BHpxbikVtPRRLRu-U0g,"Really good food, great wine.  Surrounded by original art from the master.  Bring your ducats, cause the bill is steep.",rFX6JuxfplRI-hgFfxeyQw,0,0,5,xe26D3Dp0GsrbGnnhJu32A
44413,2013-08-02,0,0q_BHpxbikVtPRRLRu-U0g,"This is a very fancy restaurant with good tastes in Vegas.  Since it is very hard to find a decent and quiet, not plastic place in Vegas, I will give them 5. I like their fish dish in the course menu.",s-F6wXT5cbEd_CvtwxRchA,0,1,5,Oi6U4vieF0obyuYNx1-KiA
47500,2008-03-26,0,0q_BHpxbikVtPRRLRu-U0g,"I really find most Vegas restaurants lackluster and like knock offs of the original which fail to impress in one way or another.  However, after eating at Picasso the other night my eyes have been opened to a restaurant in Vegas that knows how to execute a great meal.  We did the tasting menu with the wine pairing and the food and pairings were spot on.  The sommelier, Robert was interesting in the fact that he told you facts about the wine made the experience educational and fun.  I really liked the room, lighting and the paintings of course make it hard to not be impressed by.  My only complaint would be that sometimes the food was brought to the table and just put down without telling us the components. I hate that - but that was a very slight negative.",SJtOYNDTOh6gEjPQyuwHuQ,0,0,5,BKOsWQACkNSfrUWvH3hD1A
50898,2008-04-25,0,0q_BHpxbikVtPRRLRu-U0g,I was just in Vegas with my boyfriend and we loved this place!  The food was a pre fix menu and it was really amazing...not too many choices if you don't eat red meat though...the atmosphere is beautiful and you can see the Bellagio fountain from the windows!,u_K5d1wXR0KkVZzw68tfqA,0,0,4,LdgWgfLKsSAt0NXjLOpT_Q
56221,2011-10-30,13,0q_BHpxbikVtPRRLRu-U0g,"Picasso (not the painter) restaurant in Las Vegas is an absolute embarrassment to the Michelin star rating system.  I would bet the farm that Bellagio paid the Michelin inspectors a large sum of money to get their 2 stars.  Picasso does not merit even 1/16 of a star compared to some of the Michelin star restaurants I have had the pleasure to dine in LA, SF, NYC, Paris, Barcelona, and London.   

My wife brought me here for my birthday and I was looking forward in experiencing their desgustation menu.  The pan-seared scallops tasted like if they were from the same kitchen making the scallop salad for room service....Very dry and bland in flavor.  The halibut was dry and lacked any flaky texture.  The lamb had no flavor whatsoever.  I even forgot what I had for dessert.  

I will admit that the service was very good.  The waiters were attentive and stirred up good conversation with us.  The actual Picasso paintings were beautiful and i really enjoyed viewing them.  I come to Vegas a lot, so the Bellagio fountains don't really thrill me anymore.  However, I can see how most people would find this to be interesting for their dining experience.  

If you have experienced at least a 1 Michelin star restaurant, Picasso will disappoint you.  I would avoid this restaurant at all costs and use your money for the tables instead.  I will never dine here again or let any of my family or friends dare make a reservation at Picasso.",jLTC4D4IrL5HPh3Vv7Y92w,32,14,1,DMmZy9kx7eRahdXq6qrSGA
59590,2015-06-27,0,0q_BHpxbikVtPRRLRu-U0g,You pay money to eat surrounded by 11 Picasso paintings. Food is not good. Very expensive. Service is good. Why only fix menu? They should add regular menu.,q0Fib7dO9eN05fcSrMU47g,0,0,4,9ZP4qsXEOMLweaz9qgZCMg
61738,2017-03-29,1,0q_BHpxbikVtPRRLRu-U0g,"?????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
????????????????????????????????????????()????????",csMGSQa3a15By6ZPLNNG5Q,0,0,5,n_lzJPSpCSJiMJpBcwaewA
69475,2011-10-15,0,0q_BHpxbikVtPRRLRu-U0g,"5 stars for the atmosphere - a quiet little oasis on the strip at the Bellagio fountains.  Food was intriguing and delicious, just what is expected at a restaurant of this caliber.  Wine pairings by the sommalier highly recommended (for an extra fee). Bellagio fountains are magical.  Great place to take a date!",_Qd9zopIisorotaRa2uFkw,0,0,5,MTka5AlPjPll77I6IYKADQ
