,date,funny,business_id,text,user_id,useful,cool,stars,review_id
10253,2017-04-21,0,0qet57CmMA5qUm6gPFUTpg,Pizza is cooked ahead and slices are reheated when you order.  Tasteless and expensive. $7 for cheese slice and $8 with topping.,oCiURgiVzkP2ayJcSTQgfg,0,0,1,kpwd-MOh47XIS62uqsDgPQ
50038,2015-02-28,0,0qet57CmMA5qUm6gPFUTpg,"I ordered one slice of pepperoni pizza and had to wait 30 minutes to get it. When I finally got it, it was cold and it tasted cheap. I would have understood if it took 30 minutes for a hot slice, but why was it so cold? I noticed that I wasn't the only one with this problem as there were people asking for refunds.

So if you're ever at Caesar's Palace and you're hungry, walk right past Difara. You're not missing out on anything",WeVwZX7gfqJSfE4nfbr6oQ,0,0,1,8CQs-h_6YJtJjgwZrCD4cw
75595,2017-06-10,1,0qet57CmMA5qUm6gPFUTpg,"Pizza was incredible, staff was courteous and helpful! Visited the place a few times and tried their grandma and spinach pizza- delicious! Chicken delight pizza is AMAZING, tasty crust, seasoned perfectly. Quality ingredients. Chef Joey came out to see if we were enjoying the food and offered us to try different pizzas (including the spinach) and when we did we were not disappointed! Will be back soon!",qVz6ic8obnufRvc896fPzg,2,1,5,ZYLtHudGTjlsjRHoarkdvg
107242,2016-04-11,0,0qet57CmMA5qUm6gPFUTpg,I see a lot of negativity and everyone is entitled to there opinion but this is a New York stable that unfortunately is not getting the love that it deserves mayb bc the the fact thee Dom is not at at this location. Anyways hopefully this place can live up to the OG one. I honestly think this location has a simple classic pizza nothing over the top. They should have gave it more an authentic feel bc everyone is just bashing on something they have no clue about. Di fara in New York is the best period but this on has a lot to live up. So owners live up to the name for everyone's sake! Btw even at this location the pizza is still the best to me,0OnJVN7vsR6oNXQ4WtUpKQ,1,0,5,fuyFvTtzuNntkGRL5yxFew
300965,2017-05-29,0,0qet57CmMA5qUm6gPFUTpg,Excellent service. Pizza was amazing. Chef Joseph is awesome! Meat lovers is something I would definitely recommend to anyone.,g1_nT-eSl5THqdQmZ5zNaw,0,1,5,Bsc-56vCdu6JEXG5W1l25A
308060,2015-04-08,0,0qet57CmMA5qUm6gPFUTpg,20min wait for a slice of pizza?? and it came out burnt and very salty(( Very disappointing and overpriced. Definitely not recommend!,9hZhwjALrziLYbJt0TNcCg,1,0,1,mkdW52_Rso6ErOwxmxYytg
334298,2016-06-16,0,0qet57CmMA5qUm6gPFUTpg,"Unexpectedly saw Di Fara's as we were searching for a quick bite to eat at Caesar's Palace since another restaurant we wanted to go to was closed for the night. Having gone to the original Di Fara's in Brooklyn, I can't say this was the best pizza as it was nowhere near as comparable as the fresh slice I had made in Brooklyn (I still think the pizza I had there was the best I've ever had). Although this is a small food court version of the original location, I understand that they don't make the pizzas on the spot- instead, they have pre-made pizzas that they will reheat for you. The pizza was still good, especially because we were hungry, but the only part that was similar to the original location was that they used the same pepperoni. I wouldn't go back unless most of the other places at Caesar's were closed.",eo0lpiAP-SR49uONoWYvog,0,0,3,7ULP5vGkTFw2Xy6V98XkAg
502338,2015-04-08,0,0qet57CmMA5qUm6gPFUTpg,$8 for a pizza that tastes like cardboard? No selection. Seriously who prefers a mushroom pizza over hawiian? Get it together guys... Not coming back here...,KEtGB4lbl2dnMslZjjxsRQ,0,0,1,s88Qk_qqUogwoQ34NaVqCg
510593,2015-09-15,0,0qet57CmMA5qUm6gPFUTpg,For some reason my last review was taken down.  Only the bad reviews make it on here. I think the pizza is great and people are complaining about the price and not the quality.  My favorite slice is the meat lovers!,Gtk0wiSbaYBfRvk7_VocOg,0,0,4,g_HJPEIDhfcaHz0COB5chg
514965,2017-06-19,0,0qet57CmMA5qUm6gPFUTpg,First time I went to a pizza place and got told flat out we don't have any pepperoni pizza.  Not even an offer... we can make it in x minutes if you would like to wait.,cBnrDCnvs9e3Dj4cTlAOog,0,0,1,TS0zLU9_-y4txlabQ39OFg
801207,2017-02-10,0,0qet57CmMA5qUm6gPFUTpg,"Tasted like pizza from elementary school. Way over priced. Very disappointed. The service was friendly and that's the only reason why I would give 1 star. Cesar salad was a tad bit soggy,  maybe the dressing should be served on the side. If you decide to eat here, be ready to shell out some money.  $36 for 2 combo meals that left us with major heartburn and I got a major stomach ache.....  Waste of money.... and had to make a trip to Walgreens....",gxchQiQcbYgbQgtJOhPeJw,0,0,1,dfYF0cDSoFCng4V-p7HHwA
831903,2015-02-15,0,0qet57CmMA5qUm6gPFUTpg,Pizza is pretty decent for food court fare. Service is very slow and seemingly unsure how to have people line up. Better options in the food court. Won't be coming back.,Vy1P5Yb40QNLFgGUUREpMA,0,0,2,qWzH6pqvpfdlv5VcuwHCLA
837618,2015-09-17,0,0qet57CmMA5qUm6gPFUTpg,I've been to the original in my native Brooklyn many times and was excited to see this at Caesars. As soon as I saw the pre-made pizza I knew it couldn't be great. My slice of cheese pizza was not hot enough so I returned it. No problem. The gal tossed mine in the trash and produced a new one. And you know what? It had the same flavor. It couldn't be the same as a pie fresh out of the oven but it had good crust and beat any food court pizza by a mile.,QFzr2GEzGOQwBLh01aUv6A,0,0,4,3kNdk8kpt7ID3YZM1waSHA
863887,2017-05-30,1,0qet57CmMA5qUm6gPFUTpg,"Ok, so it's a food court... so you expect food court food.  This exceeded food court by a long shot.  They have a chef on site and they know their stuff.... not just a little, like a lot.  Really tasty and very easy to get (it's a food court after all).  Would go back for a snack in an instant.",ImvJ_PzORueMEJKPY4D-nA,1,1,4,4hiFV5EuQIo3CDNSbLRh1Q
