,date,funny,business_id,text,user_id,useful,cool,stars,review_id
45502,2010-03-17,1,0ueq5zB3NqLbh93KYYNIHQ,"My boyfriend and I tried this place because we were both craving for thai food. By far our favorite Thai restaurant, their prices are great and the service is excellent. If you like Tom Yum soup you must try it!",jEBySjq6tgL-_R3P7LHq0w,2,2,4,qPL_2z8Dm6BW4fsQ1tAiUg
73129,2011-11-28,0,0ueq5zB3NqLbh93KYYNIHQ,what a surprise this place is! dont be scared of the area. this place is worth it. everything is good here. check for offers.,7G_3LVHXMlpGLPMDQ_hthQ,0,0,4,g1P-r9Em6dPIWYJlL3HmCg
101692,2013-06-15,0,0ueq5zB3NqLbh93KYYNIHQ,Food quality has diminished. Need to make a small investment & purchase some new table place mats to replace the worn/ratty ones.,9Bu2fyDkHpYsXQVd7_s4WA,0,0,2,lX0pQ_wWslUCGnTDch5ZlA
165839,2011-12-05,1,0ueq5zB3NqLbh93KYYNIHQ,"It had been awhile since I originally visited them, and I learned that they changed ownership over a year ago. Under previous management, they used to offer a very tasty Massaman curry which sadly is no longer available. However, their Moo-Tod (garlic and pepper fried pork) is perhaps the best dish on their menu and should not be missed. Their spicy catfish filet was outstanding the first time I had it, and I normally don't even like catfish. Unfortunately, the second time was not nearly as good. The catfish lacked the crisp exterior it had last time and was kind of mushy. As for their other dishes, the pad thai was decent, but the pad see ew was missing the right amount of caramelization. The spicy eggplant dish needed more of its namesake and less ""filler"". Service is generally very personable although they inadvertently left out the 3 dipping sauces for my last take-out order of Moo-Tod. Once they address some issues with inconsistency and service, they have the potential to be 4-star material.",LkWNo83Lg92C5V4JEyxOZA,1,1,3,dmfrMspr28x7RfT0e7wB_g
246711,2012-10-02,0,0ueq5zB3NqLbh93KYYNIHQ,"Thank you for a GREAT dinner!  We have lived here for 3 months, coming from Seattle we where used to finding good Thai food a rather simple task.  I was starting to lose hope....we will be back.  Those crab rangoons are magnificent not even I can stuff that much in them! :))) The restaurant was totally empty (i had ordered take out) but the gentlemen that walked in behind me was a regular and said he orders all his food here! Soooo go give them some business!  I went to Lotus of Siam over the weekend and was soooo disappointed I was determined to find some good Thai food! So I did my research online, check out there website! Spiciness was perfect!  I was used to ordering by stars 1-4 which I usually get 3 stars so I ordered a 7 on there 1-10 level and it was perfect.  We tried the crab rangoons (duh), ginger chicken phad thai, and red curry (and a side of sticky rice for my daughter).  NO complaints.....",BIRLeGCJhq6uY3hB8c4cEw,0,0,5,Wymjh33g7SoQaNhZnFXWOQ
275412,2013-07-04,0,0ueq5zB3NqLbh93KYYNIHQ,"I LOVE this little mom and pop Thai Restaurant.  I have only been for lunch but have been several times, have never gotten the same thing twice and have sampled several other peoples dishes as well.  While some of the dishes are too spicey for me (I'm a wuss) the flavors are amazing!!!  It's not fast, and dishes tend to come out at their own pace instead of a whole table at once... but it's always fresh, always delicious and I find myself having detox if I go to long without stopping in.",guRdVFOio-70dZUKF0dueA,0,0,5,Gxknc9-Ezy5K56Le-AN8KA
297945,2013-04-23,0,0ueq5zB3NqLbh93KYYNIHQ,"My food 2 frog's legs and a pork jerky, took 2 hours to arrive, after I called twice. everything was cold and soggy and the frog's legs were RAW in the middle. Being as I work in the industry, I called (third time) and made them aware of the quality issues (in addition to the timing issues) and I offered to take a replacement order... they said that they couldn't make those items again, and offered something that I NEVER ordered in lieu....never order from this place again",faemYDLaQGQpEaUwoQPPvg,0,0,1,5GEkyCOfYEwpKQOEegJL-g
355294,2012-01-27,0,0ueq5zB3NqLbh93KYYNIHQ,Wow! Be prepared to eat cuz the portions are BIG! Bring a lot of friends or you'll have lots of leftovers :-) a nice mom and pops place which is the best!!!,Y6pycfvqxt_ILVq3UE-KTA,0,0,4,JnrQ53-iiPyhwJL2CTDckA
422366,2011-08-10,0,0ueq5zB3NqLbh93KYYNIHQ,This was the craving of the week!! definitely hit the spot for me plus when you check in you get an automatic 10% off that you can use and they love givivng the discount!! All in all the food was great and the service was fast!,y-dpL5Iun_Drej8DFGfAgg,0,0,4,ItKjKPmzz5X36kgK1ZOjYw
650518,2011-09-13,0,0ueq5zB3NqLbh93KYYNIHQ,"Review couple months over due,  We had the pad see ew , pad prik pork , eggplant tofu and the beef panang.   We are pad thai people but because of the reviews praising the pad see ew, we had to try it and I'm glad we did, it was very good.
           The pad prik pork was nicely flavored and the green beans still had a little crunch which i enjoy. 
              The eggplant tofu was very good , the eggplant was cooked perfectly not too mushy which I hate.
           Beef panang was a pretty solid rendition , sauce not to thick or too runny ,but just the way I like my thai curries.  
          If this restaurant was in the hood , I would be here more often.",3dbkO9K5vcvJXuKrVu4BMA,1,1,4,2s9_zZiWpz9VcDW_IMqKjg
707759,2012-11-24,0,0ueq5zB3NqLbh93KYYNIHQ,"I ordered the basil fried rice.  When I got home and opened it It was just regular  fried rice. I  took a look at the menu again just to be sure and  it did say that the basil fried rice only had  basil, onions, and chili.  My rice had tons of carrots, onions, broccoli and no basil.  I called to complain and the guy told me his wife says she put basil in it.  I mentioned that on the menu it doesnt say any of the vegetables came in it and I didnt want it. He pretty much waited me out with silence on that and I just hung up out of frustration.  The crab puffs had so much flling that they were just soggy wontons with stuffing overflowing from them.  I never thought Id be able to say that a crab pull had to much filling but they did.  I also ordered this as delivery but decided to pick it up because it was a two hour wait.  I was disappointed to see that they left the tip I was planning to give to the driver on my bill.  I didnt notice till later that night.  All in all it was a horrible experience.  I only give this place two stars because they do have very large shrimp and they were not greedy with them.  My husband thought they were okay.  Eat at your rown risk.",23Y5byjolCLNmsHFCQQtXw,0,0,2,KU8erE903lbggiY97b0dFA
711513,2010-01-02,0,0ueq5zB3NqLbh93KYYNIHQ,"Just to update the previous review of this restaurant . . . the place has been completely remodeled since those photos were taken.  It's now quite nice inside; tasteful and modern.  The food is good as well, and the people are extremely nice.",RJNE7h7tCkFe-OPmVFrbbA,1,1,4,9nbKZbmU3xfkyDbur0JGEg
918972,2011-03-27,0,0ueq5zB3NqLbh93KYYNIHQ,"My first try using yelp. We where at North Las Vegas, and saw this restaurant on yelp. We gave it a try. I'm not a fan of spicy food, but the owner makes you choose your spiciness (on a scale from 1 to 10) first time I took the duck curry, it was delicious, the size of the meals are enirmous! (especially for the price you pay) The second time I got the Bamboo Spooce salad, which I didn't like, but it was the first time I tried bamboo, so it's just probably my taste. Oh, and the owner gives 10% if you check-in!",DyuIrho9_1SLNz_1uny7IQ,0,0,4,tjRFYYdqZd7M9GQ7uUsJgQ
1283395,2014-03-26,0,0ueq5zB3NqLbh93KYYNIHQ,"Love this place! The food seem very authentic, it doesn't taste like a panda express or some other bull. After reading the reviews people gave I was upset about the point of location being ""hood""? You don't know what ""hood"" is. Yeh its in an urban area but that doesn't make it hood or suspicious. I lived in anthem till my house got broken in to. Enough of my ranting..but this place is my vegas fav",osVEsHm9NKohuLOac-KUgA,0,0,5,18j74FIiaQDXufuTPa3xNQ
1485611,2013-03-10,0,0ueq5zB3NqLbh93KYYNIHQ,This is the best Thai Food I've ever had! The Spicy Catfish was perfect! Juicy and just enough kick at heat level 7! The Papaya salad perfect! Worth the drive!! The Red Snapper buttery and curry creamy bliss! Mmmm,aFWb6Rm_pZhN2TLkj1pKyw,0,0,5,SwWPvQ_k9h61PLXNeqPT5w
1673290,2012-02-26,0,0ueq5zB3NqLbh93KYYNIHQ,"Do not let the exterior fool you. This place in not about how nice the outside is, it's about how good the food inside is. Food is great and there is lot's of it. Great variety. Friendly servers. Kitchen slow to get food out to you, but it is well worth the wait. Drunken Noodle and Duck soup ...off the hook.",f5Wj7qcQCX_mSdKnRQTD_A,0,0,4,JukAaQVh2Lt4Y-1GE9dhfg
1680807,2012-07-22,0,0ueq5zB3NqLbh93KYYNIHQ,"Crab Rangoon, Red Curry and Spicy Basil Rice are bomb!!  Make sure you get it spicy, that's where all the flavor comes from!",U931y_R9ixgv0wrgzhm8PQ,0,0,5,dHGbVehFU5tY5z9s83HBYw
1733126,2012-01-15,0,0ueq5zB3NqLbh93KYYNIHQ,"The food here is really good but what I like the most is the authentic Thai atmosphere that you dont get at Archie's (My other Favorite Thai restaurant).

They have a pictures of the royal family in Thailand... Nuff Said!!!",xCZqsOmWG6nDpPRERBR5UA,0,0,5,LssELEczkvMJLXO7zlnCIg
1759881,2010-10-17,1,0ueq5zB3NqLbh93KYYNIHQ,"First: big thanks to the other reviewers of Thai Grill. I just moved to Las Vegas from California yesterday and needed some great grub to lift my spirits after the long drive. 

I ordered what seems to be a local fave: Tom Kah Kai. For those not fluent in Thai, it's a sour chicken soup with mushrooms and a coconut base. My fiancé (Erin Ashley) was apprehensive at first. Then came the first slurp of the creamy broth. Words cannot describe the glory in that to-go cup. Do yourself a favor and order this when you come here. Oh, and we finished off the soup for breakfast this morning, too -- it was just as good chilled. 

Since it was my first time visiting Thai Grill, I ordered Pad Thai. What spaghetti is to Italian, pad Thai is to... well, Thai. Peanuts and noodles and sprouts (which Erin Ashley ate; sprouts are one of two things I culinarily dislike) and hot sauce and shrimp. All exquisitly prepared. Big thumbs up for this staple dish. 

While waiting for everything to be prepared, I enjoyed a Thai Iced Tea. Sweet, spice-y (not to be confused with spicy), creamy, smooth, rich... all the wonderfully exotic things the beverage was meant to be. 

The owner (Jill) is also more than pleasant. It is obvious that she takes great pride in her restaurant. As she should, too! Not only is the food phenomenal, the interior of the facility is immaculate! Well-lit art hangs on every wall and tables, chairs & booths are all very fine in appearance. 

5-Stars for Thai Grill. This is definitely a place I'm looking forward to going back to again and again. 

Hope to see you there!",rQM4yX8XW466hX2to2O2bw,1,1,5,qDE26jThoTCbjuiEUUKSJg
1780515,2011-12-24,0,0ueq5zB3NqLbh93KYYNIHQ,Super delicious fresh spring rolls!,wI5fDULQZZIDEquCoAjoUg,0,0,4,jSZkIB4S8bgsDjeuhuILXg
1797853,2012-09-16,0,0ueq5zB3NqLbh93KYYNIHQ,"This is a questionable section of town...   BUT so worth stopping in.  The food is amazing.  The menu has both traditional and more exotic Thai dishes.  This was the first place I ever tried Spicy Catfish and it is beyond amazing.  A little crisp from the fry, but not overly breaded, and the fish inside is heaven.  Like flakey buttery goodness.  I have been here now three times and each time I add additional items, but never stray from the catfish.  
Give it go you will not regret it at all!!!!",WbUPo7dCgVCxTpqOwfT2Kw,1,0,4,RFOevjhMfqqV6Gp2GwSaCw
1968688,2010-08-26,0,0ueq5zB3NqLbh93KYYNIHQ,"I have been here about 5 times and it is good authentic Thai food.  The seafood cakes(nothing like Thai fish cakes) were yummy I had never had them before but sadly they have taken them off the menu as no one was ordering them!  We've had the whole fish which was crispy delicious. we've tried all the curries really good my only complaint is they are afraid to make the food as spicy as we like it but they will give you some hot condiments.  The Pad Thai is not sweet like most places more like how they make it in New Zealand which I prefer.

The staff are always friendly, the decor looks fresh if not high end but this is not the finest neighborhood.  Definitely worth the trip.",or9VwGPVMkBPS1ReXcg6kA,2,1,4,sz0JNEx6bYprLN4AMTo31w
1970278,2012-06-06,0,0ueq5zB3NqLbh93KYYNIHQ,"The menu here is extensive and everything is made fresh. I have not found anything here yet that was not amazing. The portion sizes are large, so bring a big appetite. You definitely need to try to fresh, hand-rolled spring rolls. The owners are very friendly and will always greet you.",mwxop7jL31d9ih7-GOSY6A,2,4,5,9LCP0wSqXnBFIkiIem4UQA
2058303,2012-04-06,0,0ueq5zB3NqLbh93KYYNIHQ,"Just horrible.  Everything tasted like old fish.  Soggy.  Just bad.  We ordered for delivery and got the pad se ew with chicken, spicy basil, cashew chicken and fried wonton - nothing with seafood, but we all agreed that everything smelled and tasted like bad fish.  We threw it away and got in and out burger.",1UYNRsT2BGyLA33y-1SElw,0,0,1,JQqk6pqqTvpUq_xY_SYcWg
2101429,2012-01-23,0,0ueq5zB3NqLbh93KYYNIHQ,"Rollin' up to this place I was super sketched out. This place is located in a bad area and I didn't have much hope for their food. I'm glad to be proved wrong.

My buddy and I ordered the Pad Sew Eew (chicken - level 4 spicy), Yellow Curry (beef - level 7 spicy), and the Fried Rice (add egg and tomato). The Pad Sew Eew was average at best; bland, not much flavor in the chicken, and extremely dry. The Yellow Curry was probably the best Thai curry I've ever had in my life. Potatoes were cooked super perfect, nice full savory flavor, the beef was nice and tender, and the spice was not overpowering at all. The fried rice was up there in the top 10 I've had ever.

The price was pretty standard for Thai dinner cuisine. Pro Tip: check-in before your visit and you can get 10% off your dinner bill.

When I'm in Vegas again, I'll definitely be hitting Thai Grill for some yummy Yellow Curry.",SJO7TOFKsAtRG9v7vXpB6Q,2,0,4,NUcP-UjXYI4Miu6uDGhnOw
2165847,2012-03-02,0,0ueq5zB3NqLbh93KYYNIHQ,"Seriously the best Thai Food in Vegas, BY FAR!!
This place is located in a sketchy strip mall in a crappy part of town, but don't let that fool you because the food is divine! The menu is set up so that you can choose food from the different distinct regions of Thailand. The owner is very knowledgable, and always happy to give reccomendations. The portions are gigantic, with three entrees being more than enough to feed 5 - 6 people. Our favortie dishes are the chicken Larb, Pad See Eew, Papaya Salad, and Pad Prik King. And while they don't sell beer or wine, they are more than happy to allow you to bring your own wine in! they give you glasses and a corkscrew and don't even charge a corkage fee. Gotta love Thai Grill!!",0ZOt5C0H0HgOIJ3fBj361g,1,1,5,9kbcxNfEjypFU74ax-PenA
