,date,funny,business_id,text,user_id,useful,cool,stars,review_id
7990,2015-10-07,0,0xvdC8F0HmFpAFkJk6nXLg,Our first time here and we were not disappointed. The food was amazing and the staff was friendly and helpful. We ordered the Yojie's cut and Kobe beef with sukiyaki broth. The broth was sweet and delicious and the beef was so tender. We weren't sure about dipping the beef in raw egg after you cook it in the broth but it was surprisingly good. It balanced out the sweetness from the broth. Afterwards you can put your veggies and noodles in the broth to make some soup. :) cant wait to come back.,crXCXgm63hUbpg8mOZpvbA,0,0,5,-_6aaPa9lxzn5atVfq-TNQ
61772,2015-11-06,0,0xvdC8F0HmFpAFkJk6nXLg,"The service is very good and informative, however this is the first shabu restaurant that I've been to that charges for the swish sauce!!!",dkkSIw33DUXKIbCqclfuFw,0,0,4,UdJDcugtc9fsQd1Iibtu6g
88033,2017-10-08,0,0xvdC8F0HmFpAFkJk6nXLg,"Before anyone decides to read this review here is a disclaimer you need to read...I have never eaten here before...Jo Koy was the guest on the podcast of Tiger Belly and I immediately knew this restaurant was going to be 5 stars...Go Mammoth Meat! $10,000 a slice!",ghIZ0m3DFDABY-oNof6fvA,0,0,5,61HBTQQ-LK4q1oPKNlG8_A
108952,2016-04-03,0,0xvdC8F0HmFpAFkJk6nXLg,"My husband and I got addicted to Shabu Shabu and Sukiyaki while being stationed in Japan... And this place is the perfect spot to cure our withdrawals!! Not only is the food absolutely amazing but the staff is incredible as well. After meeting the bright, kind, and impressive co-owner Jo Koy we are fans for life. So glad it's in Vegas because this place is awesome in every way.",7puOrP0oWEl4TmHc0IGWvw,0,0,5,W73vqdovbyWf1Xv8sySccA
111303,2016-06-01,0,0xvdC8F0HmFpAFkJk6nXLg,"This place is so much fun. The staff are all extremely great. So helpful and have great personalities. 
The quality of the meat is unrivaled. I have had the Kobe, salmon, and Berkshire pork and they are tasty enough to eat raw on their own. 
I opt for spicy miso broth, but the others are just as tasty. Don't skip dessert! Green tea white chocolate is like a delicious soft caramel. Love this place. Worth the drive from the strip. 
Tip: take an uber. It was $16 vs $43 in a cab.",eXyFH-TbH2Sn83jmhZCAqw,2,0,5,h-2VRrMiQmP5AGT-889bug
141591,2015-07-17,1,0xvdC8F0HmFpAFkJk6nXLg,Sooo happy Yojie is in Vegas! I love hot pot and haven't been satisfied with any of the hot pot places in Vegas so far ;(  Yojie's meat is very tasty and their sauces are great!  I love the sukiyaki broth!  I will keep coming to this place and no longer crave the hot pot places in Hawaii so much lol!,HTjRNGFuE9yEQOoRtF9xXA,1,0,5,_ckXnU74vLnQCULzBOHiYw
167637,2015-09-12,0,0xvdC8F0HmFpAFkJk6nXLg,"A must try place in Vegas. I ordered combo with pork and yojie beef. It was the best shabu shabu experience ever (given I had plenty in the past). Thinly sliced meat to ensure it can be cooked easily, yet maintaining the tenderness. Broth is rich but not heavy. Unlimited refill of rice (brown or white). Great mix of sauce for the meat. A bowl of mixed veggies and udon was included. Bottom line is, both pork and beef are very tender, good portion, and great combination of food. To top it off, staff was very friendly, passionate and helpful. I would highly recommend this place even if u are just visiting vegas for fun!",vj_Qx3QBiszHv04IP31bUg,0,0,5,Q0MWoA4885cFwTnmnE1mfg
171330,2016-11-09,0,0xvdC8F0HmFpAFkJk6nXLg,"As I considered this review I wanted to be as fair as possible, I went based on a comedian I follow who hyped up his restaurant and as an avid shabu shabu customer the first place I wanted to hit once I arrived to Las Vegas was this joint! Well let just say everything was subpar! My veggies were old and rotting, the meat I ordered (yojié's cut) looked old with brown spots and what was suppose to be upgraded meat (prime rib) that my wife ordered was more fat than meat! Our server spent more time talking with her friends who were right next to us the servicing us! She even commented on how expensive the Kobé beef and wagyu was at this place and they should try it some where else! I mean really! (We had actually considered ordering it to try it, thanks for sharing that!), don't get me wrong not everything was bad, the sukiyaki with the dripping egg  was awesome (never tried it b4), and the place looked amazing! Yet I always told myself I wouldn't write a negative review unless it was totally merited and this place unfortunately did deserve this review. Sorry yojié",MCr5GK1U-YcnrGkDdb4akA,1,0,2,lunOaj2zJdp4dUVJ6WAADQ
177727,2016-01-16,0,0xvdC8F0HmFpAFkJk6nXLg,Nice helpful staff.   Great prices for what you get.   No current liquor license.   Atmosphere was pretty good.,1FMRHl713q7_wTClxezWHA,0,0,4,MsoDVBkhTD5gSmkPD5pqtg
177985,2015-06-13,0,0xvdC8F0HmFpAFkJk6nXLg,"If you have never had an asian fondue experience, you can walk through these doors confident and adventurous. The servers here are very well informed and love telling new customers everything there is to know about this amazingly delicious fondue experience. Our server's name was Carl, and he was awesome at showing us the ropes.

The atmosphere is grand for a small space. There is a lovely modern look inside an intimate bar-style area, and you even get the choice of picking a high or low top chair!!! As a shortie, I chose the latter.

I have yet to try their meat options, but will be doing so very soon. this trip, I ordered the veggie medley with the spicy miso broth. I loved the variety of hearty vegetables I got, and it made a wonderful To-go soup after my fondue experience!! If you like things added with an extra kick, they have an awesome punch to add to your fondues and sauces. ;)

All in all, this place is great. The servers are friendly and excited to work here, and the atmosphere is comfortable. I love that I found a late night spot to eat something healthy. Next on my check list when I come back, green tea white chocolate fondue, salmon fondue, and hopefully some yummy cocktails (when they get their liquor license).",L8yMLcRg7L7JZX80l6jRBA,0,0,5,Axq9XxpdSAGCL3OaiSEfug
195903,2017-02-08,0,0xvdC8F0HmFpAFkJk6nXLg,"Been here a couple of times and will definitely be back.  I like the vibe of this place and service is pretty good.  I always go with the sukiyaki and a combination of meats.  The last time I went, they were out of the pasteurized egg and pork belly, which was a little disappointing but it happens.  Won't stop me from coming back but hopefully it will be available next time.",DbpMLrvfQtEC_tOGVVRoyg,0,0,4,_dnNOZOCB3yyUBgVjpwKSA
202737,2015-05-12,3,0xvdC8F0HmFpAFkJk6nXLg,TOP NOTCH CUSTOMER SERVICE! The food was amazing! What better place to go to when you just want to chill out with your girlfriend at a restaurant with amazing food watching Godzilla on tv than Yojié?! Love this place!,6_T1ocQ3F38GSlok6uysFQ,4,4,5,MyBnwZMuHxBCXxR8_GepnQ
211672,2015-08-01,1,0xvdC8F0HmFpAFkJk6nXLg,"We got the Wagyu at ~$25 an ounce... ouch! But man was it good. Also got the pork. Overall I think it's a little pricey but still fun. We stopped about a week ago and they didn't have their liquor license yet but said they should in the next couple of weeks. We'll be back. The serving ""bar"" is really long so if you have more than 3-4 people you might be too spread out to talk to the person on the end",Fvqqr-Zul4RyCaqVk5OV-g,1,1,5,RvHfdEp26WWGWnMrX-iwig
225979,2015-07-06,0,0xvdC8F0HmFpAFkJk6nXLg,"Tried this place out for the first time yesterday and now I'm obsessed! I love shabu shabu but most places don't have flavor. The menu here is so vast and the food is so flavorful! It comes with different dipping sauces that our server Carl explained so well to us. I ordered the spicy miso and the broth was so good, I didn't always need to dip it in the other sauces. Aside from the amazing food, the vibe there is awesome! The workers make you feel so welcome and the owner Anton even came out to help serve and speak to guest which is really rare at other restaurants. I will definitely become a regular here :)",IN6Bh2NDLBueqIJvUV3MbA,1,1,5,XwWwPGPykvVqXbUprkqCuQ
258410,2016-01-04,0,0xvdC8F0HmFpAFkJk6nXLg,"Don't miss dessert- amazing green tea white chocolate fondue & our entrees were great too! Can't wait until they get their liquor license. :-)

The music was too loud for comfortable conversation and didn't fit the restaurant.",4GwVrUADwyop5kjkfMNMiQ,0,0,5,6dAhVuciWmgvhZwgvt5sSQ
