,date,funny,business_id,text,user_id,useful,cool,stars,review_id
68844,2014-07-19,1,0zoXYHq82haayMaV952jEQ,Not sure what all of the fuss is about. Overpriced foods that I can make at home. The only thing I would actually pay for again is the green smoothie. Oh and the jicama fries are terrible.,0vDhTzPuthUI_34EUH6v_Q,2,2,3,L1eEjwppshhjL_WM8xj8zA
75146,2017-06-08,1,0zoXYHq82haayMaV952jEQ,I really love the food and juices here but there is always a problem. Today I called in an order 10 minutes before I arrived and came in and paid. I waited about 30 minutes inside before I asked someone about my order. They brought it out and said they forgot to bring it out and it was cold. THEN I looked inside and everything I ordered was wrong. It gets better. They then brought out my new order which was also wrong. So I've been waiting 45 minutes for 1 turkey burger and I'm quite disappointed,m0MH5zWr-VpIFGhTXIW33A,0,0,2,5_cYG1Gzp2q35bSUUPDggg
102362,2013-10-07,0,0zoXYHq82haayMaV952jEQ,Unique blend of healthy and tasty all in one location.  Try it... You'll like it!,nrl_92D_CjU17OAh87JByw,1,1,4,WLUGw88R1d9j0FIsZFQkVg
142735,2014-02-14,1,0zoXYHq82haayMaV952jEQ,First time trying out this place ordered a breakfast burrito but I never had a burrito come in all wet and how are you suppose to hold and eat when it's all wet? Little disappointed.,S5lnQKowX4zVaL1oer_2QA,2,1,2,A0IuMzWDZRI4XJxF0m_1Dg
162769,2013-03-29,7,0zoXYHq82haayMaV952jEQ,"If your a 110 lbs women or not very hungry this might be the place for you , if you don't mind paying $12 for a sub mediocre salad leaving hungry ,this might be the place for you as well .  I'm not either .  I went there after working out and I was starving, i figured I'd have a nice healthy salad. I ordered the large Albacore Salad , the guy at the front said it was good ,  when I opened it I almost peed my pants , it was 5 pieces of bibb lettuce , 2 cherry tomato's , a scoop of canned tuna and Dijon mustard (not mustard dressing) this was the large too , 
Generally I like to go to a place more then once to give an open minded review, but I'm not sure if I could bring myself back to give it another chance. The Daily Wellness is a much better place !",UTmcw54zYdCYZMh2YA4ruA,4,2,1,tX2mQdq3VhdSL6uVRZKJlA
169894,2013-05-31,0,0zoXYHq82haayMaV952jEQ,Glad to c another restaurant with some raw food options.  Would be nice if they had some fresh pressed green juices and some raw salad options.,v-x3-1RfxOdRwfjtKOhrIg,0,0,3,E92Gw2dhY-sUvYC9xM3luw
188574,2016-04-17,0,0zoXYHq82haayMaV952jEQ,"Great healthy  food. I usually go after my morning  workout.  Friendly staff , clean tables, TV",SWBIqGS1OMCW92202_EhOQ,0,0,5,JojGypFg-T74UbC-oOMplQ
221072,2013-05-30,0,0zoXYHq82haayMaV952jEQ,"They have some of my favorites- the greek scramble is my absolute favorite breakfast item on Earth. I also get the low-carb caesar salad on the regular! However I recently had the 7 cheese vegetable broccoli soup and I was pretty disappointed. It was extremely bland. So food-wise, I would say they are kind of hit and miss.

The staff are always very kind and polite. They get busy in the afternoon, so I usually place an order on the phone and then pick it up to avoid the wait.",_8baaQ5PfHi4H5XjRd4HGQ,0,0,3,z8UfxsDOlJszlOcX8IKI_w
230945,2014-06-21,0,0zoXYHq82haayMaV952jEQ,"Enjoyed breakfast here with a Groupon. I had a smoothie and the breakfast burrito - both were delish, and the tofu fries were too!  It is pricey though!",0qka5xnvBpBm7ZfGsU9oCg,1,1,4,Dyq0WuCbcryBQK1tR_AVBg
271298,2016-02-20,0,0zoXYHq82haayMaV952jEQ,"First time coming here and we fell in love with this place,their Bison wrap is the best,this is our new favorite for healthy food!!!",FlwqGwFOiz3p3i8B4bqQ7A,0,0,5,wzgvPxXCEpTpjP4Z2r5wug
