,date,funny,business_id,text,user_id,useful,cool,stars,review_id
75757,2017-11-03,0,1BtNZszIr8LvtPOhN0X4Mw,Warm friendly service. Great food. The best buffalo wings I've had in a long time.  The only drawback was the uncomfortable chairs. More like lawn furniture than restaurant chairs.,zQBMbxmGp900cZFJIxJPHw,0,0,4,Npmjs26UiPniV-PncEMlkw
115337,2015-10-17,0,1BtNZszIr8LvtPOhN0X4Mw,Very slow service. In for breakfast and no seating was available so decided to sit at the bar. Was ignored for 20 minutes before my order was placed.  Food is just OK.,QUl-wtaXUvNctLkGPnUNxg,1,0,1,oieJIE8vTG43Kd-Ok28nmw
411320,2016-08-07,0,1BtNZszIr8LvtPOhN0X4Mw,"Ordered one of ""joe's picks"" which was the sirloin. Asked for medium rare and it came out well. I normally don't bother the server but for 25$ I felt I should. The next sirloin was medium and an awful cut of meat.  The bartender also had quite and attitude.  Wouldn't recommend this hole in the wall.",qRn4zIPs4UxVFyUQSjSlRg,0,0,1,vXIM213cWpbm0GmRgbmLhA
952978,2015-11-03,0,1BtNZszIr8LvtPOhN0X4Mw,The breakfast is very bland. I ordered a breakfast burrito that was 90% egg. Service is lackluster but one server Rosie is absolutely amazing!! Worked the bar all by herself while making the Starbucks orders and the whole bar was full of people ordering breakfast!,EVEpLljta3xg4h3DCffz0g,0,0,3,NKSPTrdTsSEd4zBrlJb7Eg
1209028,2015-10-07,1,1BtNZszIr8LvtPOhN0X4Mw,"Food was good, but a little slowly, sevice is ok. Our two orders on the menu price is$7.95 each, with  $189 one night room price we don't need to pay breakfast now. Comparing the room, I more like the breakfast.",L1dF1_xep5-Gy5WRsBtnag,0,0,3,-jwTxd_qV0Vafq8NUgOGxQ
1280328,2016-03-21,1,1BtNZszIr8LvtPOhN0X4Mw,"Extremely SSSSLLLLOOOOOWWWWWW.  Our food came after all the other tables ordered after us. HORRIBLE SERVICE.  If I could give no stars I would.  So if you are in a hurry, or not a hurry, just font like waiting forever for your food or watching other tables get their food before you even though you ordered way before them then enjoy your stay here at Prospectors Joe's Gold Mine.  Ohh and food....Up there with Danny's Restaurants. Would I come back? NO!  Would I come back if it was free? Yes only if I had a lot of time to waste",8q8hDaxr818YxQoNw6pnKA,1,1,1,ReV0sbtonJjen8IHikc_4Q
1331476,2014-08-28,0,1BtNZszIr8LvtPOhN0X4Mw,"Its a resort restaurant and bar, but man...very good. Might seem pricey but worth it. They definitely do not skimp on the cocktails. Good size meals for the price. Staff very friendly. Going to miss this place when vacation is over with. We've had nothing but good times here.",yBC3UGccq8Jd-4u-Y4mIyw,0,0,4,9VW-tFm_ahYyYL2ux2OkSw
1494740,2017-06-30,0,1BtNZszIr8LvtPOhN0X4Mw,"Very diverse menu and pretty affordable, it's in the holiday inn and it's the closest restaurant we had to us. If it wasn't for this restaurant we would of had to walk just to get food. We ate here a lot and it was well worth it, specially because the food in the strip is pretty pricey. It's small but the hostess and waiters do a great job during rush hour. I was very pleased with the food and customer service! If you stay in the holiday inn, this place is a must! (We just ate here so I'm judging it based on the food and not the drinks). I am attaching a picture of the breakfast pizza and the pepperoni pizza which actually weren't that good. I don't recommend them, but everything else I tried is delicious! Specially their breakfast",T5NG7sxTwsEp7jRRbT_kmg,0,0,5,zYNtf4NwREmKVJVMXXLDhg
1714227,2015-03-22,0,1BtNZszIr8LvtPOhN0X4Mw,"They were out of everything during spring break. Waitress was nice but management didn't care. Ordered s drink only for bartender to tell the waitress he was out of lemonade 20 minutes later. Got our food to go and was highly disappointed. Not worth it. There are so many other places to eat in Vegas, this place isn't worth the wait or the ""oh well"" attitude.",fSAJEIMvjzpQ2u1REMqTqw,0,0,1,Se7ywuSGEAdjsPvKPL6HBQ
1880885,2016-03-17,0,1BtNZszIr8LvtPOhN0X4Mw,"What did you expect?

It is the local on site restaurant for the Holiday Inn. This place is pretty expensive for what you are getting.

The only thing I liked was the short happy hour they offered with half off well drinks. Otherwise you are spending $8 a drink here AT the hotel!",2zM4VbsZvW9cCGYHppNmvA,0,0,2,jyk9m_H_gJzkToE7W3vAHw
