,date,funny,business_id,text,user_id,useful,cool,stars,review_id
177850,2010-08-18,2,1CTapYK3FHvpiJaQhOaaIw,"Honestly... when I am in Hawaii or even when I lived there... I never ate at L&L. Maybe once in a blue moon.. but never regularly.

Since moving up to Las Vegas, I did find myself eating here more often than not. I like the fact that they have lau lau and kalua pig as a regular menu item where Island Sushi has it only as a special.. but that is pretty much all I ever get when I visit L&L. In Hawaii, I'd get their beef stew or curry, but I can easily make that myself now.. whereas lau lau is a little harder.

I like that fact that you can choose to have cabbage or no cabbage with you kalua pig. Depending on I feel, I will order one or the other. Their other menu items like their mahi mahi is okay.. nothing special. I once felt like getting breakfast for dinner -- Portuguese sausage, eggs and rice.. but I could have easily made that at home for waaaay cheaper!

The location is convenient. But since finding out about Island Sushi, I have been choosing them over L&L as of late. If an Aloha Kitchen was closer, I'd go there as well over L&L. 

I guess because I'm so used to crappy L&L in Hawaii, that I find it is overrated.",DGDlpOVeUNEkBDYkJLvdBQ,0,1,3,IoDbqo6PYtntL08ebFvXkQ
473415,2016-03-09,0,1CTapYK3FHvpiJaQhOaaIw,"Second time at this location . Once again did not disappoint . Had the half & half platter, again too much food to eat, value of food for the price is exceptional. Had my first musabi tonite. If you get two of them it would be enough for a meal by themselves .definately recommend this location.",ZADdNwvrkOyYRLAuikRekA,0,0,4,-GM1xONdbitFQ3yV9E4NAw
520200,2017-05-30,0,1CTapYK3FHvpiJaQhOaaIw,Closed for repairs................does not indicate the length of closure.  That's all I have to say and yelp wants me to say more...what else is there to say.  When they are open staff seems nice.  Convenient because it's close to my house.  Better serve than Island Sushi??  Anything else u want me to write yelp?,V-evubUQ9EF4E_nBsPad-g,0,0,2,gl2KhpiFZMrVg_3PH2K0wg
620333,2015-04-02,0,1CTapYK3FHvpiJaQhOaaIw,"As other reviewers have said, we only go here for the food. It's a bit expensive and the customer service has a lot to be desired. The food is delicious, but they will definitely nickel and dime you. We were ordering for my father in law, and he decided he wanted an extra Katsu sauce. Typically it is a .25 charge, which is definitely not a lot, but when we already waited 20 min for our food, I think it's a bit ridiculous to ring that up. I know they have a business to run, but show a little appreciation for the $$ we just dropped and the time we waited for an establishment that is supposed to provide food in a minimal amount of time. We'll just remember to have an extra quarter in our pocket in case anyone has last minute requests, so our card doesn't have to be charged again.",zLfJTSNAXTS-rJ6zrG7i9g,0,0,3,RfCINcpsIjNzZh4dAVDFUw
755564,2015-10-15,0,1CTapYK3FHvpiJaQhOaaIw,"Great food and service! My favorites are anything grilled (short ribs, chicken, beef) and chicken katsu. 
Tip: call ahead and order. It takes a little while to get your food because it's cook to order. 

YUM!!!",elLQ96dM29T2Qa6Q7YK6sQ,0,0,4,oypkDojXvVk4tPlWzuWHhg
827813,2016-09-14,0,1CTapYK3FHvpiJaQhOaaIw,I like this place. But it isn't always consistent. Sometimes the ramen soup base is more flavorful and other times it's more bland.  The spam musubis rice is pretty mushy. It fills in the cravings though.,5sCxldXxFjmBPL0z1jGAyw,0,0,3,VNUPzr_jmJH3-YlqVjURfw
883097,2016-02-01,0,1CTapYK3FHvpiJaQhOaaIw,"I have been to this L & L several times over the past months. This place is like heaven for anyone who is on a low carb diet. I usually get the Super Low Carb Plate that comes with a variety of meats as well as eggs, prepared the style of your choice. It's right around $12 and is enough food to last me two generously portioned meals.

The rest of the family typically goes for the BBQ Chicken platter. Also generously portioned as well as delicious. 

Only downside is that it is near impossible to call ahead. The line is always busy. 

Regardless, this place is five stars all the way.",oF6N4GOHmC5FQ5xL7YHn5A,0,1,5,xpV-bELvqiR4tWl89_-dFQ
948354,2016-03-26,0,1CTapYK3FHvpiJaQhOaaIw,The short ribs were amazing!!!!! I was not that impressed with the macaroni salad or rice!,DsB5UJiFOVH02ykghXI2mg,0,0,4,Y-bqHt0HDobGp2dIbXPfBg
957105,2014-03-16,0,1CTapYK3FHvpiJaQhOaaIw,"This is the closest location to me and I greatly enjoy the food here. I rotate between the bbq chicken plate and the bbq beef plate. The staff seems to be the same consistent crew over the last few years which is nice.  They've on occasion forgetten my side of macaroni salad. Overall, I enjoy coming to this location. Nice staff and quality food.",Lvw-RNCkDdbwTDNPNLq-VA,0,0,4,As82uG8S0r0KBHqenTBuqQ
1029109,2011-07-13,0,1CTapYK3FHvpiJaQhOaaIw,"I've never been a big fan of L&L, especially since I've had better, but I gotta say the mochiko chicken here is pretty good. That's all I order there. Another plus, their ""mini"" plates are pretty big.",btk3ZCxMwLxVU5iQNJ8JNA,0,0,3,2dxBLqVyI-Jei7yY5WAKOg
