,date,funny,business_id,text,user_id,useful,cool,stars,review_id
123998,2010-10-11,0,1CWMNSTRMejdSyXBG2chNg,"Fireside has awesome food. The breakfast burrito is huge and delicious. Recently had their version of steak fries which was very, very good. A bed of fries, provolone, thin slices of marinated steak and some kind of amazing gravy that brings it all together. Big enough to share.

Place never closes, lots of TV's and a really good beer selection. One of the few places in town that has Delirium Tremens on tap. 

Sit at the bar and you should gamble otherwise grab a table or relax by the fire in their lounge chairs.",MnDpS5jNtwi_HTSY2fMbPg,1,1,4,s3l988ACdWrWW6cXfSQoww
141735,2013-01-03,0,1CWMNSTRMejdSyXBG2chNg,"This place has great food!  I usually go here just for the chicken and avocado salad.  But the customer service has been very poor every time I go.  It always appears that the service staff is bothered by  a phone order.  The service also seems very disorganized, with one person able to handle the take out orders.  Love, love, love the food, but I have always been disappointed in the customer service.  Go to Remedys across the street - they have both!!  Good food and good service!",TRWNEsbeMlWlmvlSbw9QiQ,0,0,3,hBhYQRqBtwIGiGWnDa7mmA
269672,2016-08-10,0,1CWMNSTRMejdSyXBG2chNg,"I absolutely love this bar! The food is always delicious- eat in or to-go. The bartenders are awesome! Kele, Brett, Rob, Shaun, Kate & Jess. I couldn't ask for a better neighborhood bar close to my house!!! Love it! Thanks guys for always being awesome. Plus they have a great selection of craft beers...",UaGKqcjVs-CORc6Tdw_62A,0,0,5,CxavxU9aDjd_nS54srrhDQ
354089,2013-04-05,0,1CWMNSTRMejdSyXBG2chNg,"I live right down the street from this place, so we decided to try it out and hopefully make it our new favorite spot to eat. We came in on a Friday night around 6pm for a late night snack and it was empty...no one greeted us so we awkwardly sat in a booth by the bar. After about 5 minutes someone greeted us and took our drink order. We ordered the pickle chips and seared ahi. IT WAS TERRIBLE! I was amazed they could screw up fried pickles! But they tasted frozen and soggy! My boyfriend ordered the seared ahi which was for sure frozen, and it was so tiny! Literally 2 bites and gone...so he sends and we pay our check and get out as fast as we could. I mean I live so close that I'm sure we'll try it out one more time, but if they strike out again we won't be back and the only reason we will be back is because our waiter scored some points when we asked to send the food back.",vKzS-ZxQprfPxTxY45ZBRw,0,0,2,rQi0G6_B30w1WZBo8gyPew
416519,2015-01-26,0,1CWMNSTRMejdSyXBG2chNg,"Hands down one of my favorite bars in Henderson. It's my go-to bar based mostly on the attentive and always fun bartenders. All the food I've tried has been great, it's almost always a really nice crowd, I've never had bad service and I'm quite sure it won't change as long as they keep their awesome bar staff. It's quite dark inside but I can deal with that, music is never incredibly loud either which is good. Overall I'd say if you're looking for a nice chill night at the bar, this is your place. Keep it up Fireside! Justin, Jessy, and Brett are some awesome bartenders if you get the chance to meet them!",zJuwsPkxFBGSBzjDXPGavA,0,0,5,Rt2XGYfbTh0AAzKHK6fT4w
504011,2015-02-24,1,1CWMNSTRMejdSyXBG2chNg,"This was our second time there.  We vowed the first time to never come back, but came back only because one of friends likes this place.  (He needs to be shown around town a little and see you can only do better). Our second time here we experienced the exact same things as our first time.  My wife gambled on a poker machine and I gambled on another.  Together we blew at least $200 through the two machines.  The first $15 we tipped we were pretty much given the stink eye until the bartender(s) warmed up to giving us drinks.  My wife never got a clean glass they just re-used her old glass.  After dropping $200 we asked for the bill.  The bartender said she comped what she could.  My wife had not a single drink comped. I can drink pretty heavily, but a 12 pack costs $18 (for the expensive stuff) retail.  So after $200 they couldn't comp the beer I had.  I asked the bartender why this was.  How do they compete with anyone else in the Las Vegas valley?  I was told that you pay a premium for beer here because in the fridge they have some beers that are worth a couple hundred dollars.  So, because you get to look at expensive beers in the fridge you pay a $20 premium on your Coors light.  Another reason was because they can't compete with any of the big casinos.  Which makes me think if you have a customer who drops a few hundred dollars you can't make a profit off handing him or her a few beers?  Also, someone told me the Fireside is owned by the same people who own the Elixir on green valley and sunset, which we used to go to all the time when we lived on that side of town.  Always had the drinks comped when you played continuesly.  The waiting staff is super friendly (at Elixir).  So not sure why Fireside is different.  The food is descent.   The only reason I went there a second time is because my friend feels it's his local bar, but if you're going to drop a few hundred plus, the entire valley is your neighborhood bar with only a cheap cab ride away.  Everywhere in Las Vegas .... Literally everywhere with the exception of many places on the strip they will treat you right when you drop a few bills.  This place ... Awe full,  go for the food and just pay for the drinks if you must, but nothing special here!",JrObW1kKa-4AoamDcnMdKg,1,0,1,AwZ85QbX67jRPY2ahzbLng
508917,2017-03-02,0,1CWMNSTRMejdSyXBG2chNg,"Good Fish tacos, fish chips, burgers and pizza, a lot of good craft beer on tap and bottled. friendly staff. The beer menu is a challenge to read from the tv screen and if you eat in the bar area the smoke can be a little issue. But hey, its a bar..bars have smoke. The dinning room is smoke free.",EMBVjAPBLocIaOV4r_bM6w,0,0,4,1cqAJza359SJh-Bd3yR00g
515940,2010-11-23,1,1CWMNSTRMejdSyXBG2chNg,"This place sucks!!!! Very rude waitress and bartender. These  women give customer service a bad name. I'm in customer service and I have never seen such rudeness, if they worked for me I would of fired them on the spot. Shame on the owners of FireSide on CACTUS & SPENCER!!!!",OxxbCWC5mh747o20aN6bxg,2,0,1,E9cwswKvLllrQs_7caPXFA
539969,2016-04-03,0,1CWMNSTRMejdSyXBG2chNg,The only thing that sucks about Fireside is the smoke. The food and beer selection is good. They should vamp up the place. A lot of older people go there.,Fh5XDQ37Ln7SwbT3Up3aJg,0,0,4,266ugFzvnQuEF8ymHvCHQA
608976,2013-02-18,0,1CWMNSTRMejdSyXBG2chNg,I love this restaurant! It has a warm atmosphere reminiscent of it's name with it's dark tables. There is even a separate room that is clearly supposed to be a cozy library with a lovely fireplace. The food is very good and very reasonably priced! They have the Best fried Dill Pickle Chips I have ever tasted! I highly recommend Fireside!,U6sa6_xejnOT8YcQjjWPuQ,0,0,5,T42m-7YEGAdA-hVAinGBvg
681344,2015-07-27,2,1CWMNSTRMejdSyXBG2chNg,"""Kate of the Fireside"" is an exquisite mammal. She brings to mind my favorite Beatles songs, Skakespearian quotes, and sunsets. We shared one wonderful Monday, before noon, over a number of tasty José Cuervo shots. It reminded me of a younger Vegas, Sammy Davis's Vegas. 
Kate, your sumptuous smile brings me much joy. If I were Methamphetamine, you would be my Walter White. 
If you are reading this review, call in my-grandmother-died and treat yourself to a little piece of verbal S&M. Have yourself an expensive beer, and enjoy the gambling. Unless you're chicken, ""Mcfly!"" 

-Biff",HMbPZ75wN_Aqva6JfRxG3A,0,0,5,XQZDGhxESRisBOuuUZ5U-A
686279,2010-11-16,2,1CWMNSTRMejdSyXBG2chNg,"For being a local hang out,  this place has the coldest draft beer around and the nachos and wings  aren't too shabby either...  Unfortunately this place has the MOST unfriendliest waitresses around. The minute you step in you are greeted by  a long face gal that can just sour the rest of your nite.",COANY--mDeNIFxHS-ZVEeg,2,0,2,5lYWjuYHN6m6Q_tHSF4w4g
690160,2009-06-04,0,1CWMNSTRMejdSyXBG2chNg,"I have to have a cheeseburger from Fireside at least once every other week. I believe they are wood-fired. The fries are awesome! Plus, Great beers on tap.",5aItx51ck8ma9a_ytDgxyw,0,0,4,UsnoI1yKTlAG6bJx4iNGRQ
716331,2013-09-18,0,1CWMNSTRMejdSyXBG2chNg,"Fireside is the best bar in the valley.  The bartenders are professionals and their food and beer selection is on target.  For the vast selection of craft beers, they really don't charge that much.  Just a great bar!",UQm8Cib9mvQpxHE07sAhFA,0,0,5,5FKGTdLCNZe4va_zynZFlA
