,date,funny,business_id,text,user_id,useful,cool,stars,review_id
919659,2018-03-10,1,1VQmZoUwNbNik7EQs_EHeQ,"I'm so excited for this Rancho and Craig location... finally great Greek food near me! I first fell in love with Greek Delights through their food truck at the food festival. I can't get enough of their Spartan Fries, they are a MUST TRY. If you like a little spice you HAVE TO try the Hades Pita. The meats are so tender. The Greek lemon soup hits the spot on a cold day. If you're looking for an appetizer, I loved the spanakopita. The menu is so diverse and has more options than any Greek restaurant I've been to. My daughter loves their Greek yogurt bar. It has all the fixings! The portions and the food never disappoint. The ambience is chill, clean, and comfortable. The staff are friendly with great customer service!",VscgHsOG8VRww286GwXtpw,1,0,5,O1Ny0hIfpk5pFMedW7PvuA
996282,2018-04-03,0,1VQmZoUwNbNik7EQs_EHeQ,First time customer. Ordered the Gyro Classic and seasoned fries . Both were very delicious. The staff was super friendly as well . Dinning room very clean . I will definitely be a returning customer .,43Gxgo2v3UDXlR5mGgcT6g,0,1,5,dLtWUTEmC_dp8uW5QZmGGQ
1191852,2018-06-20,0,1VQmZoUwNbNik7EQs_EHeQ,"Wasn't delighted with my Zante salad w/ chicken. Served in a plastic basket on wax paper, asked why it wasn't on a plate? A: Order comes in a basket. Asked for a plate and transferred my salad onto a paper plate. Don't understand the high ratings maybe people enjoy eating geek salads off wax paper? If you're into this...... And If you love olives this salad is for you! (Pic after I transferred)",CYyXXRcU2DBomYBHpV7X1Q,0,0,1,3YgMhmf9SnCoif_eYlMEAA
1238691,2018-05-18,0,1VQmZoUwNbNik7EQs_EHeQ,"I give this place a 2.5. Although my gyro was packed with meat, the meat was one notch away from being cold. The fries are like McDonald's fries, but a nice serving. The owner/manager (?) was amazing. Upgraded my fries for free and also gave us a free drink. Very nice man. The 2.5 is mostly bc of him. Overall the place has great vibes.  I don't know. Maybe I'll try again one day bc of how great the manager was, but for now Gyro Time will be my go to.",tvo7N_hOlieeGIQD339o3w,0,0,2,M-0zaDkHNqNhfXRBwHUSow
1331361,2018-04-20,0,1VQmZoUwNbNik7EQs_EHeQ,"Very friendly service. Big portions, great food! The baklava was so awesome! I got the Gyro plate, so much food I had so much food i left for lunch tomorrow.",htl5_UDmiAMl6HLP0PU-kA,0,1,4,Evmncnnm4IEP4OPmPbwtnw
1368096,2018-06-20,0,1VQmZoUwNbNik7EQs_EHeQ,"I come here at least once a month, my family doesn't go out often, but it seems we always end up here.  The food is great and the staff is friendly. They are genuinely helpful and excited to get good food to customers. I would recommend this restaurant to anyone, regardless of diet restrictions and preferences.",7i74uV3pXJ7Q50YLTRM8Cw,0,0,5,IneQ5EmovGZBxjnrceMVKw
1396849,2018-06-18,0,1VQmZoUwNbNik7EQs_EHeQ,"This is a cafe style restaurant. No frills, just great food! The food is delicious and fresh, even better than some higher priced restaurants. We've ordered the Gyro platter, a meal with three skewers, the Zeus Gyro and a regular gyro, all of which were excellent. Their fries are the best! They are so crispy and don't get soggy. This has become on of our favorite places!",RUAikyMI6Hn2EGqdPLgwzQ,0,0,5,klN_QvxnX9bVMfSZGRQHYw
1437122,2018-04-27,0,1VQmZoUwNbNik7EQs_EHeQ,"My husband and I decided to give this place a try after Yelp recommended it and we were not disappointed. We had the classic gyro, the Greek salad and their soup. The gyro had plenty of meat and they even gave us extra Tzatziki sauce, the salad had a delicious lite dressing and the lemon chicken soup was also very flavorful. Another thing, the prices are pretty reasonable for how much food you get. We will definitely be back for more.",KqTogi39e-juf2H4A9S5vw,0,0,5,KmGEs_wvaig55o_i1dg7vQ
1456356,2018-07-02,0,1VQmZoUwNbNik7EQs_EHeQ,"If you like authentic Greek food, you will like Greek Delights. We had the gyros and they were fantastic! We are looking forward to trying more items on their menu",oBpajsM1HXWfO-m5BG48QA,0,0,5,UakNpDklpBk7j_k0aqOiig
1760585,2018-03-24,0,1VQmZoUwNbNik7EQs_EHeQ,"Food and service were on point for us! Hubby has been eagerly awaiting our first visit & he was already planning a return by the time we left.

Sweet Greek lady greeted us & confirmed that our orders of the Classic Gyro and the Chicken Souvlaki Plate were the most popular. We could see why when our food arrived--the gyro was a warm pita generously filled with the rotisserie lamb and beef mixture, laced with their tasty tzatziki sauce, a bit of red onion and fresh tomato. My souvlaki, 2 long skewers of tender grilled chicken breast, were laid on a bed of delicious Greek-style hot rice which was sprinkled lightly with crumbled feta. My side was a green salad with tomatoes, cucumbers, red onions, feta, all tossed in a light olive oil and lemon dressing with select herbs--refreshing. We stopped talking and just started sharing and enjoying our lunches.

The nice lady at the counter came to see how we were doing and also stopped by other diners to check on them, too. We were the first in, yet wanted to be the last out. So hubby went back to counter and ordered baklava for dessert. He knew it was best to order two of the larger than usual diamonds of light phyllo, with a super scrumptious filling. They were not overly sweet, like some we've had, but were done with a delicate touch and made today.

Yes, we are going back, sooner than later. Maybe next time we will try their outdoor seating, although the pretty azure tabletops inside made it feel like we were somewhere seaside. We liked this place!",WlhETinld_UJHcFp6F8C0Q,2,3,5,o70RGwv6psR5IV1vxM5MqQ
