,date,funny,business_id,text,user_id,useful,cool,stars,review_id
173335,2013-01-31,1,1gjhtfYxlN-0xjS9Xdh66g,"Ok guys, this is a fast food joint! So rating it like its red lobster isn't fair. They are always clean, there's good parking, and I haven't experienced long wait times.....but again..... it is fast food, so if you go at 12pm then c'mon!!!!!! I gave it 4 stars because the order does come out different at times, but the ratio is great.",d2AoUIIt0_XddAR_wSVHXA,1,0,4,L9mvzAtQOfhvKXLuJ1UUHg
683958,2017-10-30,0,1gjhtfYxlN-0xjS9Xdh66g,"This has to be the worst Jack in the Box I've ever been to. Does not matter if the restaurant is empty  because they always take 20min for your order. The employees were extremely rude because an older couple asked a question about the price that the cashier could not answer so she replied with ""I don't care, tommorow is my last day"". They were older and it was a simple question that if she did not know the answer too she could have simply asked someone else. Sucks that they are across the street from my house.",g_9L0PqfSXAitYxwwcfvVA,0,0,1,uMOSKUd78-503gsO0c6FXA
1059401,2015-01-22,0,1gjhtfYxlN-0xjS9Xdh66g,"Having transacted some business at the Kohl's just west of there, I found myself hungry, and popped into this Jack-in-the-Box for a quick snack.  An Ultimate Sausage Sandwich from their breakfast manu set me up nicely.  Ordered some tacos without sauce to take home to the lovely Orchid.

Food quality: Good.  (I am enough of a realist to understand that I'll never find five-star food in a fast food joint.)
Menu options: Excellent.  The ability to get their entire menu 24 hours a day puts them light-years ahead of their McCompetition.
Service: Very good.  My order was confirmed bedore it was rung up, and the cook double-checked the order before it was completed, just to make sure.
Personality: Excellent.  Friendly, smiling folks who actually look like they like what they're doing, and care enough to do it right.

I may have to head in this direction more often.  Thank you.
-- -- -- -- --
On the newly-established Nighthawk 100-point scale:  92.",TWmb25OuRnWN3gF4cwOPxA,0,0,4,sfVPL_JSBry3LFVDlwpDSg
1202799,2015-04-27,0,1gjhtfYxlN-0xjS9Xdh66g,"Great customer service for a fast food place. 2 employees for the early morning shift. The front/ drive thru employee handling both counter and drive thru. Very nice apologizing every minute for the wait. We didn't wait long at all. Food was good, fresh made. Very good experience at Jack in the box.",vFPWITjvktzGLZPtWY9Gwg,0,0,5,W_6hXev8FjXRlfkThfluhg
1389209,2015-07-22,0,1gjhtfYxlN-0xjS9Xdh66g,"4 stars compared to other fast food and other Jack in the Box locations. They present your food in a little better fashion if you are a dine-in customer. Tacos look gross but are cheap and taste good for the price. Stuffed jalapeños are just as good as anywhere else, but a little pricey for a fast food location. Mini churros were a mistake, not the greatest but they are a cheap dessert option and were edible.",srfR-pUMoMOIIK0zbqMrjQ,1,0,4,qKv0Ts2iQ2xQNXBAJ7YlLg
2113506,2012-03-11,0,1gjhtfYxlN-0xjS9Xdh66g,"No complaints- it is your typical J in the B with lots of options and specials. Friendly service, although the drive thru was pretty slow. I sampled my fries before I left and mentioned they were a little cold, so they gave me some fresh, hot fries and didn't want the old ones back. They never have a problem giving you extra sauces or anything like that, either.",lQGJcwX105k17081f6pulg,1,0,4,N-9H8kFVqEkf0G-vF0_fSg
2161838,2012-04-26,0,1gjhtfYxlN-0xjS9Xdh66g,Closest Jack's to my place.  Like coming here since they offer 10% off.  Decent deal to grab a burger or some tacos.  It's fast food so not much to say.  Just trying to get a bang for my buck.  Service is great and the place is clean.  Parking is easy since it's a big lot.,yobIvoK2taIhooUPSrjuiQ,0,0,4,CWkbyBWfuGAYTBM1iDmLRg
2528191,2017-07-09,0,1gjhtfYxlN-0xjS9Xdh66g,"Went for breakfast at 7:30 am on Thursday and they were just standing around not doing anything. Then ""josh"" the acting manager took our order. Told us no pancakes ok so we took the French toast instead. Then after waiting for 20 minutes we got our breakfast that was cold and greasy. The French toast looked and tasted as if it had been in grease for two days!
The bacon was slimy!
We returned it and got our money back. Went to mcd's. Greeted with a hello, and served a delicious breakfast in less than 5 minutes.
The place was clean and again wonderful service. Not ever going to jack in the box again!",lo37AV-fbuZC74cPvTll-A,0,0,1,T8wDtP9V-A-X-CD9l_skQg
2925725,2010-12-23,1,1gjhtfYxlN-0xjS9Xdh66g,"While I'd weigh 400 lbs (or more) again, I could honestly eat here weekly and be SOOOO happy with life!  The food was decent for the price you pay...and I didn't get sick :-)  ROCK ON!",h2LtQ1s5X20d0yrdqUMJ0Q,1,0,3,RicifmJY0OQqX9r_kXYPig
3495054,2015-05-27,0,1gjhtfYxlN-0xjS9Xdh66g,Stopped here today at 5:30am after work for the two for $3 Jumbo Jacks. Both burgers were great and just the way I ordered them. But the highlight of the visit was an employee named Alexander. He was so friendly and nice. I wish everyone had the positive attitude he had. What a great employee and a real asset to your company!!,pbq_xzyAcS5Et-NTJJtFSg,0,0,5,tcZqztF6LZKZ7lDWVJqLeQ
