,date,funny,business_id,text,user_id,useful,cool,stars,review_id
1453195,2015-09-18,1,2BHReLgbinzeO7rYuxWZ8Q,After we had an amazing time at Larry Flynt's Hustler Club we walked out and had a Nacho hotdog and lobster corndog. So delicious! We love the food and do this everytime we come here.,DXZVL60xDkMSRGbBMVKOGQ,1,0,5,e-H49IIpENF0Au_Eh4BYUw
1467303,2017-01-02,0,2BHReLgbinzeO7rYuxWZ8Q,"The Dude Where's My Hot Dog food truck was located outside of the venue we attended for New Years. On our way out, we gave it a try. I ordered the Chili Fries, Seasoned Fries and the General Lee dog. Overall I thought the food was decent. I gave it 3 stars because it's a bit overpriced. The customer service was excellent! I'd eat there again!",IEQjRwcXUJQ4J-x4H6Nfsg,2,0,3,slDClu6lfIE9bSWpSeVEzQ
1993544,2015-11-21,10,2BHReLgbinzeO7rYuxWZ8Q,"Tried this spot at a recent car meet that was on my side of town- the truck can frequently be found outside of a popular strip club, but I couldn't justify the trip across town just for a dog. 

Truck staff were cool and friendly- didn't mind boxing up my order to go, were helpful with menu suggestions. Save for the lobster-on-a-stick thing, prices are average: $6-9 for a dog with tons of toppings.

NACHO DOG: I've been drooling over this since I saw it on Instagram but found it a little disappointing. The frank seemed light it might have been sitting out for a bit, and there was a ton of guac. Usually this is a good thing (and a good value!) but the guac itself didn't have much flavor and overpowered the other toppings. I was going for a bit more crunch and cheese than I actually got in this version. I liked it, I just didn't love it. 
STREET TACOS: I have no idea what possessed my BF to order tacos at a hotdog truck, but these looked better than they tasted. Meat was dry and tortillas were a little odd (quite thick), flavors were okay. I wouldn't get this again, but I guess it's good to offer something aside from the obvious for hotdog haters?
SEASONED FRIES: Another BF pick. Fresh, could have used more seasoning because it was tasty, but at the end of the day, they're fries.

Overall, solid experience. The truck music and outgoing guy taking orders made the experience a bit better than your average transaction. But the owner/managers(?) unprofessional responses to other honest and valid reviews are what made me round my rating down rather than up.",bLbSNkLggFnqwNNzzq-Ijw,16,12,3,NG49q6QN6GzdWCqFgUubPw
2194275,2017-01-07,0,2BHReLgbinzeO7rYuxWZ8Q,OMG! Where do I start?! These hotdogs are to die for! The chili cheese fries are to die for! I am currently driving around Las Vegas looking for the truck! LOL. Great service and great food!,olWsdVnRCURpljUpJV_RIw,0,0,5,xh2F1Ex0azgywBGh8c0ejg
2495075,2018-02-24,1,2BHReLgbinzeO7rYuxWZ8Q,Awesome hot day place right outside of the bunkhouse tonight. Super friendly staff and the dog was pretty as a picture. Got the bacon with some cheese. Definitely a do over. So glad to get some good grub outside the concert tonight.,X8FXx55SqlUqE4h4vcSLtQ,1,1,5,R58XsTpX7vIak-CCDDjoLw
3104749,2016-01-23,0,2BHReLgbinzeO7rYuxWZ8Q,The first time I've ever had this was at the foodie fest here but I just had it again tonight and I love this food truck. Lobster corndog is amazing and I'm so in love with it. Best food truck ever.,4fXJf3j6dZdxQJQud2bitQ,0,0,5,zPVRawoKBMQALZn-m8eeZQ
3252777,2015-07-21,0,2BHReLgbinzeO7rYuxWZ8Q,"My boyfriend and I had a hot dog craving and found this cool hot dog truck on yelp! We got the Nacho Dog and the General Lee Dog-I think that's what it was called, and the Lobster Corndog. All of them were fantastic! I loved the lobster corn dog because it was something I had never tried and I am glad I did! My boyfriend was a huge fan of everything as well. The owner was a way cool dude and had an awesome personality too! We will be returning in the near future! Thanks again! :)",q1hK5wUyvCPPnp8NjKXHKg,0,0,5,3Axklanfe4vy5ktWREhlVw
3493700,2015-10-20,0,2BHReLgbinzeO7rYuxWZ8Q,"I've been to this truck a few times. Who doesn't love a good hotdog? My favorite was the General Lee. Until this weekend at the Great American Foodie Fest. I tried their new Bangkok dog, loaded with fresh carrots, peppers, cucumbers, and a Thai peanut sauce. My only complaint was that I gave half to my wife and didn't get to eat the whole thing! 
Hope this one makes the regular menu board, Yum!",JzxY6VQfi1APVsImAUw-YQ,1,0,5,oaResDdPCMxfE3yKvR3zYg
3722634,2015-10-31,3,2BHReLgbinzeO7rYuxWZ8Q,Best hotdog ever me and wifey had the chilli hotdog and tge hongkong dog both were tge best ever clean and nice place a lil expensive but who cares food was good,9eWzkjrgtNBXL_TccoPW7g,1,0,5,7qZJy82079kB2yKQSRD7EQ
3840102,2016-06-18,0,2BHReLgbinzeO7rYuxWZ8Q,Oh where to start I visited this fantastic food truck other night at a  Bar downtown. I was greeted by a gentleman that took my order I got the General hotdog as I waited for them to cook up my hotdog cashier was very friendly and offered me a drink while I was waiting I got my hotdog and I was impressed how big it was The bread was nice and soft like if they cooked fresh inside toppings were so fresh The owner seemed really nice and passionate about his business I can't wait to try out there different hotdogs good job keep up the good work,QJPkHDiQan02yEZbJG97Bw,1,0,5,iAOaNiKGIuPm7H9C6gGemw
