,date,funny,business_id,text,user_id,useful,cool,stars,review_id
19177,2015-01-25,0,2IvrdAb6zdxr3ZqplqJHbg,"Very slow service which is not ideal for an airport setting. It took the waiter 10 minutes to even take my drink order. Then, when I was in the middle of ordering... he walked away mid sentence. The food was decent but it was overpriced for one margarita and a plate of chicken nachos. My total was $28. Too much for terrible service and sub par service. Pass!",fvYyhl1OOFq__gXNrqi8sQ,0,0,2,b5pixr9sbWQu0pLzttZCCw
20541,2016-05-26,0,2IvrdAb6zdxr3ZqplqJHbg,"Didn't eat here. The waitress was so rude as I walked in. No ""hello"", but just ""don't sit at a 4-top""  needless to say I turned and walked out. Good food tastes bad with horrible service.",IRED8cj4PjkcIo0mmrLzJQ,0,0,1,Eap0gxHtcvYZp-TbUuEjPg
25398,2016-11-28,0,2IvrdAb6zdxr3ZqplqJHbg,"It's hard for me to give any airport food too high!  This was a wonderful surprise.  Was looking for some actual food and a drink as my flight was delayed about 30 min.  I'm actually still here.  Glass of wine for $12 and it's decent. I got the chicken enchiladas for $13.  They are really good. Just a little spice- not so hot that my nose runs.  Soft flour tortillas and a portion that's fitting.  3 enchilada, rice, beans.  I probably could have split this and maybe 1 more taco with someone but I'm alone. So I ate it all!!   I think this airport has such limited food.  I was happy to find this.  You can buy a hotdog and a soda down the way for maybe $10, but here I sit and I get to be tipsy sooooooo.....",gLV2tewe1Zx9YJPNU2P-yw,0,1,3,0ARS8Lgx5KHnbP-YuToXVA
37812,2017-09-02,0,2IvrdAb6zdxr3ZqplqJHbg,"Skip this joint. Chicken nachos had a funk. Guac looked like the discounted container at the grocery store. Magarita was a standard machine pour.... not worth it my friends.
Chips were decent...",hSMNeaTFSf3VbTV4tfoYzg,1,0,2,ap9_WQFDwys03-LiY7NJLw
74786,2014-11-25,0,2IvrdAb6zdxr3ZqplqJHbg,"Shame on me I was fooled twice in a moment of hunger and desperation. Just eat a snack bar and save yourself the money. First time I went I had their veggie tacos which were soggy street tacos w/ cold gross pickled red onions and cold corn that tasted like water. I was hungry and had 2 hours to spare so I gave in again! OMG what a waste of money. I tried to ""make"" a salad for a vegetarian by modifying a few things but they don't have black beans so mostly I had cold ice berg lettuce, cold cold roasted corn and tomatoes that were frozen at some point so as to taste like cold water slush cubes. All their salsa but their spicy salsa tastes like water. They charged $2.49 for what amounted to 1.5 TBL of ""guacamole"" which tasted like smooched avocados with no flavor or texture. I think I deserve what I got going to this place twice, boy do I feel like an idiot.",TMziy45sHU7860YzCiYcpw,0,0,1,Pc3BV56ykCcgikig_JuJSQ
74952,2014-09-08,0,2IvrdAb6zdxr3ZqplqJHbg,"After 3 days of raging in Vegas, I have not felt more like throwing up than right now after eating their ""chicken nachos"" - a sad compilation of frozen chicken strips, prepackaged chips, and pickled onions (cuz that's a normal thing to have on nachos)...
And the worst part is we actually waited over a half an hour to get them....service sucked and you could tell everyone here hated their jobs...and hated that you were eating there because it keeps a sorry establishment like this in business...
If you're getting drinks then sure this place is fine (always like a place with Dos Equis Amber Ale on tap!) but if you're eating...do yourself a BIG favor and just go to another place in the airport...wish we would've read the yelp reviews before we ate here (all the 1-star ones are totally on point) Cheers!",IlIeICQ8hvyX4Dx6_OfEmw,2,0,1,a2KLbJsD0Dlp8srfuVATvw
106670,2009-11-21,0,2IvrdAb6zdxr3ZqplqJHbg,"Hmmm, One Beer, Two Tacos, One diet soda, $20.51.  That pretty much says it all...yeah the food it okay, it's just pretty expensive for what it is...I know I know I'm a captive audience, like a rat in a cage they can charge me whatever they want, but $3.29 for a soda???  I should have stuck my head under the fountain at Burger King next door, maybe I'll try that next time.  If you don't need a beer skip this place and get a $5 slice of pizza at Sbarro.",uj4iopBWA0RjpqoJ5xz_vQ,0,0,2,Lth2gK37-NTM1M_hxQu34A
122743,2017-01-04,0,2IvrdAb6zdxr3ZqplqJHbg,Its good for an airport restaurant. Wont come back but for the rush its ok. They were out of various things on the menu but it was a holiday so its understandable.,bnAWwGpHmTrlobQxhjCOdQ,0,0,3,8bNF7VJlqHp24472trMH2w
131332,2016-02-28,0,2IvrdAb6zdxr3ZqplqJHbg,"The worst margarita EVER!!!!!!! Absolutely disgusting!!!!!!
Horrible waitstaff, unclean, rude hostess, the list goes on and on.....just the worst!!!!!!!
Thankfully there are plenty of other options....anywhere else would surely be better.",q-vv1P473StDd6eMpeJ7WA,0,0,1,QXBilok1Yus6qq-QHlI0rw
201279,2009-12-28,0,2IvrdAb6zdxr3ZqplqJHbg,"This place is ok, but with not much else around in the C terminal it pretty much wins by default. The service is kind of slow and the food isn't that great. I was able to share the big blue buritto with my fiancée so that would be a suggestion if you are looking to be thrifty after a weekend on the town before you hop on a plane back home",PhzWjKSc6ntvF1i-3OYRpg,0,0,3,gqSRJUyqxaDhyEraHKbfZQ
216965,2017-06-26,0,2IvrdAb6zdxr3ZqplqJHbg,"Do not eat here. 
Food was ok for an airport, but the server needs Prozac! Despite pretty bad service, we wrote on the check that we were leaving the tip in cash, but oops--hubby needed to break some bills, which I tried to tell the server. My husband was coming right back, but apparently the server went crazy, as he proceeded to go after me for money like a stalker, following me as I left for the terminal to watch the luggage. Server waited until my husband was out of sight, and then confronted me with a mini tantrum, saying, ""nothing?! I get nothing? Thanks. Thanks a LOT."" And then he stormed off like a two year old. 
The other passengers around saw the tantrum and looked at me like, ""who is the stalker boyfriend?"" It was really uncomfortable. 
I went back and told the manager, but I remain dubious that anything will come of it. 
Beware, lovely yelpers! Eat here at your own risk, or else tip generously in large quantities of anti-psychotic pharmaceuticals.",gSM8iHMonkG4nOfmvugNAw,0,0,1,lyqd3R0R3leQrX7ia1XjBQ
222617,2014-01-15,3,2IvrdAb6zdxr3ZqplqJHbg,"Barf. Why are humans so lazy. Just because I'm held captive in terminal C, it doesn't mean I deserve to eat dog food.",7yvI_fN-3we0RbtkVo3ZEw,2,2,1,MD5ldjUHCQzLPnIm7XWsgg
270681,2013-01-29,0,2IvrdAb6zdxr3ZqplqJHbg,"Glad I did not read the reviews first.   The food is very good, no one pushed chips and salsa, in fact, Vicki, our waitress was great.   The portions are huge, and food was very flavorful, so I think it is a much better alternative to the fast food offered at other places in the terminal.   Yes, like every restaurant in every airport, it is crowded and the service is hectic, but, we liked it.",9w-xr4rLT0-h86_wync5qw,2,2,4,Og0n8I9YvP1CVpUaequlhQ
283220,2008-09-05,0,2IvrdAb6zdxr3ZqplqJHbg,"The first time you see this place, you wonder what da' h is this place?  You recognize the name Jose Cuervo for tequila's, but then wonder if this ""bar"" even had real food or just happy hour crud.  They actually serve restaurant styled food minus the usual utensils made out of metal and ceramic plates.  Food was served on plastic plates, plastic cups, and plastic utensils.  This created a less than memorable experience, subtracts from it.   The food is decent but detracted by the plastic experience.  Most of the cocktails came in plastic cups.  The sodas came with free refills.  I ordered a margarita but was surprised by the bill which said there was a double shot of tequila.  I did not believe it at first because I did not taste any double alcohol in the margarita but as I got up to walk and then I realized there was a double shot.  The reason I came to this place was to look for an alternative to the airport fast food eateries like Burger King or Subway.  Got almost the full dine in experience.  This place looks to be usually packed, with servers taking on several tables at a time.  I've noticed it on a few flights out of Vegas. I don't think the food here is going to be outstanding to most people on their first visit.  I did not really appreciate this place knowing that there was still Alejandro's Tex Mex to be tried but after having tried both on separate occasions, I think Jose Cuervo Tequileria is the better place to go at the Vegas airport.",TXLFR5jwkaPUr9nJFZV1fQ,1,0,3,7CglSPyhda73yTOfYCDZHA
291742,2014-02-01,0,2IvrdAb6zdxr3ZqplqJHbg,"I had a couple of hours to kill, belatedly realized that my headphones were in my checked luggage, and couldn't listen to the incessant announcements about how so and so needed to report immediately to whatever gate or a plane was going to leave them.  

Service was good but not necessarily great (I asked for no beans and got beans anyway).  It's a typical, busy airport restaurant.  The food was TERRIBLE.  But, again, comparatively speaking, airport food is never good.  I had the blue corn tacos; the tortillas were cold, the chicken looked weird, and the rice was also lukewarm.  The only good thing was the margarita, which was pricey ($16) but not bad.

On a positive note, the restaurant is big and a bit loud inside, so it totally drowns out the airport announcements.  A not terrible way to pass the time if you have time on your hands in Terminal C.  But don't go with any high hopes for the food.",PMzMA8lz3TSQGnSSxbg3yA,0,0,2,lSaE70tRnXj9uLUdDrd3qg
300550,2017-08-24,0,2IvrdAb6zdxr3ZqplqJHbg,"The chopped taco salad sounded good-- however it includes bacon, but no beans. I asked the cashier if they could switch the bacon for black beans, but they said it was $2 extra! That's ridiculous since everyone knows beans are cheaper than bacon or even any meat. For comparison, the cost to add chicken was only $1. They need to review their pricing. 

I did end up paying to add black beans, and it was a paltry amount. 

The salad itself tasted okay, nothing special. It was a steep $15 for some lettuce, salsa, and tortilla strips with black beans on top.",yN6t4RVw7AB9pKf3hw3yhQ,0,0,2,28Z4uTVHWh0jy-KfIbhZYg
304847,2011-10-23,0,2IvrdAb6zdxr3ZqplqJHbg,"This would be a 1 star place but I'm rating them in comparison to other airport spots so they get an extra star.  

My flight got delayed and I was looking for a place to get a beer.  This was the closest option.  I sat at the bar and ordered the chicken quesadilla.  The tortilla was not fresh and there wasn't enough cheese in it.  

Oddly, they don't serve chips and salsa so there's nothing really to snack on if you just want an appetizer.  Overall I'd say, get the tequila and a beer. Avoid everything else.",szu3ClyRcQvDdqjNr_1mOA,0,0,2,3pPpyU26BzTIAy1M12KK4Q
