,date,funny,business_id,text,user_id,useful,cool,stars,review_id
109543,2016-03-05,0,2O_b-IAAW7SoPt__RX1Kww,"i got there at the tail-end of the breakfast buffet but before the lunch buffet opened. i suspect most people who go here get the buffet which might make the place a good value if you're hungry, but this is 'italian' food as much as olive garden is.",4sYSwmBSjcAzpvKSbqu4MA,0,0,2,CjzrWrW79DSZ98EE9vQUmA
232269,2016-04-13,0,2O_b-IAAW7SoPt__RX1Kww,Service was extremely slow. We had to ask the server several time where our food was. The portions were large but not very good. We had the veal marsala which was overly sweet and the veal was really tough. Unfortunately we left hungry and thought it was over priced. We will not go back to this location or any other.,iYKC_Vg_PM880P1trg-eEg,0,0,1,YewPLYLvVvF3MTozsoJr0Q
277011,2015-11-05,0,2O_b-IAAW7SoPt__RX1Kww,Been in Vegas for a week and this place has been the worst. Waited 10-15 min to be seated in an almost completely empty restaurant. Came for the breakfast buffet. Most of the food was barely hot or fresh for my first plate. Second plate was not so bad. Coffee was terrible. Took one sip and left the rest. Had to get up and ask for water. Got the water with no straw. No one ever picked up dirty dishes and was asked if everything was ok right before they brought the check.,nF_VltOMpVpMk7t5_fcmMw,0,0,2,k16B5rb-Yfo1UeoUP3G3AA
281827,2015-12-28,0,2O_b-IAAW7SoPt__RX1Kww,"This is a Buca Di Beppo, part of the chain, but with the caveats of being open for breakfast and buffets all day.  I believe the breakfast buffet is $13 ($12 for total rewards members, anything over 10 bucks is a dollar less), the lunch buffet might be $14 or $15, and the dinner buffet is $20.  The hours listed on Yelp are not the hours written by the door.  The door claims 7am-10pm Sun-Thu and 7am-11pm Fri-Sat, although the restaurant is indeed closed 3pm-5pm.

I went for breakfast.  Their main draw is the breakfast buffet of course, every menu item is more expensive.  I didn't get the buffet but I looked at it, the former Sidewalk Cafe that was in this location had a better buffet.  All I saw was cereal, oatmeal, scrambled eggs, sausage links, hash browns, and pastries.  I didn't even see bacon, perhaps I missed it.

I ordered off the menu, had the Las Vegas Scramble which contained turkey sausage, veggies, cheese; it was pretty good but it was an omelet and not a scramble.  My friend ordered, among other things, cranberry juice, which was probably a 6oz glass for $4.

Service was somewhat sparse, place was clearly understaffed.

Gets quite busy for breakfast, be prepared to wait in line for 10-15 minutes if you come after 9am when Vegas is busy.  They are not affiliated with Total Rewards, so having a high level players card doesn't allow one to cut in line.

Probably the lunch and dinner buffets are considerably better.",067c1_-jqAaynl1--jWyqQ,0,0,2,G7Yj8VXf5qpvOwtieG0q2g
309830,2015-07-11,2,2O_b-IAAW7SoPt__RX1Kww,"Should have known something was up when the hostess told us to check out their Buffett as she seated us. Hoping for the great Italian food that the main Buca is known for, we ordered the Shrimp Fra Diavolo, but started with garden salads. The salads were soggy & not very tasty. When the Shrimp dish arrived quickly it was a relief ... until I tasted it. I was expecting a spicy red sauce with medium sized shrimp over al dente penne pasta. What we got was sticky pasta with tiny salad shrimp in a tasteless orangish, gluey sauce. Think Chef Boyardee was cooking the night we stopped in because I make better sauce at home & I use canned tomato sauce. Only positive of our experience was the service & the iced tea. Don't waste your money here until there has been time for improvement.",ft1t75nC1V4ZS_D6gOCRDQ,0,0,2,O9LNovEpwbRQ-OrWVhxP3A
343755,2015-06-13,0,2O_b-IAAW7SoPt__RX1Kww,I was very disappointed in the buffet. This Italian restaurant did not have pasta in the buffet. The hostess seating everyone was saying there was soup and salad in the buffet but there was no soup.  The service was good.  Price is high for what they had. Better off ordering from the menu,pYc5Dguw4A9cvujmNUUUdg,1,0,3,WWmesMnpUIv3GLV-dI28NA
421578,2017-01-09,0,2O_b-IAAW7SoPt__RX1Kww,"This place does not even deserve 1 star worst experience at a restaurant I ever had. JOE the server was horrible in every way can't even start to list the negatives but wait there's more CODY The so-called manager had no  people skills he should not be working in food services or even customer service, he didn't even care to listen to our comments about are serves, Buca do Beppo get a real manager and get rid of this joker two guys with the worst attitude working the same place wow I guess it's Vegas anything can happen!!",EuVE38_bcKWzNAdm7WxaGg,0,0,1,XrpKJjGmmepYsMdMzDgPTw
449783,2017-10-07,0,2O_b-IAAW7SoPt__RX1Kww,"I am so pleased with the great food and service here. My friends & family recommended that I try this restaurant while I was in Las Vegas. I am very happy that I listened to them. Their food was absolutely amazing & delicious, hands down fabulous job to the amazing chef. Their customer service was VERY exceptional. I would highly recommend coming to this restaurant if you are ever in Las Vegas. It's right inside the Excalibur hotel, right on the strip.",JbaRU2f_1Eaf8XVZA7cZbA,0,0,5,Q8wYefHlXobHEa1u-8Popw
508346,2015-06-21,0,2O_b-IAAW7SoPt__RX1Kww,"Service was fine. The Marinara Sauce was Great, however the entire dish was
ruined due to the crappy pasta! The pasta was so gluey and starchy I couldn't eat it.
My tongue felt as if it was coated with wax---nasty! They must be reusing old pasta water to cook the pasta in. The meatball was average.
 Don't waste your $$$",JcoUGopq2fKid-TPf2-U_w,0,0,1,H4wg_NtlEioXT6_EywohnA
561923,2016-02-15,0,2O_b-IAAW7SoPt__RX1Kww,"This is a great place that we found after some wandering around the huge diversity and choice of public restaurants. Within a few days my friends and I tasted this buffet for breakfast, brunch and dinner. Very tasty and cooked with a soul! The staff is very pleasant and helpful - quick to respond to any request. Price in this buffet is economical, and also in accordance with the taste of food, we have always had a desire to come back.
We were also pleasantly surprised to find there a Cuban Man Elisio, speaking in Russian, cheerful and sociable. Thank you, Elisio, for surprise, organized to our friend for his birthday! Come and you won't regret!",Ks85gqK51yzwqVdK6tRP_Q,0,0,5,vzazm_42eLoY2Z2L29wfqA
735478,2016-05-03,0,2O_b-IAAW7SoPt__RX1Kww,"Was staying at Bally's and wanted to grab a quick breakfast one morning.  I noticed a Buca di Beppo on the casino level that offered an all you can eat buffet.  I was seated immediately.  The waiter was courteous and efficient.  The restaurant had a nice atmosphere and was clean.  

I opted for the buffet since that would give me the option of more variety for my meal.  I had no intention of stuffing myself.  The food was very nicely presented on their buffet.  My problem was that most of the hot food items were not really hot.  Also, the food tasted very bland,  I had bacon, scrambled eggs, sausage, biscuits and gravy, pastry, etc.  Instead of being light and fluffy, the biscuits were hard and crusty.

The service was wonderful, the atmosphere was great, the buffet presentation was very nice but the food was off the mark that morning.",WCLvP1kEizh3YYKrQ8xeGg,0,0,2,SHQDO4U84HutTgk2uEUUEA
803728,2016-04-29,0,2O_b-IAAW7SoPt__RX1Kww,Pretty bad. Wait staff was horrible and food was not too great either. I waited to be acknowledged at my table forever!,sikyCoisA4ON54oWTkNqmA,0,0,2,qDJu0chDzXp4IBExm8mVpQ
