,date,funny,business_id,text,user_id,useful,cool,stars,review_id
36404,2015-04-07,0,2hSIeCX2cV-chFcBBXrZZA,"All the juces i tried is just delish. Tried sweetie pie, dos leches, kitchen greens, and karrot top, im doing day 1 of 3 day cleanse.  So far I'm doing great.  I will be a regular to this one for sure.",PZhCixXWDcFp80TB_C_w0Q,1,0,5,8WBDwSQ227r73Jzna9vXfA
65409,2016-04-06,1,2hSIeCX2cV-chFcBBXrZZA,Yep!!! We are back again. Can't get enough. Love the #15 Coco Crack!!  The granola used in Acaì Bowls is the BEST!!!,hUuZHx0jPkUkZf42jN0DKg,1,1,5,dw_4cdhH0xBjl_sdYI3hTA
135734,2016-04-21,0,2hSIeCX2cV-chFcBBXrZZA,"Let me start by saying this is some of the best customer service I've ever received. From the moment I walked in to the moment I left I was taken care of. Our ""barista"" gave us samples of anything we wanted to try along with recommendations of what we should try. I ended up getting the Holy Shot which was extremely good and EXTREMELY gingery (as it does note on the menu) as well as the Green Milk which I opted to turn into a smoothie. I'm impressed by the freshness and overall cleanliness of this juice bar however $17 for a smoothie is to me, extremely pricey (holy shot was free with yelp check in - saved me an additional $5).",IjQG0hhfuVt_CWHS2J1iSw,0,0,4,5fJw6AXYKhxf7CmRLANJTA
179790,2015-04-05,0,2hSIeCX2cV-chFcBBXrZZA,I am officially in LOVE!!! Raw Organic and Delicious! I just had a Raw Latte-Cold Pressed Coffee with the Dos Leches Nut Milk. It was AMAZING! They even have juice flights! I am definitely impressed. Plus they have free WiFi :),nx7VnTqNpAHGRBQ51xu1SQ,0,0,5,DKaL1EGbv6Pg1hqV824NQA
181877,2016-04-02,0,2hSIeCX2cV-chFcBBXrZZA,"This place is fantastic ,great juices and the staff is amazing Velarie and Iris sat with us and gave us tips and advice on what juices to combine for our cleanse, highly recommended if you like juic",tV34DO6LOEh-vQ-TnEauRw,0,0,5,5a_t20yGO5W7BhWTq0MQuQ
208870,2015-04-25,0,2hSIeCX2cV-chFcBBXrZZA,"I'm always lazy to write reviews..but this place just made my day.. So I must share my experience that I had here. I've been wanting to try this pressed juice place for awhile now! I came in today half an hour before they closed just to pick up a juice for lunch tomorrow. When my friend & I walked in there were 3 workers there and they were all very welcoming and friendly. I knew they were closing soon so I wanted to make it quick.. Since it was our first time there they asked us if we had time to sample their juices and nut milks! We sampled all 20 & I loved all of them except 2 that had cilantro. (Not a fan of cilantro so that's just me) they also explained the ingredients in each drink that benefit you.. I've tried most of the pressed juice places in Vegas & this one is by far my favorite! I purchased the green milk, Karrot top, coco crush, coco crack, and the kitchen sink. Love that they come in a glass container & their prices range from $8.95-$10.95 they have happy hour 2 hours before they close 10% off your purchase. & they will give you a stamp card buy 10 get 1 free. This will definitely be my go to place now! Going to try their acai bowl next time. Thank you for your awesome service & giving my friend & I such a fun experience. :)",GQaBO4egsYQyYdE9pE5BTQ,2,1,5,7MAZxpUhHdx9ZCwYaCU30A
233272,2016-05-31,0,2hSIeCX2cV-chFcBBXrZZA,"Ive been here a few times now and it seems their products as well as the service gets a little worse each time. I do like their juices, acai bowls and chia seed pudding. BUT the juices they give me have a day expiration date when I know for a fact they have juices in the fridge with a longer expiration. If you are planning on drinking the juice right away ask for juices that expire same day for a huge discount!",059JBE-Mk4ngHjDGdVEo2w,0,0,4,qiH2428NLaEf69UE5MsSQA
294450,2017-07-08,0,2hSIeCX2cV-chFcBBXrZZA,"All I've tried from here was the Dos Leches nut milk, and it was enough for me to write a 5 star review. Holy yesssss!!!!! So good.",7YWkpjUb-YWbfpN7d7sRqg,0,0,5,sLNMVyhyd-FtiCiTXEzOvg
354047,2016-04-24,0,2hSIeCX2cV-chFcBBXrZZA,Came in today for my first time and had an amazing time! Who knew a juice bar could be so good and fun. The two workers (a taller young man and blonde girl) had great customer service! It was very busy and they seemed to greet everyone and get everyone taken care. #11 and #6 were my favorites!! Highly recommend!! love how they have a rewards program and even happy hour,Yf1CzQnkRWtb5LcgHxSPfA,0,0,5,kpprF0F97lwbKanhzu-O2A
384741,2016-02-13,0,2hSIeCX2cV-chFcBBXrZZA,"Love this place. The kitchen sink is my favorite. Also, love that they use glass bottles and not plastic!! If you have never been here, go check it out and do a juice tasting!!",_-pZKVgIo_dOGTQv24garA,0,0,5,HrR9ijun3MFIyYbWEvoQaA
