,date,funny,business_id,text,user_id,useful,cool,stars,review_id
518977,2015-11-17,0,2iWpS2xe9rBaFAv1CJuz3g,"When your husband thinks someone replaced his 15 year old grill with a new one.......PRICELESS!!!!  It makes me feel grossed out on knowing how dirty our grill really was after seeing what an AMAZING job Oliver did cleaning it..  Thank you, I'll never forget the look on my husband's face after you cleaned it, was like a kid at the candy store.",P64h3oWek035_y9sNwDuGA,0,0,5,FOE3BIc5PdC2VzKK3Bh7-w
548470,2017-10-12,0,2iWpS2xe9rBaFAv1CJuz3g,I never thought my grill could get so clean and be beautiful again. He went way beyond by staying even after the sun when down to finish. Great service! Great price! Doesn't get much better than this.,uD-tX9NSIFvcF4p754HAiA,0,0,5,Oy2hOoS3brDd0z4kW84fag
1201584,2018-06-20,0,2iWpS2xe9rBaFAv1CJuz3g,"We recently had Memphis BBQ Cleaning Service out to clean our 10 year old DCS grill.  Thanks to a phenomenal job by Oliver, our grill looks amazing!  He takes great pride in his work and even replaced the broken briquettes we had.  I highly recommend Oliver for his true professionalism and integrity.  Thanks again Oliver!

Dawn R.",nRG4I_8HWDpucuWq8R0QXg,0,0,5,03R7v3UFrIF7kkuBRmg-GQ
1429039,2017-08-15,0,2iWpS2xe9rBaFAv1CJuz3g,"We were very satisfied with the service provided.
Oliver was professional and thorough explaining the service completely and always on time.
The work was excellent and saved us hundreds. We now have a brand new BBQ. Thanks Oliver.",GxVfzA0jvfhkSip7eAnQ2g,0,0,5,2CMsbyE4wvjRtvrvsJ_hXg
1751214,2017-06-17,0,2iWpS2xe9rBaFAv1CJuz3g,"Oliver is truly a master at his craft. When we moved into our home a year ago our built in grill wasn't too appealing, a few hours later, it looked brand new. Oliver's professionalism, promptness and attention to detail is truly exceptional. Suffice to say our grill has received plenty of use over the course of the past year, so much so, that Oliver has been out two more times and each time we have been thoroughly pleased with his service. We will continue to use Memphis BBQ Cleaning Service and highly recommend them. My only regret is not writing this review sooner.",dyqmdq8izFy7Ho_z4qyrCw,0,0,5,mLn1hgBQXeQnOnGc4cRDLw
1949848,2018-05-02,0,2iWpS2xe9rBaFAv1CJuz3g,"Este es el mejor servicio de Las Vegas para limpiar grills Oliver se toma su tiempo y deja las cosas como nuevas, olvidamos tomar una foto de antes este fue donde mi suegra que también le encanto 100% recomendado ! Jusguen los resultados (nosotros cocinamos  muchoooo)  Thank you so much  Oliver we are really happy and Excited to cook again in our clean grill!",tvZftN-2I1l49OJlPtKb9w,0,0,5,ZFgy7fz1vhHb-YT5hKR5gg
2212498,2018-03-04,0,2iWpS2xe9rBaFAv1CJuz3g,Oliver was recommended to me to repair my weber grill.  He was awesome.  I called him in a panic and he came out the next day.  He was punctual and very knowledgable.  He was able to repair my grill in a very reasonable amount of time.  Once he was done he took the time to show me what he had done and that everything was back to working.  His prices were fair and he was very clean with his work.  I look forward to using his company again when it is time to clean our grill.,CQRkj_c4P6c0eZkUWyhWNw,0,0,5,aeE7VZKIheEVTReTqGZjug
2306807,2016-03-12,0,2iWpS2xe9rBaFAv1CJuz3g,"Today Memphis BBQ Grill Cleaning Service gave my 10 year old grill a new life. They kept their appointment and arrived on time. The grill was quite greasy and the grates had burned on grease. Everything is now spotless and shiny new. And, no mess around the grill from the cleaning. I highly recommend.",IFp3HYQbUWBrgf5Cjfs8DA,0,0,5,Ik2sePirMbMx_EzgJlbrtQ
2454077,2017-06-12,0,2iWpS2xe9rBaFAv1CJuz3g,"Professional, thorough, punctual, and knowledgeable all describe my interactions with Oliver and this company.  I highly recommend him and the service he provides.  Based upon the Yelp reviews we contacted him and were not disappointed.  He did a phenomenal job cleaning our grill.  It was truly a pleasure interacting with him and I would consider him first and foremost for any of our future grill service needs and I would encourage anyone else to do the same.   Thank you, Oliver!",mtlIb2aTczsOnonfttJapw,0,0,5,XG0fhiHTMfczj9vgz1OJtA
3068928,2016-05-23,0,2iWpS2xe9rBaFAv1CJuz3g,"Oliver from Memphis BBQ Cleaning was great! He arrived on time and did a tremendous and thorough job in cleaning my 10 year old gas grill. I would periodically clean my grill grates over the years but I could never get it as clean as I wanted it to be. But after Oliver spent a few hours doing his thing, my grill looked brand new! Now, I won't need to prohibit my friends and family from getting near my grill when I have BBQs at my house.",15nMJldtoA7ai5UJehaeMQ,1,0,5,_s0qYVAUnV5hQO_2l9zc4g
3086934,2016-04-18,0,2iWpS2xe9rBaFAv1CJuz3g,Great company to hire when your in need of your bbq to get serviced and polished. What a HUGE difference in my gas grill!!! Thanks so much,O8cXSD0RYbo0gGSLabirnw,0,0,5,EMqudTwBp6BROjceK0ZhWg
3948839,2018-03-27,0,2iWpS2xe9rBaFAv1CJuz3g,Great Service.... Our Memphis wood pellet grill looks great after Oliver's Service.  He's a great person to work with.  Very courteous and definitely gives his all in his BBQ cleaning Sevice.   I would recommend his company to anyone with a high end grill that needs cleaning.... we will be scheduling an annual service with Oliver !,MUq54pwheYDhxbgW1JWd2w,0,0,5,RmPOf6_jqD_IIKeOMnIqMg
4213257,2017-08-03,0,2iWpS2xe9rBaFAv1CJuz3g,Decided to contact Memphis BBQ after reading glowing reviews on a few FB chat groups. Oliver was very responsive to my questions and arrived on time. Spent over 4 hours on our 10+year old grill! Looks great - would use again!,QA30Lo1NlV8SjnkmEkd1-A,0,0,5,LaPm0yoT9gsedeHTZ2Y6qw
5397875,2018-03-21,0,2iWpS2xe9rBaFAv1CJuz3g,"If your BBQ grill needs an excellent spring cleaning don't hesitate to call Oliver. He is an expert on bringing a dirty and old BBQ back to life. 
He spends a lot of time cleaning to ensure he does the best job possible on your BBQ equipment. 
Highly recommended!",7kqw2WS2vW_zLbeggo7Obw,0,0,5,x9LdhjzFKiBvsM0AyiSZEQ
5580367,2017-02-12,0,2iWpS2xe9rBaFAv1CJuz3g,"I called Oliver (based on Yelp reviews) on Friday and he was here on Saturday. He is a professional. He explained what he would be doing and started his work right away. He did outstanding work and now my grill is ""like new"". I have had my grill cleaned before and I know that person didn't do all that Oliver did, yet the other guy charged me almost double of Oliver's final cost. I will definitely use him again and will recommend him to my friends. Thanks Oliver!",j9vih1KD2r-NLlaHfZPkRA,0,0,5,bQfvaQW6-_HFEmx8K2Yr4A
5807122,2017-06-09,0,2iWpS2xe9rBaFAv1CJuz3g,"Oliver just came to replace knobs and igniter...What a great guy.He was on time,very knowledgable.....We were so impressed,we are going to have him come back and clean grill.He said when he is done ...Our 16 year old Island BBQ will look like new....Thank you Oliver...we already see such a difference......Great guy",Nwfnm24xfSelSsJoP7WMxA,0,0,5,4skOhHIaj6VgxboWrYEQPg
