,date,funny,business_id,text,user_id,useful,cool,stars,review_id
90749,2013-10-13,0,3-Bm90nXNtwLFyDtlj9olQ,"SHABU! And the price is not bad too!

SHABU is is 9.99 per person and has to have a minimum of two people for the order. Meat is a decent portion but I order more which was only 5.99 more. SESAME SEED sauce ! Side dishes were pretty good too! Great kimchi!

For sure got to come back and try BBQ",0gcUB8tSeuHh0cAAybInHQ,2,2,4,x2ZdAEbLNSOqS_or1EPRGw
97474,2013-09-13,0,3-Bm90nXNtwLFyDtlj9olQ,"I eat at plenty of Korean restaurants and I never ever write reviews but for the first time, I feel compelled to write one, although, I'll keep it short and simple. I ordered the Shabu-Shabu and was amazed! The side dishes come aplenty and are tasty. The staff are open and friendly. 

You can bet that I'll come back here again and again!",Tz9ZLbOU9Oy47qJOqqWw7w,3,1,5,eu84bP8rVTerTj2sgFjqmg
183621,2013-10-28,0,3-Bm90nXNtwLFyDtlj9olQ,"I came here with my husband and kids. We had Kimchi Chigae, yuk ge Jang and mandu guk. We love this restaurant! Our total bill is $32 - very reasonable price. The owner and our waitress were very nice. We don't live around here otherwise I can see myself coming here regularly  but next time we're in Vegas we'll surely come back. 

Bring this feeling that we're back in Korea!",8NekjyZPZKm8KaCmAAwzcw,2,1,5,cyIljk7GM6RgIxufX74VzA
522795,2013-08-14,0,3-Bm90nXNtwLFyDtlj9olQ,"Visited from California and looked for a KBBQ place in Las Vegas, found this place and loved it! Ordered the brisket plate and was delicious!!! Side dishes were so plentiful...highly recommended for awesome korean bbq =)",Ucs4vy4pIPMRFGvWXNHx_Q,1,1,5,t30vgXngIvYQHElnAjuUGQ
762719,2014-05-29,2,3-Bm90nXNtwLFyDtlj9olQ,"Here is the summary:
Service - awful
Food taste - good
Food presentation - good 
Overall experience - bad
I won't come back nor will I recommend the place. 
Want details? Here it is:
the lady who served us barely spoke english, did not care much or both. I know this because I told her several times not to put noodle in my soup because I am allergic to wheat. I didn't expect her to understand ""gluten sensitive"" but ""no noodle"" should be a no brainer. She still brought a stew full of noodle and I had to fish it out. We waited for a long time for them to bring the food so I did not send it back. As a result I spent a lot more time on the toilette a lot more often that night that I usually do or want to. 
The food was good taste wise I would give it 4.5 out of 5. But overall experience was pretty bad. I wish I spent my money elsewhere.",-Fd1jFXbrn1ezOfs2ShInQ,0,0,1,moPTNV3rCLvP48RMIczOaA
816274,2014-05-19,0,3-Bm90nXNtwLFyDtlj9olQ,"I have no idea why this place doesn't have more reviews. It isn't located  in the best part of town but the food is awesome. My girlfriend and I had the large yook soo bulgogi. It's a large pot you cook at your table which includes beef, noodles and vegetables. We will definitely be coming back here.",OPugRzYgAtB08EcOOmDZug,0,0,5,BwFWs9xT3PP8oeScRye0RQ
1082297,2013-05-25,0,3-Bm90nXNtwLFyDtlj9olQ,"I came to this restaurant a few days ago and I must say, the service was stunning. 

Right when I walked in the restaurant, I was seated in an air-conditioned area and was immediately served with water. 

And as the side dishes came out, I could not stop eating the fish cake side dish. All the side dishes were amazing and I couldn't wait to order a real meal.

When the waitress handed me the menu, I couldn't pick just one dish to eat but as I came with a friend, the waitress recommended the Shabu-Shabu. This dish was one of the best Shabu-Shabu's I had. It was even better than the one I had in Korea! Now that's delicious. 

With the leftovers from the Shabu-Shabu, the waitress came over and made a delicious pot of porridge. I even took some home and my mom said it was amazing too. 

All in all, this has got to be one of my favorite Korean restaurants with great service and friendly waitresses.",VqD16rUsieeHL4-JbnB_qw,0,0,5,y9IKo4LooiUGEw_VRFBw6Q
1250250,2014-09-23,0,3-Bm90nXNtwLFyDtlj9olQ,"I came here with some coworkers, one of whom has a Korean wife, so he did the ""ordering"" for us.   We had a bbq beef hot pot and it was delicious.  The beef and broth were rich and well seasoned as were the assortment of accouterments (kimchi, pickled green beans etc...)

I'll admit I didn't exactly know 90% of what I was eating, but it was all delicious and I thankfully love trying new food. 

The interior ambiance isn't anything to write home, but they know what they are doing in the kitchen and are very affordably priced.  

They also had no problem splitting our check on three credit cards. 

Yum!",G-mC1khkbT2G4nUtvTGjTQ,0,0,4,LgpTUjEUD_Cybau8YSbrXQ
1369849,2014-07-16,1,3-Bm90nXNtwLFyDtlj9olQ,The hot pot and shabu shabu here is great....we tried another place in henderson and I have to say I am pleased with this spot....Our server was great she was helpful with explaining to us about their dishes. We tried the seafood dish and it was awesome.....if your looking for a low key great Korean food place....This is the spot,xna2IPMqi3uK43X6_9Wu9g,1,1,5,PJypvZImUHWaNeLM3f6sYA
1751365,2013-10-13,0,3-Bm90nXNtwLFyDtlj9olQ,I enjoyed the customer service and the shabu shabu tastes greater than other places I have been to. Liked it even more that it was already prepared broth unlike California shabu shabu that was just water. I would say I would come back here again and try some of their other dishes they have.,TnbhutDXrIiyv2XnDCgwww,0,0,5,9zBMueDY_URs7ngoWSDQzg
