,date,funny,business_id,text,user_id,useful,cool,stars,review_id
147278,2015-01-18,0,34PMhyoSQHVd4Lr7slzUcA,"Build your own burrito place. Also has tacos, salads, rolled tacos and fish tacos. Serves beer and margaritas. Kids eat free on Sundays. Just opened and has a nice indoor and outdoor sitting areas.",CzZ7E7TYPJVsj0pXdHxR0g,2,0,5,ZyEYjyvZOp4-a9e-HxF08w
152043,2016-02-15,0,34PMhyoSQHVd4Lr7slzUcA,"I like their skillets for breakfast. The biscuits and gravy is good. I actually didn't like their fish tacos. They're lacking in flavor and the tortillas have a weird texture. They fall apart too easily and they're too mealy? I don't know exactly how to describe it. Service is good. The place is nice, not too spacious though.",PVNopV3nb-EFP8gCfegtkQ,0,0,3,zLz2bpfqQeRauRI5-LiR5g
251740,2017-03-16,1,34PMhyoSQHVd4Lr7slzUcA,Gross! This place is kinda dirty and thier nachos with no meat were almost $10. Way over priced and way disgusting. They had a sour taste and left a weird taste in my mouth. Will never eat there again. I called to get a refund for my nachos and still the manager made me drive all the way back to make sure I hadn't eaten them. Just thinking about this place makes me sick.,uV6-H5zZmGdCOYnOvf5FlA,1,1,1,-KB3lJ27261Oe49xH37FcA
425179,2015-06-26,0,34PMhyoSQHVd4Lr7slzUcA,"Thought I would give it a second chance, should have listened to my inner voice telling me to drive a little further and go to Chipotle. The amount of the meat and toppings is a joke, they use just the corner of the spoon to scoop, maybe a third of the spoon if even that much. There more expensive also, the burrito bowls is more than a dollor more and when you pay extra for gaucamole you expect to actually get an amount you can taste in your food...Chipotle  gives a full spoon! Also for being a new location why does it smell so bad when you walk in, smells like bad chicken.Very let down by this restaurant,won't be coming back.",WzuUE2puwKuP8jnwhomz5g,2,0,1,7F2DhGS9Ih8QW3qPbWMXZA
445353,2015-09-22,1,34PMhyoSQHVd4Lr7slzUcA,"Zaba's food is generally good and I love the little potatoes, but this Zaba's location is poorly staffed and the people are just plain unpleasant.  Unfortunately, this location is close to my office and I come here on occasion for lunch.  It never ceases to be a hassle to deal with the ignorant staff.  So, if you're going to eat at this location, be prepared.  They are so rude it makes the food taste bad.",DfjtztJ01evitFOVx0Pm4w,1,0,2,tznXUTw4-K7W8L-aATLMNA
539357,2016-08-01,0,34PMhyoSQHVd4Lr7slzUcA,First time. I had the shredded beef tacos and they were so salty I could hardly eat them. It was clean and fast service so that was a plus. Probably won't be back.,e86jrDvLSX_ga4f5JOY2PQ,0,0,3,fNjkXPF6ij3NT0N6sKeG9w
545770,2016-03-03,0,34PMhyoSQHVd4Lr7slzUcA,"Place is a dump...staff members are rude and discourteous and they always run out of meats and potatoes, what's the point of all of the options if you never have them? Poor management...",JqKPIlqJ6eWJsNIgDOgoZg,3,1,1,iStvmQ1JfbVmOJgp9M74sA
807879,2015-05-20,0,34PMhyoSQHVd4Lr7slzUcA,"My co-workers and I decided to give it a try for lunch today. Great experience through out the visit. I ordered the fish tacos and boy was I in for a treat, each bite was full of flavor. Good portion of fish with the usual choice of toppings you'd find at chipotle or cafe rio and a few that were new to me. For the most part it may seem like you're in chipotle but I like the way Zabas serves their portions and mix it up a bit. They also have a loyalty program as well!",_ZsLZWxQHCn8bX5tSIY6fQ,0,0,5,4piRU799DRMyorV7rHtexA
816251,2015-04-01,0,34PMhyoSQHVd4Lr7slzUcA,My girlfriend brought home the Zaba bowl for dinner and it was not good at all. It tasted like a bland version of Chipotle. The rice and chicken was also very dry.,OPugRzYgAtB08EcOOmDZug,0,0,1,8_GTLnmXkw02a1Kh_CuHwA
862122,2015-10-10,0,34PMhyoSQHVd4Lr7slzUcA,"I am a HUGE Zabas fan and have always liked it much better than chipotle.  I was so excited that this location was opening as it is less than 5 minutes from my house! I went there very often at first, but it quickly started to decline in quality. The chicken is very fatty and the beans rarely taste fresh. The lettuce is commonly brown and chopped way too large. I was beginning to be turned off towards Zabas completely. Until I was in Henderson visiting a friend and she suggested we get Zabas for dinner, so we went to the location on Silverado Ranch Pkwy and Maryland. It rekindled my love for Zabas! It was so fresh and the chicken had no fat! It was heaven in a bowl. 
So this leads me to believe that the Durango location needs to pay more attention to detail and to ensure that their ingredients are fresh and of great quality like the other locations. I really hope they start getting better because I would love to have Zabas back on my regular list of restaurants!",II-yr2ehRu9a6B-zPKWrvQ,0,0,2,U_YNttsuDkUwLCaC1NwpbQ
888369,2016-02-11,0,34PMhyoSQHVd4Lr7slzUcA,"I don't understand the bf's fascination with this place. However, it is right across the street from our house, so it mainly gets points for convenience. It is extremely over priced, the volume of toppings they give u is laughable. They up-charge for everything. We went tonight (Wednesday-630pm) and they were out of literally all meat and shrimp choices except for carnitas. Also were out of potatoes and had to wait 10 minutes for them. We literally were the only ones in the place. Lady helping us was very rude. Food is decent, but would definitely prefer Q'doba or Chipotle if they were closer. While we were waiting for the potatoes a different lady came out and I decided to order a drink, and since we were waiting so long she just gave it to me. Only positive thing. 2 stars are for convenience (for us) and decent tasting food.",u2kUEnt88S7iumV-3Vdmbg,2,0,2,V0ZUi-pBzUXhiUFNZVRveA
991862,2016-06-14,0,34PMhyoSQHVd4Lr7slzUcA,"This place is great!!!  It's a little bit like Chipotle, but better in my opinion.  They use fried cubed potatoes in a lot of the menu items.  Super delicious and good prices!!!  Sometimes the line is a little bit long, but that is a sign of good food!  Highly recommended!!",uL0-qCTIi21KWQPZZCzmzQ,0,0,5,Jh_Pp-t8RIDOWx2GKbgEkw
1020868,2017-07-08,0,34PMhyoSQHVd4Lr7slzUcA,"The first time I went here it was delicious. The last 2 times it has been awful. I got a chicken quesadilla with burnt chicken and BARELY any cheese. The last time, I did 3 chicken corn tacos. The chicken was nasty again!! It's like I'm getting left over burnt pieces of chicken. My friend did chicken tacos as well and it was the same.The employees also seem to be irritated too. I won't be coming back. The prices went up and the quality went down.",dzu58-1_m1g91ZXYOhmVXA,0,0,1,A9E67Fnvs6to7bdXIzsV4A
1110343,2017-08-26,0,34PMhyoSQHVd4Lr7slzUcA,So many options to choose from... I never thought I'd say this but this restaurant is better than Chipotle! They offer so many mix ins to choose from and the price is unbelievable low. Would give this place a 5 stars if they kept the tables cleaner but other than that this place is amazzzing,X_vTwjLM7JWqkrcsXoNTjw,0,0,4,iatLjx5r0zsDgpHk-gKYHg
1563970,2015-03-26,0,34PMhyoSQHVd4Lr7slzUcA,"Disappointing! I should've left as soon as I saw the old dried up crusty beans, but I decided to give it a try without the beans & I love beans. :( The chicken burrito was not the business & the guacamole was so bland. I will never return to this place.",hdG5J7wGOYgi0mvFy5CKoQ,0,0,1,Up9dVyQ9e5gNHEOyotAfyg
1595888,2015-11-02,0,34PMhyoSQHVd4Lr7slzUcA,"I really like this Zabas. I think I've only been there once when it's been really busy, but my food has always been really good. I prefer this over chipotle because I get at least another meal out of a bowl order. I also suggest trying the queso, or get nachos!",MLGtl2QKtJqDFeWVDGaFzA,0,0,4,2w3eYiMPkq28MfBtnExVxw
1739418,2017-03-11,1,34PMhyoSQHVd4Lr7slzUcA,"I love Zaba's! The only thing that is stopping me from giving 5 stars is that it is a knock off version of Chipotle.

Food tastes good and it is easy and quick to get in and out. Prices could be better but overall it's not a place to complain about!",utjELzlAo2hn6BhJwoypWQ,0,0,4,hI_AGZNiu5wtgTwhuC_Vqg
