,date,funny,business_id,text,user_id,useful,cool,stars,review_id
1202022,2018-06-15,0,3QQdF1RT43sVq2YxeE_iHw,"Everything we ordered was amazing!! Ordered the create your own pie with wheat crust, and garlic knots. The nice thing about this place is they don't charge per topping for the create your own pie. The food came out pretty quickly, and again was really good. Definitely will be back!!",hjmYUAKnJuoWTQdTgF55mw,2,1,5,MLHlYsEQsBv8mIVtiXSupw
1340781,2018-06-09,0,3QQdF1RT43sVq2YxeE_iHw,"We have been waiting for a while for this pizzeria to open, and WOW was it worth the wait!! The staff was so extremely helpful and friendly, they make you feel so welcome and like part of the family. As for the food, the garlic knots are top notch, and their individual sized pizzas are out of this world, we were so impressed with how delicious the food was! Also, I was blown away that they have beer on tap there! I am so glad that this place opened so close to my house, I can guarantee I will be going to My Pie at least once or twice a week. As far as pizza is concerned, My Pie can't be beat in my honest opinion! I highly suggest My Pie to anyone and everyone, it doesn't get any better than this guys!",9u91Beky282E9uSXpRz53Q,3,1,5,f7tqAexS0tFRHPbBw_MsVQ
1401676,2018-06-24,0,3QQdF1RT43sVq2YxeE_iHw,"Staying in Vegas for the weekend to celebrate my b-day. I was looking for something to eat and a fam. member recommended this place. 

The place was very clean and had a friendly atmosphere. The workers there were super friendly and helpful being our first time there and all.

We ordered the pizza your way and a side of garlic knots.
OMG!!!!!!! They were amazing! The individual pizzas and the garlic knots hit the spot. Took a picture of my pizza forgot to take one of the garlic knots. We had dug in already. 

Highly recommend this place to everyone. Thanks guys for making such delicious food.",DXIntD5dOmaZfMrLsOucrQ,2,0,5,XXcg0xx9uMCTGsc12ZWKjQ
1683939,2018-06-25,0,3QQdF1RT43sVq2YxeE_iHw,Yummy pizza! Can't wait to go back soon! Some of the best I've had in a while  oh and even have vegan brownies!,WHLzatBVcQPQM5_SrLqyyw,1,1,5,XPzCRDsm-kBZFdSRrYGnSw
1722665,2018-06-28,0,3QQdF1RT43sVq2YxeE_iHw,"I stumbled on this place while shopping, funny i was getting ready to go to Blaze. My pizza was good. I like all the classic options. My receipt came with a $5 classic pie deal, that was awesome.",ZoyuFvfCVLTO_WEZ_LLhOQ,2,0,5,yo3QYHW8BJVonkdhdZGW2A
2091929,2018-06-24,0,3QQdF1RT43sVq2YxeE_iHw,"My son and I are both big pizza fans so we figured Hey a new place why not try it.  Well I'm glad we did because it was amazing.  I had a pepperoni pizza which was among the best I've had in town, and my son had a calzone which he said was in his top 3 of calzones in town. 
 The staff was very friendly the menu is very simple to use and they make everything right in front you a great experience.  They also have freshly made cookies which were amazing. Great price point, great service, great staff, great food. My Pizza  Is very appropriately named because it will be my pizza place on my side of town from now on.",m1sSPlJi_z1_mCxcN8jZqw,2,1,5,HC3328zHWjJEmsugnVlntA
2137014,2018-06-10,1,3QQdF1RT43sVq2YxeE_iHw,"So happy we tried this new place out! It's in a great location in the Walmart shopping center. 

*Customer service was on point! All of the staff that helped us out were super nice and recommended amazing pizzas! One of the owners,  Richard brought our food out to us & he was extremely friendly! Happy to see good people succeeding! 

*Pizza was delicious! Their sauce recipe is out of this world! Coming from a family of chefs .. the sauce can make or break a pizza! They had tons of creations already listed or you can make your own. Love having the options!
*Love that they offer gluten free and wheat dough but I think a low carb cauliflower pizza would be SO awesome!!!*

*Garlic knots were AMAZING! Usually I don't get any sides and garlic knots aren't my go to but thanks to the staffs recommendation we went for it and were not mad about it! 

 *Beer on tap!  YES! 


Overall, this pizzeria may be like some others in the area however, they really do stand out once you give them a try! Highly recommend!",eICyvIE-ZaXqn9Z2vCVT3A,5,1,5,gYp_EFNOJdnDcYhc3RaOSg
2141296,2018-06-20,0,3QQdF1RT43sVq2YxeE_iHw,Super delicious! Went here for Father's Day and had an amazing pizza experience. Staff was very friendly. Gluten free pizza was bomb!,xFPErN_p_BLB_aacA8IklA,1,1,5,otfQff5t7zAljuegtVaGUw
2414426,2018-06-14,0,3QQdF1RT43sVq2YxeE_iHw,"Fantastic pizza. The garlic knots though... amazing!

The owner and staff were very pleasant and professional.  I will definitely be a regular customer here.",G642VI4bHeOVk_AFdryuEA,4,1,5,guU6vpxl_-oaWyav8qoWcQ
2544451,2018-06-11,0,3QQdF1RT43sVq2YxeE_iHw,"Better than Blaze Pizza. More sauce choices and much better salads. Garlic knots, the New York pizza and Southwest Chicken salad were really good. Plus, if you order a beer or wine ($6) , it's only $3 refills! Staff was super friendly , kitchen looks brand new and restaurant was very clean. Hope they add a TV or two",jsqZ-v7nHO2Mk8pAJNkGoA,3,1,5,q85S-JX-OhmB8LFbsO_I4Q
2700071,2018-06-21,2,3QQdF1RT43sVq2YxeE_iHw,New pizza place in Centennial Hills in the Walmart parking lot. It reminds me of Blaze pizza. Kind of pricey for the kind of pizzas we got. I had the Pesto My Chicken pizza. I was a bit disappointed when they used diced chicken pieces like CiCi's. They don't have a whole lot of toppings to choose from. On a side note: The garlic knots were really good! I would recommend the garlic knots for sure!,VX2ET_olUjvBj2cc6ci_Pw,2,0,4,DU2whYaQ4d8Z-Rc6xjC4xA
2847573,2018-06-13,0,3QQdF1RT43sVq2YxeE_iHw,This place is awesome. The pizza was fantastic and was very tasty. Met the management as well and they are committed to a good customer service experience. Will be back!,83iX9wD2GimbIHk4AvsqYw,4,1,5,aC2EfbIw-ojnRZn0TElBlA
3828675,2018-06-14,0,3QQdF1RT43sVq2YxeE_iHw,"Just opened in our Walmart shopping center in centennial. Instead of driving to Blaze, we decided to give this a try. So glad we did! We were immediately greeted by Dwayne. He was so welcoming. After asking if we were new to My Pie he explained how they work, let us know the favorites as well as his. He made great suggestions which were much appreciated. He's awesome!! Someone else checked us out. Equally friendly. I had 1/2 My Greek Pie, 1/2 Spicy Butcher. Hubby tried 1/2 pepperoni, 1/2  Hot Hawaiian. Both were delicious. The food was actually brought to us. Bonus points! We will definitely come again!",WvanLjQlrp1OBScCI5o4Qw,3,1,5,VY5osFOIVAzx5AUJCuiDEg
4002001,2018-06-23,0,3QQdF1RT43sVq2YxeE_iHw,My husband and I went for lunch.  We ordered the Mamma's Meatballs and the NY Roni pizza.  The Meatballs were very good and the pizza chips that came with them was super yummy.  The pizza was amazing.  The service was also amazing and fast.  We will definitely be returning.,5wwZfgJH7BKhJ_Os1_1xmg,1,1,5,Hs4fcUgOKAr3of07jQp-Cg
