,date,funny,business_id,text,user_id,useful,cool,stars,review_id
4255,2017-01-01,1,3pSUr_cdrphurO6m1HMP9A,This place is amazing so much fun!!! I would recommend for any celebration! You have the quietest people getting up and singing. I love this place will be back again.,WncPRE2uAJ3eQx4MG6uYRA,1,1,5,uDgWTAh9VcfbdtwV1Mukqg
21459,2017-01-17,1,3pSUr_cdrphurO6m1HMP9A,"Food was delicious, best food we've eaten so far in vegas! And the prices are really good. The karaoke was soo much fun! We could have been there all night",AEIBq2ON0QoOKyXNGPvkyg,1,1,5,x7VFMNMPeDrHzbJ4L5p5hQ
36090,2016-04-04,1,3pSUr_cdrphurO6m1HMP9A,"My friends had the birthday party there, thus we went there for dinner and party.  It was fun.  Food is great and people are so nice there.  Fast service.   Pretty clean.  We tried garlic chicken and fried calamari.  We love it.   We had fun for karaoke as well.  We already said we would go back again.",x0U336tR1uW7pX9eFbVshw,1,1,5,l5zt6ZjW1X-49nImg1AnMg
64043,2015-09-20,4,3pSUr_cdrphurO6m1HMP9A,"We love J Karaoke! Great service, great atmosphere, and amazing food! Please order the fried chicken! It's a must! The soju is amazing too!",7dCM4iWcH9Aq6MsxQ12taQ,5,4,5,ha1oTnbPTRufx-8bB5xVNQ
81198,2015-03-07,6,3pSUr_cdrphurO6m1HMP9A,This place has an amazing atmosphere!  The bartenders are not only nice but very attentive. Food here is amazing since it's also part of the sushi resturant DOH. This is a fun place and I can't even begin to describe the rooms! Different themes and all. J karaoke us a MUST!,BA2BWJXE2tcm6Acxn_c4gg,6,6,5,EETfrmipN-G_BZZltLOB1g
91422,2017-06-20,1,3pSUr_cdrphurO6m1HMP9A,I like this place a lot. It's fun to have a private room with close friends or colleagues and sing your favorite songs. The only thing I wish... is that the list was updated. There's more songs in Korean than there are in English. Definitely a place to try out though.,fhP1dgMStsHmHYT0buUBDA,2,2,4,w1S8DD5-3_Xy-RgxEmA0KA
105748,2017-01-29,1,3pSUr_cdrphurO6m1HMP9A,The best!! friendly staff awesome soju awesome food what else can you ask?? Great environment!! shorter waiting time compared to the rest karaoke bars!!,cav3zzrqFQ5oSbmpR2QBWQ,1,1,5,BWI6FepBmFsW5PLCZbyVHw
123706,2016-07-15,1,3pSUr_cdrphurO6m1HMP9A,This is now my favorite place to go! I always have fun here and suggest all my friends to go as well! Every time I'm there Antonio takes care of me! Everyone is so nice and friendly ! 10/10 would recommend.,Y0aoLeItYpydNuA_sBhhVA,1,1,5,08YiZ0iobrq5fCjDpams4w
157891,2017-07-09,1,3pSUr_cdrphurO6m1HMP9A,This is my first time here and this one of the best experiences I've had. Staff are amazing and efficient to serving you. I would recommend this place to all my family and friends. Thank you so much!!!,UjUtbeaw_pjl_DqRcY5qjg,1,1,5,ZMDICia1FkuYVAZ8vZSqeg
206836,2015-09-20,3,3pSUr_cdrphurO6m1HMP9A,The staff was super helpful and accommodating. Their rooms have plenty of space (we had 15 in our party) and we all still had plenty of space. Welcoming and homie atmosphere. Highly recommended.,MYlcWGvBYrCWnY49hIT_oA,3,3,5,Pu-O6HTQQfJLFVBVDZH5sw
251355,2015-07-25,5,3pSUr_cdrphurO6m1HMP9A,This place has a cool little bar up front and private karaoke rooms in the back. Cool laid vibe place with a nice vibe. Good place to bring a group.,tv2-HXtzVBln1-ITIQwv9Q,5,5,5,iEydqROt9z3CsXKXyuc-uQ
263371,2017-07-09,1,3pSUr_cdrphurO6m1HMP9A,"Fun place to do karaoke. Great service. Only con is that parking is a challenge. Other than that, I enjoyed my time. We'll be coming again for sure.",Paw1cSqd3tpRJgh1WbwX2w,1,1,5,y1d42jht9ubvey3Fbw12Lw
336420,2015-03-07,8,3pSUr_cdrphurO6m1HMP9A,"Great atmosphere! Joseph and all the bartenders were nice and friendly. I tried the hypnotic breeze which was awesome. They also sell food! I tried the grilled corn, simple with enough flavor! Def recommend this place to chill out have a drink and socialize!",MmyElvXoYHRSYuBkJ1wDmA,8,8,5,EzdxGPbLWXNdJzM1WRgFnA
