,date,funny,business_id,text,user_id,useful,cool,stars,review_id
160005,2017-01-02,0,3qIFv-MbDoj-gDigpo_FgA,"Wow. A great surprise to see Road Kill Grill at the shooting complex. The brisket was excellent and the mac n cheese amazing as usual. Trey smokes some fantastic ribs, fall off the bone tender and seasoned perfectly.Trey is very personable, great service and was proud of his ribs. Watch out Road Kill 1",JMrY7LUuMUNA6RP9_5S2bQ,0,0,5,z8PsYesifhOIkHqTJxXLgA
355390,2016-12-09,0,3qIFv-MbDoj-gDigpo_FgA,"Today I treated three couples to lunch at Road Kill Grill II.  None of them had been to the Shooting Range before and only three of us had eaten food from the original Road Kill Grill.  Trey, the waiter/manager/do-all guy was fantastic and was very patient with a group of old timers.  We all loved the food, the atmosphere and the great treatment as valued guests. We all had pork ribs, plus one of my guests had the brisket.  All were delicious, which I've grown to expect from the Road Kill Grill.  I highly recommend it to everyone for a fun and different experience.",PQprOY-vpP7dVurzlQsm8g,0,0,5,S9_3gGBwcCNkpxjdS7-ilA
455955,2017-08-18,0,3qIFv-MbDoj-gDigpo_FgA,"If I could give more stars I would!!! Ive eaten bbg all over the country, and this is one of the best...hands down amazing. The ribs, hot links, brisket, pulled pork are superb. Tuesday & Thursdays they have melt in your mouth tritip, so freaking good. My absolute favorite is the baked beans. It's loaded with brisket & tritip meat, onion, jalapeno...you better order extra, you're going to want more. Chuck and his staff are some if the nicest, welcoming people you'll ever meet. Enjoy, you won't be disappointed!",WrN3_iH0mrt0t1E-dETwEw,0,0,5,HQJ2ZDMJewYtBlaFy4oBvQ
941457,2016-05-15,0,3qIFv-MbDoj-gDigpo_FgA,The food here is very good the portions a gave you are great if you want a Down south barbecue feel you need reason will price come here I get to you'll be back,6YCLxe8CWSVbo2IBGxkMPw,0,0,5,XBngZwe-Ck9dtdSQJsL7yA
1141096,2017-10-08,0,3qIFv-MbDoj-gDigpo_FgA,"Small place but very nice, food was excellent! Cheap and delicious!! I got combo with 3 meat and 2 side only $17. Most price friendly BBQ place I ever visited.",_Pac3Y9YbWtipyYdndD5xA,0,0,5,55fU65yQKDB4CPc0IwUmgg
1185161,2018-02-11,0,3qIFv-MbDoj-gDigpo_FgA,"Wow. What a great place. A bit hard to find as it is in a residential area but worth the hunt!  Top notch authentic barbeque. Portions are large, even with a combination plate.   We tried pretty much everything between the two plates and could not finish.",AGyQwZCFVwLGNLJvSAqCFA,0,0,5,t2aVccYA-2wiBIzXpXRt3g
1284104,2017-11-21,0,3qIFv-MbDoj-gDigpo_FgA,The food at this location was decent but deafly not the best that my family and I have had we came on a Sunday because the other location was closed and I won't be returning to this site but definitely will be going to the other location to try their food as I think it will be much fresher,e0v4eYy3R6jPRWio3F6gxQ,0,0,3,cb9dpYc3YYbnKuSd_ME7GA
1326392,2017-08-12,3,3qIFv-MbDoj-gDigpo_FgA,"While staying in North Las Vegas, we searched Yelp for the closest BBQ place and we found John Muir's Meats and Road Kill Grill. 

As we followed the directions on Google Maps, it lead us towards the mountains to the Clark County Shooting Complex. First I thought, Google maps lead us to the wrong location. But it was right, the restaurant was hidden inside the shooting complex. 

The restaurant wasn't much, just a small counter surrounded by a dining area. There were only two guys took the orders and prepared the food. 

We ordered the Brisket sandwich and the rib teaser. The brisket sandwich had a generous amount of brisket and it was very tender. The same can be said about the ribs. Both were delicious and it exceeded my expectations. I thought the BBQ would be mediocre but it was some great tasting BBQ. 

The restaurant is definitely a hidden gem.",isIgfxN4EezltNageG2Tzw,5,6,4,ylr2CXu_thw5stdiQkHuhA
1475895,2018-04-29,0,3qIFv-MbDoj-gDigpo_FgA,I love purchasing our meats here. Their bbq is delicious too!!! This is our go to place to buy meat or chicken. The staff is all friendly and outgoing. I love this place.,iWnLas5SPKZ3k-dEi5cYqw,1,0,5,lk-XM_K0Xm8BpzgtalYEXQ
1476794,2018-05-20,0,3qIFv-MbDoj-gDigpo_FgA,Excellent meat market. The ham steak was delightful. BBQ is good. Pulled pork outstanding.  Great brisket.   Pass on the ribs and Cole slaw. Very good size portions.,3cfX641YMftUBvhON3hHDw,0,0,4,Ml516MRx7SHs_9SroIBdNA
1521458,2016-03-20,0,3qIFv-MbDoj-gDigpo_FgA,"Had the chili cheese fries as a snack while TJ and my wife had chicken wings, fries, mac n' cheese and ribs. Cheese fries were pretty good and TJ liked the wings a lot. Looked pretty good. Good spot to put a small grill at the shooting range because will get hungry and instead leaving the area, they can get food right on the premises.",eaRNhdVlwAEgW-DXi1XUkg,0,0,4,GveWfOfuEcpm5SbLFlyn-w
