,date,funny,business_id,text,user_id,useful,cool,stars,review_id
9820,2015-05-17,0,3rj1qpgFvkRWtAka17mhEQ,I was in love with this place. Until I found a green like bug in my oysters! Made me sick... I still lose my lunch when they send me emails.,QQyfns7yfVObimB8pp1_AQ,1,0,1,-FaykWRJSGia64SkV74f5A
65620,2013-10-07,0,3rj1qpgFvkRWtAka17mhEQ,"I ordered the French toast plate.  It came with egg, bacon, and fruit.  Everything was decent.  Nothing spectacular.  Didn't taste any different than Denny's.",r79QdFrVcIwO4mxNNCjfEg,0,0,3,i_sRKmyXTrFzLj2P38gexg
67520,2016-10-24,0,3rj1qpgFvkRWtAka17mhEQ,"This used to be my favorite place to eat, but lately not-so-much. The portions are getting smaller and the service even worse! Did they change management????
    Tonight I went in at. 6:05 pm and found a parking spot up front because it wasn't terribly crowded. It all went downhill from there. I had a coupon for a buy one, get one and ordered one chicken dinner for here and one to go.  It took forever for my house meal to come and when it did, I was told that was the last of the chicken and was asked if I wanted a menu to order something different for my take out meal. It took another long while to get the menu. She dropped off the menu and I finished my tea and dinner before she ever came back! I was so thirsty! No refills! She finally came back to get my order. I asked if I could have a refill on my tea. I had to wait forever for that. My order came and she asked for my coupon number, which I gave her when she took the initial order. She said she lost it.  I went through my emails in my ""trash"" and tried to locate it. Finally my order came and I asked for the bill.  That took another 20 minutes. I got the bill and asked where the second drink was (you have to purchase two drinks and one entree). That was another 15 minutes... Normally I wouldn't have bothered, but it was $3.29!  All in all, I was there for over two hours!!!  This is the first time in my 60 years on earth that I did not leave a tip!! I may not go back and if anyone asks me, I certainly don't give a recommendation.",WBiBO0wkblwywgiNwVz07Q,5,0,1,99gIm0Ag3-AXv_JJT-hySA
125289,2013-11-03,0,3rj1qpgFvkRWtAka17mhEQ,Used to love Mimi's but not a fan of the new menu in the least. I like new items but to totally re create the menu and not leave the classic favorites seems silly. Disappointed,oM_Jeo-61qfYR7S2-MEUdA,0,0,1,Io8oHcywZ-JF1Lz236DSHg
141441,2011-10-28,0,3rj1qpgFvkRWtAka17mhEQ,"The food here is just ok. It calls itself a French restaurant (maybe New Orleans ""French""? Or Disneyland ""French""), but I think the French people I know would giggle at best or sneer at worst at the suggestion that Mimi's is French. The breads, for a start, are more like cake. The main courses are Americanized versions of French cuisine...pretty stodgy fare. 
The desserts were good (but still American). 
I haven't been back for breakfast or to try the baked goods yet...some reviews tout these as Mimi's forte. Well, I hope they are...otherwise, this restaurant won't be able to hold my interest...",BJOLgnc5gtHlkwhBIqNW5Q,0,0,2,UojsJdvITV8RE4FcYGHxVg
151259,2017-05-14,1,3rj1qpgFvkRWtAka17mhEQ,"The nicest way I can say it is reservations are a challenge for these people. After waiting an hour and a half for a table that we made a reservation for 3 weeks in advance and watching numerous parties of our same size be seated ahead of us without reservations, I came to the conclusion these people don't understand the process of reservations. Standing in the waiting area with 3 small children under the age of 5 all as well behaved as they could possibly be at that age, I was ready to leave if it was not for my pregnant sister who really wanted to eat here. At least the manager had enough sense to cover the cost of our meal for our party of 9 however it took her an hour and a half to realize that our wait was ridiculous.

If it was not for the server who worked 20+ years at the Monte Carlo and was used to dealing with upset customers I was ready to give a review of 1 star because Yelp will not allow a 0 star review. At the least I was amble to leave the restaurant without being upset with the service however it will be a long time before I return here. 

If you do not have the greatest patience I would recommend finding a different restaurant.",1SUPzkUSZ5SeNg4mbtHhXA,1,0,2,DkgCHO2BRXPm4suaARzx1g
197607,2017-06-18,0,3rj1qpgFvkRWtAka17mhEQ,Great food nice atmosphere server Belinda was very friendly and fast even with busy station on father's day most definitely we WI come back again,hJ1FkY66nDv_hGgndaVpFg,0,0,5,lRPyR7IH_vqXbrghHfBsIQ
201949,2012-12-18,0,3rj1qpgFvkRWtAka17mhEQ,We have been there several times. First time everything was great. It seems the more often we go the worse the service is. I'm pretty sure we will not be going back. Bussers busy trying to talk to hostess instead of bussing dirty tables that had been there before we even arrived. Waiter not listening to our order because he was too busy looking around,33W4d-qc4lycQX1yGouSuA,0,0,1,xNHxtlv7ML5Pf2Ts7nlzoA
261637,2012-06-06,3,3rj1qpgFvkRWtAka17mhEQ,"I don't go to Mimi's for over a year, and I come back to a Denny's breakfast?

So, I had been to Mimi's many times for breakfast in the past.  It was certainly not a gourmet meal, but it was always a good place to get waffles and a side of potatoes.  Plus they had fresh-squeezed orange juice that I would always want, but then scoff at the price and decide against.

I hadn't been back to Mimi's in quite some time.  Not sure why.  But when I came back I couldn't believe how different the food was.  It still looked pretty much the same, but I guess the quality had gone downhill.

The eggs were bland, the waffle was bland, and the potatoes that I used to love were awful.  They were too soft and, you guess it, bland.  Plus the orange juice was from a carton- but the good news is they lowered the price.

My husband and I both left half of the food on our plates.  That is highly unusual.

Sorry, Mimi's, but I don't think I'll be back for quite some time again.",ELfzWgdf64VBLi5z1ECItw,5,3,2,UsmFgWmTRuPo_3wD0H677Q
263777,2016-02-26,0,3rj1qpgFvkRWtAka17mhEQ,"$4.99 KID MEALS won me over. Im a family of four with two kids  so finding a place that gives my kids something to eat for cheap is great! You have many options to choose from. A good place for breakfast, lunch and Dinner dates with the Hubby . cheap wines and more.I wish i had one closer",U7WSAi2gRDE15PnjNS58LA,0,0,5,nP0gML10OBpCPcRIDD92XA
294427,2015-11-07,0,3rj1qpgFvkRWtAka17mhEQ,"This is one of my favorite spots to eat, I actually ate here for lunch and dinner yesterday! Lunch was great, I got the Chicken mac and cheese. It wasn't as creamy as usual but it was still delicious. Then for dinner, me and a couple friends ordered for take out. We called, picked it up and by the time we got back home (two minutes away from the store) the food was all completely cold. Kinda a bummer since it is usually so good. We called and the manager comped us the meal, which was really nice. I'll be back of course, maybe just more so to dine in!",7YWkpjUb-YWbfpN7d7sRqg,0,0,4,UQP8teVt8Vc0CNmdSiUIeQ
