,date,funny,business_id,text,user_id,useful,cool,stars,review_id
3779,2016-07-23,1,44kd3YdkhXj5XiSPs5XNjQ,"Omg if you want to go eat dinner for 5 hours then go here, the waitress was so nice but it took 30 min just to get a beer & waited a hour or more to get our food. They need a better system here, it is ridiculous!",Ge7j52ujSiEKMx3q6BXXMQ,3,0,2,9pNe8jRUpt2LGTANqe2dfg
42291,2015-08-17,0,44kd3YdkhXj5XiSPs5XNjQ,Service was terrible waited over 45 min for a pick up order placed 30 minutes in advance of me arriving.,OekdkUakTZR2kfhuZTPvwA,0,0,1,LKKjKWaqqrKnv-BVdc3Pfg
44359,2015-08-31,0,44kd3YdkhXj5XiSPs5XNjQ,Went for happy hour and it was great. Arrived at 4 on a Wed. Seated right away in bar area and service was fast a d friendly. Ordered several appetizers with the drinks. Food was good and everything was on happy hour prices.  Nice setting and atmosphere.  Will definite go back for dinner.,PqcXy4h85VgnguFrdoy6ig,1,1,4,XVu2VHrKgYdg6iwwOsU68Q
49256,2016-06-26,0,44kd3YdkhXj5XiSPs5XNjQ,"I visited this location last week and wasn't impressed. When we arrived I was told it would be a short 10 minute wait and we could utilize the bar until they were ready for us. Well 10 mins had gone by and then another 10 mins. I asked the hostess as she walked by where we were on the wait list and she had completely forgot we were there, we were sitting 10 ft from her podium!! The food was OK, nothing to write home about but the design of hte place was amazing. 

Pros- excellent looking place both inside and out

Cons- Food was ok for the price and the music was entirely too loud. I should not have to be shouting to speak with others that were sitting right next to me.",hM1fZDBLLmDm5xELTOnoMA,0,0,2,uQqNlKUI-UZ285EuLkgRNQ
63468,2015-10-31,0,44kd3YdkhXj5XiSPs5XNjQ,After our first visit our family is now a repeat customer. Food is great. Large portions and reasonable prices. Good customer service. Our waiter came to our table multiple times to ask how we were doing. Highly recommend.,U2mGtvRgKTHbxalQMcWyeg,0,1,5,cUyIGDVGWyh_JBTPacPlyA
64239,2017-07-16,0,44kd3YdkhXj5XiSPs5XNjQ,"Been there two times. 

First time
Service.....was good but the dirty dishes stayed way too long on our crowded table and drink refills took too long. Perhaps the waitress was new. Wasn't too too busy that evening.
 
Food..... I ordered the cowboy T-bone the most expensive steak they had. I must admit I was a little disappointed. It was really mushy. Was cooked ok til I got to the T bone part and it was bloody. Appetizers were really good. Everybody else at the table was satisfied with their food.

Second Time
Service.....Much better, the waitress was on the drinks like a champion and the empty plates were cleared quickly. 
 Food got a rib eye this time and it was much much better.

Overall the place is great and the service and food are good. I will go back to try different stuff.",cBvKyZaacj3ho0dkFJDmpA,2,4,4,HUFPk9DPw4g7t9d_lRySeA
72003,2017-01-14,0,44kd3YdkhXj5XiSPs5XNjQ,"Now open for breakfast. Was very good, and great prices. James the waiter is excellent!",dPUYZK_zvJPl-zFQnoOFnw,0,0,4,iyRBT5BRG0sLHuM_zbHSJQ
79501,2017-03-13,0,44kd3YdkhXj5XiSPs5XNjQ,"First time eating there the food was good but the atmosphere and service was lacking.  Was not busy, dining area had trays with dirty dishes laying around. We had to ask for silverware.  Some tables were set up others were half set up. This place is opened 24 hours maybe it should have business hours like other restaurants of this type.  We felt like we were at Denny's at 4 in the morning.  Don't go there on purpose. Ok place if your hungry and you happen to be by it.",oH-8cdMAikoeQ967oVoGEQ,0,0,3,Vw-6WIQpi0g-gGSx8ZjwEA
82844,2016-06-18,0,44kd3YdkhXj5XiSPs5XNjQ,"We stopped at Fire Rock steakhouse for an early father's day dinner. Five stars all the way. Our server Damien gave us the perfect smount of attention. Both of our steaks were excellent and our sides were just what we wanted. I had the cajun ribeye which melted in my mouth with a baked potato on the side. My wife had the top sirloin which she compared to the beef her dad raised on their farm growing up, the ultimate compliment. Bottom line, we will be back.",upvKwLboHJD1XXa7zW0lIQ,0,0,5,SUIhvXTkYdf6LBEaXYLLTQ
86208,2015-07-17,0,44kd3YdkhXj5XiSPs5XNjQ,"My fiancée & I went on a date night and decided to try something new so we headed to Firerock. I'm glad we went to have dinner there, the service & staff were great and the food was delicious. I ordered the Chicken Dijonaise, it was amazing. From how it looked when it came out to when I took a bite, it is definetly the best dinner I've had in a long time. We plan on coming back soon with the rest of our family.",bpAZDfgd4Xa6BqsaUJ_MpQ,4,3,5,9NzaJTzFvqtsOu_HajiTxA
87481,2016-01-31,0,44kd3YdkhXj5XiSPs5XNjQ,We loved Meagan H!!! Super attentive and great with kids. Best food and service ever.,9oudp-BdcrHMNttn9ZC3pA,0,0,5,_QcESDZL_l23gA6-XYZg2g
