,date,funny,business_id,text,user_id,useful,cool,stars,review_id
121411,2012-01-29,0,45m_xaD3A1saWNjVDahECQ,"I've been enjoying sushi since 1980 and Narita is my regular Sushi Bar here in Las Vegas.  In a nutshell at Narita I get artfully and deliciously prepared sushi made with fresh, top quality fish, large portions at the lowest á la carte price in town. One of the best kept secrets in town if you're a sushi lover!",CZTFg94ONs0oahzxGkcK3g,0,0,5,q30OWLMp_VQ1AqRJk1TMkw
338053,2009-10-22,2,45m_xaD3A1saWNjVDahECQ,"This was a family favorite for years. My first ever mochi ice cream was here and the first time my dad learned that putting the entire blob of wasabi in your mouth was not a good idea. 

I've always loved the quiet family feel of this place. The tables are cozy and the waitresses are extremely friendly. I feel like I am back at my best friend's Japanese home, eating rice and lettuce, and whatever other things, maybe less identifiable, that her grandma has thrust at me. 

The best deal here is the bento box. Stacks of California rolls, beef or chicken teriyaki (I'm partial to beef myself), and shrimp and veggie tempura. It is extremely reasonably priced and you'll have plenty left over for lunch the next day in the days when you're trying to stretch your meals out a bit. 

It isn't the place for a very serious date. It's quiet and in the Target shopping plaza, so you're not looking for fancy here. I think what I love the most about this place is its simplicity. Vegas is full of sushi places trying to top one another in overtly sexual names (including tastes like your ex-girlfriend...SERIOUSLY? NOT A NAME TO BE ASSOCIATED WITH SUSHI) , over stacked rolls with extremely complex ingredients and combinations. 

This will always be my first and last sushi stop when in Vegas. It feels like home.",BMEmpeosi4LfwRlAMgtjbg,4,1,4,3NsH7rN4dfwDlJtjJx40uw
661207,2012-05-04,1,45m_xaD3A1saWNjVDahECQ,"Sushi is my favorite thing on earth to eat (well...maybe it's neck and neck with chocolate).  They better have sushi in heaven or I'm not going.  I'm not much for raw fish, but there are a million kinds of sushi that are not raw (trust me you sushi neophytes).  So instead of sashimi I usually order rolls and Narita gives great rolls.  My favorite is the Japanese Lasagna roll (doesn't taste at all like lasagna).  Their's is the best I've found.  I like the service.  I think it's run by the owners.  The woman who usually waits on us is sweet.  It's a small place but clean and pleasant.  I just haven't had anything there that wasn't excellent!  P.S.  I've had the same experience that another reviewer had with the tea cup ""floating around the table"".  And it doesn't seem to matter which table we sit at.  Maybe the place is haunted!  Probably with the ghosts of ancient sushi chefs!!",-YgKh-vSmcTp2FtlEdI2xQ,0,0,5,h7xbrP2OL7qj6E5RhYv2TQ
733806,2006-08-16,0,45m_xaD3A1saWNjVDahECQ,"This place is OK but pricey.  I went for lunch by myself and ordered the cheapest thing on the menu.  Total bill with tip was $10.  However their prices are typical for Las Vegas sushi restaurants which I consider too high.  I moved here from San Diego and I'm used to tasty $6 lunches with a large variety of dishes to choose from (not a lunch special) and a large sashimi plate for $11 which runs around $18 here in Vegas.""",xYzw29-nx87mpVmGagvdLQ,0,0,3,YfFVUGFBueKSfK2aDWalQg
841856,2013-03-29,0,45m_xaD3A1saWNjVDahECQ,"CLOSED.

Howard left this place and I dropped by today to check out the new owners. The business was empty, no chairs, no tables, no kitchen.",pdxCzGBtV8zFJEyaKCRGAQ,0,0,1,f_4ndIkN1Q2fqnnfreNOZQ
991484,2009-07-15,0,45m_xaD3A1saWNjVDahECQ,"Hidden in a Target shopping center, this small restaurant is one of my favorites since the year 2000. This place has the best shrimp tempura in town. They do not have all you can eat but a couple of rolls will completely satisfy your hunger. They are not frugal with the ingredients. Most places overpower your seafood with large clumps of rice. Not at this sushi restaurant, the rolls and nigiri definitely has an awesome ratio of seafood to rice. Make sure you try the dragon, rainbow, yum yum and philly rolls. The soft shell crab is also a definite winner. Try this place and I am confident that you will not be disappointed. I would have to agree with all the reviews. FIVE stars!!!!!!!!",HRyFtrmf19GTKEM_kOa2pg,0,0,5,VW0ekRardhv8KkXxfe4ptw
1249626,2012-02-27,0,45m_xaD3A1saWNjVDahECQ,"I drive over 40 minutes to enjoy the quality of fish they have. Howard, is always willing to make whatever roll you desire. I have yet to find another sushi place that even comes close to the quality and size of the rolls. I HIGHLY recommend the Narita Airport Roll. I continuously brag about this place and take several Narita newbies there; No one is ever disappointed.",h3mjYpVfR08eJnQ2PTMfqA,0,0,5,erf2T0O6ed0qrBTC3nQuow
1576842,2010-07-26,0,45m_xaD3A1saWNjVDahECQ,"Unusual rolls - deep fried salmon wrapped with fresh cucumber - are reason enough for me to go back again.  The edamame was a bit al dente, which I don't think it's supposed to be.  I wonder if there's a word in Japanese that means the same as al dente does in Italian.  I digress... each of the 3 sushi rolls were delish & huge!  The Summer was the one I described; Alaska was fresh with tasty tuna and avocado; and a third was also a crispy salmon.  We had no problem communicating with the waitress, which seems to be an issue in other posts.  The sushi list doesn't go into detail, so I just asked her what certain rolls were and she told me... no biggie!  Def a place to try again.",jNI9GYFHzInokLpoZ_OPBA,1,1,4,vNVO2I7q2S3U-43lHoGyGg
1947220,2010-08-27,1,45m_xaD3A1saWNjVDahECQ,"Just went here for lunch with my boys and we were not impressed although there were some good things.

The tempura was pretty good and so was the Alaska roll and the salmon and yellow tail sushi and sushi mi, I also really enjoyed the yellow tail cheek.  The spider roll was dry and the soft shell crab was way over cooked and had a slightly burnt taste.

The toro was gross really chewy and tasted like red meat ew!   One of the boys (who doesn't like sushi) got the chicken katsu and it was dry with a yucky dipping sauce.

All up it was $88 before tip, way to expensive for what we got and then we had to go to Wendy's to feed the non sushi lover!",or9VwGPVMkBPS1ReXcg6kA,1,1,2,zkQ6RfqZsF8vvF_Q_CfYHw
2143830,2012-03-21,0,45m_xaD3A1saWNjVDahECQ,This is a small restaurant that appears to be run by the owners.  My husband and I go there often and have always been treated well.  The japanese lasagna roll they make is the best I've found here and in Southern California.  My husband likes their tempura udon soup and claims the maguro tuna is fresh.  This has become our 'go to' sushi place.,0ZOt5C0H0HgOIJ3fBj361g,0,0,5,GrPkzqoNkX4rvxvZcY8UvA
