,date,funny,business_id,text,user_id,useful,cool,stars,review_id
16567,2011-11-02,1,4khsN1eXcWR0YYmROlLEzw,"I just did this jump on Monday my birthday and it was great!!!  I would do it over and over again if it was cheaper. 

I don't know what people are talking about the staff was great I have no issues with them.

The jump itself is awesome standing at the edge of the platform is an amazing feeling. I do agree with some of the people here it's no free fall like sky diving. But if your considering sky diving and don't know if you have the guts try this first you will soon be jumping out of a plane trust me.",WCXUhMH914LjTOI_lUwefQ,2,0,5,t86Ewj0Z2pwYaDq2IyJa3A
57584,2015-04-15,0,4khsN1eXcWR0YYmROlLEzw,"I would consider myself a bit of an adrenaline junkie. Growing up, I always loved roller coasters and anything to do with  heights. My husband, however, not so much. Okay not at all. When I heard about the Skyjump at the Stratosphere, I knew I had to do it. My husband said maybe, but I figured that was a no. I called in advance and made a reservation for both of us.  We got there about an hour early to check it out before jumping. They have a gated off area outside where you can watch the other jumpers. We watched a few then went to check in  they said we didn't have to wait the hour until our appointment and could go right away. Great! We got geared up, and the employees were very nice and answered all of my husbands ridiculous questions. No- nobody ever died. No- nobody ever got smacked in the face by a bird. I really thought my husband was going to back out. We got to the top and I jumped first. Whoooo what a rush! It's definitely scary jumping out the window of the 108th floor but it was a thrill and over before you know it. It's very controlled. They stop you before you get to the bottom. Theres no flying around back and forth like bungy jumping but rather you are connected to cables on both sides and they slow/stop you. My husband was next and he surprisingly jumped. After it was over he said he had a great time and was glad I talked him into it. 

The jump is a bit pricey but it's worth it. I would recommend.",lVFTHojtpTMYic5XsFTfQw,2,1,5,tYSNO-vIeFLEJXb0tp13ng
68806,2011-06-15,2,4khsN1eXcWR0YYmROlLEzw,"I recently went skydiving and so after that I was on this adrenaline rush. I immediately thought what else could I do to fulfill my need for excitement and thrill? Then my sister told me about Skyjump, she had recently done it and said it was fun. So I decided to give it a try. You must call and make reservations ahead of time. The lady on the phone was very nice and informative. The price is $99.99 just for the jump, but if you are a local, it's only $80. $80 is definitely not that bad. So I booked my skyjump and on the day of my appointment, I was pretty excited but after skydiving, I thought it'd be a piece of cake. Boy, was I wrong. It's probably just me, because everyone laughs at me when I tell them that I was more scared of doing this than skydiving.

I waited about 15 minutes after my reserved time, but I was ok with it. They harness you up and they weigh you. Then you take a walk to the elevators, they take you up 855 feet up. At this moment, I was still ok, especially because my pride takes over me and I must not act like I'm scared, ever. You wait in line to go into a small glass room... that's where you jump from. You can also see the cable line inside of the room. There were 3 people in front of me and I didn't watch the first person jump but I decided to watch the second person jump. That may have been a bad idea. From down below, it looks like the jump is quite slow, but from watching it right in front of you, it's pretty fast. I was still OK. Then, I decided to walk to the glass and look down. BAD IDEA. The 3 people went and it was my turn. I went into the room and they double checked my harness, took a few pictures and then they escorted me out to the ledge. Oh, it was also quite windy that day so that didn't help my fear. The guy told me to grab onto the rails on both sides and walk to the edge and put my toes off the edge. I looked down, AGAIN, BIG MISTAKE. But, there's no turning back at that point. The guy holds onto a strap on your back and counts you down. He lets go and you kind of just lean forward. The initial drop was terrifying but after that split second, it was fun. It is a pretty fast drop and you get to the bottom in a blink of an eye. My hand was shaking uncontrollably when I got to the bottom but I also had a huge smile on my face at the same time. The view up there is great and the wind blowing, the air, everything was like nothing you'll ever feel. The thrill is fast but I definitely thought it was worth it. I had a great time and if it was cheaper for second timers, I'd definitely do it again.

I recommend this for both tourists and locals looking for a thrill in Vegas.",0vDhTzPuthUI_34EUH6v_Q,4,2,5,njigIUj2-6zgNZ1xOPjL0Q
91412,2016-11-23,2,4khsN1eXcWR0YYmROlLEzw,"My review may be a bit bias as I am the face of Skyjump. But every time I've went there, the staff was extremely helpful and fun. They walked me through all of my questions patiently and did nothing to incite anything but excitement, which was wonderful. The hardest part is the decision to jump. DO IT!",fhP1dgMStsHmHYT0buUBDA,2,0,5,syiSS63x9qCW4UqBFd2t1w
179850,2011-10-01,0,4khsN1eXcWR0YYmROlLEzw,"I decided to do this on my first day in Las Vegas so I didn't have all week to chicken out.  I walked in at 11am on a Monday and was told the next available jump was at 1:15pm.  Not too bad of a wait for a walk in. 

When I returned for my jump, I signed my life away (I shit you not - the waiver releases them from their own negligence and gross negligence), paid, and made friends with the guy in line behind me for moral support.  My husband wanted NOTHING to do with this!!!  

I've read a lot of complaints about the people working here, and it is a bit of a cattle call.  However, Joseph was the one responsible for getting me ready to go and I have nothing but good things to say about him.  He was friendly and chatty, keeping my mind off what I was about to do.  Once he got me into my harness, I was double and triple-checked by other employees.  This is the rule.  Nothing goes unchecked.   

Once up top in the glass room attached to the jumping platform, a safety line was attached.  Then the super friendly people working topside double checked everything again before I was led to the platform.  They turned on the camera that was attached to my wrist, hooked up the main line, gave me a countdown, and I jumped.  Full disclosure.....I had to close my eyes to jump.  There is no way I could have done it after looking down from that platform!  Once I jumped, I opened my eyes and couldn't believe how great it was.  It felt like about five seconds before it was all over, but it was really 17 or 18 seconds to the bottom.  By the time I landed, I wanted to go back up and do it again with my eyes wide open the whole time!

The other complaint I've been reading is about the static video camera with no sound.  I paid for the wristcam DVD which is a few bucks more.  It's strapped to your wrist when you suit up, they turn it on for a quick greeting, and then it's activated again at the top shortly before you jump.  It has full sound and you can direct it wherever you want before you jump and as you fall.  Definitely worth it to prove what you did.  I've made everybody watch mine since I got home!!  Total for the jump and wristcam was about $125.

All in all, I loved it just to prove to myself that I could do it.  Now I feel like I can do anything.  Skydiving is next.",dGoFfJ72EOqJxLzMTWBobA,3,0,4,kdoELE0uOxMJVygy0iDsuA
206806,2011-08-16,1,4khsN1eXcWR0YYmROlLEzw,"If you are an adrenaline junkie, don't waste your $100... pretty boring. Spend an extra $75 bucks and go skydiving. Skyjump is boring.",QgwmAJe4Qw7HixZRWhboeA,1,0,2,bNWz9TLcMpSKNcUGWZoknw
207315,2011-06-05,1,4khsN1eXcWR0YYmROlLEzw,"the only other time i will say this to anyone is at their wedding before they say 'I do"": DONT DO IT!

i was expecting this jump to have the same excitement/experience as base jumping.  unfortunately, i had more fun watching the fountain show at bellagio.  this jump is very similar to those rides you see at fairs & other amusement parks; where they hoist you to the top, release you & you swing back & forth for awhile.

this is at the stratosphere hotel in las vegas, so there's always a surplus of adventure-goers who want to experience this ride.  definitely call early to make an appointment (good luck showing up & getting a spot).  once you get there, you put on your suit & watch jumpers ahead of you on a tv screen.  then you are taken upstairs to the actual jump site.  this was the only point in time when i got real nervous; only because when you get out of the elevator, there are hundreds of tourists & spectators watching the jumps & muttering phrases like, ""you gotta pay me to do that"" or ""can we jump drunk?""  jumpers are then led into a tiny room, one by one, where they're given last minute instructions, then led to the 5-foot ledge (or plank) before they take the plunge!

the actually ""fall"" itself lasts what seems like 10seconds; its very quick & controlled.  when you initially jump, you feel like youre going pretty fast, but the cables eventually slow you down as you approach the landing zone.

if you're afraid of heights, but too scared to go skydiving, this is probably good for you.  on the other hand, if you've experienced real freefall out of an airplane, you'll yawn all the way down.  $100+ for the jump/dvd/photos just isn't worth it.

wanna experience excitement while youre in vegas?  bet your life savings on red & let it ride!",rb3no_vWBPHn4gq2zstxxw,2,2,3,JdVNoH8_pkkD8vgdW--3rg
252292,2010-06-24,3,4khsN1eXcWR0YYmROlLEzw,"If you're an adrenaline junkie, the SkyJump at the Stratosphere Casino and Hotel is one of the great attractions of Las Vegas. Where else can you jump off a building to the ground 855 feet below?

It's not a true freefall like a bungee jump or skydiving, but it's plenty fast, and it's amazing to stand with your toes over the edge of the platform like a pirate about to walk the plank. The circular target far below looks really small, and remains looking small until you're almost at the bottom. 

At the SkyJump store near the bottom of the building, you're asked to use a locker to store any loose items in your pocket or elsewhere (even including a wristwatch). You put on a jumpsuit and are then fitted into a very snug harness. A worker leads you to the elevator and accompanies you to the top, where you wait in a small ""holding pen"" for the jump. When your turn comes, two ""jumpmasters"" check your harness, hook you up to the cable, ask you to step to the edge of the platform, and do a quick countdown to the jump. I was impressed by the conscientiousness of the jumpmasters. After you jump, the feet-first descent is over all too soon, and you end up at a padded landing site just outside the SkyJump store.  Most jumpers remain standing, while a few (including me) fall to their knees on the pad.

Technically, the jump is called a controlled descent or decelerator descent. The jumpmasters attach you to the end of a very long cable, most of which is wound about a large spool. The spool is cleverly constructed with a variable radius -- mostly large, but dwindling to a small radius at one end. As you approach the bottom, the last part of the cable to unwind is on this small section, and that's what slows you down at the last moment. Also, the spool is attached to a fan-like mechanism; the air resistance of this fan limits your top speed to about 40 mph.

The web site refers to a short ""safety lesson"", but I never received that. Fortunately, it didn't seem to matter.

The brightly colored jumpsuit seems unnecessary, but it makes you a mini-celebrity from the time you leave the store to the time you make the jump. There is usually a crowd of onlookers around the SkyJump area on the 108th floor Observation Deck, and they often ask questions as you're waiting your turn. It's also fun to eavesdrop on the comments from onlookers.  (""These people are crazy."" ""My Lord, I'd never do that."")

My only complaint is that $100 is a little steep for such a brief experience. (If you want a DVD or various other souvenirs, the price is somewhat higher.) Of course, the excitement is not just in the jump itself, but the anticipation of the jump as you get ready and as your turn approaches.

Most people jump promptly at the end of the countdown.  Occasionally, a jumper freezes and takes a bit of time before making the plunge.  About one person a day ""chickens out"" altogether. 

There is a weight limit of 275 pounds.  Because this includes your street clothing and the jumpsuit and harness, your body weight shouldn't exceed about 265.  If you're close to the limit, don't indulge in too many all-you-can-eat Vegas buffets before jumping.

The Stratosphere is the tallest building in Las Vegas, and easily visible from most places in the city.  After doing the SkyJump, you'll think about it every time you see the Stratosphere in the distance.  As the plane was taking off this morning, I was looking out at the Stratosphere and thinking, ""Cool -- I jumped off that building last night.""",VSawRuZLeBAKeyIYXBY5xQ,13,5,5,ruyr6b3u3irXrKwFqj3EOg
330224,2011-05-03,1,4khsN1eXcWR0YYmROlLEzw,"There are already some good descriptions of the experience such as by Lucy Y and Meg B.  As such, I will try not to duplicate a lot of that information. 

Back in the day, I did a bungee jump from a height of 140 feet off a bridge.  Despite the height difference, I would say that I felt more secure here due to the apparatus you are in which seems similar to parachute equipment.  For the bungee jump, I was just tied in by my ankles.  Also, the team here put you through a series of activities and questions before telling you to jump on the count of 3.  It was a natural progression to the end of the ledge and to jumping.   On the bungee experience, the people who strapped me in just talked between themselves and when they were done just told me to go to the edge and jump.  As such, it allowed me too much time to think about the pending fall.  Finally, there is a much longer ride here allowing you to shout that you are King of the World, do some Superman poses, etc. on the way down.

Don't get me wrong.  You are way up there (855 feet) on a ledge with the wind blowing and going against your protective instincts. Just focus on something like a building in the the distance (don't look down) and jump when they tell you to.  Enjoy the ride!",vwUankfKzAwk8sLM_QTEyQ,2,2,4,uyotmhSi4LlOCRZ08y6Fjg
366599,2012-04-23,9,4khsN1eXcWR0YYmROlLEzw,"Is my life worth the $109 to jump off of the 108th floor of the Strat?  

I'll need to remember to hold my left arm up after the jump..... in case someone on the ground wants my watch.",l-3u90M46tO9bqE_Dt9kAQ,2,3,4,8YnSVmExx4vnRwt8SpzUHg
379422,2010-08-21,0,4khsN1eXcWR0YYmROlLEzw,"I was the only one in my group to even attempt this crazy adventure.  Located very, very north on The Strip, it is somewhat of a pain to get to, though riding any of the buses will get you there.  Though reservations were not necessary, as I just walked up to do it, it is somewhat recommended in order to accommodate certain times.  Luckily for me, there was slot an hour from when I purchased my jump so I walked around The Strat playing the floor while I waited.  Some might not be so lucky.   

One of the very nice things about the process is that the staff allows any fence-sitters to view on the tv, behind the counter, the current jumpers and even allows them to head outside to the landing pad to watch the whole ordeal.  

As I made my way to the jump, the staff checked and double-checked my straps for the jump suit and to ensure I am in the appropriate weight limit.  

The staff went step-by-step the procedure of the jump and eventually leads you out to a platform overlooking The Strat.  Then they let you jump/walk off.  Though many nay sayer would complain of the ""control"" of the jump, it was actually very fun.  The strap and connectors only regulated the landing and allowed free fall for a majority of the way down.  

My only real complaint, and initial point of hesitation, was the price of the jump, but it all turned out to be worth it.  It's definitely something different on The Strip.",rIaFYAT3-lV7f0OSQPRVhw,2,0,4,VxV4kxX2AVxDPLt-PATNsQ
388659,2016-04-13,0,4khsN1eXcWR0YYmROlLEzw,"This was a great experience! All the people working there were fun and efficient.  The only name I got was carla's, but everyone was awesome.  I could hardly wait until the count of three to jump!  Try it!",pn_WwFsdCtwU_foG65UFhQ,0,0,5,GMJVPBYjOajL5oYqaHyhBg
435194,2011-10-30,0,4khsN1eXcWR0YYmROlLEzw,"A must do once!!! The thrill is sweet and if you are scare of heights, you will get over it once you've you!",TwP0LrVhxGXeNpUruf7XQA,0,0,4,La4D1fWI9yYgDkpkUumJtA
498565,2012-02-27,0,4khsN1eXcWR0YYmROlLEzw,"Not a bad experience but not a WOW one either given the cost. A friend convinced me that we should just check the box...so we did. The initial jump is the fun thrilling part then when the cables kick in it's more of a zip line feel than a free fall. 

We made it fun and did random commercials all the way down. Probably fun 1-2 times but after that could get pretty boring. If you're up there you may as well take the jump but get the wrist cam and DVD to capture the moment.",6GRUihlKGbM8hLCgtyNOXg,0,0,3,30EASuj3wWWL4GAtGzYePg
505525,2017-03-05,0,4khsN1eXcWR0YYmROlLEzw,"After being out on the strip all day, my group of friends decided to face our fears and take on the challenge at Sky Jump. As soon as we walked into the room, the vibes were ugly and none of the employees smiled or greeted us- instead they wore frowns on their faces and seemed too exhausted to work. We were told that it was closed even though people were being checked in and being changed into the suit for the jump. We left and went back a few minutes later, asked a different employee for service and received awful customer service. We paid over 600 dollars and was kept on the side line waiting for our jump. Other customers AFTER us were being taken for the jump before us. After waiting a ridiculous amount of time, we asked for a refund. All the employees rolled their eyes and rudely told us we were unable to get a refund. After discussing how we waited way too long, had others taken for the jump who paid after us and how we were unhappy with their customer service. We ended up being reimbursed for the jump and I am glad we did not go. I feel that the workers would have not secured us safely because they were unhappy with their life at Sky Jump. Please get better employees, I am absolutely not recommending this store for any future travelers and tell them that the guest service is awful. If I can give zero stars, I would.",DWVs5Pthw3D_HcGDfg6Gig,0,0,1,swia_Bdw7-5fOKolNHGcvQ
584623,2017-07-09,0,4khsN1eXcWR0YYmROlLEzw,"Well i was so scared, but the crew members take care of you so well that you relax and enjoy more your jump. Try it, the only  harder part is when you are already on the top of the tower and u have to jump lol",RazbauFkaV1S2i3TbyWdtA,0,0,5,h-sZ5pCuUvfuAHjOqw3EFQ
676673,2015-07-24,2,4khsN1eXcWR0YYmROlLEzw,"So this review is based off of the entire experience. I had no reservation and was able to tag along with another group. The staff that I had were great, they were very accommodating and had great personalities. The actual jump itself was very tame. Very cool standing out on the 108th floor at night but as far as excitement goes not anymore than a roller coaster. Still had a good time through.",JWa7VMsZwEc9NBWE3irTjQ,1,2,4,XeefYAILiXhtxZPFtGRn8A
681801,2015-11-12,1,4khsN1eXcWR0YYmROlLEzw,"Only three stars because the fun jump is only part of the experience. The number of people at any hour is crowded, but that's okay. The signs are confusing though. Go to the ticket counter, and be sent upstairs somewhere else. Go to the conveniently placed desk right next to a sign of the sky jump...nope not here either. Get directed to the sky jump shop, minus the signs to get you there. The people running these stands are quite rude, maybe there would be less congestion if the ticketing made sense. Worth it, but show up early and be prepared for people who don't like their job or you as a customer",UZ4sHcl15xfWbrPb8aAt3g,0,0,3,SJJlypW5FCwQImgYRGAhAA
687041,2015-05-26,0,4khsN1eXcWR0YYmROlLEzw,"My wife and I jumped of at midnight on our last night in Vegas. We wanted to do something really memorable and this was what we chose! I have a mild fear of heights , lol , but I figured I could handle it. I couldn't look like a chicken in front of my wife could I ? I decided I would go first, if I didn't I was afraid I might be taking the long elevator ride back down by myself! To my surprise I stepped off when they commanded ! At first it's a little concerning but when you realize it is a controlled fall you relax and enjoy the ride down. After I survived, it was my wife's turn. She's not scared of much so I wasn't surprised to see her jumping soon after me. She was so excited. It was a fun way to end our week in Vegas!",s2cv6JHHYOStHhUvjkaqVw,0,0,5,NtbJqDTUEYdT8fPO3bIi-g
784403,2010-06-22,0,4khsN1eXcWR0YYmROlLEzw,"So first of all, this review is just to give a little advice to those interested in going. I did not actually get to jump...which was a bummer. 

I was going here with some of my buddies and ready to kick of my bachelor party weekend by throwing ourselves off of the stratosphere, good idea right? So...we did not make a reservation due to the fact the staff advised us one day prior that it should not be a big deal and they would not be busy...wrong. So after coming back 2 hours later we were ready to go. Got all suited up with jump suit and harness..woooohh!! They then took us to the top floor, platform area. We had watched a couple people jump and were getting amped up! Then...the jump operator came out behind the enclosed area and said ""so it is too windy and we have to close the ride, you guys can wait if you want but we don't know if we will reopen"". So after getting all amped up we were given this bad news. Got taken back down, took off all the gear and got a full refund. Spent a total of 3 hours of our day trying to do the jump and got shot down...

I know weather is not anything they can control, but you might want to check the wind/weather report before going. We actually had checked the weather report but it was much more windy up top than we had expected. I hope I will get a chance to actually take the jump one day....",VDlhp1yGgGtwzraQ7sXOEQ,6,0,3,qwt1cMcDPnoedCMOvt8csQ
