,date,funny,business_id,text,user_id,useful,cool,stars,review_id
82423,2017-04-14,0,5O7qB4gNmr3NgdYAuYbP4Q,"brandnew. spicy!!

Die junge Familie ist sooo stolz auf ihr neues Restaurant und das mit Recht. Authentische Küche mit interessanter Würzung. Eine nicht so große Karte deutet auf Frische und tagesaktuelle Zubereitung hin. 
Ein Tandoori-Ofen ist natürlich auch vorhanden. Das Lokal im Oberstock ist einfach, aber gemütlich eingerichtet. Indische Musik macht Atmosphäre. Uns hat das von der Inhaberin selbst entworfene Logo gleich angesprochen.

Herrlich das wunderbare Naan-Brot, auch die Vorspeisen kreativ. Es gibt täglich ein günstiges lunch Gericht, und Fleisch und Fisch nach indischer Rezeptur.  Insgesamt speist man hier preiswert. Auch die Desserts entbehren nicht einer kreativen Note. 

Viel Erfolg der jungen Familie! Und den Besuchern viele schöne Geschmacks Erlebnisse. Ja, und das mit den leuchtenden Augen stimmt auch!",M1PbFiAPdoE6P7RJIPa5GA,0,0,5,6DUmwRClM0WpO1Odcm75aQ
83247,2017-05-21,0,5O7qB4gNmr3NgdYAuYbP4Q,"Highly recommended lunch place!! 
I saw some good reviews and stopped here for lunch. For lunch they have pre-fixe thali options, we tried the Chennai and Lucknow thali. Since this more of a South Indian restaurant, do highly recommend the chennai thali. Lucknow was good too but no match for the chennai thali. The chicken curry in the thali was really authentic, I live in New Jersey and there are very few places here too which have such authentic chettinad curry, not too spicy just perfect. We ordered extra breads which were fluffy and soft. We also tried their Lassi(flavored yogurt) and as in most Indian restaurants these days you have the mango lassi option , but they also have a strawberry option which was really good.",hFrx_x3x1QD8Gl7F3rOuMg,2,0,5,rcWFlYShbokUNwHixfMZuQ
133882,2017-05-27,0,5O7qB4gNmr3NgdYAuYbP4Q,"I am going to start by saying my husband I came here and we were very hungry and excited to try a new Indain place with great reviews. We tried so hard to give this place every chance and they just kept under delivering and showing us they did not care about the customers. With a total of twenty customers in the place and most who had food when we arrive we simply do not understand why the service was so bad.We arrived for lunch around 12:30 and left around 2 unsatisfied. 

Around 12 we arrive. It started out okay we sat down and the woman set our flatware and water glasses. She brought out a carafe of water and our menus and left. No red flags yet.

About 5 minutes later she came back and got our drink order of a mango lassi and chai tea. We got those around 15 minutes later and she left. Did not even ask us if were ready to order. (red flag 1) So we flagged her down a couple of times and she kept pushing us off. (red flag 2  and 3) She kept telling us she would be by soon but she never got close to our table. Around 30 minutes later she comes by to take our order of two Kashmir Thalis.  

Around 15 minutes after we finally ordered we got our cold food and no naan. The naan took 5 minutes extra to come out room temperature.  Not 1 dish was hot or even warm. The Chicken Tika and Lamb Rogan Josh are typically hot or at least warm. Not here they are both room temperature and salty.  The greasy cabbage? dish was also room temperature. Rice was room temperature. The Ratia was cold which is normal. The Halwa was also cold but 90% water and 10% rice. I did not realize Halwa meant watered down rice pudding but at Indian Curry House that is what you get.

Despite all this we were both hungry as we skipped breakfast and we still could not find enjoyment here . So we ate enough to tide us over until dinner.

After we finished eating we sat for awhile and since the waitress never came to our table we walked to the front to pay. She was in a phone call taking an order which took another 5 minutes. I am not upset about this because someone has to answer the phones. I am only upset about bad service and cold food. The bill was 28.12$ before a tip which was smaller than my standard 15-25%. 

We wont be back and we recommend any of the various Indian places in town over this place. You can get better food and service at any of them

On the bright side we are going to have lunch at a great Indian buffet tomorrow which always has hot food and good service.",Kr8GVDf5UupHTozB0em_fg,1,0,1,PjYp5JUgEMLfIjPB1xGM0w
194090,2017-09-01,0,5O7qB4gNmr3NgdYAuYbP4Q,This restaurant opened about 4 months ago and I went there last week to have dinner. It's off the strip but the food is authentic and made fresh but very good. I would definitely recommend this restaurant for Indian food in Las Vegas.,ZjvldsBtKVlnN0ZY2x9ZZA,0,0,4,4gd440clZdQ9_gLPDAL38g
229685,2017-04-20,0,5O7qB4gNmr3NgdYAuYbP4Q,"We were suggested this location after searching for new Indian Cuisine in the Las Vegas area. The location was easy to find in the heart of China Town. The establishment was clean and well kept. We were greeted by the owner almost immediately upon entrance and seated. Although we live Indian food were not well versed in menu items. The owner was more that willing to make some very tasty food suggestions. We had the Bhaji, Mengu Vada, Chicke  Masala and Roganjosh. All of the good was fresh and flavorful. I would definitely return. Thank you for wonderful pleasant and courteous service.",j3aPbkcqof7AXl8tM1QAlQ,1,2,5,ziBXW_yVAOVTTLQxqVQl0Q
395104,2017-06-19,0,5O7qB4gNmr3NgdYAuYbP4Q,"Awesome food .. and Rama is such a nice lady. 
I was a visitor in Vegas didn't expect such great Indian food.",OqCbF-T5PoVNsallIujzkQ,0,0,5,dT5UIXl5ZrDBhz3B3SesfA
502067,2017-08-01,0,5O7qB4gNmr3NgdYAuYbP4Q,Service is very very bad and slow. Better take time when you go there. The food seems good.,eDJSaz6S_rSjBLRbEE1A_w,2,0,1,T-2ZdLfwj_MV4kdOZM8shg
739528,2017-05-30,0,5O7qB4gNmr3NgdYAuYbP4Q,Thali and Biryanis are good. They serve it fresh. I would suggest this restaurant.  Don't rush to get service fast for good food.,yT5v5XOeYXFaB9OvjEIJYQ,0,0,5,uf1KkBUTlOMyiNd-ixW3dw
746018,2017-06-24,0,5O7qB4gNmr3NgdYAuYbP4Q,"Tried this restaurant today, service was delayed but was worth waiting. Would have given 5, just because of wait giving 4.5.",Q-U8qZbRC45W7gPoEDLRfw,0,0,4,kt_tfeKQey7jGdXykkVJ4g
786727,2017-06-05,0,5O7qB4gNmr3NgdYAuYbP4Q,"Food here is excellent like home cooked food!!
Had Chennai and Kashmiri thalis and both were good. Chicken Briyani was delicious. The server was very friendly and provided good service.",Pr0-tSSBEhoK9WK1-k_UTA,0,0,5,bxvKCBhh8IcOwEi_LjciNA
978003,2017-10-05,0,5O7qB4gNmr3NgdYAuYbP4Q,Ordered 2 dosas and chicken biryani. Both of them are the worst food I have eaten. Biryani is extremely spicy and chicken had bad taste. Dosa Is saggy and no taste. Should not have visited this place,aLGjIgM3Dz3S1gssHL91lw,1,0,1,6nbWzBaGc9J9tQSK3JZdKA
