,date,funny,business_id,text,user_id,useful,cool,stars,review_id
80923,2014-01-10,3,5XORYO9raiXVZSGGPvjSmA,"Also, if you like being sent threatening emails by the person that you wrote a review about...this is your place for sure!!",oKdHwp7l2J1cCTVqccMwUw,4,2,1,IwU5jfiU9wd1_mrjHEWMag
85599,2013-07-25,1,5XORYO9raiXVZSGGPvjSmA,"I can't describe how much I dislike this place. Why can't I describe it? Because I've never been allowed to eat/drink here thanks to the staff.

Twice I came in. Twice I waited for 15 minutes with not so much as a glance from the bartenders. Twice I got up and left without even seeing a menu. 

I can't believe that they allow this to happen at a place of business. I get you're a ""local"" place, but I'm a local. I live in your area. Why don't I deserve your business?

B-Dubs is on the other end of the parking lot, and their service is a lot better. Shucks is down Durango and their food is great and their service is better. Timbers, which I regard as a pretty low-star experience in the Centennial area, would still get the nod from me over this place for no other reason than they acknowledged my existence. 

Don't waste your time, and don't give them business. If zero stars was a thing, that's what they would get.",On07LboilFAEaDARXKOQCA,7,1,1,t4baI6NcHG92yEo72SkF6Q
107381,2014-11-27,0,5XORYO9raiXVZSGGPvjSmA,"The food is good but the service is terrible, if you aren't the ""cool crowd "" you will be neglected",gNLc1atcn7jw9jxvHbDvKw,2,0,2,l3EsGhJjZg-hH4isn5-r4Q
193509,2013-09-13,0,5XORYO9raiXVZSGGPvjSmA,"This place is a joke. Matt the overnight bartender only caters to his regulars. .. he is very unprofessional.  He almost started a big riot. Me and my friends are never coming back here. There's at least 4 bars that I passed before getting to this place. Go somewhere else if you want my advice, somewhere you're getting your money's worth.",brvJFrUXWf8UrzQH2i6hIA,0,0,1,ZF3ZGIfjvtwJ8vc_XhxOPw
238860,2014-08-22,5,5XORYO9raiXVZSGGPvjSmA,In Vegas there's is very few bars that pour Guinness correctly! This is not one of them.. feeling annoyed.. What a disgrace to Guinness drinkers,nv-LSmnBJqpS7-7VnMY7nw,1,0,2,g6sKPVBXn7slxfWj_n28wg
505292,2016-06-06,0,5XORYO9raiXVZSGGPvjSmA,"My husband and I are regulars. If we don't go there for the inexpensive but delicious wraps, chicken fingers, or nachos, then we're there just for a Guinness and the brownie sunday. There's a separate room seating area from the bar and the seating area in the bar area has cozy seating and a fire place. Definitely would recommend, haven't found anything bad there yet.",7q_ZgUgiLWvljIrHrYLRGg,0,0,5,jKwyVQdoCThKhdAHWdcTtg
890889,2015-11-20,0,5XORYO9raiXVZSGGPvjSmA,"Have been there quite a few times before & the food has been pretty decent. Tonite, however, they really dropped the ball, food was terrible, order was wrong. Ordered 2 cheeseburgers and mild chicken fingers to go. Got home & was disappointed immediately that we got wings instead of fingers. I don't mind wings but the fiancée hates them. More importantly the burgers were horrible, the waitress had asked how we wanted them cooked, we ordered medium, they were very over cooked& obviously pre-cooked. Cold & dry, & we only live 3 blocks away! Could've went fast food route if we wanted dried out, cold burgers! Although conveniently located, will not get food there again.",N3gsPECruGRZB9bVEE16pw,2,0,1,fgkjGfTWN6EZna4UEW51lA
904006,2016-04-28,0,5XORYO9raiXVZSGGPvjSmA,Get it together ask for shot tequila she tells me she has to many liquid to say sorry fix it,BCz_15gFrt2RZNXlAohO0A,1,0,1,cR6btKcfzHpi62td3PzJkg
1069012,2011-09-10,0,5XORYO9raiXVZSGGPvjSmA,"This place sucked ordered a pitcher of bud light  beer it had a white plastic in the middle to keep the beer cold but the beer was warm more like to give you less beer  2 1/2 glasses of beer to a pitcher really  we ordered the captains plater was told it had fish shrimp calimarri and fries she showed up with fish shrimp and hushpuppies and fries  I guess she didn't think we would notice 
Final total 70 bucks for 1 pitcher of beer  4glasses  of wine and one captains basket what a rip off",HBilN4X8V_YIk3vgG5FDUA,5,0,1,f__V9GP-b3LFD2Irkv5nOQ
1195609,2015-08-30,0,5XORYO9raiXVZSGGPvjSmA,"Love the outback cafe great hidden place to eat in this overcrowded northwest area. There's no a lot of options on Durango and this place was a nice change of pace. We tried both breakfast and lunch both times the food was extremely tasty, served hot and delicious.",vhDYJW-twPVYqJKy0o5pIA,0,0,5,eRfZXDLczWlhMFuIQEZbxQ
1285428,2016-04-28,0,5XORYO9raiXVZSGGPvjSmA,the black haired female bartender working today sucks!!! worse service ever. stay away!!,i3wAhlJCGMeHhrq0-jK7gg,2,0,1,eyBHzPlYJ7ML_fKttQCQIw
