,date,funny,business_id,text,user_id,useful,cool,stars,review_id
56343,2016-07-23,0,6-lmL3sC-axuh8y1SPSiqg,Love this place! And love taco Wednesday! If u want awesome fresh authentic food this is ur go to place for sure!,GugXgb02_0OIhY0gfw4Ftg,0,0,5,k8ZbsTJRT2UwWurYL0vZOw
233910,2015-03-05,0,6-lmL3sC-axuh8y1SPSiqg,"Good food can only be enjoyed when they actually give you what you order. 2 of the 3 times I have been there they have forgotten a significant portion of my order. Just now I waited 20 minutes in line to pick up my called-in order, only to get luke-warm food that had been sitting on top of the fridge and was missing one of two entrees. 
They've lost 2 customers today.",TdKUXZMkQn0T7c5FqBOq8w,0,0,2,PBqVpEM8GYh3ee1Mtm-uTA
342818,2016-05-21,0,6-lmL3sC-axuh8y1SPSiqg,"I enjoy eating at Roberto's on Lake Mead before.. After a while the customer service started to suck.. Giving you the combination while ordering the Ala Carte.. And one person during the day is always talking about the customers and calling them 'Penche'.. wow.. I always hear this guy talk down on customers thinking they can't understand spanish... I don't look spanish but I do understand... The food is still good, but men that guy taking the order during the day is bad.",kvk1XK4jsclzBQB5YZOveA,0,0,1,vObTbhl4ez5rSWQTfGADgw
376077,2015-06-17,0,6-lmL3sC-axuh8y1SPSiqg,It is authentic! Go for the carne asada.... I like it in burrito form! And a large horchata....,89jyGlrPsoHF074gqtIbXQ,1,0,5,gG0U0H5dHR7HokuZwQsbFA
522380,2012-05-30,0,6-lmL3sC-axuh8y1SPSiqg,"Luv there chicken tacos, as long as they don't fry them to long. My boyfriend luvs the carne asada burritos. We also tried the rolled tacos, they weren't to good reminded me a lot of the frozen taquitos you would buy at the store.",6v4Mb2bKRY-FKr5so9ORhw,0,0,4,CbdJV3TGPpdiaqXZ0YmI0A
585015,2017-06-20,0,6-lmL3sC-axuh8y1SPSiqg,This location is my favorite.The carne asada burritos are the best here. The meat is cooked fresh and the portions are big. The restaurant is always clean and the service quick. I eat here at least twice a week.,IyFC1V-bH971zp5bXc-KGA,0,0,5,pQgBj38i8ECK0EMvGOIJLg
595972,2012-11-08,1,6-lmL3sC-axuh8y1SPSiqg,"I'm a noob to this place.  I had no idea it was a franchise until I looked at the back of the carryout menu because inside it kind of looks like a hole in the wall.   After seeing the words ""Taco's 24 hours"" in the window I thought, ""I'm in the Southwest and this is a taco place, go now.""  So I did. 

Beef taco and Chicken taco, 10 minute wait, tray table full of condiments from pickled hot peppers, carrots, green and red sauces.   The taco's?  Oh my sweet gracious underwear.  Never had any this good in Michigan.  

The peppers were huge and the heat and flavor were balanced so nice.   I went back 2 more times while in this area.  Wednesday was 99 cent chicken taco day.  The other items were ok but tacos (especially the chicken) were where it was at.",HrQJwl2KXSMTfsS69MhFNQ,2,0,5,tlza3UmeAH--GeVH0InnQA
612443,2017-08-13,0,6-lmL3sC-axuh8y1SPSiqg,"I went to Robertos after church and ordered a Torta, I specifically asked for NO ONIONS, even the little girl next to me repeated it to the people behind the counter. I hate onions from a bad experience as a child! And I really feel like they put extra on the Torta just to be rude! I had to have my granddaughter help me pick them off. What an awful experience all around",nVwk06LHbdsM-_oCXVqAAQ,0,0,1,FGpAD5ilid-cHtyfqM5a_g
639029,2015-12-17,0,6-lmL3sC-axuh8y1SPSiqg,Roberto's has been a mainstay to the Las Vegas Valley for decades. I've never been disappointed. Quick good food.,ZT0_w63rI25IC1h7l6_WTg,0,0,4,7jVkP9TD_rJqpO4uTwfFVw
645582,2015-11-13,0,6-lmL3sC-axuh8y1SPSiqg,"Attention now serving food poisoning, fake mexican food, need to be shut down. Pls stay away. I just bought a burrito in the the couple hours into the day started throwing up  there are better Mexican restaurants around the valley do not waste your money at these crappy Ass  fake Mexican food joint. The cooks behind the counters probably don't give a shit and they'll serve whatever they probably don't even give a shit about proper food handling stay away from these places trust me",KMH-O9u_uLdHYTqnFuLzZQ,0,0,1,2dF8Tw5HdAiCj94t_hyxQQ
