,date,funny,business_id,text,user_id,useful,cool,stars,review_id
9536,2014-10-24,1,6H8xfhoZ2IGa3eNiY5FqLA,"Idk why they get such a high rated for such a dishes. maybe they never had real Japanese Italian. They smells very bad and most of dishes too salty. They might trying to sell drink thats why it was so salty....  some seafood also smelled and they are trying to kill refrigerator smell tp use extra garlic and pepper, but still smelled. 

We had family came from Cali and we checke yelp that they wanted to try such a high rated Italian dishes. But it was just such a disappointment.",1w-pL71BflIk0Jo6Tj3cYg,0,0,2,qzhHwuTtUafyqkPIUvhlHA
9856,2015-01-08,0,6H8xfhoZ2IGa3eNiY5FqLA,"food ordered: miso pasta

food: this is like a japanese/italian fusion restaurant.  waitress said that the japanese influence gives the pastas a broth-ier base. flavor of the pasta was ok... more of a creamy miso.  unfortunately my food came out a bit on the warm to cool side, the rest of the food orders came out looking like they were pipping hot. 

service: waitress was sweet and informative, gave us plenty of time to decide what we wanted.",i8A2gJfUIJPGFvzbFhg6Tw,0,0,2,SfFavhZbqTxjQkw0VLp-og
10736,2014-03-31,1,6H8xfhoZ2IGa3eNiY5FqLA,"Growing up in an asian family, mum is always making pasta with soy sauce or something asian. 

This place gives that a whole new meaning, using uniquely japanese ingredients with italian. 

We ordered the uni(urchin) tomato pasta and the squid ink pasta. Both were nothing less than amazing! 

Often, pasta can get a little sickening and oily, but not the ones from here. 
The urchin was creamy and fresh and works ridiculously well with a tomato based spaghetti. 
The squid ink was strong and flavoursome with fresh seafood, loved it!

Maybe I'm biased because I'm asian, but this place is like every asian mums pasta on steroids. Gonna have to up your game mum...",7fuDB6C0Eyxom9rjOMiscA,1,1,5,j86GDxR82nwEaBKpNs3t5Q
15697,2016-02-03,0,6H8xfhoZ2IGa3eNiY5FqLA,"A friend recommended this restaurant and we weren't quite sure about it at first because there was no one in the restaurant when we got there at 6:30 PM.  We decided to Yelp it and saw that it had great reviews so we decided to stay. We're so glad we did. EVERYTHING was delicious! From the bread to the salad, entrees and desserts, everything was spectacular. We had squid ink pasta, Kobe style skirt steak, and the linguini and clams pasta. We finished off with the dessert trio. Yummy!!! 

We will definitely come here again and again! We think the restaurant is not in a prime location to get the business it deserves! We came in on a slow night for them and we hope that it was just an off night with patrons for them.  We HIGHLY recommend this restaurant!! :-)",W-CgbYGYqAb_f4he--ED1A,1,0,5,u0Ghjby7IPtcM2aipXnbBA
18686,2011-12-29,0,6H8xfhoZ2IGa3eNiY5FqLA,"The restaurant was nice.  Friendly group of people.  Had the beef carpaccio, I've definitely had better, the slices were  thick, but not high grade kobe beef that melts in your mouth type of kobe.  The fetti was good but matched with a basil leaf, poorly done, since the basil leaf didn't match with the sauce or the fish eggs that well.  Overall, decent, but with competitors like Raku and Monta and Big Wong in the same plaza, its hard for this restaurant to shine.",mV8HEfJ6npKIxwU7UVZ_nQ,0,0,3,HinIn3hICfb9PysJC_8nag
19055,2014-02-02,0,6H8xfhoZ2IGa3eNiY5FqLA,"We originally planned on eating at Roku but they were booked solid so a quick read of Yelp reviews made our decision about Trattoria Nakamura-Ya, and we're glad we did. The food was AMAZING. We even ordered a squid ink spaghetti for the table just so we could say we tried it, and it was delicious. I would certainly come back again and recommend this Italian Japanese fusion to anyone.",IK43-WEh5moXpEdRT8rLpQ,0,0,5,iFAmWZVnsYgP7eCbbgnKlA
19959,2017-12-22,0,6H8xfhoZ2IGa3eNiY5FqLA,"My favorite restaurant in Vegas so far, don't miss it! Always liked Japanese-Italian (a combination of two great cuisines), and this place was particularly good. We had 
the snow crab salad - a lot of real crab meat, 
the Linguini ""Uni"" Tomato Cream - so flavorful, even though sea urchin is heavy but the tomato cream balanced it out and made it amazing, 
""Kinoko"" Creamy Meat Sauce ~Your choice of pasta - refreshing but with great balance of beef and tomato, 
Soymilk Panna Cotta w / Okinawan Black Sugar - the black sugar tasted AMAZING.",kZDHtr8x4asoqwu0Wkub8Q,0,0,5,a-k4G6gxW35fJZVjyqrYIQ
72508,2015-07-26,0,6H8xfhoZ2IGa3eNiY5FqLA,Stopped by for a quick lunch. Happy hour at 2pm every day!  Had the fried oysters. Delicious. Soft shell crab appetizer. Delicious. Uni tomato cream linguini. Delicious. Will definitely come back!,6AbAJalvtI_Lcsy-wSRpGQ,0,0,5,TjlCVimtCfWtq9GIIdXvsg
218387,2016-11-09,0,6H8xfhoZ2IGa3eNiY5FqLA,"My husband and I tried Trattoria today based on yelp reviews. Honestly, Trattoria Nakamura-Ya deserves the 4.5 stars Yelp indicates. We had the Pasta A meal option that came with an appetizer, a pasta and a drink for one flat rate. The garlic and almond sauce for the calamari as as an appetizer is to die for! We tried the Spaghetti with mushrooms, onions and sausage entree. It was delicious! 

Next time we're in town, we're definitely are coming back AND I would recommend them to anyone who loves Italian or Japanese. The fusion is a brilliant idea! 

Jenna and Rachael were also attentive and positive! Thanks all!",s_EPlOSs845zv-qryG_O8A,0,0,5,NpTuNINjPvrDrCAfgZEphw
251051,2013-05-24,0,6H8xfhoZ2IGa3eNiY5FqLA,"Fantastic! Being Japanese myself, I'm very familiar with the flavors of Italian-Japanese cuisine. I find that it's more calorie friendly than traditional Italian food and requires higher quality ingredients. This place was spot on. Ordered a few dishes and loved all of them. Great staff, very attentive and sweet. I'll be back soon.",Meg3aAhrHc9ZaUJL7WLmEg,0,0,5,X3EkQLawoSvGYuRWoIuJEA
