,date,funny,business_id,text,user_id,useful,cool,stars,review_id
4063,2017-03-08,1,6HdzmAatFoB8UDep4n9QIw,"Joined them for national pancake day. Walked in and was lucky enough to get a table right away. Our waitress came by to offer drinks and we ordered the free pancakes at the same time. Restaurant was full with a wait growing shortly after we got sat. We started to notice tables were walking in and getting their pancakes under 5 minutes while we sat there for 20 minutes looking around. Noticed I didn't see our waitress, stopped the waiter walking by  and asked him about our waitress, when still no one came asked another waiter Ansiem for the manager. He asked how he could help and when we asked about our waitress and our order, he went straight to the kitchen grabbed our order, delivered and apologized for her leaving without notice. He continued to check in on us and made sure we were okay. Thanks to Ansiem he made our experience the best we've  had at any ihop location.",3Pv_rjPLE7p6mALjtKKyDg,0,0,4,ocpWvLrQbksUubB9CRX-SA
86474,2015-04-07,0,6HdzmAatFoB8UDep4n9QIw,Very good restaurant.  Management and service is outstanding.  Food is very well prepared. I recommend this IHOP.,x-IMCiS9SBrnm8mD1WIeMg,1,0,5,FFzD3ARDo6SJJ9V744aZFA
116966,2014-11-13,0,6HdzmAatFoB8UDep4n9QIw,Awesome waitress late night. Memorized our order... Got it down to a T.. And super nice.,R2UDgsb8MD8XtiWYLp8ljQ,0,0,4,rSTqdV-l37SsNeEBFsKM1w
372241,2015-08-01,0,6HdzmAatFoB8UDep4n9QIw,"Minus 5 stars way over price, wi fi turned off.  $11.00 or higher for an olmlet but they'll toss free hash browns BFD and any add on will cost you even more.  IHop used to be a fun place to have a meal no longer offers you that joy.  I would say don't waste your time eating at a IHop it's a wasteof money and your time.  There are better places that will cost you less.  I ordered the egg and pancakes the pancakes were cold the butter was still frozen and the over medium were so done they were like eating rubber gloves.",N28-3OIEDtsgfTiQQzm7Ng,0,0,1,_7cwFM0sIukx7aNP823nuA
513877,2016-08-10,0,6HdzmAatFoB8UDep4n9QIw,"This is the most awful cruddy inadequate restaurant I have ever been to. I say here 10 minutes before asking what I want to drink, after taking my order I did not receive my drink till 20 minutes later. It's not that's hard to have costumer service and if you can't fucking do you're fucking job then don't work there. This is the worst dining experience I have ever had",rIXX1Bq9T-EfhrHYsnmq6w,0,0,1,PN9TwhJuxoLhli9-mF1s6Q
541156,2016-01-03,0,6HdzmAatFoB8UDep4n9QIw,The worst.  Breakfast is always served cold or lukewarm.  Happens all the time.  Always disappoint never satisfied with the food,OqHKYFDspu3-cLcb4QquMg,0,0,1,ZhtXgLaqvWewYn-VzgEmBw
562258,2013-09-30,0,6HdzmAatFoB8UDep4n9QIw,"I do not believe I have ever wanted and almost did dine and dash on IHOP tonight. Perhaps breakfast is much better than their dinner. If I wanted instant mashed potatoes (that needed more water) and Kraft mac n cheese...I could have simply made this from home. Almost 3.00 for black coffee, that was rip number 2. The food was simply horrible and the prices were ridiculous. Seriously a quick cheeseburger from anywhere and a coke would have been much more satisfying and a fraction of the cost. Never again...",6unrV-TH4GQs_9g9BSqKtA,2,0,1,Ug4WCLIrD7DxKGGsWZg7vA
653095,2013-12-13,0,6HdzmAatFoB8UDep4n9QIw,"FYI about yelp check-ins at IHOP. I checked in for breakfast today. I ordered my usual, egg white veggie omelette. If you check in on yelp & order an omelette, you can't redeem the free order of hash browns unless it's printed out!!!! Why bother??? :/",vPJ2viVSZ2761UMxYMqwfQ,1,0,2,l1VTO2fapNIWJ7vVYhpqyQ
741668,2013-11-28,0,6HdzmAatFoB8UDep4n9QIw,I came to IHOP to reminisce some of the good times ahead of the child was looking for an international Pancake such as the Swedish crepes but unfortunately I was disappointed and realize they had none of the International crepes on the menu anymore. I guess that's why they went to IHOP instead of its original name International House of Pancakes. So I had a basic breakfast scrambled eggs pancakes with maple syrup and bacon. Definitely let's cook fine and the service was helpful but again I read it at 2 because of the lack of variety and what set them apart from other Pancake House is in the past.,NDWXMczMOcR20febmuM88w,0,0,2,GEIGgeo0ZxyO1mZ6HdXvAQ
832146,2014-09-06,3,6HdzmAatFoB8UDep4n9QIw,"I used to love coming to ihop in the night time.. Breakfast for dinner. Me and boyfriend were craving steak and eggs and pancakes so we decided ihop. We get seated and there was probably two more tables occupied and then a group of 10+ that obviously just came from a football game. 
Our waiter (didnt get his name) started to take our order and I got steak and eggs with chocolate chip pancakes. I asked for my steak rare and he interrupted me saying ""uh are you sure?"" And I said ""yes. I order my steak rare all the time so I know."" And he just stared at me. 
He brings us our food and I cut into my steak and it's medium well done. My boyfriend hauled down another waiter and told him the steak was medium well done and I asked for rare. He takes it and gives it to our waiter. He then comes back it's going to take ""3 minutes"" to get it right. 
Ten minutes later the table behind us walked out because they didn't get served or checked up on. The table of 10+ also walked out because no one took their order and they were there for at least 20mins. The waiter then comes back with my steak and I notice it is THE SAME STEAK I had before! Just more cooked so it was really well done!! I try to get his attention but he is in the corner texting on his phone! He then comes back and I tell him the problem. He says ""the first steak was rare."" So we were just going back and forth and then another ten minutes later a lady brings out a new steak. I cut into it and oh my gosh it was dark purple rare as like they just seared both sides for a second each. And it was cold inside. We just left. 
I can understand if this waiter was swamped with tables and tables but he wasn't. And who doesn't know how to cook a freakin steak?! Disappointing.",jXAUlTxzp27pOPaINXlc8w,3,2,1,T2GzvRdjhg_rq3Wo2NRXkw
