,date,funny,business_id,text,user_id,useful,cool,stars,review_id
14144,2015-11-11,0,6V_7ldr9tjmet0BdAnC34A,"The show was amazing and the food was great. Coolest thing we did in Vegas and for the price to include dinner you can't beat it! I want to personalize this with a thanks to our food server J.T. and to the manager of the show Paulette for the excellent customer service! Definitely a must see for all ages, especially since I'm 32 years old! Thanks again Excaliber for an unforgettable experience!",Gd7-bcIGuPFBHTHLcne9Vw,1,1,5,ZUgHukiUNJsOVzD1w7SusA
31633,2016-07-15,0,6V_7ldr9tjmet0BdAnC34A,"Show was great, food was ok. They give you a large portion of food and the horses were amazing to watch. By far the best show for the money in Vegas.",gIWWSnPgXl6SaIWniJHtyg,0,0,4,bcK0j-VCWSsmTQvWuITZ6Q
50678,2016-12-19,1,6V_7ldr9tjmet0BdAnC34A,"We attended for the Holiday Dinner Show (12/17/16) and were disappointed. The food was particularly low quality. From the soup to the main course, it all tasted as if it were prepared with indifference, The soup tasked like off-brand grocery store fare. The biscuits were dry and I've definitely had better from Bisquick. The show was fine, but the food brought down the whole experience.",LJYX_FxiaudA38sZ9bY8bg,0,0,2,bKBeTnwU_9rboH7fBkerMg
78038,2016-01-09,0,6V_7ldr9tjmet0BdAnC34A,Super fun - eat Cornish hen with your hands! Shout for your team. Witness mortal combat! Great for kids! The food is cool - you really feel like you've been transported back into medieval times.,lHpwRa5XopVu8KsNX9ilMQ,0,0,5,UxxRvEECQRKxuzwgkB_xrw
82457,2014-07-21,0,6V_7ldr9tjmet0BdAnC34A,"They do a really good job replicating the midevil times. The food is good, over all it's a ton of fun. the charecters really get you involved in the show.",_RvB691pEHN3NqaTdgycdw,0,0,5,jkfgAhVK7iCpkyRUr-Zx0w
89406,2013-03-18,0,6V_7ldr9tjmet0BdAnC34A,I was pretty surprised how good it was and the price was definitely worth it. One of the better shows I've been to in Vegas.,PTy5ZfBiwBe_hW3PCJkGjA,0,0,5,Ptbe0peFw99yj1rAvUtzxA
118752,2015-06-04,0,6V_7ldr9tjmet0BdAnC34A,"A group of us went to this dinner show last weekend.  While it is not a Cirque Du Soleil show, it was a lot of fun.  The food was okay - it is not a gourmet meal - but it is fine considering the price also includes the show.  We enjoyed it.",Ivpqn79ECxQ4cfrzxAR6rQ,0,0,3,e7-fDWiuUzr2F4daoPRidQ
126580,2015-07-17,0,6V_7ldr9tjmet0BdAnC34A,Food was good. Entertainment was fantastic despite the hokeyness. The actors really interacted with the audience. Recommended for families,AXysg9gS9Cbeu8ywwM0GBQ,0,0,4,677sxyHbFhTwsjaLKeXWng
131083,2015-06-04,0,6V_7ldr9tjmet0BdAnC34A,"Wonderful show and food! Very impressed with the caliber of food. And ya eat with your hands! How fun! I took our 2 teens, 14 & 17, they loved it!",uBTXcNoHzYQzU8HYxa3ETQ,0,0,5,NyDPzhn208gapOEPmWgDdg
133035,2010-08-11,0,6V_7ldr9tjmet0BdAnC34A,"This was a great show!
The show features jousting, pyrotechnics,  sword fighting, dancing, eating with your hands and cheering for your country. It's cheesy but very entertaining. 
If you're a horse person you will be amazed at what they do. The horses are around explosions, and have people jumping on and off them, and gallop at full speed at other horses while jousting and they don't even blink. Whoever trained them is very talented.
Our server Bernie was nice and the dinner was tomato soup, a cornish hen, broccoli, potato wedges, a roll, and an apple turnover that looked like a Mcdonalds pie. It was just okay.
I give Tournament of Kings four stars. If you want to see a relatively cheap and fun show, go see it.",aDMWjbpdVrSdp3m3eJ_XCg,1,1,4,NG4tZC05pBQ5dwNc5iBGQw
137716,2013-03-03,0,6V_7ldr9tjmet0BdAnC34A,"The show was more than what I had expected. It was funny and the action was good. There was something missing when it it came to the story line for the show. Some more continuity would have been better. 

Now for the food, I asked and received some  vegetarian food. Ravioli and some bread and soup. The soup was very good, the ravioli was alright. I ate couple of pieces and left the rest. 

The show was worth the money I paid for it which was around 30$.",os1LmI0kZFZ8Y1yUWAPXlA,1,0,3,8OIVZIGVliN35ZsYPhFz8g
139602,2010-06-16,1,6V_7ldr9tjmet0BdAnC34A,"I'm the first to mock the whole Renaissance faire thing, but this show was awesome.  I was stone cold sober and had a great time.  You're obviously not going for the food so I'm not going to bother repeating what everyone has already said about the game  hen, lack of utensils, etc.

The show, on the other hand, was entertainingly cheesy.  They very smartly divide the crowd into countries (and Dragon) so that everyone has a 'king' or 'czar' to cheer on.  I was 'Irish' that night and fortunately the Irish king was pretty hot so it wasn't hard to cheer him on.

I was surprised at how caught up I and everyone else got caught up in the whole show.  It's not like you can't figure out how it's going to end, but it really was very well done.  I was particularly impressed with the choreography, they clearly spent a lot of time practicing to make it look as realistic as they could.  

It's a little pricey, but if someone were to treat me (again), I'd go back.  Huzzah!

I",MGgVFzNlMPGxqUHREhdiPQ,1,1,4,Bq2Izvd916XjRFiYmYFY2Q
153540,2012-12-21,0,6V_7ldr9tjmet0BdAnC34A,"Had a fantastic time! Fun entertainment, kinda cheesy, but what do you expect. Food was good. Dragons Blood soup was awesome! The chicken was dry but tasted decent. I wish they served water along with my soda. I would go again. Best part was taking a picture with King Arthur afterwards. Very cool",rbg-7RcncQ_GTQht-dBRGw,0,0,4,QzurCstPGSZrW1elqXBEvA
184572,2014-10-01,4,6V_7ldr9tjmet0BdAnC34A,"We got free tickets to this show so it was worth the price. 

The show is out dated and not what the Hubs and I expected. We wanted more fighting and excitement, but it seems this show is geared towards children. They do their best to get the audience involved.

The food... Meh. Guess feeding 200 people at one time wouldn't be easy. The tomato soup is great, but the rest of it is nothing to write home about. Dried out Cornish game hen, dry biscuit, bland broccoli, plain potato with a very homely Apple strudel for dessert. 

The service was lacking (agaIn, lots of people) and it feels like a cattle call, with them pumping a meal in and out.",H9bT0UAr7k65e_LVFizs6w,5,2,2,3LIrBXwY46ALYAfE9_UCeQ
200344,2014-12-26,0,6V_7ldr9tjmet0BdAnC34A,"This show was a lot more entertaining than I remembered 14 years earlier when I was still single. This time around I went with my family (wifey and 2 kids) and we had a blast. They highly encourage participation and boy was it fun cheering for our king (Russia) and booing the opponents. The story, fight scenes and pyrotechnics were all pretty good to my surprise. Our tickets included the dinner and I must say the tomato soup, corn hen and veggies weren't half bad. We thoroughly enjoyed the show and had a great time!",y4N3scOoFaiziWSqlsMhyQ,0,0,4,XyWZo8Gy4P36rQMjVhUOsw
206237,2016-08-21,0,6V_7ldr9tjmet0BdAnC34A,"Great show! Character development as best as it could be in the time frame. Storyline was kinda weak though. Awesome hand to hand combats, and jousting. Very well trained Stallions. Impressive light show , and even better pyrotechnics. Definitely go see it. Stay away from the slots lol and see a great show. 4.5/5",NQ22CXR7Z-JpoNJFszJG8w,0,0,4,fYy8UIMVWnfMCsWorrtvRQ
225342,2014-01-08,1,6V_7ldr9tjmet0BdAnC34A,"Negative stars! Don't waste your time and money there. I was there this weekend and  I was very disappointed. I got bored and was close to walking out, and the only reason I didn't was because I paid a lot of money. They tried coping Medieval Times and it's just a big FAIL. My kid didn't even enjoy it . Medieval time is 100x times better. The only thing that got my attention was the fireworks and even then I didn't think it was all that. The acting was terrible. They did have dancers but after a while they got boring and lost all purpose. The food wasn't good and the waiter was a jerk, I asked him for straws and he threw them in my table.  First of all Vegas is not for kids, but if you do take them and want to have fun do something else.   Adults must be pretty drunk in order to enjoy this show.",4ZTNsPjkeK2dL1XxhHjqjA,1,1,1,rG3R2mk3q5q3XMCMTHNrVg
230013,2014-11-22,2,6V_7ldr9tjmet0BdAnC34A,"Murder, heteronormative seexxxxy gypsy women and S&M man-dragons with a delish roast yardbird.  Dildo helmeted Russian king, flamethrowers/explosions.  Midgets....booze........horseys.  I had a good time",p2uedlhnN95_cJA2uqqLhw,0,0,5,i7tObxu6JUv_gPFcn74Kqw
238887,2008-02-24,1,6V_7ldr9tjmet0BdAnC34A,"i enjoyed this show. i think it's more for families though, the only thing i have to complain about is having to eat with my hands. other than that, this was a very fun show.",nA4fYTaJAMcYT1ko0pux6A,2,1,4,S2vYVrWEcgKu6X6touk0CA
244534,2014-08-08,0,6V_7ldr9tjmet0BdAnC34A,"Great experience! Ample amount of food, the tomato soup was AMAZING, chicken was slightly dry, potatoes were great, and so was dessert. Drinks were perfect sizes and the show was the perfect amount of time.",499eg-SGHd90YhMpvKhqDg,0,0,4,XJVjyfhj9wkGopxXup_8eg
253725,2016-06-25,0,6V_7ldr9tjmet0BdAnC34A,An awesome experience!  The food is nothing to rave about but the experience alone makes it all ok!! The alcohol is pricy $30 for a bucket of beer but again... the show was GREAT!,px93s_fhSqosT9_aMbCY5w,0,0,4,gyJ7ZeYVbTdLX5Ix5FKYXg
276493,2015-11-01,0,6V_7ldr9tjmet0BdAnC34A,Pretty cheesy but amusing.  Food was ok.  Whole Cornish game hen was seasoned well with crispy skin but was dry.  Broccoli was cold.  Potatoes were bland.  Dessert (apple dumpling) was burnt.,XNKq8xDXCOHjsDGok-mEsw,0,0,3,I89iwl_-WMhUgAAWS15UoA
296129,2010-10-10,0,6V_7ldr9tjmet0BdAnC34A,"WE WERE DRAGONS... YEAH!!!! ROARRRRR!!! :)
good enough food (cornish hen, 2 small red potatoes, brocolli, a biscuit, unlimited soda,  a dessert turnover) with the exception of the Dragon Blood soup aka tomato basil soup, which although served from a pitcher, was excellent.
The true value is the show itself... high production values... everyone in the audience gets into it despite the potentional for cheesiness, and the 20-something drunks are especially raucous & funny.
Definitely a must if you have boys under 12 yrs old and worth the price...",5G6TZmD5c9qUKG0V7NhOBg,1,0,4,UTODbcz4gvF83iufYBOQuw
315015,2010-10-04,0,6V_7ldr9tjmet0BdAnC34A,"Been here a few times, love the food and entertainment, I do wish they had a restaurant because I would eat at it often, their food is so delicious! Tomato soup and the chicken..yum!!! Maybe I can find their recipes ;)",2zFKFGiVeNz--CkG2Qa4vA,1,0,4,jMKuqi4EMc-Su9TUaLEnjQ
322058,2010-05-31,1,6V_7ldr9tjmet0BdAnC34A,"I had a lot of fun, the atmosphere is what makes the show  imo. Is the acting cheesy ? Yes. Is the fighting over dramatic and corny ? absolutely. The show is about the experience of being in the crowd and cheering your king on, not the plot like you're watching an episode of ""house"". The food was just ok, the hen was too dry, the broccoli had no flavor. the soup was pretty good as was the pastry. But really, I'm not complaining because it was cheaper than most shows in Vegas and any food is better than none. and to be fair, I had just stuffed my face at the bellagio buffet a few hours ago. The show is probably more catered to kids and families but unless you're a real prude you will have fun!

The only thing I didn't like was that a few rows in my section were empty.",UjBiVw0WFmEbgK6qgap3QA,1,1,4,7JVLJr3wND0ZHI7opx4Rrg
353106,2015-03-13,0,6V_7ldr9tjmet0BdAnC34A,"I will preface this by saying I bought tickets that were a '2-for-1' deal. I would not have thought the show was worth the money if I had paid full price. The high pricing is why I am rating this show a 3-start instead of a 4-star.

The food was alright. It wasn't anything amazing, but I didn't find it bad either. The chicken had alright flavor, although it was a little dry, and the other food on the plate was cooked properly but lacked seasoning. The best part of the dinner to me was the tomato soup, I thought it was delicious. The dessert is okay, but I could have done without it. 

The show was fun. The show was well rehearsed and it looked really good. The show is a lot of fun if you participate. So shout, clap, enjoy eating with your hands, and root for your king! 

Huzzah!",XWG_7O69HjjWx79lKC9zwQ,2,0,3,eggDcOGmwXz0xThWeIV_4A
362677,2014-03-23,0,6V_7ldr9tjmet0BdAnC34A,"Food: Good food. The chicken was a little dry, but the soup and dessert were great. Wait staff was quality and never waited for a refill. 

Show: Good show. Sat in the dragon section which was a little boring because there wasn't much of an opportunity to cheer for a knight. I recommend sitting elsewhere. 

Overall: A good time that includes dinner for a decent price.",F4f-pXgx6_npByZGGuxx5w,1,1,4,PNDzH1g3AMcReWgwlaiSSw
375105,2013-09-22,0,6V_7ldr9tjmet0BdAnC34A,"After having dinner at Serendipity, we decided to watch this much talked about show. We did not have dinner so this review is just for the show only.

The show was amazing! Not only did it engage the audience, but it was also full of singing, dancing, fighting, light show, and thundering sound effects. Each section cheers for their own knight. Seating is great no matter where you are as nothing or no one obscures your view. The fight scenes made my kids sit at the edge of their seats with excitement. I did not care for the loud booming sounds of the fireworks which the ushers/waiters noticed. They gave me foam ear plugs to lessen the impact on my sensitive ears. The waiters also gave my kids free apple strudel! The gesture was much appreciated.

It was definitely an entertaining show! I recommend!",ChNbDcW57eg9WEOUCE69JQ,1,0,5,VDJ1E0BRDv9LgM3eVicuwA
390919,2017-12-27,0,6V_7ldr9tjmet0BdAnC34A,"Performance is silly and fun! My kids loved it. 

Some silverware would be nice for those of us who don't like getting overly dirty while eating. Let's face it, you can't say you don't get any silverware because of the time period, but then turn around and serve Pepsi and hand out wet naps HA.

Also, children 2 and under can be ""lap babies,"" which is awesome because they don't cost anything, but toddlers do eat food. It would be nice if they would offer the opportunity to purchase an extra meal so the little ones can have food, too. Luckily for us, my 8 year old doesn't eat much, so our 2 year old was able to finish hers off. I do like them giving an option to get chicken strips and fries instead of the traditional cornish game hen and stuffing. My kids definitely wouldn't eat that.

Overall a great experience and I would highly recommend!",Bf2tGADf6vWhAF7dTPKINg,0,0,4,jP3dbgJPl3HIYMCJaFpjbg
392155,2017-09-30,2,6V_7ldr9tjmet0BdAnC34A,"--Not a fan of how the show promoted nationalism--you were seated in different sections, each section assigned to a different ""country"" (e.g. Ireland, France, Austria, Hungary, Spain, Norway, Russia, and Dragon!).  They could have easily just assigned colors to sections instead.
--It also had no female speaking roles (where's Guinevere?) which *might* have been forgivable had they not taken liberties with the story.  Arthur did not have a son named Chris.  If they were going to make stuff up, why didn't Arthur have a made-up daughter instead?",piIU3R6U1bknocmz_bUhGg,0,0,1,QDkd-TS_Ln3WweweXBKJfA
400123,2009-11-21,1,6V_7ldr9tjmet0BdAnC34A,"I've seen this show twice now and this last time was the best. If you're not into audience participation don't go. The whole object of going is to be loud and obnoxious, you yell and thump the table, all so your king can win the event. The food is alright, usually a cornish game hen, tater wedges, brocolli and a roll. The soup is tomato and the dessert is a pastry. All are eaten with your hands - no utensils! Kids will love it, adults with a sense of humour will enjoy it too. I read that the front row is not the best seat in the house, due to the horses kicking up dirt clots, yes this is probably true. But we sat second row back and were safe from all of it. Our waitress was funny and teased the people in our section, all in good fun.",q7_8NfhpQ1n9SG11X-pCEg,0,0,5,QvINZFMd6b1dPIECKeTBXw
405356,2014-12-31,0,6V_7ldr9tjmet0BdAnC34A,"This was my (20-year old, highly-functioning autistic) son's favorite event on our holiday trip to Vegas, including Jeff Dunham, KA, and Blue Man Group - probably because it was so interactive. The food is good - not great - but it was well-prepared and we left with full bellies. Next time we visit Vegas, we will not stay at Excalibur, but we will definitely go see this again. My son wants to sit in the Dragon section again so he can cheer for Team Evil. Huzzah!

Reading the other reviews, it sounds like the menu stays the same, but they change up the show a bit each time to keep things interesting for folks who return.",sXtf6FEVFrd3SWLDehjICA,2,0,4,aUMArM9qQGDtE8K2DwAqWA
425139,2011-07-31,1,6V_7ldr9tjmet0BdAnC34A,"Haaaazzzaaahhhh!!!
This was so much fun. When they say ""Eat, drink and be roudy"" I wasn't sure what they meant, but--to be able to pound on the tables, cheer for your king and watch the athletic ability of the ""kings"" WOW--amazing. Lots of fun, lots of action, good food and a chance to become a kid again. I would recommend this for anyone even the little kids were having fun. The horses were great and the show moved really quick. The service was great. Well worth the money spent. Wish we had known about other pricing opportunities, but still lessons learned, but wouldn't trade the experience. I had FUN!!!
AHHHHHHHHHHHHHH",_gTkcyuHafKrpZ77n2YgTQ,4,1,5,HFo1s8YqQ8FCtstopKgRwA
427945,2012-04-15,0,6V_7ldr9tjmet0BdAnC34A,"This was outstanding!! Will definitely go to this every time we visit Vegas. The line moves fast into the arena then to your section and seat. Very exciting and crowds from all sections are loud and supportive of their champion. Basis drink is free water pop. Bar drinks also available. Tomato soup Is served while the show starts and as the show goes on your dinner is served. The pictures listed is exactly what it is. It was basic and great! I was afraid the sordsmanship fighting was gonna be lame but actually they are all so good there were sparks and it felt real. Practice does that :-)
Anyways great job by all and I look forward to the next adventure there.",wju_hacCDj3h7s1AOq2dRQ,1,0,5,8PexXcWFTR-6s11Abnfx-g
429710,2016-10-28,0,6V_7ldr9tjmet0BdAnC34A,"If you're looking for something different to do in Vegas this is a great show! Highly interactive and the food was excellent! I am not a fan of medieval themes but I really liked this show. I would recommend getting tickets from the Tix4tonight booth, got my ticket for about $60 and it included the meal for a Sunday show at 6:00pm.",B_NganJVF8OcZICFLQIP9Q,0,0,4,c964WMBTvpBkoIMwuXQYIw
444683,2017-05-19,0,6V_7ldr9tjmet0BdAnC34A,"Wow, what an absolute blast!  I was anticipating a good show, and I ended up having an even better time than I thought I would.  Like the ads proclaim, there was much eating, drinking, and merry making!  The food, while simple, was prepared well and fit the theme perfectly and was satisfying and filling.  The theater felt both large and small, and I felt that any seat would provide a good view of the whole show regardless of location.  A big plus!  We had front row seats, and it was worth the extra money (which wasn't very much either).  

The performers were entertaining, the  stunts impressive and the pyrotechnics were very fun and a definite highlight.  This is a show I would recommend to people of all ages.  I can see children being absolutely delighted by the entire show and environment, and even as an adult it is an absolute riot.  Also, know that the show is just over an hour long.  Depending on your tastes that may be a tad short, but for the price I feel it is not a real issue.  I would have liked a bit of a longer show personally, but that was mostly because I was having such a good time I didn't want it to end.  

The only complainant I have is that my chair was slightly broken and didn't sit at the proper angle.  It wouldn't stay up fully and slumped downed, making sitting difficult.  I was able to adjust the chair on my large calves and sit alright, but not everyone could have managed that.   Perhaps a bit of slight maintenance is in order.  My girlfriends chair was fine BTW, so I just got that 1/100 chair.  Nevertheless, I had a huge smile on my face the entire time.  Asides from a slightly loose chair I had a great time and would heartily recommend to absolutely everyone of all ages.  And how often do you get to say that and really mean it anymore?",tOE7OyiBTFjyeZOrHIJvuA,0,0,5,EUQ6efJfuHLPsHNGZBslpg
459470,2010-12-24,0,6V_7ldr9tjmet0BdAnC34A,"Highly recommended if you have kids.  Great family outing in Vegas.  You get a decent show and food.  The food was okay, but the tomato soup was excellent.

No utensils here...it's finger lickin' good.",msfCLLzdLG6BEV6o1mvJ0Q,0,0,4,nKgAKLzMkL4YFBTmNfRXSQ
460427,2015-02-07,0,6V_7ldr9tjmet0BdAnC34A,An amazing show for the family.  The boys enjoyed the show.  Tomato bisque was yummy.  Chicken was slightly on the dry side but overall....wonderful experience.,q44Pjl7L6rlauAUWge7W0g,0,0,5,a4g9pg17jGLXKH3ESMh6pg
461762,2010-07-24,0,6V_7ldr9tjmet0BdAnC34A,"First thing is, that entering this show you are not expected to take this production seriously, however ""The Tournament of Kings"" at the Excalibur hotel and casino is a great way to spend a diner with the family or with a date, yes a dinner. The food consists of a tomato and basle soup as a starter, a roasted chicken served with potatoes  broccoli, and a biscuit, then last a small apple pie, a good meal to go with a good show.

The show it's self was a funny take on a medieval, 16 century festivals showcasing several different European countries section off by the audiences seating. Each country has a knight that participates in a collection of games. in these games the plot develops by the introduction of the villain a sorta dragon knight. The show its self can get corny with the jokes and bedazzled costumes. but like i mentioned your not here to take this serious and there are a good few laughs and action moments, not to mention some good looking male actors.

Over all the food is good the entreatment can git a bit corny but over all fun and the service is incredibly kind and helpful so i do recommend going to see the ""Tournament of Kings"" if you got the money and time, or need a good way to keep the kids and Mrs entertained",952B3gxYT2_81LIC7p3nSg,0,1,4,4m5Ztk3NNXOQ0k9lgVwoow
471702,2012-07-16,0,6V_7ldr9tjmet0BdAnC34A,"Eh...  I'm sure the kids love it.  It felt like it was missing something at the end...  But hey, they feed you and there is some great eye candy for the ladies soooo....  Can't complain.

Oh, it was hard to eat all your food when they make you cheer the whole time!",KXHaRXkxD8WcH-9dVX64mg,0,0,3,YxK9yV_b062VLRTj_KUMaw
473769,2015-05-07,0,6V_7ldr9tjmet0BdAnC34A,"Second time after 25 years the show still very good, of Couse all older casts all retire now :)
We paid for  2 shows Carrot top and the tournament  for $ 90 at the Luxor hotel (good price) at center seat in Russian and cheers for the bad king because he is your king:). Seating in the front row has a bit of disadvantage for dirt from the arena, but was fine for us after diner.  
The Casts are very good special for children storyline, it is about the good and the Devil and of outcome had to be won by the good side:). Dinner is served without any utensil against my dinner table rules and my kids cheer for it :) Blood (Tomatoes soup), the whole Cornish hen   , veg, Potatoes and top with apple pie for desert are serving.
This show has a happy ending, the devil withdraw to leave the young king alone to rule his kingdom, it come with celebration with fire crackers cheerfully in the peaceful sky dome. The End!",ZCV8b4k0NfnmIigNxI_1gQ,2,0,4,OTqNsZTXfbRPLIp8e8vGnQ
484065,2009-09-26,0,6V_7ldr9tjmet0BdAnC34A,this place was awesome the only reason it got four and not five is for the simple fact that it could have been better. this is a place you need to go as a group and get rowdy. as loud as possible. for some strange reason it looks like the guys that are in the show also do porn. they have that look. one of them looked like evan stone. but yeah do this shoe and buy your toy swords and drink it up.,SfM95DUy2Rt5CKsk7Oeuog,1,1,4,qkaq-HNQ9xbreaVP5cmGfQ
518693,2015-11-25,0,6V_7ldr9tjmet0BdAnC34A,"If you want to have a really good time, don't miss this at the Excalibur. From the MGM, where I was staying, you take the overpass crossing Las Vegas Bl. Walk through New York, New York, and over the next overpass to Excalibur.  Knights in shining armor, Damsels in distress, horses, and swore fights, it's a Lotta fun. You can choose with or without dinner. Best thing is you can choose what Country you want to root for by sitting in the appropriate section. Our best Vegas memory so far.",Qr3xaE3KDgLpjLcMtKWp0A,0,0,4,wf2yRMr9BNw2SvLrpH_wYw
538207,2014-09-30,0,6V_7ldr9tjmet0BdAnC34A,"We went on 9/26/2014. It was a great experience and with the 2 for 1 deal it came out to $36 a person. The food was good, very tasty, especially the creamy tomato soup and biscuit. The only thing that was ok was the broccoli but then again who thoroughly enjoys steamed broccoli. The show was great from beginning to end. It was very entertaining and has a lot more spectacle than Medieval Times. It's one of those things you should do in Vegas if you have an early evening open. You can catch a reasonably priced dinner and show for a couple of bucks before hitting the strip or clubs.",9VRUmy08MVVtUHRuBi7cxQ,0,0,5,QBIxz2fnpZAPcsH8UrIyag
573248,2014-04-01,0,6V_7ldr9tjmet0BdAnC34A,"The food was slightly bland, but the show made up for it ten fold! Great for a date night or a huge family! What a great experience! Will put it on any list of Vegas must do's!",upR56wFLwIXk7efFV6Nxcg,0,0,5,e2jVHvNQsx-ahWSoQe-3dw
580012,2009-12-31,2,6V_7ldr9tjmet0BdAnC34A,I was 16 when my folks took me to this spot. I had such a awesome time. The staff was great and they made u feel like u were really living in Medieval Times. I was so amped up to go here and I still remember the waitress making fun of me when I asked her for a fork and knife( U eat with your hands). My momma hooked me up with a couple of beers and she said that u don't need to be 21 to drink during Medieval times. My mom is gangsta!,lnFPr9rVGDNfob8PCt9A3w,0,0,5,CBcLCt52dtEqV8L_Wi8gZQ
586101,2011-09-24,0,6V_7ldr9tjmet0BdAnC34A,"I've been here twice! You can't beat the atmosphere! You're part of an interactive medieval show. The food is tasty but it's no fine dining. Dinner is a Cornish game hen, a large broccoli stem, potatoes, and dragon's blood (tomato) soup. And you have to eat with only your hands, which adds to the experience. The servers keep your drinks topped up. It's family friendly as well as a blast for a group of bachelors. Before you buy full price tickets, be sure to check the ""tickets for today"" booth as you can usually get TOK tics for half off. HUUZAAAAH!",uOuQR2IXI0JytpsVAzcjww,1,0,5,PQtbU5PokbD0Fi3lefr9hg
603486,2014-01-11,0,6V_7ldr9tjmet0BdAnC34A,My husband and I really enjoyed ourselves at the show. My only issue was the interaction when we were trying to eat. It was hard to finish eating when they wanted you to experience the show. But worth every penny spent!,HrBOg27wfZoFLNcFHXi0oQ,0,0,5,IaQj9KHZhPhUTL4al9n2ZQ
627413,2011-06-27,0,6V_7ldr9tjmet0BdAnC34A,"Great show. The soup was very tasty, the hen a tad dry but I didn't mind, brocolli was just ok. The whole family enjoyed it!",XnbVa1hdBOVfujYWpeCtmA,0,0,5,XvfBx2oT4uQDO-otfaqL-w
632612,2013-01-18,0,6V_7ldr9tjmet0BdAnC34A,"Great medieval times show.  It's a smaller venue than other larger type shows some vey seat is a good seat.  You can choose a dinner or non-dinner package.  The dinner is a Cornish hen.  We opted for Non-dinner.  These seats are in the fifth row.  We were center-arena and had a great spot.   It's fun for kids and adults.  They serve drinks, everyone gets a dessert.  

It's an interactive show and the crowd really gets into it.",y1yC8xi9DHHhuIWVo--2PQ,0,0,5,8FpHzQzdnBObIQBbszFizA
649624,2016-03-26,0,6V_7ldr9tjmet0BdAnC34A,"The show was delightful and the food was quite tasty! Word of warning... No utensils provided to keep in feeling with the ""medieval"" time scheme.",T4_45IH4SbxJ5d2XQlf2CQ,0,0,5,txWJFlnpedFyOu2bv-Herg
680371,2010-10-04,0,6V_7ldr9tjmet0BdAnC34A,"This show was a lot of fun! Very cheesy (as if you didn't know that going in) but very cool! The food was good (tomato soup, a hen, veggies, potatoes and a bread roll) and the drinks are good as well! The actors interact with you which is cool (especially if you are the rooting for the bad guy and keep booing everyone else!).  It's a bit expensive but what isn't in sin city.  Great show to take your kids to!",LRMO8BCEG2DkdZ0ZSFRfWw,0,0,4,2IjIDivqCqcIYlO3sZYRhQ
810308,2013-08-31,0,6V_7ldr9tjmet0BdAnC34A,"Having been to Vegas several times I finally went to see this show and I'm glad I did. It was fantastic! 

The food was pretty darn tasty. The tomato soup they start you with was excellent and the main course was just as good. The cornish game hen was perfectly seasoned and very moist. As were the potatoes and the broccoli (which had parmesan cheese sprinkled on it. Mmmmm). It also comes with a biscuit, which is, well... a biscuit. You've had one, you've had them all. Dessert consists of an apple strudel type pastry that was surprisingly good.  Of course the whole schtick of eating without utensils just adds to the fun. Don't worry though, they include a napkin and a large wet nap with your meal.

The show was excellent and while obviously heavily choreographed, the fighting and jousting was fun to watch. We sat in the Dragon section and therefore rooted for the bad guy which was fun too! The special effects and pyrotechnics were great, especially the evil wizards flame throwing staff. You could feel the heat from that thing  sitting in the stands!

I'm giving this show 5 stars. Its well worth seeing at least once and a great choice if you want to take the kids.

One word of advice though: PARTICIPATE!!!  Don't be shy! Slap the table with your hands, cheer for your sections knight and boo the opposing knights as they ride by on a horse (they'll point at you and give you the neck slice gesture!)  Do that and you'll have a lot more fun!",uZoEkK-yCrsbKtmCerq55Q,0,0,5,PcJ2Gsg2LCZBvR2UXWPMnw
