,date,funny,business_id,text,user_id,useful,cool,stars,review_id
23209,2011-07-09,0,6Wvn57wjSrVX7gJM37CIZw,"I had the BLT and all of the ingredients were fresh and prepared well. Though BLTs are a dime a dozen and easy to find, this one stood out because of the flavorful tomatoes and not-too-salty bacon. The service was good and fairly quick considering the lunchtime crowd during my visit.

NOTE: There was A LOT of bacon on the sandwich, so if you're trying to be ""good"", this is not the sandwich for you. :-)",x89fX2XRaW-aLyvTDMeHyA,0,0,4,cbhaJVeCHD4P88FpuYmTPA
175829,2011-11-05,0,6Wvn57wjSrVX7gJM37CIZw,"OK, so I was in the MGM grand for the week, and I was really underwhelmed by the food choices in Vegas there seemed to be no middle ground between the low end chains in the food courts and the celebrity chef $100+ for dinner places. So witchcraft holds the lower middle in price. I paid $16 for the warmed turkey sandwich and a water. What do you get for the money, well the ciabatta bread wasn't fresh baked or at all special, the turkey wasn't that great either. The sandwich tasted good but really was nothing to write home about and if it was in Seattle I would consider the price a rip-off , but in Vegas I guess its priced OK. I didn't love the ambiance, just a cold clinical modern vibe with uncomfortable chairs and insufficient seating. The fact they were busy was I think due to the lack of other choices. I was at a conference on expenses and honestly the best food I ate all week was catered by the conference center in the hotel, they need some decent dinner choices in the $30-40 range for normal people.",KZeevvrTOXBlWybnakdBiA,0,0,3,qDZk_vijv7AkqY_zMrdSvQ
209772,2011-08-26,0,6Wvn57wjSrVX7gJM37CIZw,"Delicious salad & Greek yogurt with honey and granola.  MGM Grand in Vegas has so many choices by great Chefs.  Not many open for lunch & 'wichcraft made it easy to get in, order, get out.  I look forward to eating a panini when I am back in February.",26WDYTMQScRQkZbfe8xcSw,0,0,4,g2qst0ZGh4G_a2JyAL7s5Q
264063,2013-01-07,0,6Wvn57wjSrVX7gJM37CIZw,"When compared to the MGM's buffet place near by, this place was by far tastier and healthier than what the buffet offered. The buffet was horrible. For a sandwich place, it is on the pricier side but then again, isn't everything  on the strip in Vegas? Besides, its a much healthier option besides the other deli we found at the Forum Shops.",dLKZOdLT0gpkbtX1frkeSA,0,0,4,3s1Cm7QJO3KW54wI6A40Ow
283715,2012-08-08,0,6Wvn57wjSrVX7gJM37CIZw,"This MGM Grand food place is a sleeper. Most of their executions were above expectations. We ate there 2 days in a row for lunch. Their vegetarian and vegan cold sandwich options were great. Their spicy tuna was another winner. The chicken salad were okay. They had great huge cookies that taste good. 

Don't know about the hot sandwiches or cold cuts. Did not seem like their strong suit. If you want a good ruben, pastrami, or roast beef, you are in the wrong city (go checkout NYC). They have good healthy options. Their prices are high but you are inside the MGM Grand so use those dinning credits or your Mlife card.",vtMCbi42UaNGgMbhFEuMtQ,0,0,4,_7sLFvJzEty11Z8475rwlQ
366620,2012-11-29,0,6Wvn57wjSrVX7gJM37CIZw,"imo, people really need to mute the whining about pricing on the strip. Seriously, 15 bucks for a sandwich, chips, fruit & drink is too high, while in the MGM Grand? maybe in the ghetto if your hubcaps are being lifted while you ate.  Disregarding the grousers, this place works quite well. Above avg quality, quick, decently priced for what it is where it is, and you're immediately right back in to the frey of the Grand. Hell yes!",l-3u90M46tO9bqE_Dt9kAQ,0,0,4,TSo0NlzkwOKVu1a1eP-ZhQ
370651,2012-10-16,0,6Wvn57wjSrVX7gJM37CIZw,"I had the vegan sandwich. For the price, I was expecting a fabulous sandwich. The bread was stale and the dressing made my mouth tingle for awhile after I was finished eating. Quite a disappointment.",yaWXa5l2HiiEuiRiymgUPQ,0,0,1,N2sECL-ZUNGlnWihiZdImQ
507369,2013-12-10,0,6Wvn57wjSrVX7gJM37CIZw,"What the hell Tom Colicchio?!?!?!  My blindfolded cats can make a better sandwich!  I'd give it -5 stars but I can't. 

Hubs and I were at the pool and wanted some food.  Since we've been long time fans of Tom on Top Chef we thought we'd give it a try.  We weren't surprised by the prices (it is on the strip, after all) and expected the sandwiches to be top notch.  We ordered the slow roasted pork and flank steak.  I should've known this was going to be a problem when I didn't see the cheddar in the steak sandwich.  It said ""aged cheddar"" on the menu, why wasn't it on my sammie??   Ehhhh, I wasn't going to walk all the way back to the eatery from the pool.  I thought to myself, ""I can deal, I'm sure the rest will be yummy"".  Boy was I wrong.  If you like some bread with a sliver of meat and a pound of salt, this is the place for you!   I'm pretty sure the high school kid at subway can assemble a nicer sandwich than this.  Not only were they thrown together, there was barely any stuff on the bread...  not to mention my forgotten cheese.   And it was sooo salty!  

Sorely disappointed, Tom.  How come all the other food you make on TV looks so good?  You've really cashed in on your fame.  I'd write him a note expressing my concern but I know it won't reach him and he's too busy raking in $$$ to care. 

Looking for a good sandwich on the strip?  Try Earl of Sandwich at Planet Hollywood.",dcSLz5d9xiSFb8zsqn2zKQ,0,0,1,PLgvWZa0OQx3YMcQZT4qjA
525807,2009-12-30,0,6Wvn57wjSrVX7gJM37CIZw,I really liked it! I heard about it on some blog and way dying to try it. I had the grilled gruyère with caramelized onions on rye bread - it was tasty and they onions added a nice sweetness. My friend had the meatloaf and that was realy good too. But one of my other friends had one of the sandwiches with chicken breast and she said it was dry. Their potato salad and chocolate chip cookie were really yummy also.,R8rGmPhxiLKaOhohbDTkkw,0,0,4,caBMB266vhCnSbSd_PfCTQ
531680,2012-09-30,0,6Wvn57wjSrVX7gJM37CIZw,Ok I must confess this place is GREAT!!!!oh yes they can customize pretty much any yummy toasty sandwich that you're craving!!! Not to mention PRICE!!! it's insanely CHEAP CONSIDERING THAT YOUR IN VEGAS BABY !!!! def worth giving a try.... Please enjoy.,huwzmJvpvXmqeoGoE5PGbw,0,0,5,4GDSZ-C9Or-ter3wn3CF2w
