,date,funny,business_id,text,user_id,useful,cool,stars,review_id
205385,2014-07-07,0,6beJGNWviNq_VbODEULexA,"Grabbed lunch here while attending a conference.  I expected the location to be a little closer to the convention center, so thankfully, it was not crowded.  The chopped salad was very tasty, but the service was slow (par for Vegas).  I probably wouldn't visit again, but that is based on location more than the quality of food.",6PbZxUM5XDvNwBwglrTbBg,0,0,3,TbLJTptIMcfaOUK75saMPw
619989,2011-07-03,0,6beJGNWviNq_VbODEULexA,"This restaurant is part of the Las Vegas Marriott Suites which is across from the convention center.  I was there for a conference needless to say.  I have to say for a hotel restaurant, this place is not bad.  I had food here a couple of times for dinner and breakfast.  The grilled sea bass was a bit over cooked.  However, their sliders were awesome.  Their apple walnut dessert was superb.

The bar area is a very lively place although small.  This was the first time I stayed at a non-gaming hotel in las Vegas and I must say, it's very refreshing!",Y5GpG2xu4dOpSMW7Hxs1YQ,3,0,3,-y_hueonFlTRaAWlhPKREg
1182634,2016-08-04,1,6beJGNWviNq_VbODEULexA,Although the Marriott Burger tasted good I feel they did not follow directions in the back. My waitress asked me if I wanted cheese and I declined  it. The food came out slightly over done and with cheese.  :/,kf32vjGglV-sAGYuMP0uLA,0,0,3,hOPc_HpE0UAGxat5FDPcNg
1930712,2012-10-20,0,6beJGNWviNq_VbODEULexA,"Had some business in the hotel so instead of leaving and eating else where i figured why not try the place out. 

They remodeled the beginning of this year so the interior looks pretty damn nice and very clean. 

I asked around and it seems everyone agreed on the Old School Burger. Ignore what the menu says about two thin patties the patties are thicker than normal sized patties you find at any fast food joint. If this is thin to them i'd love to see what a normal patty or a large patty would be. 

How's the burger you ask? If In-n-Out wasnt a fast food chain and had took their time to make a burger, the Old School would be the Double Double. It tastes damn close except for two things: i ordered it with no onion where as In-n-Out i would ask for grilled onions, and the sauces are different. In-n-Out i'm pretty sure uses thousand island, Cafe325 uses what they call ""Mighty Mo"" sauce which looked and sort of tasted the same but i'm pretty sure it's home made.

The fries were SUPER crispy and firm but not hard and still soft in the middle. Also they were salted with noticeable chunks of sea salt not regular table salt. 

Overall this was a pretty good lunch.",7A7FOLZZKL0iokQVOAEbgA,7,2,4,Po7PYsATzB8BbOtztC-mTw
2122647,2018-03-24,0,6beJGNWviNq_VbODEULexA,"it is not a cheap place to eat at but not terribly expensive. The staff...I have never encountered such professional and eager to serve staff! All of them, from the bar tenders to the servers were amazing and with manners that made you feel you were at a $$$$ restaurant! 

We ate there one night because we thought it would be convenient and since our experience was outstanding we decided to eat there again the following night; the food is excellent for a hotel restaurant and the people working there were special.

Try the home made potato chips! I cannot even begin to describe how good they were; they are made to order and come out piping hot...delicious!

If you want to eat at the hotel you are staying and not have to venture far, this is the place!",m9f0nVZHA57G7ovMT7XHGQ,0,1,5,QVcZnxaGqFkBqFzA4EE9Iw
2413279,2014-05-05,0,6beJGNWviNq_VbODEULexA,"You will not get your money's worth. Stale bagels, ran out of cream cheese. On a positive note, they have fresh fruit.",HBgQGV-U7IFe4_ZxAKxTow,0,0,2,_8HqJHh_txn6ip-V9-mSzA
2453067,2017-04-08,0,6beJGNWviNq_VbODEULexA,"I was staying in hotel. Even with a 25% discount this place is way over priced. 
I was seated for lunch...and then nothing! I sat for 15 minutes with no service, hello or anything. 
I walked out. 
Dinner I tried again and all went well. Food very good. But again on the costy side.",EHvVg7zGz1wPsH_XkHtfKw,0,0,3,cMLX0XxuwbCYPi9Xrfsu2Q
2553520,2016-07-05,0,6beJGNWviNq_VbODEULexA,"Very friendly and informative bartenders and servers. Great food, I have tried the house burger and it's delicious. Very juicy and yummy.",-NMfa7b5uHgWUgm9ubEMXQ,0,0,5,4WD8gEcVJAEUYRXcfwOkww
2844777,2013-04-07,0,6beJGNWviNq_VbODEULexA,"I ultimately thought that this was a good breakfast, but the service was slow (albeit, friendly), especially when it came to restocking the buffet. The price is high and comparable to other continental type breakfasts at other hotels. For $20, I would expect much more.",sYWZYGbw5-5TdcXUcTcfzw,0,0,2,LMtXOKTEpJ7l8MIl9EpQ5Q
3120910,2015-12-11,0,6beJGNWviNq_VbODEULexA,"Breakfast bar not good, but made to order omelet very good. Salads great, but limited menu if here for an extended stay. Waitresses couldn't be friendlier.",PUj5BTAscm67FZQkqe2qwQ,0,0,4,wLfgb4D5TiTPcW0OFTIUhQ
