,date,funny,business_id,text,user_id,useful,cool,stars,review_id
3287,2012-03-18,0,6xgcHeLad-VaoTIQewK84A,"Cool atmosphere, good scene.  Food is very good, but not off the charts.  Our server was only fair, and didn't seem terribly interested in serving us right from the start.  Wine list is impressive, but the wine is grossly overpriced.",33P2Q9AfJP8yMEhAqkAFjw,0,0,3,c9t6gxuQrzwIx44Vz_9ZDw
5746,2015-02-03,0,6xgcHeLad-VaoTIQewK84A,"I visited N9NE steakhouse with 5 friends while in Vegas for my friend's bachelorette party. It was a Saturday night, so we made 7pm reservations. We were a little late, and the restaurant was so nice to accommodate us. Once we arrived, they sat us right away. Our server was Adrianne, and she made the experience exceed all expectations. She was very attentive, and made us feel like her number one priority. She asked us what we were celebrating while in Vegas, and once she found out our friend was getting married, she made sure the dinner was a true celebration with rounds of delicious mixed shots, and complementary cupcakes for all of us.

For dinner I got the lobster, and filet mignon dish which was exceptional. The filet mignon was the best I've ever had, and lobster was delicious. I had had a cocktail the server recommended, which was really good. Even the cupcakes were delicious. Overall It's pretty expensive, but well worth the price with the delicious food, well made drinks, and excellent service.

If you visit N9NE steak house make sure to ask for Adrianne. You will not be disappointed.",sPQeZn3f-XHwz7Tgw2D7mw,0,0,5,U6EWDuJ7wgtm8KaK20TE-w
21191,2010-04-30,0,6xgcHeLad-VaoTIQewK84A,"This is my second time at N9ne steakhouse and it didn't disappoint. I'm happy that they decided to turn the music down a bit so you can actually have a conversation with people at the table. The music was good with a mix of 80's to current. The atmosphere is very modern and the lighting good.

We started off with the prawn cocktail and the calamari. The prawns were delicious and the calamari was a 10. I usually don't care for calamari because it tends to be rubbery but this calamari was soft and cooked perfectly. After the appetizers, I had the bone-in-ribeye steak and it was fantastic. Cooked to perfection, served with a side of skinny fries. Robert, our waiter, couldn't have been better. Very attentive and very knowledgeable. I also ordered a bottle of Jordan wine but after about 10 minutes, they couldn't find any. They gave me a better bottle of wine for the same price. I was going to deduct a star for that little mishap but since I got a better bottle of wine, the star stays.

Robert also got us entrance to the Ghostbar, props. All in all, it was a great meal with great service.",WPr_qx8kaCLthVBOKPbeZQ,0,1,5,aa7EB5h8V_lGgba1l0dpCA
22486,2009-04-08,0,6xgcHeLad-VaoTIQewK84A,"Look, let's make this quick.  The steaks are pretty good, the rest, while sounding absolutely amazing on the menu wasn't really anything to write home about.  Not 'bad', just nothing special.

If I was one of those people who really enjoys a crazy busy, hip, chic scene, or if I'd had a few more drinks in me, then perhaps I would have enjoyed the meal more.  It was too much like sitting in a nightclub having dinner, vs. having a great dinner at a place which also has a nice barscene.  The two are simply too intermingled for my taste. 

As for all the comments on the prices, whatever. It's Vegas, it's a steakhouse, and they spent a fortune on the place.  So yeah, it's expensive.  But not like that should be a surprise to anyone.  If you're wanting to see and be seen then I can think of worse ways to spend your money, if you're simply looking for a fantastic meal where you can hold a conversation then there are better places to be.",rM_xdipcViCdgDPb3uKLwQ,1,0,3,G8tPBn0gCVa7ZGovD_BmDg
35345,2011-09-11,0,6xgcHeLad-VaoTIQewK84A,"I'm serching for the best steakhouse in Vegas and will try a new one each month.  If you're trying to decide on a steakhouse, check out my other reviews for comparisons.  I'll rate them all based on the same criteria.   I've been to N9ne twice now in the past few months and I will go back.  My first experience was just OK but the last was outstanding.  This is the average (4 stars overall) for each part of the experience:

Decor = 5 stars based on my preference for contemporary spaces.

Bar experience = 4 stars for attentive service from attractive bartenders.  Strong drinks but a bit pricey ($14)

Crowd = 5 stars.  Its a well dressed young crowd with older high rollers mixed in.  Most people stop off here on their way out on the town for the night and are dressed accordingly.

Overall food = 4 stars.  The bread is fresh and a nice assortment.  Sides are exactly as expected.  Don't order the surf and turf though becasue the lobster tail is small and isn't fresh.  DO try the lobster mashed potatoes though.

The steak = 4 stars.  My first Porterhouse was average.  Well cooked but a bit light on flavor.  My second was a bone-in rib-eye which was outstanding.

Wine = 4 stars for a solid wine list.  Affordable bottles are sprinkled in among notable high end wines and notable vinatage cellar wines.  Markup is 40 to 50% as expected.

Service = 5 stars for my taste as I prefer approachable over stuffy.  Servers are friendly, funny, knowledgable, and honest.  You don't feel like they are trying to upsell.  Trust their recommendations on food and wine. They also brought us a complimentary pot sticker appetizer to start.  Little things go a long way.

The check = $125 per person with steak, side, desert, and wine

Recommended.",JxuLXhN63Araqd7mdRaNIA,1,0,4,Ocr_r3yKO3GA-4cvomRilA
43377,2014-01-12,0,6xgcHeLad-VaoTIQewK84A,"I give it three stars only because I have been such a fan of this place in the past. In fact, last time I was there I came back bragging to all of my friends that I had found the best steak in the world. This time, not so much... Or at least it wasn't $65 worth. 

First off, when we ordered drinks at the bar, the cocktail waitress really didn't know what they had for scotch or rum, then she took 30 minutes to bring us our drinks.  

I already mentioned the steak, which was a big let down.  Then, I requested that the waiter ask the chef to grill my asparagus, the waiter said, ""no problem, we can cook it however you like.""  But when he brought them out, they were not grilled so he went back for more... When he came back out he served them to me steamed al dente. He said that, ""apparently this was just too difficult for the chef.""

I don't mean to be picky but at these prices, I think that is my right. I like my pasta al dente and my asparagus char broiled.",hyH7JP_UcXJLuHG3D6BPmg,0,0,3,VnsGVq5thANe4JJ-7lw4yA
58706,2011-11-22,1,6xgcHeLad-VaoTIQewK84A,"I've been to Vegas so many times but I have never tried any of the numerous $$$$ restaurants that the city has to offer.  This time around, me and my buddy planned to get our grub on at N9NE Steakhouse for dinner.

This is not the usual steakhouse where it is quiet and has wooden furniture in the interior.  Of course it doesn't because this is Vegas and the restaurant is in the Palms Casino.  The restaurant's decor is very trendy as one would expect based on the location.  It has some music bumping in the background of everyone's conversation and it is dimly lit with neon lights accenting the ceiling.

I really enjoyed the food.  Maybe I enjoyed the food so much because it was my first meal of the day and it was 7pm.  Who knows but it was good.

Skinny fries:  Forget about getting this one.  These things were not skinny but were extremely anorexic.  They were like the size of a headphone string.

Shrooms:  Get this mushroom lovers.  Nice sized mushrooms with lots of flavor from both the mushrooms and the crab stuffing.

George's creamed corn:  For anyone that loves corn that is rich.

Garlic green beans:  The only greens that was ordered which wasn't a lot but good enough.  They're very small and the garlic flavor is not overpowering.

Bone-in rib eye: 24 oz of pure meat.  Perfect for my carnivore appetite.  I am starting to think that charring the meat is the thing to do which this place did.  I don't prefer it, but it still was good.  The meat was tender and juicy.  And I almost finished the entire thing but left about an oz.  That's how good it was.

This was a great meal and I was not disappointed.  

For those asking ""So how much does it cost?"" 
-Expect to pay about $100 with tip (this is based on 1 appetizer, 1 side, and 1 entree).

Would I go again? Sure I would but I can't since there are so many restaurants here.   I plan on trying them before I started coming back for seconds.",uQGJgjf9ubj9AOYwVVkETQ,1,1,4,MRd1PnjAKp823YmTpxz0eA
63280,2007-05-09,0,6xgcHeLad-VaoTIQewK84A,"It's a hip and trendy place to see beautiful people.  Food is good, but not great enough to  write about.   I think the scene and drinks are the main focus here.   A lot of young groups come here for the pre-partying in the Palms hotel.  I was with my two gfs there last time, and we somehow got into Ghost Bar and Club Rain for free!   Will I go back there again?  I will prolly go other places since there are too many good restaurants to try in Vegas to.",2zKR0KhW0p9vqsSev4M-YA,1,1,3,WfG3cSOEAtf2Ib3tr4o72g
91050,2012-08-04,0,6xgcHeLad-VaoTIQewK84A,"The star had to have been the lobster mashed potatoes, I believe there was some kind of lobster bisque sauce and toped with giant pieces of lobster meat.

I also had the 8oz filet, definitely one of the best  I've ever eaten, cooked at a perfect medium and melt in your mouth tender.",EwsQ5zkcx0D5za9sfxny-g,0,0,4,dTZAJC1btd19u2M9GdZu1g
111976,2014-03-17,0,6xgcHeLad-VaoTIQewK84A,"Just not enough stars. The service, the food and the atmosphere were top notch. Granted this is not a place you eat at every night but well worth every penny if you are celebrating something special. From a very extensive wine list, unique apps, and top quality seafood and meat, you cannot go wrong.",gQAyXsu-epeWbnmX267R8w,0,0,5,JJcenCkqueDjOH2vCC-wuA
