,date,funny,business_id,text,user_id,useful,cool,stars,review_id
170377,2012-11-16,2,6yynJxXqG8x9k9wrSvLAEw,"Stayed at the Tahiti Village hotel and ate lunch here once. No more. The hotel advertises this place as a restaurant and bar. It's really a bar that just happens to serve food. Mediocre food that is. Served very slowly. 

Fries were salty and very soggy. How can you screw up making french fries?? Teriaki chicken sandwich was undercooked and had a weird tasting sauce. The place had a bit of a strange smell to it. I think the only reason they get any customers is because it is right next door to the hotel.

Health alert: 
While waiting to be served I watched an employee working behind the bar. When a couple that had been drinking there got up and left, he took a towel and wiped down the bar. Then he took the same towel and started drying some drinking glasses and putting them away. Yuk!",mBM9OVO7SfR_ZI3bBWHzyw,10,0,1,fRyVUhc8XbN_WjF97OwXPQ
290848,2014-05-04,0,6yynJxXqG8x9k9wrSvLAEw,"Great service an great food. Barely any wait for our food but when it finally came, I was pleasantly surprised at how good the sliders were. Not too wild about the ceviche though but that's all right. I'm easy to please.",L1zjshxoXOuZ3Tg1sPbYPg,0,0,4,ikTDJrSPUdRhSt9zWH2w6g
333149,2012-09-07,0,6yynJxXqG8x9k9wrSvLAEw,"We own at Tahiti Village, so it was natural to check this out.  
The food was OK.  It's definitely a plus to have the endless tapas or cocktails, even if the individual items aren't something to rave about.
If you're in the area and looking for something simple, I'd recommend it.",WifV6uKlOrVLeoBaAXGXSg,0,0,3,UKAPZwvWmWoVsBDQaTNNqg
579831,2013-08-19,0,6yynJxXqG8x9k9wrSvLAEw,"Happy hour drinks are VERY overpriced. Food is average. Service was ok. Without ""happy hour"" prices, I would never purchase a mixed drink here. Our bloody Mary's and piña colodas were normally priced $12 while their specialty Martini's are only 9 but not included in happy hour. Very sketchy.",M0pI9VT4Ghzh4bh2SVY30A,0,0,2,Ln8hJf08i4pZJCdnhysxqQ
926466,2013-11-05,0,6yynJxXqG8x9k9wrSvLAEw,"Service was very slow, food served kinda cold. Defiantly wouldn't go back. Not worth trying.",0WYGWMXFkAabJTUIFd5yFA,0,0,1,3SfFtXzib1uVZkD9YfO3WA
2014420,2012-02-26,0,6yynJxXqG8x9k9wrSvLAEw,"We were hoping to sit at the Tiki bar and get the collectable Tiki mugs. The restaurant and entrance look fun and tropical but the bar area is not too great. Sadly we got dressed up and drove across town in hopes of getting the collectable tiki mug that is advertised on their website, menu and elevator but they didn't have any and seemed to think they would never have them again. This place has potential but the miserable staff and lack of Tiki in the bar and no Tiki mug made it a bust. We didn't even stay, we decided to walk over to Tahiti Village to see the lobby and visit the Wiki Wiki store and YAY they had Tiki Mugs!! So the trip across town wasn't a total loss.",N9fxQLppN86-2zSTkH4Uow,1,0,2,GpOpj-ZeFBzduIgaaiugYQ
2023354,2011-07-22,0,6yynJxXqG8x9k9wrSvLAEw,Overpriced food and just OK service. They have a denny's downstairs..maybe a better bet..,Txfw9awx3a9KjwPCsgZetw,0,0,2,wm3VHh59JrxdYL0BZrwsxg
2068277,2013-02-04,0,6yynJxXqG8x9k9wrSvLAEw,"Sigh.  I really so wanted to love this place as I am a fan of all things Tiki.  But no joy here.  We're staying at the Tahiti Village (separate review)  and wanted a place to watch the Super Bowl without being over-run by 'niner fans. (we were both raised on the Raiders and they were out of it by October)

So we paid the $35 for ""all the coconut shrimp and appetizers you can eat), got our wrist bands and settled in.

At kick-off, everyone headed to the buffet line.  And there the joy died.  The ""coconut shrimp"" were tasteless, wilted, and barely identifiable.  There were other similarly unhappy offerings - some tiny deep-fried unidentifyable bits, nacho fixings - how the heck does one get that many half-stale chips together?  The little hot dogs were good as were the wings.  But if there was anything in that kitchen other than a microwave, a flat top and a deep-fryer, it wasn't in evidence.  

The single bright spot was the dude behind the bar named Randy.  Good guy, personable, kept glasses full and things going, despite his team getting crushed.
But seriously, despite the folks that I know must be trying hard, that kitchen needs some serious help",DvyGXJYn4A9ReUFi9z5dyw,1,0,2,HbfpK-NQ3Utvn5lPEHbq7g
2102053,2009-07-29,4,6yynJxXqG8x9k9wrSvLAEw,"Do I know what the food tastes like?  NO!
Do I know if the drinks are strong?  NO!
Do I know if the wait staff is friendly?  NO!
Why?  Because after standing at the hostess stand for 2 nights in a row and being completely ignored, we decided Joe was not worthy of our coins!",d0yPidFLXxYInBxZ9adZ2g,7,2,1,zmgRsyfdgcZgwPtHgE-SzQ
2256578,2011-06-09,0,6yynJxXqG8x9k9wrSvLAEw,"Drove around and end up at these place b/c the place sounds good.  Unfortunately, the drinks are super sweet and my beer was stale.  Wouldn't go back.",qVZJ0KWvJ3q2WbrINAOBVA,0,0,1,S7uWEY6WMbF4xEegJUwtpw
