,date,funny,business_id,text,user_id,useful,cool,stars,review_id
283651,2016-01-01,0,71bwX-tbmq4su8H7Q9oLOQ,"This guy had no idea about the menu, my pizza came out cold and was rude.  His name was Steven.. If you care about local regulars and a business doing well you would change the staff. Which is easy to fix. Just don't hire people that are not personable and demand tips before they even take your order. How rude. It was a horrible experience..",LDd8j8InGAv-9JFr0syrWg,0,0,1,iBdkhcccQynkJRepdaLgiA
369628,2015-07-15,1,71bwX-tbmq4su8H7Q9oLOQ,"This used to be my spot until tonight. I went for the midnight happy hour and was completely ignored by the sad sack of a bartender who didn't even look my way. He circled his habitat with a crooked back permanently bent at a 30 degree angle from lack of balls or intuition. The bastard had tits for brains. big fat ones that left little room for intelligence. Gravity is heavy for that hapless heathen. I almost got mad, but then realized he has to live that way forever. A sucker. So we left and went to B-dubs instead and had a good meal.

After midnight PT's reminded me of a saloon from Star Wars: full of misfits who are unable to wrap a belt through all the loops, or figure out what clothes to wear in public so they dress in table cloths and shower curtains.  

I lived in Las Vegas for damn near 9 years now and never saw such a low-life scum-sucking bartender than the eunuch serving drinks at PT's tonight. What sort of man hunches like a hound and doesn't even ask someone what they would like to drink?? Give that mutt a towel and send him to a Terrible's gas station.",qNmJIbeENzC1uwUgve2L-Q,1,0,1,E8-_AnX1ZFfw3A15412LoA
923406,2015-02-06,0,71bwX-tbmq4su8H7Q9oLOQ,"Great neighborhood bar, the bartenders are fast, friendly and happy! love going in for happy hour. Food and drinks are great!",clR_gxWbTN_PVSwX_MAqvA,0,0,5,62EcSyYJcvbP8CEaLaikIw
1118489,2015-06-25,0,71bwX-tbmq4su8H7Q9oLOQ,"I have been coming into this PT's once a week for years on graveyard, mostly during mid-week nights. I bring my laptop to the bar to get work done to meet morning deadlines. The service is always great. I typically arrive just before midnight to hit up the half-price happy hour. I've visited most of the bars in the neighborhood and this PT's is the best one.",kFuqgoQCKs19a8-o2JvbYg,0,0,5,lkrDNDdvwMUUQMAUCjVmKw
1362187,2013-09-08,1,71bwX-tbmq4su8H7Q9oLOQ,"Decent sports bar. We sat at the bar and the only complaint with that is the people smoking at the poker machines.  It's only really a problem though if you are sitting right next to them because the bar isn't smokey at all.  The bartender was friendly and the food was great.  The wings are some of the best I've had.  The bar is surrounded by flatscreens with all the games on, the atmosphere is laid back and quite, and the theme is nice.  Will be back!",xSt--5JG6QqTEOwXJj_pRw,0,0,4,RMCmXLuBmZWjEj1Kv4shjQ
1467310,2014-10-12,0,71bwX-tbmq4su8H7Q9oLOQ,Buyer Beware: Came here to watch football and get 1/2 off breakfast. Happy hour ends at 10am. We placed our breakfast order before 10. After the game we got our bill and were shocked. The waitress refused to give us happy hour prices because she supposedly didn't submit it to the kitchen before 10. That's not our fault she didn't submit them on time. She should have at least informed us. My receipt says 9:58am. I think it was a scam to make more money off us.,IEQjRwcXUJQ4J-x4H6Nfsg,9,0,1,h5Z-bg-72dzXdBXlC_RKNQ
1498981,2013-05-25,2,71bwX-tbmq4su8H7Q9oLOQ,"The male bartender with glasses and of the caucasian decent made me feel very unwelcome tonight. From the start, he was cold and had a bad attitude. It was a busy night and I understand this can be overwhelming, but If you work in the service industry, you should learn to smile and be friendly to guests no matter what the situation is. Your bad attitude can turn off potential local return clients. I was so flustered by the way you spoke to us that I did not even feel like ordering anything or leaving you any tip. We ended up relocating from the bar area and finished our night at a table where Christina, who was absolutely lovely, turned our night around with her attentive and friendly service.",vHOyGH1kcLYURvwgdoSI9g,0,0,3,rbsCZ0rCIQD7Hvpa72CLbA
1681904,2011-05-12,0,71bwX-tbmq4su8H7Q9oLOQ,"The gilroy pizza is fricken-amazing. I love coming here with the hubby on dates. It's much nicer than your standard Pt's pub. The menu is bigger, the staff has always been super friendly and accommodating, and they've never run out of my favorite beers.
Bonus that it's within walking distance of my house. They have a card called beer n bites...you'll need it to participate in happy hour: 1/2 off all drinks and pizzas...times change,but right now it's everyday 3p-7p.

ps:last time i checked,seared ahi on the appetizers menu!!",q5afJ8gTV5TPEOkzyeJ_WQ,1,0,5,cdCBNvnc-X5jmFCXHb00gA
1693537,2013-03-14,1,71bwX-tbmq4su8H7Q9oLOQ,Staff was overwhelmend on a friday after work and food took forever to come out! Will choice eleswhere in the future!,1RCo1B8YVPtzRDTrm3AyDw,1,0,2,oNQ3f2JFbxQaPxK3Heyn7w
1728096,2016-11-14,0,71bwX-tbmq4su8H7Q9oLOQ,"I come here mostly for Beka the best bar tender of all time.  M-Thursday days.  She remembers my favorites...is on top of my drink orders....and I think she's a good luck charm.  I always win big time when she's on duty!! 

It's not smoky or crowded during the day and has a nice group of people. 

French toast is best in town...steak and eggs...a value at half price.  

Quite local place to hang out, have good food, meet nice people....and win some extra cash.",wfN6tTTTnRcym5JhtHhQpA,0,0,4,zPerP73EoxZIgUvuml_Qkw
