,date,funny,business_id,text,user_id,useful,cool,stars,review_id
286063,2012-01-28,0,75lNzRwmjHpuMwSaNxrMBw,"****This review is only for the service, since it was so bad and we waited so long that we canceled our order, and 5 minutes later they bring out the order anyway while we wait to speak to the manager****

So before the Gazillionaire Elite Event at Caeser's my friend and I decided to go to Muncheeze for a quick bite due to our time constraints.  I personally think and hour at a casual dinning establishment is more than enough time to sit, eat, pay the bill and leave but I guess I was thinking the wrong thing in this instance.  

We were greeted by the hostess and seated quickly.  As we arrived we sat next to a couple who had just sat down and ordered, the waitress then took our drink order at the same time and I asked that a TV be put on a specific game.  We order our drinks and she gives us a minute to look at the menu.  5 minutes later the table next to us gets their drinks and she takes our order.  10 minutes after that we get our drinks (15 minutes just to get drinks?) and the table next to us gets their food.  15 minutes later the table next to us is done eating and are given their check (now in most cases the server would see that we are right next to them and we don't have any food AND the TV that I asked to be changed was never changed) another 15 minutes passes as we watch them pay leave and their table is bussed before the server comes back and says ""you don't have your food yet?!?"" in which I answered ""no, and actually I have to be somewhere at 8pm, I'm going to have to cancel our order.""  She said ""OK, but I can check on it for you, do you want it to go?""  Now since I was going to an event I didn't want to have to carry this stuff across the Casino and then have to eat it while at the event.  So I declined and asked to speak to the manager.  Before the manager comes out the table the food comes.  Now I'm even more irritated.  We have already cancelled the food, obviously we were hungry otherwise we would not have been there, but to not have enough common courtesy to not put the food in front of me that I can't eat now because I have no time to so would be great.The manager seemed friendly enough though about the situation and was very sorry for the incident but the damage had been done.  He offered to get the tab next time we stop by but I'm not sure if I want to do that, I think they lost me at the 45 minute wait.",aT_AzbpcsbodNNtFzPqRVg,3,0,1,b4qGKEzG2wMSFWHQOPNj0A
449144,2011-06-27,0,75lNzRwmjHpuMwSaNxrMBw,"I love to support the food truck scene in Vegas so when I heard about Muncheeze I had to check it out! A grill cheese food truck is brilliant and much more feasible. It definitely cuts down the waiting time you might encounter at the other food trucks. 

My co-worker and I decided to try this place during our lunch hour. First impression- great looking truck! The graphics were cute and so was the truck name...Muncheeze (genius)!

To be a fair judge as always we ordered quite a few sandwiches (Sassperilla, Chi-chi and Piggy Mac) to judge the quality of the sandwiches. I must say that I was impressed and thought that the Chi-Chi and Piggy Mac were pretty dang good. I prefer the Piggy Mac more over Chi-Chi. The bbq pulled pork was just right because it wasn't drenched in BBQ sauce and did not hide the taste of the other ingredients. The Sassperilla was drenched in A1 sauce and by the time I ate it, the sandwich was soggy. The Chi-chi was my second choice, great concept but it was a little dry. 

We also had a side of Mac bites and well I wasn't a big fan of the holla-peno ketchup. I think they should have a spicy ranch dipping instead or maybe just serve with a ketchup/marinara & ranch. 

My co-worker was a little disappointed that they didn't have the tomato soup on that day so another day that I went again they were out of soup...do they ever have the soup? 

For $10, you can get a sandwich, bites and a drink, this saves you a couple bucks, which isn't bad considering the prices of the food truck combos. 

Overall the experience is worth it. Some people get annoyed with the guys blasting the music with your favorite song or whatever they are in the mood to listen to and still they're still getting a hang of the biz but this shouldn't distract you from attempting it just once. C'mon Vegas support your food trucks! Follow them on Twitter, Facebook or their website to see where they end up next.",IxEMT9rqzG6n4EJhqXSMvw,1,0,4,_ZmbcMYTRmsb7vtKDzYQcA
992698,2011-06-28,0,75lNzRwmjHpuMwSaNxrMBw,"It's the Piggy Mac that warranted two stars, they cheesy Lovers was just a mess. The Piggy Mac consisted of bbq pork with jalapenos and mac n cheese ($6). The potential was there, but the wheat bread choice was really poor. The Cheesy Lovers Delight with Bacon ($5) was not good on any level. Dry flimsy bread, congealed cheese and bland bacon. Yes, bland bacon. Seems like an oxymoron doesn't it?",ZsUSGU1-L1ImomLZjXxxTg,0,0,2,AFblxLtZ1e_eXFfkRNEKcw
1333411,2011-06-22,0,75lNzRwmjHpuMwSaNxrMBw,"I saw them on a Twitter post from FukuBurger and decided to check it out today.  I had the Piggy Mac, and it was one of the best grilled cheese sandwiches I have ever had.  I've had bacon on a grilled cheese before.. but adding BBQ pork, mac & cheese, and jalapeno to it... greatness.  

The guys working there were super nice, and gave off a friendly feel to the place.  I felt kinda odd paying $10 for a combo meal, but the sandwich, mac & cheese bites, and a drink... I'm OK with this.  Definitely going back.",vFiwwcmzSEXNKMsTdvWVhg,0,0,5,lufGr5jDL5lyQzQt_HoBCg
2036442,2011-04-19,0,75lNzRwmjHpuMwSaNxrMBw,"I was so excited to try out the eats from here. And I finally got the opportunity at the last StrEATS. 

They didn't get off to a great start. Glitches prevented them from opening on time and left a few of us waiting in line for a long time salivating and exercising our patience. But hey, they're a newbie truck, so you have to cut them a little slack.

The lobster bisque (one of their soup offerings) was absolutely fantastic. It was served in a bread bowl and filled with all kinds of yummy. Temps outside may be rising, but don't pass up this tasty delight.

For a sandwich, I opted for the one with the pulled pork and mac 'n' cheese. It was good, but not great. It was missing the ooey gooey cheese. But props for an interesting combination.

All the sandwiches come with fries and a dipping sauce (like ketchup, but not). Hint: try dipping your grilled cheese in the dipping sauce.

My main complaint was that it was a lot of food. Especially in a setting with so much food goodness (in other words, so many eats I wanted to sample), the amount of food was overwhelming. It was also awkward trying to balance everything and eat so much while standing up. The portions and packaging didn't quite lend itself to street food. Offering half sandwiches and fries as an optional (not automatic) side would be nice.",YMgZqBUAddmFErxLtCfK_w,1,0,4,5aKWduMdXvaePR5Dz3d8MQ
2274196,2011-12-02,0,75lNzRwmjHpuMwSaNxrMBw,Changed ownership mid year and the new staff is remarkable unimpressive.  Food is not good and service is horrendous... like this is their first food serving endeavor.,IEvgUhfvkvLE1j0Vyfbicg,0,0,1,dco7CxKByrQc9NHcCtOFFw
2509126,2011-04-26,0,75lNzRwmjHpuMwSaNxrMBw,"The concept of this truck is awesome. The execution still needs a little work though.

I appreciate the trendy food truck craze that is currently overtaking every major city. I think it's awesome. Muncheeze menu is outstanding. There's a little something for everyone. You have the grilled cheese that includes pulled pork and mac n' cheese, or the one that has steak, or the classic ham & cheese, or a combination of cheeses and bacon. Everything in that last sentence flows so beautifully. I'm a cheese enthusiast, so if there is cheese on something I'm usually gettin down with the get down.

Unfortunately where Muncheeze falls short is the quality of the food. Unlike their sister truck Slidin Thru, they miss on a few key points. If I order a grilled cheese, there better be a lot of cheese on there. If I order your grilled cheese that includes 3 different types of cheese, THERE BETTER BE A LOT OF CHEESE. That was not the case when I ordered the Cheesy Lovers Delight (I selected American, Cheddar, and Mozerella). The cheese was barely noticeable, that was disappointing. If it had more cheese it would have changed my whole experience. I decided to get the combo meal, appropriately named the Munchbox Combo which included a tasty glass Coca-Cola and Mac-Bites featuring Holla-peno ketchup. The Mac Bites were a bit greasy and lacked a real cheesy flavor, so those fell short as well.

Another disappointment was that they were out of Lobster Bisque, or, they never really had any since we got to the truck 20 minutes after the windows opened. At first they weren't sure if they had Mac Bites as well. I thought the organization was a little all over the place this time around.

With the awesomeness of Slidin Thru I definitely had high expectations for Muncheeze. Unfortunately they fell short. Knowing that they are run by the iconic slider truck I will give them a second chance.",6mYfeB7ZxsgNq0Peyt_eFg,3,1,3,k8a7yT7pblV-dZ8ubbA8Cg
2676302,2011-10-11,0,75lNzRwmjHpuMwSaNxrMBw,"Some of these bad reviews I'm reading about Muncheeze Truck just amaze me because I've gone to Muncheeze Truck MULTIPLE times and never had this experience. I think since the truck got new management, especially, the food has gotten better. Although, I am a fan of the old menu. 

The mac bites are delicious. Anybody complaining about a fried food being greasy is ridiculous to me. I LOVE getting the Cheesy Lovers Delight with bacon added. I always leave the cheese choice up to the cooks and it never disappoints! It seems like it's gotten even cheesier since the new management. Also a fan of the Piggy Mac, but the Cheesy Lovers Delight with bacon is by far my favorite.

My service has always been fast with the truck unless I'm at something that's crazy busy like Vegas StrEATS, but you know going into that place that you're going to be waiting for a ridiculous amount of time because the amount of people that are there ordering food. First off, LOOK AT THE LINES! You can easily judge that you'll be at each truck for about 45 minutes to an hour. (I waited at Fukuburger for an hour last time I was there and they were out of half of their items!) A lot of other trucks have food that can be pre-prepped, where as a grilled cheese can't be made ahead of time. And for people bad mouthing grilled cheese businesses and saying they'll always fail, maybe if these don't do it for you then you should check out how successful the Grilled Cheese Truck in Los Angeles is. 

The only thing I'd like more with the truck is for them to be open more often. I haven't seen any dates posted lately...",b2L2ct__m_Su3g5aZqYbgQ,0,0,4,Nx3wn4oVauYdEOCss10SsA
3597978,2011-08-29,1,75lNzRwmjHpuMwSaNxrMBw,"I was roaming from truck to truck at Tommy Rockers on Staurday night and saw this beautiful cow with glossy eyes staring at me. His name was ""Stoney"" and i believe we've met in another times forgotten space.
The Truck was not yet open so i vegged near it for a few minutes. As it was time to order i immediately saw the Piggy Mac and went for it. It was mac and cheese with pulled pork and bacon, need i say more?!? i ordered as a combo and it came with mac bithe and a drink. The mac bites were good, as good as deep fried mac and cheese could be with some jalapeno ketchup.. 
I can't wait to meet up with my friend""stoney"" soon and try some of the other tasty treats Muncheeze has to offer.",L8cvMZLWmM4qWTl9SkxJ8g,0,0,4,HvN4xiGVyjqhczYgT0dqBg
3771953,2011-05-01,0,75lNzRwmjHpuMwSaNxrMBw,"This is good stuff no doubt. Same guys as Slidn Thru so you know the 
service is great and the food will be original and BOMB!!",g_zeVgyExnemji9VPX0dgg,0,0,4,bD5vi9tAXrQbITtWllehGg
