,date,funny,business_id,text,user_id,useful,cool,stars,review_id
78483,2016-02-21,0,77AfVfvvjfQXslusY8QElg,First time here and it was so much fun. They played a good variety of music. The dance floor was always full and the crowd enjoying themselves. The staff was excellent too. The bathroom attendant was very courteous. The security was also awesome. Opening door for the ladies. Had a great time!!! Off the strip but must visit if you are in town.,0i_hNh3GHAlHu8-KIDXrDw,0,0,5,-PJtQjosVZqEDuDJm1zgBQ
577994,2017-09-30,0,77AfVfvvjfQXslusY8QElg,I wouldn't really call this a club my friends and I were disappointed when we arrived it felt more of a hookah lounge with a dance floor and a bar. The Dj was okay I have to agree with the other reviews here you will not hear Banda or corridos here. Drinks are a bit expensive though Ladies are free before midnight and guys pay a $10 entry all night. I guess it's an okay place if you're just going to hang out but definitely not to have fun.,KFPLAW-BB2dyh-mScTEjeQ,0,0,2,KGIa-NCOmauiY4fl49IVHw
761267,2016-02-22,0,77AfVfvvjfQXslusY8QElg,We had a great time last night ...the music was a great Latin Mix different age groups. Waitresses were on point with their services. Joshua accomadated us a party of 8 with a shuttle to take us back to our Hotel on the other side of Vegas Strip at 5 am. Thank u Joshua and your friends for making us feel welcomed.,G79R_UMhZ2KJYyQZZPSZpg,2,0,5,MrUvJ8JBuqSVcaFh-XWRmA
824754,2014-10-08,0,77AfVfvvjfQXslusY8QElg,"This review is overdue. I went here on a Thursday night for  salsa and it was great. I enjoyed the instructor. He is very upbeat. There was no cover for salsa might. I have not been to the night club on Fridays. 

I sat at the bar and was greted by a very beautiful and friendly batender.  I can't  remember her name, but she chatted with me and made a good suggestion  of drink to order.  This was greatly appreciated since I was there alone. I met a local whom was very friendly and shared  his tacos with me. The atmosphere was great and i had an awesome time.

 I will be going again to salsa night more often.",g7BVhNukAjCVvaWmt7I1wg,6,2,5,quxvqQHACnkSiNPLJuuChQ
860462,2015-10-25,2,77AfVfvvjfQXslusY8QElg,"Best place ever......you want to have a great time,  great service you need to go to La Jolla",IcDGhUAP-QONoN23L--i1w,3,2,5,8tUp2nZgF_Ju1wJkSY_I0A
884837,2014-08-24,0,77AfVfvvjfQXslusY8QElg,"From NY and was vacationing in Vegas. I was specifically looking for somewhere to dance Latin music on a Fri night. My friend and I tried going to La Casona first but after that wasn't a success we walked down the road to La Jolla: 

Cover: Yes, there is a $10 cover, if that's enough to turn you away, you probably shouldn't be in Vegas.

Drinks: Well made, around $10 - don't remember exactly. Got a free shot just for checking in. Def got drunk that night. 

Music: GREAT VARIETY. The DJ played everything from Salsa, Merengue, Bachata, Reggeaton, Hip-Hop, House, Top 40, etc.

Vibe: There was a good amount of people. It definitely wasn't packed but def not empty. Plenty of room to dance and have a great time. If I had to guess I would say most of the crowd is local but we met a few girls from out of town. 

Overall: Had A GREAT TIME! Danced the night away and would definitely recommend.",SKALy5WAxqfdPeqTorp78g,8,2,5,lAPI16b5rycbEUarwa7WSA
1145601,2014-07-20,1,77AfVfvvjfQXslusY8QElg,"My Vegas-guy co-worker had been chatting up this place at work for weeks, finally on a random Friday a group of work friends went.

I got there around 9:00pm ahead of the others.  The place with pleasantly quiet, except for a few patrons, and I enjoyed the chill atmosphere and the decor of the room while sipping a beer from the bartender.  My co-workers arrived, and we were all starving for food at this point.  In fact, my co-worker who was a former chef said they knew how do to hamburgers well here.  The staff swapped a few stories with my co-workers while we chilled at the bar.  I ordered a cheddar burger, as did a ravenously hungry friend of mine.

After a few minutes, the chef came with metaphorical egg on his face: looks like they were out of freshly prepped beef patties for the night.  A disappointing mistake, but it meant a lot to me that a chef could be both friendly and apologetic and not in the cheesy, corporate ""fake"" way that I've had at chain restaurants.  He offered to prep both of us a special chicken sandwich of his own design with some extras like avocado. I can't ever say to to avocado!  The chicken, bacon, sandwich creation filled us both up.

The bartender exchanged a few jokes with our group.  He introduced me to a new type of rum that I enjoyed (and I am PICKY about my rum too!);  We got to sample a few new drinks they were experimenting with.

Overall?  I loved our service here.  It felt genuine, fun, and relaxed. Meals start around 10 dollars here, and I didn't stay for the complete transition to the night club, though as left a line of girls was forming to join the three or four that already entered. I give the service here five stars. Four stars overall.",9CHQt9-NBEvXX4Wyn3dLMg,2,1,4,z9BFtRmuGxddO_1tgbte6g
1355229,2017-06-29,6,77AfVfvvjfQXslusY8QElg,Soooo it's Wednesday night. We're standing outside aaaaaaaaaaand it's closed. Your yelp page said you were open. Thanks for wasting our time!,Kft8asEq3SrkkT2tTiCwvg,8,2,1,W7vAVmarcydkkU7dW0LdnA
1478154,2017-09-03,1,77AfVfvvjfQXslusY8QElg,"Disappointing!  I was here was before and it was ok, not the second time around tho, the DJ was AWFUL, no continuity to the music he was playing, one salsa song to one reggaeton to 3 bachata, etc. He had people (his friends I guess) around him making suggestions.  It look like he was a random guy playing songs he likes or thinks people want.",85X0151ijRidEVjZpdKbKQ,0,0,1,p2sPwPV_rYyw8T4crpo2Vw
1609211,2017-04-16,0,77AfVfvvjfQXslusY8QElg,This place sux i don't  recommend to go.  It's so expensive and far from the Vegas  strip. Dj sux!   Stay at the strip and find something better.,jsxuSja622lk4ZH7khEc8Q,0,1,1,TLV0E2ftNzvwyMQOrnvZ-Q
1614547,2016-02-04,4,77AfVfvvjfQXslusY8QElg,"To start this review, yes, I speak Spanish and although I am used to Banda and Norteño, I also enjoy going to a salsa/bachata club such as this one and the dj mix was pretty good.
It is an interesting mix of things here but the rip off atmosphere was a terrible experience.
First, I called ahead to make reservations or see what the options were. We were told to just come by and not have any issues.

We arrived at this place via taxi and then the bouncer announced it over the radio that we arrived via taxi so that was a red flag already.
From there on, everyone we ran into seemed to want to get paid. Everyone had a comment or story to get tipped or over tipped which felt really abusive.
We tried to look for a place to sit but most of the tables stated that they were reserved. . . well that pissed me off since we were told that we didn't need to make a reservation (and we arrived upon opening).
So in order to get a table, we asked about the bottle service and the waitress looked excited and told me that it started at $185 which is not entirely true as I saw $235 was more like the price she should be giving people. I read the disclaimer on the bottom of the menu and it stated that it included everything as well as gratuities so I thought that was actually a pretty good deal then. She brought the bottle and two juices and a bill for $295? She then also proceeded to tell me that the tip was not included but not mandatory and really pushed to have me tip her. So I found that a bit confusing and misleading. With distrust, I handed her $50 cash and then never saw her again?! There were bus boys that came by rarely to refill the juice but definitely didn't feel like bottle service. it was terrible! But hey, I guess I got a $350 table to sit at.

Because I had such a poor experience, I decided to interview the front area cashier as well as the bathroom attendant for more information on gratuities. . . which costed me $20 to get to talk to them of course. And they told me right straight with confidence that the bottle service already came all inclusive. I then told them about my situation and the story changed immediately to backing up their coworker instead. It was a very fishy night but at least they knew how to band together.

Of course, to end the night, I asked for a taxi. I saw everyone who were waiting for one and everyone who was ever at the front area since I was trying to be a good host to my friend. When the taxi came for us, while everyone knew we were waiting for one outside patiently, I saw a new person that just stole our ride totally not in line for the taxi we waited for 20 min in the cold.
Granted, with my obvious anger, after another 15 minutes, they asked their shuttle driver to take us back to our hotel. We knew how much it costed to get to the club via taxi during traffic hours so we knew not to pay more than that. When he grabbed us at the front of the club, he seemed to be polite and courteous. When he left the club and had us in the van, he started asking me for an ""optional"" $40. I really don't understand this place? Are you guys starving? or are you used to drunk people that you think you can take advantage of? Lucky for me, I was not drunk and recall all of this as well as told him I knew how much it costed me to get here. So then he looked guilty and said to give him what I felt like giving him. What a terrible place with terrible workers.

It was important that I write this review so people who do enjoy music and the Latin theme, keep your wallet in check and watch your bill closely. These guys are thieves.",CrTY-pr1BeFaxys2M7Y-tg,44,0,2,Co7x8XXB4rnu_Z0yWvVJtA
1630294,2016-10-23,0,77AfVfvvjfQXslusY8QElg,"Just got in from nj. I wanted to go to a club, prefer Spanish music. This club is 10-15 min away from the strip.  There were only locals this night. They played only Spanish music. I was really looking for a place that played a mix of Spanish and English music.  The atmosphere was relaxed , clean.  There was a lot of security we felt s Men $10.00 cover girls get in free. Good place to take a date, spouse etc...
We had a great time. I would go again. The only reason I gave them four stars because it was off the strip. We couldn't walk there.",TxMEXGyZpSrr5mG0BvzCSw,3,0,4,nAuTDWnE7__C6hX1vWJC_A
2176665,2016-12-18,0,77AfVfvvjfQXslusY8QElg,if you looking for banda this is not the  place for it.alooottt of bachata n cumbia and salsa. but service good and all that good stuff.,vQLR56EkqcT6cYZQXt2mUw,0,0,3,h6UxfM2Wn1deALfCBSoy5Q
2437342,2016-10-13,0,77AfVfvvjfQXslusY8QElg,"The manager lady didn't let me in because apparently it wasn't me in my ID. Today is my birthday and it was embarrassing since I was visiting from California. I'm 26 years old and I just went back to strip. Waste of time here, I only wanted to listen to Spanish music. Trashy ass place!",1J7RThfk2iPeFNeaybGGXw,0,0,1,bqKTK4X0vzhDVZDCzelJrg
2444048,2016-08-08,0,77AfVfvvjfQXslusY8QElg,Shittiest Club ever f*** the rest of the reviews this place is garbage no people music keeps on turning off fuck this place never coming back,pEQkCFKVjbJ5_NEOkQ4-aQ,2,0,1,t19tN1QwlN0y8yqL6EFA2w
3152095,2015-10-26,0,77AfVfvvjfQXslusY8QElg,"I was looking for a Latin club all weekend..I finally found La Jolla club which someone referee me to as being a good Latin club so I went to La Jolla club and had such a great time ...they have the best bachata and salsa and cumbia everything you want to dance a nd have a great time. Plus they have a very  friendly staff and  great drinks, open late ...the best Latin club in Las Vegas I will definitely be back!!!",6SlrTGi4kP0ygSZ1Fbbhhg,1,0,5,cPPj5kS3OEmvhZNRP6_cUA
