,date,funny,business_id,text,user_id,useful,cool,stars,review_id
78398,2008-06-17,2,78TC3sZSYBzBsSJ0z5pyhw,"Mediocre food.  Horrible service.  Won't return.

We asked, is the soup vegetarian?  I'll check, said the waitress.

Then I watched as her fat ass basically stood around yapping with the other servers.  Meanwhile, we had no bread.  We asked, then the service came by and plopped a tiny piece of bread on each of our bread plates.  Umm, leave the basket you twit.

Then the soup (for my wife) just shows up.  I say don't eat it, I guarantee it's chicken stock.  We ask the waitress.. oh yah, oh yah, I asked.  So then I ask a clueless looking, but helpful younger busboy - he says he'll go find out.  Comes back and says, CHICKEN STOCK.

On top of all that we had to listen to the fat bitch sing some awful garbage.

My own food was only mediocre.

WILL NOT RETURN.

(I think the dining choices in Paris are all severely lacking, which is weird considering the theme of the place.)",emvPvdMlIwOwL_wRBb8Gfw,4,1,1,SmLqFQUkTAHghGdUdAIHJA
96901,2013-04-01,0,78TC3sZSYBzBsSJ0z5pyhw,"It took me a while to write this review because this restaurant was honestly forgettable. We thankfully came with a groupon because our meal was definitely not worth the original price. The convenience of eating in the Paris hotel strip mall was pretty cool, but I think the decor in the place lacked a little class. For Vegas, and a million restaurants everywhere you turn, they really have to step it up a bit if they want to compete. Our server did a good job, and the manager walked around to check on customers, which I appreciated.",q6ncHI8huLjLIDvZcdjzcA,0,0,3,qGMbT453eN-VktDgRWIBIQ
313853,2013-12-08,0,78TC3sZSYBzBsSJ0z5pyhw,"I'm shocked by all the poor reviews of this place.  Maybe they've made improvements.  The service was exceptionally good all the times we ate at this place - which included for breakfast, lunch and dinner across the week.  Everything we tried was good from salmon and pastas to a breakfast scramble.  Not to be missed is the perfectly cooked and spiced calamari - which is a big enough serving to share with four.  To me the prices didn't seem high for Vegas... and there's a discount if you show your Total Rewards card (which you can pick up for free in the Casino - if you don't have one)",1MH7scJYKGTaCH3BmWDgyg,0,0,4,QJEa9lZQad3wsyIvDlipog
470376,2014-05-10,0,78TC3sZSYBzBsSJ0z5pyhw,"Make sure to stand behind the rope in the line or you will not be seated. I went up to the hostess and asked for a table for two and she said please get in line behind the rope. The line was pretty long and we ended up sitting by a nearby fountain. As we waited for a table we saw people being seated so we went up to inquire why we were not seated before the people they were ushering in. The hostess responsed by saying ""because you were not standing behind the rope."" I explained to her that we sat there because at the time when we first got there the line was long. The hostess was rude and instead of offering to seat us she continued to argue with us that because we were not standing behind the rope that was why we were not seated. She clearly knew we were waiting to be seated and instead bypassed us. The hostess was very unprofessional and had poor customer service skills. We will never go back.",o_XdNKrk6JJpRXM11C74sA,0,0,1,5Aqt4Ikg479sHAuz8rOcEw
495900,2011-09-29,0,78TC3sZSYBzBsSJ0z5pyhw,"I was apprehensive based on some of the reviews but ate here twice during our stay and really enjoyed it. Wait was minimal, staff were friendly and attentive, and the food (flat bread pizzas and mussels as an appetizer) was great.

Pretty good value too considering its located in a strip casino",aCaR0RwEDh0CxO0o8fEIvA,0,0,4,SDMWqAuoGnTXDSoYrAOSIg
508212,2010-01-04,0,78TC3sZSYBzBsSJ0z5pyhw,"We made the big mistake to come here because the wait for the Paris buffet was longer than we were willing to wait.  Although I looked up the yelp reviews for this place and saw the comments on the poor service, I was hoping that our experience would be different.  Oh, how wrong I was.

It took forever to get anything done- our order, our appetizers, and our main course.  I think it took at least 45 minutes to get our appetizers and another 45 minutes to get our main course.  We could see our main courses sitting under the heat lamps for at least 15 minutes and the food was consequently overcooked and terrible.  We would have eaten better food at McD's, but at $30-40 per person, this was completely atrocious.  The waiter did not check on us after we received our food or else we would have given him a piece of our mind.  

The only positive about going here is that I learned not to go against the yelp reviews!",79sI1marPP4Gq8fFY9tF_g,1,0,1,Q_9gbyULAY3dOM5hLNpGEA
538695,2011-06-13,0,78TC3sZSYBzBsSJ0z5pyhw,Le Provencal used to be my must go to restaurant when I would be in Las Vegas. Their calamari was lightly battered and crispy and the rib eye was perfectly broiled and juicy. The menu has changed and the food is not what it used to be. I'm quite disappointed but there are so many other options when you're in Las Vegas for great apps and steaks!,cipQ8cUuTrSWpONNFi2uWw,2,0,2,0SKTYa9s2_8STsQRjPTcOw
554854,2010-01-11,0,78TC3sZSYBzBsSJ0z5pyhw,"Perhaps Le Provencal has been reading their terrible Yelp reviews.

 We had a delightful meal here after my foodie father recommended the place. We were seated immediately and our server took our drink order right away. This was quickly followed by a basket with a variety or fresh breads with and olive oil and vinegar dipping sauce. My partner and his friend opted for the pris fixe menu and had salads (one caesar, one house) and salmon. I am an occasional fish eater who has always had a dislike for salmon. I tried a bite of my partner's salmon and I must say it was the best I have ever tried. I ordered the calamari and putanesca flat bread for the table and both were delicious. The calamari was very lightly breaded and cooked to perfection. Unlike previous reviews we had mounds of calamari to  the green beans. I ordered the angel hair pomodoro and while it wasn't the best I've had, it was good. 

Our waiter was very attentive without being intrusive, and provided what I consider to be above average service. 

We only had to sit through one song performed by a waitress. While her voice was very good and I liked her song, the microphone amplified her voice too much and was too loud. Thankfully that did not go on too long and we were quickly back to our delicious meal. 

Overall we really like Le Provencal and are looking forward to trying the crepes out front tomorrow.",Wk0HPYGb_Kg2wupunntUoQ,1,0,4,k3b4WaacIvpT6CCH5RqipQ
605993,2011-12-22,0,78TC3sZSYBzBsSJ0z5pyhw,"These reviews are dead-on when it comes to the food and price. Wish we had checked the Yelp app on my phone before eating here. The food is bland at best and craves a healthy punch of spice and flavor. While the Le Provencal website actually boasts a $15 per person average check the people here on Yelp have it correct...it's on the pricey side. Expect to pay about $28 per person all while being underwhelmed by the food and atmosphere. Yes, the atmosphere, can you say drab, dull, boring? The best thing was the service. They were all pleasant and on top of things throughout the meal. 

I would suggest skipping this place if you have the choice. There are so many better options in Vegas for the same price.",WLNAJUlGmHUI5OEoYdLSog,3,1,2,mljgriwefq-bsN2osH8lHQ
618319,2012-04-22,0,78TC3sZSYBzBsSJ0z5pyhw,"Wow. The owners must have money to burn the way the front staff turn away people. Not only did the tall, very thin hostess tell us that other customers were more important, but she basically shoved us from the podium to make room for others. At no time was this place welcoming. The woman was actually hostile.  So I can't review the food, but I never want to return to a place that treats people like that before they even get in the door",09oQ-WZttOhuCjreWfYO0A,0,0,1,FapBu5MGpuAULZgz4J4iHQ
