,date,funny,business_id,text,user_id,useful,cool,stars,review_id
14447,2015-01-26,0,7GGJlp1aWfcXGQz6q7SkXQ,"I had high hopes for this bar, considering I love dive bars, drinking games, pub food, etc...

Unfortunately, the service ruined the experience completely.

We had a girl named Christine. Normally, I'd expect attractive waitresses at such a place (which Christine is not; she didn't even wear the uniform every other girl working did, but looked dumpy like she had been up for weeks and wore a hoody) - but it doesn't matter as long as they are friendly and good at their job. Christine is definitely neither!

Let's see:

- Unfriendly (gave off that 'I hate my job, why am I here' vibe

- Asked her 5+ times to see if they could put on a specific hockey game (with 80 TVs and it being early/empty, this shouldn't be a problem; but every time I asked her she looked like it was a brand new request and forgot). Never got to see the game.

- Was super slow to take our order, deliver the drinks and never brought water my friend asked for repeatedly.

- Asked her if the drinking games offered/promoted were every night or only certain nights; she didn't know and apparently couldn't find out (because she obviously never bothered asking anyone)

- Grabbed a plate of food I was still eating and took it away while I stared at her in shock/laughing. She didn't ask if I was done and it was pretty obvious I was still eating it when she just swiped the plate.

- Took over 30 minutes when asked to bring the bill; never brought it. We had to get another waitress to help us. Then our bill was completely wrong, over-charged for happy hour drinks, etc... and it took her another 15+ minutes standing at the register trying to figure out how to correct it.

On top of everything else, we tried a sampling of various food (fried pickles, sliders, tacos and boneless buffalo wings) and the food was very bland and sub-par for bar food.

For a place I *should* love hanging out at, this place failed miserably. I might return is I could receive a guarantee Christine wasn't working and we'd have a different server...",sub9uW-ttle0XrCRiJ-u_w,2,0,1,FkOTkqVb-4rJwPjHuhkW8Q
46208,2015-10-14,0,7GGJlp1aWfcXGQz6q7SkXQ,"Great vibe, would have loved to see a band playing though, they told us that they do have live music, we just unfortunately missed it.  Other than that awesome people and drinks, bartender Whitney was really hilarious. We will be back next time we are in town.",hD6Wgu9awqZ9gEJfKUmOFw,0,0,4,NnV12_a70d4Uaa4RGnHTfw
55085,2013-02-07,0,7GGJlp1aWfcXGQz6q7SkXQ,"I had a good time here last night, full bar, fun layout.  It was mellow when we showed up, but got pretty packed/busy by the time I left. 

There's a variety of seating options and a ton of TVs, so I can't wait to check it out for Football season.  I enjoyed the Chicken Avocado sliders and our bartender Lisa was very cool.  And beautiful!  This place delivers on the hot chicks for staff theme.  I had her mix me up a Mind Eraser and it was delicious.  

Also funny was that it being on the strip, a gang of British dudes rolled in and couldn't get enough of the mechanical bull - haha!   And if you're looking for Beer Pong, they've got it too.  

Anyway, I dug it.  They seem to have hit a nice balance for tourists and locals.",0EKNh8VTcUNi-ROCMFt0Xw,2,0,5,_NbMCnuzc0EdU-jI1pBbTA
68863,2016-03-30,0,7GGJlp1aWfcXGQz6q7SkXQ,"Went here during the lunch hours, maybe only 2 other tables had customers, no hostess greater us so we kind of sat our selves. We sat for about 10-15 minutes with no-one acknowledging us at all and finally the hostess asked us if anyone had spoke to us. We said no and she explained the one waitress for the 3-4 tables was also the only bartender...what? Needless to say, not impressed.",FkSLe5dhUtvgxKBtMFn9Aw,0,0,1,0UpA9yU2jIkAVALSfq8fKw
120410,2015-02-02,0,7GGJlp1aWfcXGQz6q7SkXQ,There's this server there named Porsche shes so bubbly and energetic i loved how attentive and concerned she was i will definitely be returning to rockhouse the food wasn't that great but the customer service was 5 star..,yuPjYNfszrICGgqpLdIu4g,0,0,5,43ys03yOrqFzf8ExhX4vdQ
129219,2015-01-15,0,7GGJlp1aWfcXGQz6q7SkXQ,"Just watched Absinthe at Caesars and walking back to my Pallazo suite and a guy at the door of Rock House offered free drink with purchase. Great music playing so me and company gave it a try. This place is a MUST ON YOUR  ITINERARY. 
heather w. was our waitress and went beyond the norm of making our party welcome with great service. She's definitely an asset. When you visit ask for her. They have instead of a mechanical bull to ride a rooster to ride. As I write this review I'm thinking one more shot and I might brave it for a Facebook op. Sliders are kick adds too.",2kSQwLIXqH1XbHFX7YU6NA,1,0,5,L-qAAqUbt-SZqN1_JmaWgg
131420,2015-01-14,0,7GGJlp1aWfcXGQz6q7SkXQ,"Hey everyone I don't often write a review unless I truly have had a great experience. The food is amazing, especially the tacos and the local beers on tap are really great. Also we came back again and the had open bar all day for 50 bucks for when I had friends in town.  We came back for the nightlife part since we had the open bar wristbands and was a fun time. I mean it's not a mega nightclub, but a fun place to drink and play beer pong and shuffle board. Also they have a giant rooster(cock) to ride instead of a bull so all the hot girls were on it lol hilarious stuff. Guys and girls I highly recommend stopping in to watch any pro sports and to grab a drink thumbs up",ZqYQOJLXaAJFJRN9t2ABcQ,0,0,4,ZDvKK9WUjZTaxB4VocyPRQ
236187,2016-06-24,0,7GGJlp1aWfcXGQz6q7SkXQ,"Don't buy their $50 all you can drink, they change the rules on what you can drink, bottom shelf, horrible customer service, waitresses don't know what they're doing, bartenders don't know how to mix drinks, management is disgusting",4k_A0TRMJMcK8DMuUjS6ng,0,0,1,5-4vkiFTbzAFnJkq8dxb8Q
244104,2013-09-23,0,7GGJlp1aWfcXGQz6q7SkXQ,The place is really nice has good atmosphere. Although some of the waitresses could use some touch ups. She was not very helpful and our food came 45 min later cold! The general manager was very nice very helpful,yqoUs1IOFkyo_6RFo1EWJQ,0,0,2,t0JS0aTAnaLpAkw31lbCgQ
271203,2013-11-09,0,7GGJlp1aWfcXGQz6q7SkXQ,Boring. This place was dead and they still wanted to charge a cover fee. Their service is awful even with the place completely empty. It took them 30 minutes to bring our order. The security guys are a bunch of losers. With their little power they act like bullies. I put my head down for a second. Wasn't sleep or anything. Just rested it on the table. Get told I can't sleep in there. Not my fault this place is lame.,lDEfgeXxlCnBin5p5q2wUw,1,0,1,Z9bqHz65vFBsnZlAMl4iuA
311704,2013-02-05,0,7GGJlp1aWfcXGQz6q7SkXQ,"DON'T ever go to this bar, especially for any event!  Ditto on all 1 star comments for Super Bowl Sunday event.  Hundreds of people waiting in line for over an hour and still miss the kickoff.  We reserved a table (which included unlimited drinks 1 hour prior to kickoff - but NONE given) even got a confirmation from Lauren (event director), yet when we finally got to the front to be seated, they did NOT have my name on the list!  We could not be accomodated so found a nicer comfortable lounge in Palazzo.  Benjamin T. (5 star review) you either work for the company, know someone there or one of the rare lucky few who was serviced.  I can guarantee 90% of those who attended were not happy of how the event was organized, but most won't waste their time writing a review.  This place doesn't deserve being in a property as Venetian.  The locals in my group will NEVER recommend this place to anyone.  Wish could give it minus stars!",shbuWYboXKAm0ckmgOE4Lg,1,0,1,39XqwX8sNEZ-rYGRcyd2-A
