,date,funny,business_id,text,user_id,useful,cool,stars,review_id
35583,2013-01-10,0,7UtqNjjd9D6oU7UcT2nxig,"If you're from Las Vegas, you are probably very familiar with Capriotti's.  My friends who were in town from Cali, however, were not.  We were looking for an easy sandwich place to satisfy our lunch time craves and I just knew I had to expose them to the deliciousness that is Capriotti's.
The two most popular sandwiches are by far the Bobbie and the Capistrami.  The Bobbie can be summed up as Thanksgiving on a roll, with fresh turkey meat, mayo, stuffing, and cranberry sauce.  The Capistrami has pastrami meat, thousand island dressing, swiss cheese and cole slaw.  Both are great options and I go back and forth between the two.  I've also heard the Philly Cheese Steak is pretty darn good too, but I have yet to try it.
The sandwiches always take a little longer to make at Capriotti's (especially if you are comparing to something like Subway), but we don't usually mind.  After all, it takes longer to make when its fresh. You can also call ahead and order, and I believe this location delivers!",wl3BnGZs0KnOts4M5YLBjw,0,0,5,FRMuW6BTwIHMyzYZGJ56hw
227856,2015-05-16,0,7UtqNjjd9D6oU7UcT2nxig,Female black employee completely rude probably has never had any type of customer service training ever in her life! Other then her none of the employees are on the same page about anything everyone acts like they don't know what's going on..... I ordered a sandwich by phone the person making it seemed like he was rushing me off the phone and then when I got home had the wrong order.... The only thing they offered was for me to drive back to their location and take the sandwich back,0US7boV-JEByjfqSs93Ylw,2,0,1,xxjaCGXYxs1Ibs1pf6d-Zw
290737,2015-07-13,0,7UtqNjjd9D6oU7UcT2nxig,The sandwiches are amazing but the employees suck. This is very unfortunate. The sandwiches aren't worth poor customer service in my eyes.,WA0DAT3APD_MDkM6BnoKUA,1,0,1,XX-ZVc6zwq_HAubiHP38rw
426105,2017-09-06,0,7UtqNjjd9D6oU7UcT2nxig,"1st time at this location. Service was great. Food was ready very quickly. What more can you say about ""The Bobby!"" Great sandwich!",PE_qdS0FplTwRwh2dPGnHQ,0,0,5,PMSWmx18cCsTrIRY3RCOYw
512843,2017-04-28,0,7UtqNjjd9D6oU7UcT2nxig,"The Bobbie is the bomb.  it's the only sandwich I ever order.  I want to branch out but I just can't.   The ""real"" turkey as opposed to lunch meat turkey combined with stove top stuffing (which I love), cranberries and mayo on a soft bread roll is better than a lot of Thanksgiving dinners I've eaten.  If you had french fries, I'd give you an extra star, but it's a very very strong 4.5 stars!!",x_Men2agHTy6ao9YGFQv-A,0,0,4,BOSZ9BWLshFgISJh0qr1xw
542943,2011-11-02,0,7UtqNjjd9D6oU7UcT2nxig,"Stopped by this afternoon to get something to tie me over until my late dinner reservation tonight.  My first thought was ""Why don't they have a 6"" sandwich, I'm only going to eat a little and waste the rest."". Ahhh, no.  I decided on the 9"" Capastrami.  Needless to say I ate the entire sub in like 4 stop lights.....it was that good.  Perfect blend of salty, sweet, hot, and cold.  The bread had a wonderful soft chewy texture and the sandwich was incredibly juicy and flavorful.  Not to mention the guy at the counter was very nice and friendly.  Oh and to answer his question........yes, I think you guys should open a store in Hawaii, we'd love it!",OHS9hVIOUBNKIcMeVukOdA,0,0,5,EetQDou-hoOekrcc-cyGXw
555384,2015-02-23,0,7UtqNjjd9D6oU7UcT2nxig,"Great service and the food is delicious.  When I went in for the first time the gentleman in the counter was extremely patient, recommended an item from the menu. Loved it. Been going there since then almost every other week for lunch. Thanks. ..",F50ML7VEltbX6KWmgGP2yQ,0,0,5,-4ddi8mxYlcbmM_1zTq7HA
564388,2015-03-02,0,7UtqNjjd9D6oU7UcT2nxig,"Love this place. Staff is always friendly and helpful. I come here for their vegetarian options. I always place a phone order, and it's ready when I come in.",FcOJnlFY8Mgvtvtc2fkgVA,0,0,5,KbBaEOOrqDvVzRpf9IuKqw
626190,2015-12-31,0,7UtqNjjd9D6oU7UcT2nxig,"This place is the worst. The employees are dumb as door knobs. I ordered 2 sandwiches today 1 was tuna on wheat bread and it came with a slice of dry crust which was hard to chew for my co-worker, and the 2nd sandwich I ordered was a turkey on a white roll which ended up being a tuna as well. That was just money in trash. Horrible service and dumb employees who need either more training or a different job that does not require reading. Rethink on going here. Bad! Bad! Bad!",gMli_M8swb1ViqxoBn9etQ,1,0,1,tBVuuB3IQmRjCELmrIEMmA
1006251,2014-05-18,0,7UtqNjjd9D6oU7UcT2nxig,So I never really had pastrami before...but I decided to try it here along with the chicken cheesesteak...both had really good flavors and the bread was good...I had no complaints...staff was nice and let me look at the menu without me feeling rushed...I now have a place to take friends if I visit Vegas again...thank you:-),atpz9VI9UgdUjX8Ig0yw9w,2,0,5,jS4SEg-oVuyCKEjTKcKMNg
1043866,2017-01-06,0,7UtqNjjd9D6oU7UcT2nxig,"I tried the Chicken Balsamic salad today it was good. I was told they had great salads, the friend who referred me always gets the BBQ salad with double chicken, they said it's a great tasting salad too. The staff was friendly, it was clean and the service was fast. I noticed when I got there that they deliver also.",_3_4iBgr1JBjBsdwKD2zlg,1,2,5,FC2IwG2kf4J0DRA_GIdXYg
1044787,2013-07-18,0,7UtqNjjd9D6oU7UcT2nxig,My favorite sandwich shop in Vegas hands down. The bobby always caught my attention and appetite.  But slowly moved into the hot sandwich section. Im from Philly and I ALWAYS compare.  This is the only place I will order a cheesesteak from. Still not home. But its still very good. If you've never been try it. This Sahara location always makes my orders quick and fresh,GThoyiuZB5jZ8-byDe64iA,0,0,5,MkUxopZb3uvMr4_s_2rMNQ
1075196,2014-07-19,0,7UtqNjjd9D6oU7UcT2nxig,"As always very good food very fresh and hot taste great, don't mind the price for that!!",b205jH41Wu7w94vSbzAdhw,0,0,5,F4i09fN11MjWFkaNUUNd1Q
1085838,2013-12-22,0,7UtqNjjd9D6oU7UcT2nxig,"Best sandwiches I know of.

The Capastrami is just excellent.  They make the best cheese steak I've ever had, partly because they actually offer truly hot peppers as an option (they also have mild) and partly because of the overall quality of the meat and other ingredients.",JkhkHt0BY4ZWMkzrMmEU_A,0,0,5,M5wn7x59tByCIrndhOJ1ew
1147148,2016-07-31,0,7UtqNjjd9D6oU7UcT2nxig,"Love Capriotti's and I've always gotten stellar service at this location! Friendly staff, clean store, prompt service! My favourite sarnie is The Bobbie, so yummy and the turkey is always cooked perfect!",GQoQmluA2-laFQDPato1Pg,0,0,5,lJlmbgwyEJnNb4eKp2JDoA
1260874,2018-05-19,0,7UtqNjjd9D6oU7UcT2nxig,"On 0t/17/18 at approximately 1100 hours, I ordered some food for pick-up at Capriotti's Sandwich Shop located at 8450 W. Sahara Las Vegas,NV. suite 116.  When I  arrived for pick of my order, a young lady, told me that she couldn't find my order.  I gave her the online confirmation number and she still had some difficulty finding my order. She finally asked someone else and my order was discovered. Pick-up was at 1200 hours.  I ordered two large bowls of chicken and noodles soup.  Also, ordered two sandwiches.  A Bobbie 20"" and a Chicken Cheese Steak 12"".  A young man who made the sandwiches and handed me a paper bag with one soup inside of it.  When I told him that wasn't correct, he said what's wrong with it.  Instead of looking at the written order, I  felt he wanted to continue to question me about what I had ordered.  I told him that I had ordered two large Chicken Soups.  Again, instead of looking at the written order, I felt he was not pleased with me for saying the order was not correct;  terrible attitude.  
In my judgement, this Capriotti's isn't orgainzed  when an order is placed online.   Also, the person making the sandwiches/food has a bad demeanor.  
Also, if you order a large bowl of soup which is $5.99, it's not, in my opinion, large.  So, don't expect it to be.  And the person making the sandwiches roiled the sandwiches so small that you think your getting a tightly rolled Cuban cigar.  The Bobbiie and Chicken Cheese Steak meat was paste too.  
These are my judgements of what took place for me and wantrd to give others this information inorder to make their own decision if one wants to use this Capriotti's Sandwich Shop location. I'm sure most Capriotti's Sandwich Shops are not like this one.  My opinion is to think twice about ordering from this location.   

Dennis D.",uH5waWFtHq8WM_CoA9anXg,0,0,2,NWvwjleSwJTsB2dUN65ZmQ
1340577,2015-09-03,0,7UtqNjjd9D6oU7UcT2nxig,"Very poor service was calling store 10minutes prior to closing no one was answering the phone . Pulled up 5 minutes prior to closing . There was a couple there eating the employee was there on the grill. She noticed our car pull up and runs to the door grinning the entire way , then locks the door n runs back to the grill . I get out..... go to the door and of course it was locked shes smiling of course . Very upsetting people there were already eating so why she was on the grill i dunno sure in the hell wasng making my sandwich",R9TIWPBlMuzzWgYXZBnAlg,1,0,1,lFdsLtAWAymMzHncXTzhmA
1353974,2017-05-10,0,7UtqNjjd9D6oU7UcT2nxig,"This is the second capriottis I've been to and both times I've been dissatisfied with service. The workers are not friendly at all. They look like they hate their job. I understand some jobs you hate but keep it professional when dealing with customers. The first capriottis was on Craig and MLK the guy that took my order was so rude and made me feel like I was bothering him just by walking in. I ordered a veggie burger and he told me it would take 25 mins to make so I changed my order but still had to wait 20 mins for my food. The man that came out to give me my food was nice and my food was delicious so I'm giving it 2 stars. At this location same thing, rude people not very interactive or friendly. I ordered some chicken cheese steak sandwiches and when I got home it was just chicken. The guy who took my order didn't ask me anything when ordering. The Craig location cashier asked if I wanted the peppers and all in the sandwich, this cashier didn't ask anything just what do I want, what's my name, here or to go. I love the food, when it's made right, that's the only reason I keep trying different locations. Hopefully the next one I visit is better.",MmMd1ndYxfVsEsP9zWlKdQ,0,0,2,8YZONLChpxTcDs3G2oAfQA
1372720,2017-02-13,0,7UtqNjjd9D6oU7UcT2nxig,"Came in on my lunch break and only had two people waiting in front of me, even with just two orders ahead of me waiting it took them over 15 mins to make my sandwich. I would understand if i had a large order but not just for one sandwich. Plus the staff here doesnt seem to pleased to be assist customers.",c5tvQ7RYTYd8BQ1VMqVqNw,0,0,2,lPNXxhrWwx6hGnFl24Dinw
1431169,2014-11-24,0,7UtqNjjd9D6oU7UcT2nxig,"A business is only as good as its staff and the guys here are top shelf. Capriotti's has the name but I won't go to restaurants I don't feel welcomed in. They make you feel like part of the family. Being that I am in the customer service world I can truly appreciate this place. 5 stars all the way! Special shout out to DJ. Always has a friendly attitude and remembers repeat customers. Keep up the great work guys, you have a customer for life.",_FsDGvewO3u8oJ2y8Uw5OA,1,1,5,rb_39Ak7t7PnjJpPMPAeQw
