,date,funny,business_id,text,user_id,useful,cool,stars,review_id
46471,2013-04-02,2,7Wr0piSMGiq5qy5opiLNrA,"Horrible. Had the burger, fries and hot dog. Couldn't even eat the hotdog, smelled like it was the epitome of food borne illness. Fries were passable, burger was as dry and tactless as the desert itself. Would not go back, even if I was starving poolside. MGM should be ashamed, especially when there's quality pub food just inside at Wolfgang pucks.",ZsWvtk52vLrvKTFxsbSTDw,1,0,1,ifNmCSzV2ZBIIPRVCm_Ejw
623407,2015-08-22,0,7Wr0piSMGiq5qy5opiLNrA,Great Service and pretty good food. Not a fan of the street taco but loved the blackened chicken quesadilla.,-XouWRfq24qMx37oJcXXmg,1,0,3,oe0x1PqpgIhzw7wkjsGa6g
1365438,2014-07-01,3,7Wr0piSMGiq5qy5opiLNrA,"I'm teetering between 3 and 4 stars on this one. The Cabana Grill is an open air restaurant in the Grand Pool Complex at the MGM really more like a cafe in style. You need to be a hotel guest to get through the entry that leads to the cafe. The seating area is covered from the sun - thank God! The staff were all friendly and nice. Everything came really quickly and was quite tasty. I had the Breakfast Sandwich minus the bacon and my b/f had a Shrimp cocktail and Greek salad. Of all the places to eat around the pool this was the best option for us as we didn't want ""fast pool cabana type food"".",paNtPIcJtA_7TqwC8q27-g,4,3,3,F1T7zr57NZFlXmFfuC80iQ
1539254,2009-07-30,0,7Wr0piSMGiq5qy5opiLNrA,"Swimming makes you hungry, doesn't it? The Cabana Grill will cure your food fix. This place is located in the MGM Grand Pool area. Prices average about $10-15 a person. Which is fair considering it Vegas, and in the pool area, where its the only restaurant in site. Unless you want to leave the pool area. I don't think outside food is permitted, but I'm not to sure. 

The sandwiches must of had about a pound of meat! Really, insane amounts of meat. I had the grilled ham and Swiss burger, which came with fries and a pickle. I only ended up eat half the burger, cause it was so massive. Remember what your parents told you, ""wait an hour after you eat, before getting in the pool"". After the massive burger I felt like an anchor in the pool! LOL! 

Some of my other buddies ordered the cabana dog, which was also massive, looked like a foot long dog. And the bucket of nachos...it was literally a big ""bucket"" full of nachos! Overall good food and convenient if you've been floating in the lazy river all day and get hungry!",GPxFYgWKr7volrJpjIMtVw,2,1,4,_gMtiXAiMKj93sKbG2K8-Q
1600941,2017-08-05,0,7Wr0piSMGiq5qy5opiLNrA,"Came for brunch. They were pretty busy  but the server was on point. Fast service, friendly staff and really good food for a restaurant  by the pool.",1dESsePt4DJE6lvMS1VE9Q,0,0,5,U8pls6Hc7V-Nf5xDoEDCjg
1859287,2009-06-07,0,7Wr0piSMGiq5qy5opiLNrA,"While staying at the MGM Grand, my girls and I ate here two days in a row. So good! I had their cheeseburger and Meditteranean salad. Delicious! The salad was better than the burger though, but the fries with the burger were delicious. It's located in the pool area and I'm not sure if you need to be a guest there to get in. 

The service is okay though, but they are really bad a refilling waters. I'd highly recommend checking Cabana Grill out when staying at the MGM. I think all the food was under $20 during lunch, so it's not bad in Vegas terms.",19ovO-9P2DgBeQ-W1BwaVQ,0,0,5,X08N1n9ilZy8Gl9r3rd7uA
1929894,2013-07-25,0,7Wr0piSMGiq5qy5opiLNrA,I had the nachos and OMG THEY WERE TO DIE FOR. I am still having dreams about them..lol. And its a HUGE portion too...so worth it!,XVONaegQhidqRPQmRPeiFQ,1,0,5,-zpyEZPh60vkXAHtOPkTKQ
2310805,2018-05-13,0,7Wr0piSMGiq5qy5opiLNrA,Only giving this 4 stars because the frozen lemonade gave me the worst brainfreeze of my life,tZ1HoGGdLAVwgnSJWUdQWg,0,0,4,X9GDeI03O7DhSJ9qMQw2LA
2858885,2009-05-12,0,7Wr0piSMGiq5qy5opiLNrA,"OMG, this place was yummy!  I had a sausage and mushroom pizza - it came Chicago style the crust was that perfect combination of soft by crispy!  Surprisingly enough, this was the best place I ate on this Vegas trip, def stop by on your way back from the pool!",g_DnmdEq-JQEt4QL1uSuQw,1,0,4,B9e7ZVYTMuq55AZ_LjJY7w
3207766,2010-06-09,0,7Wr0piSMGiq5qy5opiLNrA,"Located in the MGM Grand outside by the pool, we figured we'd eat this before going into the pool.  I know you're not supposed to go into the pool right after you eat, but hey, it's Vegas.

I had the chicken strips which came with 4 big pieces of chicken and a bucket of seasoned crisscut fries.  Tasted good and there was a lot of it.

The grilled cheese sandwiches were a different story.  Two sandwiches came out with the cheese barely melted.  Thats not grilled cheese in my book.   Also one sandwich was missing the fries it was supposed to come with.  So it took a while to get that straightened out.

The frozen drinks were not that great either and kind of expensive, $20 dollars each. Considering that the service wasn't very good, it was annoying that the bill had already added in the tip for a group of 4 people.",Cea45bU6zSRZSer822iobw,0,0,2,XgfOPLlAoEbdkzgMcxHyhw
