,date,funny,business_id,text,user_id,useful,cool,stars,review_id
303399,2017-06-24,0,82kehL5xSvGbLYTmF_f2Vg,"Been here once, never going back. We came in around opening and we were seated by a lady who was talking on the phone. She did put the phone down to take our drink order im assuming she is the owner or manager. 15 minutes passed and we never got our drinks and no one came by to take our food order. We waited 5 more mins and nothing not even the water my mom ordered. We decided to leave and as i look back i see the cashier brushing her hair. Not even a good bye or have a nice day. Horrible customer service.",f2OUieGKrQKT8JUF0k7J0Q,4,1,1,ifzDsUHrShxwL0NrGd7svA
304955,2017-04-24,0,82kehL5xSvGbLYTmF_f2Vg,"The manager did write me a message to go back and have a free crepe. I also saw that It was posted that I was never there. First Impressions are everything for me I will not be going back. Last I didnt know that mentioning another business ""affiliated"" me to them. Nice try at an apology.",l5XEBQErNhyALxulGaZwyQ,0,0,1,4JlFjb7Q4P0J56-D7oce9A
536230,2017-04-09,0,82kehL5xSvGbLYTmF_f2Vg,I like the location & how spacious it is inside the restaurant. Interior is not too all that but the food is great. I've got to say hands down their chicken tortilla soup is simply delightful & ever so flavorful. Will be coming back for more sopa.,begEaQxWEJUXs621dAyuGg,1,0,3,Um3tcWFFznN7OQdBMVEZnw
638646,2017-02-18,0,82kehL5xSvGbLYTmF_f2Vg,"I enjoyed the crepes a lot, The food was ok but I think I'd stick to just the crepes next time!",ki0sBYUmP-QCGzbqxrTtpg,0,0,2,wtvifN0BtWvARIb7HFIksw
675517,2017-05-14,0,82kehL5xSvGbLYTmF_f2Vg,My son and I stopped here and breakfast. Food was really good. Will definitely come back,ztG22NbTBh3TPpsElOiqCA,0,0,4,FG62gRPGfDcrwa9_y_nN4w
1185595,2016-08-27,1,82kehL5xSvGbLYTmF_f2Vg,"Good Mexican food for a good price, only thing is they forgot to add cheese on my burrito. $5 for a burrito that would normally cost me $8-$9 anywhere else. They have this house made chile rilleno salsa that's so good, gotta try it if you go here.",Yw2oiPJjc_oS4osA6sQW-w,1,1,4,Ui9dCBw0-IYTlltIe7kXfQ
1391926,2016-06-28,0,82kehL5xSvGbLYTmF_f2Vg,"Tacos are ok-
Crepes are great, but they are a little heavy handed with the toppings.
Service is hit or miss, there is a woman that will take care of you, ask you if you need anything, refills on drinks, etc.
Or you get the girl that acts like you are bothering her for ordering food. Doesn't check in on you and you gotta pursue her to get check and pay.

I have been there a few times. It's quiet and never busy- 

They do make good iced coffees. They offer lots of choices for drinks- smoothies, shakes, Italian sodas, etc.  I love the variety, but unfortunately, I don't think they will be in business long if they don't up their service.",fi0IC8CB9kbIB3JSx25N9g,0,0,3,5NqcUeYcTXMDrKQKEuqYgw
1403336,2016-05-11,1,82kehL5xSvGbLYTmF_f2Vg,The food is okay and its usually empty so you don't have to wait that long to get your food. But I just love going here for their crepes  they make them really good.,GTXCZ0CwEINUNeRmgOhTHA,1,1,4,INYD2QVSMh9lMlyxEoytkg
1483317,2016-12-04,1,82kehL5xSvGbLYTmF_f2Vg,"Been curious about this place for awhile and we finally stopped in for brunch today.  My husband had a chorizo breakfast burrito.  It came with crema and lettuce & tomatoes on the side.  He really enjoyed it!  My son and I ordered crepes.  Mine was strawberry banana with cream cheese sauce and my son chose apple banana with chocolate sauce.  The crepes tasted delicious though the texture was not what I expected.  Texture was more tortilla like with the taste of a crepe.  Again, they were still delicious and I left nothing on my plate!  Service was good but slow as there was only one man running the place when we arrived and he didn't speak English so communication was difficult. Luckily two others eventually came in to work and sped things along.  The coffee was surprisingly fresh.  We would probably stop in again if in the area.",WV3eqrJ0Z2TH-URs2hmbbw,1,2,4,3VGxydzSd38AYNxypswiQA
1527661,2016-01-12,0,82kehL5xSvGbLYTmF_f2Vg,So first time and last time going here. Didn't even get to eat. Came before closing hours and they just signaled me and my boyfriend to leave. I was really excited about this place after my boyfriend's brother recommended it. Horrible treatment.,M6-nhO81Kast03_40ON1ew,2,0,1,Ej6S-g9A6buWi4Y6kv94Wg
1751206,2016-10-10,1,82kehL5xSvGbLYTmF_f2Vg,"I love it, I had 3 tacos de asada and a strawberry Nutella crepe, I reccomend the salsa verde with your tacos it taste sooo good if you're into salsas, it's pretty spicy, the tacos are average but the crepe was delicious and beautifully presented. The agua de jamaica is also delicious! I would recommend this place to a friend!",5HbyzzlaVcl4TMCx9ubO_A,1,1,4,x9ytxwgq_Qi-LNoABEShVw
1934855,2015-09-12,0,82kehL5xSvGbLYTmF_f2Vg,Very clean but food is a little on the pricey side considering there is a taco shop across the street. I was disappointed with their aguas frescas because their menu makes it sound like they carry different flavors but they only had horchata and jamaica. The only reason I would buy food from here again is because they deliver for free since I work close by.,2mof3UPy9zNJK0cN5t4_NA,6,0,3,D4ITp3aPz6tfp7sU1CTMaA
2069479,2017-08-28,0,82kehL5xSvGbLYTmF_f2Vg,"It's supposed to be open Monday-Sunday 9am-9pm, I showed up Monday around 11am, and their doors were locked. What a disappointment, if you're going to close on certain days out of the week at least make sure you update your info online.",W_mXejVANjRUw_b6NrzWYQ,0,0,1,jKnMGSak7aBQq4HcAHkBKg
2683745,2017-10-07,0,82kehL5xSvGbLYTmF_f2Vg,"Little gem on the east side. Crepes were the best I've had. Fresh fruit: strawberry, mango, and banana. Filled with Nutella, cheese cake, and lechera. Topped with ice cream and whipped cream. 

I'm coming back for the N' Tacos portion next.",jHbb19Er_L0y5em6S4V_jw,0,0,5,Dm9lMxTJhEBiW-uXBVtshA
