,date,funny,business_id,text,user_id,useful,cool,stars,review_id
59576,2015-09-12,0,83C5ysOCnmNGB_fDsVdr9Q,"Well I was excited to try an Italian bistro in the neighborhood... But was it ever disappointing.  Restaurant that is in a bar, didn't serve drinks, you had to go to the bar and order for yourself.  Then after a long long wait, our order was taken... My husband ordered Chicken wings, and I ordered Chicken piccata with angel hair pasta, salad and garlic bread... After a 25 minute wait  my salad comes out with ranch dressing in a cup, but I had ordered Italian dressing. After another 10 minute wait out comes a huge bowl of spaghetti with lemon sauce and capers.  When the waitress delivers my husbands chicken wings I asked if my chicken piccata was coming?  She went back to the kitchen with my bowl of spaghetti a partial eaten piece of garlic bread and my fork.  3 minutes later out came the bowl of spaghetti with chopped up chicken pieces added.  I wouldn't eat anything more.  Don't waste your time.  Too many wonderful places in the neighborhood.",fHCYZOpG1rP8dz76yyMxNg,2,0,1,TXODSZMClwjC8deVGF4vjA
160274,2015-09-26,0,83C5ysOCnmNGB_fDsVdr9Q,"What a pleasant surprise. It's around the corner from my house so I figured I'd give it a go. Can't beat $7.99 for a carry out special. I didn't expect much but this is a quality pizza. 

The sauce is sweet like a real Italian pizza, the crust is crispy and tastes extremely fresh. I don't actually know if they make their own dough but I wouldn't be surprised if they did. 

The location is in a bar so I was a little confused on where to get my pizza but the bartender turned me around to go to area that I pay for my pizza. Overall good pizza, great price. I will definitely be returning.",qQeSdVOB0KRyfoSl4e8AYA,1,0,4,xA7i3g2d3utKYCPyi1Fc5Q
165017,2016-12-03,1,83C5ysOCnmNGB_fDsVdr9Q,Awful. Never received my food even though they're claiming I did and refused to do anything about it,Y6qvkRmsfZwAHdJNQnFZuA,1,0,1,LUwM8MzdecLzlbfU0plVVg
486215,2017-04-15,1,83C5ysOCnmNGB_fDsVdr9Q,Worst service I've ever had in my whole life! Food is decent! They have one person working and one bartender with a full house! If you want good service this is not the place!!,VbmLdzzO6R1h8DVeoH4lFQ,2,0,1,B85eUicp-PQSjDAPYFFRjg
586782,2016-05-26,0,83C5ysOCnmNGB_fDsVdr9Q,"I'd also give it zero stars if I could. My wife, granddaughter, and I wanted to give it a shot, so we headed on over. When we got there, there were absolutely no customers or staff in the place. That was a cause for concern, but we were still willing to give it a shot. We waited for a hostess or someone to seat us, but after 10 minutes, no such luck. So I grabbed a menu and called them from inside the restaurant. When someone finally answered, I asked if the dining room was open, and got an unenthusiastic ""yeah"" then informed her that I'm calling from inside the restaurant and we were waiting. Just got an ""okay, I'll be right there"". When she finally came out, the first thing she said was "" no one under 21 allowed"" ( granddaughter is 7). I understand the under 21 rule, because it's attached to a gambling establishment, but it was closed off by a glass partition. So we left. Very disappointing to say the least. No wonder why nobody was in the place. Bad service model to say the least.",UqGGWZ2fPZWGAkJk0SDq5Q,3,0,1,tPqhqiQlzldZzQVeZQreHg
608423,2016-10-08,0,83C5ysOCnmNGB_fDsVdr9Q,"White pizza was a letdown. Where's the seasoning?
As was the case with the  spaghetti.
The garlic balls had good dough but no flavor. Even adding garlic,  red peppers, and every other Italian seasoning at home...it was disappointing.
Overall, not a good place.",TM7BHkRIivrA0ti8l_Hy6A,1,0,1,dRkHyWYTbwNj1tgglA5zWA
687046,2016-01-13,0,83C5ysOCnmNGB_fDsVdr9Q,"My husband and I have eaten here multiple times and I keep meaning to post here on Yelp, but this place is awesome!!  The carryout special for $7.99 is awesome - dough is fresh and crispy and toppings are abundant.  The garlic fries are TO DIE FOR!!!  And the best thing on the menu???  The extra extra crispy, deep fried wings!!  Fresh wings, super crispy, and the garlic parmesan flavor is amazing.  Plus the ranch is homemade!  Sometimes service takes a little longer because they tend to stay in the kitchen, but just call the store when you arrive and someone will come out when you tell them you're there.  I saw people complaining that they won't bring you drinks... seriously??  Why are you looking for 5 star service in a restaurant that's in a bar??  It's not like the bar is far away from any of the seats, walk over and get it yourself, lazy!!  And I've never had skimpy portions on toppings or sides.  I'm just glad there's a real place to get good food here, instead of that terrible BBQ place that was a total waste of space, time, and money.  At least now the food is good!",anGLvPWlnmR1U4s5pPfSdQ,0,0,5,9Z1wSAOriegSsaA8A2aRUw
1543840,2016-01-07,2,83C5ysOCnmNGB_fDsVdr9Q,"I'd give them zero but that's not an option. We went there on the Friday before Christmas but couldn't get service. We fetched our own menus and seated ourselves in the empty restaurant and finally went elsewhere after 20+ minutes. A couple of employees did appear after about 10 minutes but they didn't acknowledge us at all... even after standing up and waving our arms around. All I can say is, close down so an actual restaurant can occupy the space.",wOpzh1RYcz-SLu55NEaaBg,2,1,1,7BBQfFU9WaxsQCHEAFK0kw
1593398,2017-09-03,0,83C5ysOCnmNGB_fDsVdr9Q,"I first want to say that the pizza we ordered was one of the better ones we've had here in Las Vegas in quite a long time. Great crust and the ingredients were fresh and really had great taste. The reason I'm giving this establishment A one star is the fettuccine Alfredo was disgusting and made with or by someone who has no clue on how to properly prepare and make this simple Italian dish. The sauce was made to our knowledge with just butter and a cream or so we were told. To us it tasted like a cream based gravy, flavored with chicken bullion, it was disgusting bottom line. Then to top off this one star rating, the waitress was all but pleasant and in no way interested in providing personal service with a smile. She mad no effort to make sure we were enjoying the food or if we needed any attention. We really wished she would of come around a lot sooner, not when we we're ready for a check so we could let her know that the Fettuccine was crap and we would like it removed from the bill. When she did finally come around we asked that the fettuccine to be removed from the bill, she was surprised of this request. She came up with the lame excuse that she couldn't and the only thing she could do at this time is pay for it herself. She explained or tried to make an excuse that she already had entered it into the system, BS. If that's the system they have or if that's the way the train there staff then this place needs to be marked as a place that would rather scam the patrons and hold the servers accountable, then they need not to be in business at all. This server returned to the table with the check and abruptly placed it on the table (w/ the fettuccine removed, imagine that) and walked away with no explanation or concern for us. My wife tried to communicate with her but she just walked away and just said you got what you wanted and said I'm busy. Any long story short, I WILL NEVER RETURN TO THIS RESTAURANT AND I DO NOT RECOMMEND OTHERS TO PATRONIZE THIS PLACE WHERE CUSTOMER SATISFACTION IS AT THE BOTTOM OF THEIR LIST OF PRIORITIES.",n3_YW9Z34AcnE6P3AJkMBw,0,0,1,n9q3CIWRA_IHgKTBEvSKlA
1814728,2018-01-13,0,83C5ysOCnmNGB_fDsVdr9Q,"This is the only place I get pizza from. Pizza is good, price is good and people are friendly. I was able to get them to make a breakfast pizza with eggs and green peppers when most other pizza places laughed and assumed I was high (which i was) but these guys did it!",Ht_S3fdCtagrLIUip8OixA,1,0,5,cLdnNz_7fIk8zohdEKMrIA
