,date,funny,business_id,text,user_id,useful,cool,stars,review_id
13223,2014-05-31,0,8J4oT58-Nc-q1bpF9CRTpw,Great food cold beers and great service.  I wish we had an applebees in hawaii.  Omar is a great server he took great care of us.  I wish I could give more than five stars.,1e8BEktGPUGcFw1CCpBWqw,0,0,5,KimUmkvI-H20oHqY5dK93A
174019,2015-07-19,0,8J4oT58-Nc-q1bpF9CRTpw,Well the drinks were great but i perfer my glass to stay full rather than wait. The salsa verdre brisket nacho only had 3 chips with meat on them. Very disappointed. But the sever amanda was very sweet.been here a few times my experience was ALRIGHT.,s6X5aD_wt_lhzV6IvIjQKg,0,0,2,Ygi-5MQ43bBLEQkmBlnKzQ
180994,2013-10-20,0,8J4oT58-Nc-q1bpF9CRTpw,"I always managed to feel sick after eating here, so I stopped going except for happy hour after work and maybe fries to eat.

Service varies. We had great service at first, and then it went downhill and we stopped going so much.  I might try another location, but it's not likely.",TnhTyk1qfJ8jL2bHpeTrhQ,1,0,3,DA4L8fZpO_Jr6rL3W1BiWQ
209719,2017-12-31,0,8J4oT58-Nc-q1bpF9CRTpw,We waited for 20 minutes for our server to greet us and/or take our drink orders. We got fed up waiting as at least 3 servers who past us back and forth multiple times and we've yet to be greeted. It wasn't even busy or full and we were sitting there waiting for our server to come by. By the end of 10 minutes of waiting since we sat down we knew what drink and what food to order but another 10 minutes went by with no one acknowledging us and we got fed up with it. But the servers apparently had enough time to visit other guests and chat with them. This is not the first time we've had awful service and long wait times but at least we were greeted briefly but apparently even with new management and people it is still slow and terrible service. Go to the Lake Mead/rainbow in Summerlin or the one in Henderson location. You'll get better service than the Fort Apache/Tropicana!,wvqaLdbaK8h-lutRpXm2mQ,0,0,1,JjA8NKhKaEWc8Sd6Iprnow
231768,2017-04-30,0,8J4oT58-Nc-q1bpF9CRTpw,"I'm relatively new to Vegas, and I don't have the time to cook, so it's great to have an Applebee's right around the corner.I always sit at the bar, and DJ is the bomb. This restaurant is extremely clean and well maintained, the GM of this location really has it together. The food is actually better than other Applebee's too. It always comes out warm and fresh.  But what keeps me coming back is   DJ. I cannot say enough how incredible the service is here.",cITtU6OVAT1zhTb0DTrJfA,0,0,5,uFRUXk1CRWZGHRHECAYgww
260885,2015-07-08,0,8J4oT58-Nc-q1bpF9CRTpw,Ok so I went to this place tonight and was not very happy 45 min to get my food and then it's wrong it would have been ok if it wasn't my child's order that was wrong then to top it all off my waitress leaves does not tell us so for 20-more mins goes by and no waitress so I ask some one and he tells me he was left to Handel us ok so wear is the customer respect level can't go to the table and tell us. Then I ask for the manager and it seemed like it really wasn't a big deal if I could I wouldn't not have put any stars so  thanks for a horrible dinner and for the horrible service will not return,ioav4-vdhUOp1m3JrTc7DA,0,0,1,Myyh2DNuL-EhEqFajlyUCw
271743,2013-03-09,1,8J4oT58-Nc-q1bpF9CRTpw,"If you expect anything other than Applebee's, you will most likely be disappointed. Unless what you are expecting is Applebee's with more salt, more bad jokes, and a more disgruntled staff, hiding their hatred, who would rather be doing anything else. 

This location is a convenience stop for me. I would never go out of my way to visit this store - if there is one even a mile or two further away, try there first.

That said, the bar is secluded and sits at one end of the restaurant, away from. If you're looking to chat with a bartender about your favorite team, you might find yourself eatin' good in the neighborhood.",9gf4vMja2w9dxFH0u-3W6w,0,0,2,YCW7Xt5Z3LGAojXviLflWw
280774,2016-06-24,0,8J4oT58-Nc-q1bpF9CRTpw,Just came in for some quick dinner and the place was packed.  Sat at the bar with the bar tender DJ - what can I say??? Absolutely amazing!!!! Not only did she have a full bar she also had 7 tables and everyone was blown away by her service.  I manage a bar/restaurant on the strip and so wanted to take her with me but she seemed super happy doing her job - Dj if you read this look me up for a job anytime!!!!,qweazbXAp5oxm9nIataHOA,0,0,5,0NC_jViNtCKfPVpxBDFwGg
351452,2014-03-23,0,8J4oT58-Nc-q1bpF9CRTpw,"I love this place!!! Service is always on point, the meals are always hot and out fast. Especially impressed with our server Jenna when we were here a few weeks ago, as a server I can be overly critical and she was fantastic! New favorite ""neighborhood"" spot!",LArAKy7snxItpBCSXzU4ZA,0,0,5,rBeQIRNU72_OWxKgesHXKg
366992,2015-10-24,0,8J4oT58-Nc-q1bpF9CRTpw,"We sat at the bar and were greeted in an outstanding manner by Karen! She was kind, sincere, and extremely efficient. Easy on the eyes too!",8IQYMpdV1csgIsAxi1A-zw,0,0,5,gDkTVEfhhufZBpVxYYrIZQ
498222,2015-06-30,0,8J4oT58-Nc-q1bpF9CRTpw,"Ate here for lunch with my coworkers and had the best experience from our server, Wendy. It's hard to find people who exemplify outstanding qualities regarding customer service but she is definitely a diamond in the rough. Thank you for making my very first experience at Applebee's the very best.",euNbjUhzS7_jK-rMibmEVw,1,0,5,dehiU5NaH882gy3iPPY68A
570908,2014-02-05,0,8J4oT58-Nc-q1bpF9CRTpw,"I have to say I have been going to Applebee's restaurants for over 16 years and this last experience was not so pleasant. 

Food- It was great, the veggies were a bit on the over cooked side because it was supper soggy.

Martini- I was in the service business for some time, but the use of a jigger is pretty routine for a commercialized business. My martini was just fruit juice in a fancy cup, come on people use the tools of the trade or at least the flash cards to build a drink. 

Service- Ooooh my! When ever you have a hostess seating and taking orders and waiting tables and might I add covering other tables ""it's a no win situation"" for the guest. The service in short, sucked! Two people covering the floor and no manager to be found in eye sight!

Get your stuff together people, or shut it down!",x0YHZK3eNuSI8hMJBP9tsw,1,0,1,5TlO9cDZFHTmTqH5FHBdZA
578393,2014-02-20,1,8J4oT58-Nc-q1bpF9CRTpw,The vanilla blondie is absolutely ridiculous! This dessert will make you dream about Applebee's throughout the entire day!,QcoXlde39Vuq1leIqAW8LA,0,0,3,Qk5Mrq8fuRw_Q9ZPqWYH3Q
625162,2015-02-25,0,8J4oT58-Nc-q1bpF9CRTpw,I just love this location! Employees are great. Food comes really fast. Great prices. Great menu. I will never get sick of Applebee's.,Qf2Suti3HLfxy7NmQtt0Ig,0,0,5,_hXFWhEFmk5LGsk7jYzU3w
755036,2015-07-30,0,8J4oT58-Nc-q1bpF9CRTpw,"I don't know what it is about applebee's, but every time I go there, im sick that night. This has been ongoing for about 15 years now. I'll eat, get sick, wont go there for a few years, and it will happen again every time! Everything seems to taste the same on 1 dish, like its all cooked together.",iEOxTD5by5P2ahN6S3c4Ew,0,0,2,_uJWIDdpg7Kw0T0c6eXseA
856610,2015-08-16,0,8J4oT58-Nc-q1bpF9CRTpw,"Came in on a slow Wednesday night, I feel like my server didn't really care too much about serving me. I was friendly dressed professionally & was with my children. She didn't give me my options of sides or any other popular dishes. No friendliness just blah. The food was great and I would have tipped more if she acted like she wanted to be there.",yLaZk0HDmySN49H5l4niOQ,0,0,3,JR8i0QTWRxupUdWmVqvt4Q
882039,2015-01-06,0,8J4oT58-Nc-q1bpF9CRTpw,"Applebees is great if you want a snack or decent lunch. That's no prime rib or such sip don't mistake out as a steak house.it's had great food for the price so be appreciative... ask for Narz, Nadine,Dominik, Amanda, Charles and Omar all veterans of the service. They are professionals.",oEXAQom9rLuNNXT1phrBLQ,0,0,5,JoDEuqC5zyBk4jo-F9G8Sw
890434,2017-10-28,0,8J4oT58-Nc-q1bpF9CRTpw,"Every time I came to this place, I always had to wait for a long time to get service. After that I had to wait another whole hour to get food.  One of the waitress there was not very smart! She actually placed a hot iron plate in front of my little baby! Hello!? Baby sees baby grabs! I was trying to tell her not to and push the plate out not of course I was not fast enough. So he got 2nd degree burn. I will NEVER come back again! Bad service and stupid servers.",gm9jwao6Hv-juC6QnTZSjw,0,0,1,3nVNcRSDfiVAlRqUg1-Y1g
892194,2012-08-12,0,8J4oT58-Nc-q1bpF9CRTpw,"As Las Vegas residents we have seen and done just about everything and then some! This is one place we keep going back to time and time again. 

Each time we visit we find the place to be clean, comfortable and teeming with friendly, capable staff. From the moment we walk in to the moment we walk out of the door, the staff seem to go above and beyond. 

We have two small children, so patience is definitely appreciated! The food always comes out delicious and within a reasonable amount of time. 

I realize that people (on here especially, sheesh!) tend to knock on the food, calling it precooked and reheated etc. What you have to keep in mind is that people need to consider Applebees fast food with a bigger selection and nicer seating area. Its a bit more expensive than most chain fast food stores, but that's because you DO get better food, more/better service and we have yet to leave dissatisfied!

If you want fine, fresh dining then you probably don't want to go to a place like Chilis or Applebees. These exist for the purposes of a laid-back family friendly version of ""sit-down dining"". Instead, if you feel like you're not getting Michelin star quality cuisine, go to one of the casino restaurants, or a place on the strip and blow all your money there... But for a family of four on a budget who want tasty food, a nice atmosphere and a welcoming environment, we will ALWAYS return to Applebees!",HdwUs298xnYJbUQ6A_FOiA,0,0,5,f90jaCr5UM9u105WbWr0ig
991501,2009-06-13,0,8J4oT58-Nc-q1bpF9CRTpw,"Typical chain restaurant. The menu and food is OK. What do you expect for the price, right? I had the rib eye steak which was decently price. I ordered veggies and a baked potato as my sides. I did not know that the baked potato was an extra $4+, I was like wow! For a baked potato? It should have been included with my entree. The steak was surprisingly good and seasoned well, even though it was probably cheap meat. I think this place is either a hit or miss depending on your mood and what you like. It narrowly passed my grade book.",HRyFtrmf19GTKEM_kOa2pg,0,0,3,3gHEIcZWW7GFmZ2fpvWFBA
1026751,2016-05-30,0,8J4oT58-Nc-q1bpF9CRTpw,Arrived at 6:20 and were sat in less than a minute. Service was quick.  Food was equal to other Applebee's or better.,TNWDXHhHDS1L2Bo_pwA4zg,0,0,4,JqjEMxrYshhr3qDBYiLirA
1039190,2015-06-22,3,8J4oT58-Nc-q1bpF9CRTpw,"Truly horrible service!  The food wasn't much better either. My daughter ordered that new pulled pork bacon ham sandwich. Wow!  Talk about not looking like the picture. Sad looking ham, puréed pork and just gross. Server asked how everything was - we told her terrible. She ignored us. So for her full price dinner my daughter are potato chips. What?

My rubles were overlooked and fries over seasoned. My mother in law had the fiesta chicken. The only fiesta was the greasy cheese that was completely costing the tiny piece of chicken. It was so disgusting looking. 

And don't think you're going to get refills. Even while looking at empty glasses our server walked away. I stopped her to ask for refills after she started walking away. 

And just in case our server reads this. The 2% tip wasn't a mistake. I was feeling generous.",8O-8uZzUruajgiWjeL1zFA,0,0,1,N7_cssb_z6Dyml1iIeed1A
1111153,2017-04-03,0,8J4oT58-Nc-q1bpF9CRTpw,"We hadn't been to Applebee's for a long time, but decided to give them one more chance.  What a mistake!  Walked in, waited 10 minutes for a hostess.  Even the customers that came in after us went to go find one, but couldn't.  Finally, one comes up and asks to help us.  We told her a party of 3 - she then asks to take our name because she needs to check and see what tables are available.  ARE YOU KIDDING ME!  We've already waited 10 minutes, the dining room is over half empty - how about just seating us at an open table.  We just told her than we were leaving - her comment to us was to ""have a nice day!""  How about an apology for having to wait 10 minutes for nothing!  By the way where are the managers?  MAYBE someone should be in the dining room at dinner time.  Just a thought.",UIlFmRAJ2D2iag3y2uNFZg,0,0,1,3SaZ-2MiKUFKonsaVVxh-w
1203900,2014-08-21,0,8J4oT58-Nc-q1bpF9CRTpw,This was a really good choice.  We came with a party of six and everything went smoothly.   The food was great and so was the service.  They also have really cool touch pads on each table now but I tried to pay and it wouldn't accept Visa.  Not sure why but nevertheless it was still cool.,gjjVbfQX-YxOfjWbSCgNDw,0,0,4,3funD0EnbDO3XkPta2561Q
1261020,2016-06-28,0,8J4oT58-Nc-q1bpF9CRTpw,"Ordered the ""Triple Pork Dare Ya sandwich. Looked NOTHING like the picture (but do they ever?). Left off the bacon and pulled pork, so I had not triple, but single dare ya. Couldn't believe it!!  Complained, then they brought the pulled pork on a separate dish. Still no bacon. And the pork looked like it had already been eaten. Anyhow, sent it back, ordered appetizers to go, got the hell outta there. Will NOT return.",IuOuLikDLNg5xh4RK-WXdA,0,0,1,Al3zsB0ii5e1XKgac3gQxA
1261907,2010-07-22,0,8J4oT58-Nc-q1bpF9CRTpw,"I have a few food allergies and so eating out is always an experience. However, the waitress was so kind and got the manager to take care of the food for me. They both asked for items to look out for when cooking the food and made sure that every contaminant was kept out of my food. It was amazing! 
The food on the other had...I've had better, but it was nice to see how out of their way they would go to help a customer. A++ Customer Service! Thanks!",F_SYW1LDeGLnOckGMvrzeA,0,0,3,OwBSrCLOxji6dr6W9LOzUA
1268481,2016-11-12,0,8J4oT58-Nc-q1bpF9CRTpw,DJ at the bar was so awesome. She never stops and is constantly going. She works hard and gave us wonderful customer service,nfyhsJZv7Q2iVk8Y8jtuNg,0,0,5,x0fUdWhPVmaFFXSgJGIsMw
1281290,2013-03-30,0,8J4oT58-Nc-q1bpF9CRTpw,Good service. The food however was just blah. I definitely don't recommend the Quesadilla burger.,l-o-Yf05btiQGv_dJdicmQ,0,0,3,aSXQoy9ZtvtaO-cVf3TLMg
1361311,2018-01-18,0,8J4oT58-Nc-q1bpF9CRTpw,"Applebees has gone down hill. Well at least this one. Service was ok. But the food sucked. Which sucks because I used to love this spot. My glass of water had a bunch of gross stuff floating in it. The spinach dip had a weird taste. My daughters yogurt from the kids menu tasted sour. My wife's ribs tasted bitter. It was just all bad unfortunately. If they cook their food better, than all would be well.",I2xQFN10CSVlUgFmgqSnpw,0,0,2,LwSYxP1gUqH_M-1ueMDNLA
1468687,2012-12-31,0,8J4oT58-Nc-q1bpF9CRTpw,"Mediocre, they name is Applebees. Maybe I expect too much? Maybe I'm just used to higher quality food? Maybe I'm a snob? Tough meat, WAY oversalted everything. Nothing tasted fresh at all. The chicken fingers were rubbery and not very good. Actually, nothing was very good. I had a grilled chicken something that was pretty gross... even when I just tried to eat the chicken breast itself, it was tasteless other than the mass proliferation of salt.

I remember back in the day, I used to like Applebees for their burgers. I don't know if their burgers are still any good, but I don't know that I'd return to even find out.",43mw4n9eZA5o8_hiwZIulQ,0,0,2,o6K7uzG23xj8E0ggKaWEiQ
1539998,2018-02-25,0,8J4oT58-Nc-q1bpF9CRTpw,"Customer service is always great so that's a plus. Anytime I go to any Applebee's location I get the same thing... The Mac n cheese with the honey pepper chicken. Usually when I get it, the chicken is already covered in the honey pepper sauce and it's delicious. The three times I have come here, there is either no sauce on the chicken... Or it's BARELY speckled on. The third time I came here I specifically asked my server to make sure that the chicken was already tossed in the sauce. And I was excited because it's delicious.. however when I got my food (as you will see in the picture) there still was no sauce on my chicken. That really annoyed me that I had to specifically ask for my meal to be prepared as it appears on the menu, and it still didn't. It was like having an overly fried chicken finger on top of my pasta. Secondly when we got our blondie, which we also get every time, it was stale and old. You could tell it was not fresh or even made that day. The texture felt like expired bread and it wasn't even warm. I always assumed they reheated the brownies anyway but this one was just disgusting and did not taste like dessert at all.
After three strikes, I will not be returning to this location.",xTimtxT3p1zKrtfP9JRuZA,2,0,1,IdNkC8HQ0i8HYgpMaYkcrw
1584470,2018-02-18,0,8J4oT58-Nc-q1bpF9CRTpw,"This was my first time at this Applebee's location, and it was a busy Friday evening. I think our server worked hard and did his very best. I'd give him five stars for an amazing effort. :) However, I don't think they had enough people working or maybe people called in for the President's Day weekend?? Idk.....

Pros - The place was clean and the food was a good value. We ordered mozzarella sticks which were crispy on the outside and gooey on the inside. My daughters Mac n Cheese was eaten quickly and with no complaints. My younger daughter ordered the chicken strips and they did a solid job there. Next, I had a side salad and the Tortilla soup. The tortilla soup really hit the spot! The salad was fresh, and nicely prepared. 

Cons- Super busy with customers and although they tried -- it appeared like the staff couldn't keep up. For example, another server brought us our food and she gave us the wrong items -- but quickly got us the right plates. Our ""real server"" was running around constantly with drinks and other orders. I found this location to be loud and crowded - which we didn't mind at all - but some folks might. 

Personally, I like the Applebee's in Henderson on Stephanie better. That location (in my experience) pays more attention to the customer and it isn't a ""rat race"" feeling. However, the food at this location was decent and the price is relatively cheap.",UGlYryF2DKbmBhTa7kq5WQ,0,0,3,Sw5SPJ7u6qrbikOGyvRPqg
1786706,2017-08-26,0,8J4oT58-Nc-q1bpF9CRTpw,"My first time eating at Applebees in a very long time and all I can give, is 2 stars. The waitress was awesome! She was very attentive and super sweet. We did the 2 for $25. I ordered the Bourbon Street Chicken and Shrimp. It says Cajun seasoned but I couldn't  taste anything because it was BEYOND salty, and that's saying something for me because I do love my salt. But there wasn't enough water in the world to quench my thirst, I left parched! It was like it had all been soaked in salt, then seasoned with salt and cooked. It just was permeated with salt. No ""Cajun"" flavor whatsoever. The potatoes that came as the side were frozen potatoes. The only good thing we ate was the artichoke spinach dip appetizer.  Definitely not going back anytime soon.",YrCZjdJ6jU2tQQCB6P0Dsw,0,0,2,rR6H1L1yULifbO_SvYaO2w
1835070,2013-06-17,0,8J4oT58-Nc-q1bpF9CRTpw,"I am not normally an Applebee's person, but I have to say we say at a bar table and the bartender was our waiter and he was fabulous.  The food was so so but the service was fabulous !",uNxXIIFzjHm5r62UTyVjrQ,0,0,5,J3klDZMZt4YCrOo7MCYDew
1889847,2016-01-04,0,8J4oT58-Nc-q1bpF9CRTpw,We've been coming here for years and today was the worst visit ever. I ordered the parm steak and shrimp. I ordered my steak medium it came well done sent it back this time it came back rare sent it back. By the time I had gotten the second steak my husband had just about finished his entree. I told them never mind I don't want it. They offered to make something or have soup. No thanks why bother the point is to eat a meal as a family not wait for insincere apology and tell me the meat thermometer is probably not working.  I think there's been a change in management because our visits have consistently gotten worse. Last two visits my cocktails had bugs in them so I won't order from the bar anymore. I guess I won't order from the kitchen anymore either after 8 years this is our last visit.,ZKIqjJH1M-F_oj9z4YD-3g,3,0,1,yiuimtmrfnpmSEFNFpCm9A
1892068,2017-02-08,0,8J4oT58-Nc-q1bpF9CRTpw,This is mine and my fiancé's favorite Applebee's location in Vegas. We eat out a lot and this is one of our go to places. Everything is really fairly priced and tastes good. We love to get the two for $25 which includes an entrée & 2 dinners. Are usually get the steak (which is surprisingly good!) and garlic mashed with broccoli. The hubby usually gets three cheese mac & cheese with honey chicken tenders & I always have to sneak some of that too lol. Car-side to go is a great option when you don't feel like fast food but you don't want to sit down in a restaurant either that's usually what we decide to do.  I love that they have this option & they make it easy so you can order online or on the phone ! some of the girls are a little slow in coming out to the car when they first see you but other than that it is a great experience for a nice family restaurant!,AyV9Kf2Qz9YwCOBU-MpmpQ,0,0,5,K-r1dvmRMxI9uH3xZF9Phw
1921930,2016-08-11,0,8J4oT58-Nc-q1bpF9CRTpw,"Took my wife and in-laws to dinner here last evening and enjoyed a fun evening.  The service was good, and for the most part the food was excellent.  I ordered the 6 ounce sirloin steak with mashed potatoes and green beans.  The steak was cooked perfectly and the mashed potatoes were delicious, BUT the green beans were limp and not fresh - they had hardly any taste, so they were probably frozen food.  But I'd recommend this as a good family restaurant.",rMRwdQ0C8yguTx255dVRAA,0,0,4,PCAQnKVgdXo4KQksATImww
1940773,2016-12-16,0,8J4oT58-Nc-q1bpF9CRTpw,"This is the absolute worst experience I have had here. Not only was our waitress ""DJ"" rude, but she messed up my order. I asked for no pico and I ended up getting it. It'd be understandable if they were busy, but they were completely dead. And when I she asked how things were I said I had gotten pico on it. She offered to have it remade and then tried to charge me twice for her mistake. When we said we had gotten charged twice for it, then she said she can have it removed. But she had said nothing when she gave us our receipt with the double order on there. I will not be returning!",g6bmHuVYxC30AJnpcj--qQ,0,0,1,ZmjXB-8Yq69sPe1jPu7Zjg
1972689,2012-08-13,0,8J4oT58-Nc-q1bpF9CRTpw,"Had lunch there over the weekend, had a pleasant meal.  The Oriental Chicken Salad is always wonderful.  Waitress kept our drinks re-filled and kept checking on us.  My granddaughter had the Grilled Cheese, she enjoyed, and her drink was served a covered kids cup - which was also re-filled.  Overall a great place for a good meal.",AqjHX0IIywNWw0vqy3RvxQ,0,0,4,omDg-jyJHDUAymHutMvSCw
