,date,funny,business_id,text,user_id,useful,cool,stars,review_id
96626,2013-09-02,0,8NQNJZgL5bshPkGzQ76SDQ,Definitely the best ramen I have ever tasted!! Great service too!! Will be back for sure!!!,GZX0JDzDaMDvizmUZZDlhg,0,0,5,b-6dyHP_HIaOoBmjV8vzsQ
230880,2014-01-07,0,8NQNJZgL5bshPkGzQ76SDQ,"Good location (not too far from the strip. Cozy place, nicely decorated. Warm and pleasant food owner and servers. Flavorsome array of food on their menu. Reasonably priced. What else can one ask for? 

One of the best ramen I've ever tasted! The curry Katsu bowl was amazing! Therefore, I'd definitely recommend this restaurant to my family and friends!",bI8rH8IqBmWhJG24PQLCmw,1,1,5,HBhexnpSH1EIax07VzC1hA
264594,2013-10-14,0,8NQNJZgL5bshPkGzQ76SDQ,They have the best creamiest eggs! I dont care what people say :-) I drove to california just to eat here and it was worth it! They have the funniest servers,kkdJ4OTAat08-T0njoMSww,0,0,5,BcGKD2nTjppauNDksYRjvQ
345663,2013-08-20,2,8NQNJZgL5bshPkGzQ76SDQ,Get their chasu bowl!!! I liked the ramen - very tasty. oh and the fried oreos too.. I'll def be back to try the rest on the menu.,ngO89Lzm7741uK3TguMV9A,0,0,5,RpziL3veCEJ4-wAlOVwOug
509961,2013-11-10,0,8NQNJZgL5bshPkGzQ76SDQ,This is the place to be when it's cold!! The food is great!!! The atmosphere and ambience is unbelievable...,xB_c4Bmk_MIvd1gkGghd0w,2,0,5,OrBgnL1sVfLvS1MwqIwX_Q
546405,2013-08-21,0,8NQNJZgL5bshPkGzQ76SDQ,"My seven year old son and I just had dinner there, and we both loved it.  This was the best bowl of ramen I have had in town.  The noodles were high quality and perfectly cooked, the pork was flavorful and tender, and the broth was delicous.  The karaage was delicious.  The servings were very generous, and we ended up taking half of our food home.  The owner was very nice and helpful.  He checked on us without ever hovering.  They've only been open for two weeks.  He said that they are supposed to be set up for credit cards this week.  The place next door has an ATM, so we were able walk over there and get some cash, as I did not have any on me.  The place was very comfy and very clean, including the bathrooms.  My son was asking when we can come back while we were still eating.  I highly recommend coming here.",EfZ4jsxnS93tR5m79xdpDg,3,1,5,JIy3txk5of-77NEsnVIbPg
561657,2013-11-06,0,8NQNJZgL5bshPkGzQ76SDQ,I just love the shoyu ramen!! I would suggest to switch the wavy noodles to the thin ramen noodles in any ramen you order. If you come by here don't ever leave w/o trying the Oreo tempura. It taste reallllly good plus it's a great dessert for the cold weather. Coming back here for sure.,LegGRLD0fOSXhTKxa-wOhQ,3,0,4,oP1RnU5Lqf1n9WtrBXi0Ag
613295,2013-08-13,0,8NQNJZgL5bshPkGzQ76SDQ,great food...great service...cool interior...and very clean! one of the best ramen house in las vegas! their curry rice is to die for!...a must try!,ECboG3pnduuY9jZUzPiz_A,5,0,5,61CjWUazbGvZ7xw9mxIERA
996125,2013-08-18,0,8NQNJZgL5bshPkGzQ76SDQ,"Great Tasting Ramen.  Love the tofu salad and Chachu rice bowl and Garlic Rice.

Great service and people working there.  Highly recommended.",l-ni_9UXDTHw6ScAr3jreQ,1,0,5,llJGC1ExvbJEFNLjLBBlSg
2100480,2014-10-05,0,8NQNJZgL5bshPkGzQ76SDQ,Worst food ever. Not a good ramen place they should just open Filipino restaurant instead of house of ramen.,E7y1g85H9BCqdKd1MHdNlA,0,0,1,3H2NJUcKt-NESEAWZjilzQ
