,date,funny,business_id,text,user_id,useful,cool,stars,review_id
93170,2014-02-18,0,8OaXvfag7E7oznV4rVb7vg,The burritos here are on point and at a great price aswell 2 for $5 can't beat that .,csXfzAq3PTwv1iLrWe2iFA,0,0,5,28MOMDT_DMirV713lA9xzg
194339,2016-05-01,0,8OaXvfag7E7oznV4rVb7vg,"Love their chicken soft tacos!! Loaded with chicken, pico and avocado. I also like the fact that their grill is open and you can watch them cook your food. Its by far my fav taco place!",Yx_TglAt5j87QyxnIilBoA,0,0,5,SRC2al9M4i_ZzEkZHtf74g
222297,2017-05-29,0,8OaXvfag7E7oznV4rVb7vg,"The food is good but They keep upping their prices. They had a good deal with 2 for $5 chicken burritos, then they made it 2 for $6 and now it's 2 for $8 and the burritos aren't even big.",s1HNpnSf2WyNLS5scDWDbw,0,0,3,2s10PjuNdtG3MB7dqT_0Eg
227359,2012-06-15,3,8OaXvfag7E7oznV4rVb7vg,"Never Again! 

Based on the other reviews here we tried the chicken burrito and chile relleno. Without exaggeration the food was inedible in the case of the chile relleno and almost so with the burrito. After our experience, it's hard to believe that most of the other reviews aren't plants. The relleno was a burned, greasy mess, and the chicken in the burrito seemed to be a mix of reasonably fresh, combined with old, dried out, meat. 

I suppose it's possible that we just happened to arrive on a bad day or when the dishwasher was filling in for the regular cook, but nothing could persuade us to give this place another try.",EVboCsdnHOpVYhuDyBwDZA,0,0,1,j9MeHcV0DMsZwQSn_3ckRg
304542,2016-10-01,0,8OaXvfag7E7oznV4rVb7vg,"First time trying and their Cali burrito is so yummy. Also the customer service is great, a definite must try!",7aNq9k1jVIhlXIdQRRlaqg,0,1,5,jxm5JmPWHZFXKO6iJAaz0A
320105,2011-03-29,2,8OaXvfag7E7oznV4rVb7vg,"I was disappointed when the little BBQ place that once occupied this space closed, and I was perplexed when I noticed that a new Mexican restaurant was opening up in its place. A Roberto's had recently opened up in the same small shopping center. Why would they choose to set up shop so close to the competition? As it turns out, Roberto's is no competition at all. My boyfriend and I decided to check out this new shop and see if the menu looked any good. We had a back up plan... ""If the menu sucks, we'll go to Roberto's."" We walked up, and checked out the menu through the window (I hate walking into small businesses, making eye contact with the prideful business owner, and walking out. I feel bad, REALLY bad.). All it took was two words and the boyfriend was sold, wet burrito. I had already seen a few things that looked tasty including some fresh salads, fajitas, quesadillas, tacos, nachos, and combo plates. In we went. 

We were greeted by a super friendly guy who was all smiles. He had a great energy, and I could tell he was passionate about the food. Upon further inspection of the menu, we discovered something so sinful and amazing that we agreed that there was no way we were getting out of there without giving it a try... Fries. Fries? Yes. Fries. Fries covered in cheese, beans, cream, guacamole, and Mexican salsa with your choice of chicken, steak, or shrimp. YUM! The final order was a wet steak burrito for him, a dry steak burrito for me, and an order of steak fries. I knew it was going to be a ton of food, but I had no idea what was in store for us. The food and two regular drinks came to about $25.00. It might seem kind of pricey, but the fries were NOT an appetizer. They were a meal for two by themselves. After placing our order, he immediately got to work preparing our food. The kitchen was very clean, and everything was prepared fresh to order. I swear that there was nearly an entire cow on the grill. There was that much beef. 

As he was cooking, we carried on a conversation. I asked how business was going and he said, ""Everyday it gets better. It's been three weeks, and we're doing good."" He also shared that there was another location near the Boulevard Mall that has been open for 11 years. Then I asked the dreaded question, ""Is Roberto's giving you guys some competition?"" His reply was a simple, ""No,"" followed by a big smile. I said, ""So your food is THAT good huh?"" Again, he smiled and nodded. 

The food was indeed THAT good. The steak fries came out first, and we immediately got to work devouring the delicious mountain of yummy goodness. After our burritos arrived, we moved to the outdoor seating. I will be honest. I never made it to the burrito, but my boyfriend did, and he says it was delicious. He asked me what night of the week should be Rivas night, so we are already planning on becoming regulars. I had to go in and ask for boxes to go, and I can't wait until lunch tomorrow when I will get to try my burrito.",5KdL4XOoV2tiXOWpHrVphw,10,5,5,gj68pyQZhgS1u-WeHfuL2g
543438,2011-05-01,0,8OaXvfag7E7oznV4rVb7vg,I went to check it out and the food was excellent. Restaurant quality with hole in the wall prices.,vJz6aYabOSnPQkN1R8lRCg,2,1,4,VXyXsBul98I6g5igdAGcqw
649108,2011-05-01,0,8OaXvfag7E7oznV4rVb7vg,Large portions. Food cooked to order and it is not greasy. I was not disappointed. The reviews you saw from my neighbors are correct. I could not finish my portions and it is restaurant quality. The meat was cooked as you order. Some places have their meat precooked. The super nachos rocked it!,yh9p4dczduuXkYYyKwydbA,3,2,5,J-ShJVeo5xSMakBL9mtt4Q
800366,2018-01-20,0,8OaXvfag7E7oznV4rVb7vg,Their chicken burritos are deliciousssssss. Actually their chicken in general is good.  I havnt had anything else from them lol... But this location specifically. I went to another one and it didn't taste the same,jCUMwK7UdiZP05rEjNqRiw,0,0,5,h47KbNm42nE8ty58f_8V9w
929901,2013-11-27,0,8OaXvfag7E7oznV4rVb7vg,"Cheap, fast, delicious, clean, friendly staff. Always been and will continue to be my spot. 10/10 would try again.",YC5-JiPq0J8y9QpJKxvRrw,0,0,4,eenyRRq39yNSD-XvP5xm2Q
