,date,funny,business_id,text,user_id,useful,cool,stars,review_id
418,2012-08-26,0,8Q6jl7OW8DZzwANggDspcw,"Ambiance is eye-candy, the food is good, the drinks are quiet lovely and the dessert menu will give you a toothache just by looking at it.   The menu is pricey but not overboard.  I liked my experience and would definitely go back again.",AuIK5tF2GjO7SftHawTLKw,0,0,4,F4ELoYHmmrltynnXsaTnPA
4275,2012-01-31,0,8Q6jl7OW8DZzwANggDspcw,"We came to Sugar Factory for the first time on 1/22/12, but this is now one of our new favorite spots in Vegas! The bartenders are so friendly and make the most amazing drinks; we especially loved the bartender KC. We had the Twinkie drink and it is our new obsession, you must try this! The food is delicious; we had salads, appetizers and dinners. You should defiantly go to the Sugar Factory on your next Vegas trip for dinner and drinks. We already made a reservation for a bachelorette party on our next visit.",vEjfCQCHCpHzZQLpDndCmA,0,0,5,-OETOEXrh3vTWSr-T16l_g
6598,2011-05-01,0,8Q6jl7OW8DZzwANggDspcw,"I ate here 3 times while staying at the Paris Hotel in Vegas. Twice for breakfast, once for late night dessert in the chocolate lounge.

Everything here is delightfully delicious. First time, I had the 4 cheese omelet with hasbrowns and rye toast and a big cup of coffee. Perfect and scrumptious. Dining companions had waffles with chocolate chunks and whip cream and berries on top. Delicious fun. Dessert for breakfast!

When we came for our late night dessert we sat in the chocolate lounge area which is very cool. Had a huge cupcake. Dining companions had chocolate sundae and cheesecake. And we had some wine.

The only negative i would say is that just like everywhere else in Vegas, the hostesses/servers dress like prostitutes. The skin tight stretchy dresses/skirts that barely cover their private parts. Can i have my breakfast without looking at your hooha s'il vous plaît? This town is definitely a man's town. Male servers are not dressed in a similar fashion.",0-pXmmxXGj4AhBJXAJE9Ww,0,0,4,NiHU4KCW3hw_uuK33hX2iA
17772,2011-07-14,0,8Q6jl7OW8DZzwANggDspcw,It may be a celebrity go to but it's really not all that great. We were expecting top notch for the price we were paying but some foods were just as good as Applebee's. The desserts on the other hand were scrumptious.,m9mwGtpYn2I3HeDAKny3JA,0,0,3,NfvEShEZHOQbEw7ThKlogw
17910,2013-10-07,2,8Q6jl7OW8DZzwANggDspcw,"As most of the reviews state overhyped & overpriced sadly. 
I was looking forward to this place but left with an icky feeling in my belly. 
Service was OK..
Water was pricey. 
Cherry tootsie pop cocktail, if it were a little smoother I probably would've enjoyed it. 

Menu overall wasn't anything impressive. Mac n cheese burger - Ate half as it was reeeeeallll stodgy with not a lot else going on flavour-wise. 
Classic burger - really disappointing pattie. Chicken fingers - mediocre.

It looks grand from the outside but the novelty wore off quick. 
The shop is cute enough though. I'll give it that.",GSjmlfuikwLdVwM17-9pfw,1,0,2,q3PRoURAyqDg88jSvdmoxQ
24849,2015-02-24,0,8Q6jl7OW8DZzwANggDspcw,"We had reservations. Read the reviews. And, everything went kaput. Style over substance.

We had reservations paired with a show. Read the reviews. Expected the fancy drinks. Getting to the entrance is a nightmare due to the remodeling. No signage of where the entrance is. After getting seated, then they tell us no fancy drinks. New owners. The menu choices associated with the show was limited and not that fancy. chicken and waffles for an entree? We couldn't pay the difference to order something else off menu. So, we ordered caesar salad and french onion soup for appetizer. The entree was chicken and waffles and baked rigatoni. The salad was wilted and the soup was sweet. the baked rigatoni was disgusting and the waffles was bleh. 

Then, we learned it isn't the sugar factory. Avoid unless you are a sorority party girl.",4Rna3C50a5NlWml13bb_FA,0,0,1,Ua9vytaQ8ZPaGgo4JEMkpA
29081,2013-08-28,5,8Q6jl7OW8DZzwANggDspcw,"Horrible breakfast.

Came here cause I originally wanted a crepe. I asked to see the crepe menu and I was told only breakfast items were served at that time. Waitress wasn't helpful neither fast.

We had the banana grilled toast. Grrrr banana bread was so dry and tasteless, topped with caramelized bananas that were hard to eat and a tiny bit of berries as the side. My friend order an extra side of sausage links awwww how cute 6 bucks just for 3 small sausage links that were also gross.

Seating outside would be nice when its not peak season in Vegas otherwise you seat there and hear all the noise and crowds walking by, not enjoyable.

Overall a mediocre breakfast for two for nearly 50 bucks, what a shame.",YuUAyQ-wNrW5z4wrU_QwvQ,3,1,1,ahNUwnuhCbfUG5ClfCRtgg
32119,2014-08-03,0,8Q6jl7OW8DZzwANggDspcw,"Max was super friendly and attentive! I've dined at Sugar Factory at Paris, but this one is meant for the locals. The decor is super cute and the music is all old school Frank and Nat. Menu options are fantastic and delicious. We found our new favorite restaurant in Town Square!",-ouzfV5nm0Fmv3JRLXegmQ,0,0,5,K-8HeZMZ9llsMSqim7oyhQ
34896,2012-01-22,0,8Q6jl7OW8DZzwANggDspcw,"The food is aweful!!!!!!!!!!! Seriously...it's terrible! 

GO here for fun drinks or dessert. Don't waste your time or money on the food. I can't even say the food average which is pretty sad when you have a group of 6 and the average drink per person is 1 and the bill is over $300. Such a disappointment!!!!",BVjcrFdLp66Zui0u0w3rgQ,0,0,1,BjklTUxLP8yOTvvOdg4ucQ
51334,2011-07-20,0,8Q6jl7OW8DZzwANggDspcw,"The outside decor of this restaurant definitely caught our attention when driving/walking around the strip. We went there for lunch on a Sunday afternoon. We were a party of two and ordered an Onion Soup and the white pizza as a meal to share. Both were delicious and large portions. For dessert, we had the red velvet sundae. My only critique of this is that the raspberry sauce overpowers the taste of both the ice cream and the red velvet cake; otherwise, it was delicious. The sundaes are big enough to share here.",f8T_cTOtcvDDTooRSlEfeA,0,0,4,_TMWemmXUYK-FAji2UI4_w
