,date,funny,business_id,text,user_id,useful,cool,stars,review_id
110014,2016-07-12,0,91JwvxaCYhLWnAOWp_AmeQ,The Cashier is RUDE!!!! In vaca and stayed in excalibur hotel. So i was looking for food to eat. I was wandering around til' i found the foodcourt. Decided to eat chicken so i went to Popeyes. I asked the cashier about the chicken and didnt answer properly. She did not even smile or greet me or the customers. Is that how good customer service is??? The cashiers name was Christine. I was planning to talk to the manager but i was in a hurry. The chicken was fresh though. So i give 1 star.,MqEKom_s53m5SUcrKinsHQ,0,0,1,9pc1qKYi6Zc7r_N5wMfEpQ
169896,2015-08-16,0,91JwvxaCYhLWnAOWp_AmeQ,I love Popeyes but this location is a straight joke!! All the cashiers have bad attitudes and the worst is after getting your food and ask for sauce they want to charge you! One cocktail sauce for a 1/4 lb of shrimp..lol. Won't be back.,qGLs3IHdGEP2c41Ls1TUAA,1,0,1,sHogD7aK_kYma3Rc1Feb8Q
382409,2017-12-27,0,91JwvxaCYhLWnAOWp_AmeQ,"Service was very slow and not friendly at all. After I ordered, had to wait for half an hour for the chicken and another 20 minutes for the remaining biscuits. The order was supposed to come with 6 biscuits, but they gave only 5.  The place wasn't busy, but because customer service was so slow, it held up the line to receive food. Other customers shook their head in disbelief and weren't happy either.",ytO3EAL63LHFxM-91y9ufw,1,0,1,SM2T3b7JmsytY3DmJ7DgoA
485101,2014-04-24,0,91JwvxaCYhLWnAOWp_AmeQ,"The worst place in all of the food court land. We have tried this place a couple times and its always awful. Ordered almost 30 dollars worth of food aka an 8 piece meal with two drinks. The chicken was alright meh, the fries were cold cold, and the biscuits are why they got a one star rating bc they were quite good. After the smallest 3.29 cent sweet tea we were looking to see how much a refill was wrong, no refills here. They want another 3.29 . We then asked for just a cup of water we were told we could get s cup of ice. This place is a joke and I hope they tear it down and build a juice bar for all I care.",FFcpD64JvVKu2BXOh37j4Q,2,0,1,2AX0QwsQzVxbOyK5ddRvOQ
941987,2015-09-10,0,91JwvxaCYhLWnAOWp_AmeQ,Decent chicken juicy and tender but thick batter and super greasy.  Didn't try anything else but I did try both the spicy and the mild.  Both types were well seasoned and flavourful.  Chicken pieces were a good portioned size.  Decent fast food fried chicken.,7taWMcaCMQ1F2qVP1W3jCw,0,0,3,UroofmmeGWB82y_f7yIv1w
1023957,2013-06-13,1,91JwvxaCYhLWnAOWp_AmeQ,"Tried eating here  twice between June 3 and 6, 2013.  The first visit they had no chicken tenders. WTF??? No tenders???!?!?  I just ordered a soda, but they gave me the wrong size.

Went back to try for dinner later in the week, ordered my tenders, got my food and went back to my room to eat it and realized they gave me regular chicken NOT the tenders. 

Lesson learned here:  CHECK YOUR ORDER BEFORE YOU LEAVE.

But I still won't go back. Too much trouble.",H3sJvHiwO0cUul7O3hFFbQ,2,0,1,cXBngeqnWwuU7jyYD0iPvA
1308203,2015-07-17,1,91JwvxaCYhLWnAOWp_AmeQ,"I enjoy coming here . everyone id nice and helpful and thr food is always hot, and the service is fast",OvxQLjqt5KDISxobCtArLQ,0,0,5,xiN73jxQNoFoyCDB09smXQ
1331303,2018-05-22,0,91JwvxaCYhLWnAOWp_AmeQ,"If I could give this place no stars, I would. I ordered a three piece chicken strip meal with a side of red beans and rice. I walked all the way back to my hotel room to realize my order was wrong. After JUST being there ten minutes previously, the same girl that gave me my food got upset and asked me to prove that I got the other side. I was willing to exchange them and not keep the wrong side I received. I didn't want the fries. She then threatened to back hand me. So let's get this straight, I deserve to be back handed because this dumb bitch can't get my order right? HA, that's why you work at fast food. After this situation went down I called to speak to the manager on duty to which I got the same girl that threatened me and she claimed to be the manager until I complained which is when she put the actual ""manager"" on the phone who told me there was ""nothing she can do about it"". GREAT CUSTOMER SERVICE GUYS. KEEP IT UP. Maybe frying chicken is too difficult for her. Needs to be fired and I promise I won't stop till she is.",adgjDf4VTSe2f_HaPAP-9w,0,0,1,7ARdd24BAK4igFaQD3UhHA
1340370,2016-04-12,1,91JwvxaCYhLWnAOWp_AmeQ,"I have gone to this Popeyes serval time. Servers and cashiers are nice but today at 15:53pm April 11, 2016, I have received hot and cold fries. Didn't remove the old ones they just put hot fresh FRIES on top watch them the whole time. Then the African Amercian cashier asks me if I want cold fries I said hot ones. why ask me that question when I got mixed hot and cold fries anyway. Unprofessional of him and another employee. The chicken was nasty I was hungry neither my son's nor myself ate. Sorry, I stop especially if I received old food hot and cold fries. Dissatisfied completely with store 2295,cashier Cornell, and employee. With a place of business being empty, why  have so much chicken up that person will receive hot cold nasty food. I expect all food hot and fresh we'll my wing well here's the picture. I want my order redone fresh my # 167  Time 15:53pm April 11, 2016
the picture of the wing from pop-eyes today.",tqKcZQcPFOxdRHy19agRVQ,0,0,3,NWWE9nrzHeNf4N-AE48blg
1342040,2013-03-25,0,91JwvxaCYhLWnAOWp_AmeQ,"Definitely not the best Popeyes experience I've ever had foodwise but the server was very friendly and helpful, and I got my food quickly.",d0FbFaZuJWfai0RYsUS7qw,1,0,2,T7Yf5d54AAmmQu1ZpNv5kA
1415264,2018-02-26,0,91JwvxaCYhLWnAOWp_AmeQ,Great place for a quick bite. Located inside the hotel food court.,S6fWv-rPIbZudHNEuc9Mqw,1,0,3,2ol1HNZXiLPQakjGJwkSag
1565206,2016-01-30,0,91JwvxaCYhLWnAOWp_AmeQ,The worst customer service I never had. These ppl don't give any refill and they dont give any water. Never again in mine life.,gQbPSwQ24mVqImjwH0sqoA,0,0,1,dpT0CWaVCHJqBbAOrZ_Srg
1569764,2015-11-17,0,91JwvxaCYhLWnAOWp_AmeQ,"Everyone has hyped up Popeye's chicken for me
for years. So I finally had a time and a stomach to give it a try here last week for a quick dinner.

The chicken itself was not bad, but definitely not worth the hype imho. It is pretty much on par with Church's and better than KFC. Fries are satisfactory. Nothing too special to rave about. But the gravy is definitely not as good as Church's or KFC. There was way too much black pepper in it.

Not sure if I just came to a subpar location, but I hope it won't be the same experience the next time I try Popeye's.",mAynnMvVJVdHLOFkmLyftg,0,0,3,IwtBDDAXe_gcCxOTPBqYgw
1625447,2018-05-24,0,91JwvxaCYhLWnAOWp_AmeQ,"I came here twice despite the anal rape i received the first time. Bring it, low stars. I want you IN ME!

I can't get enough of Popeye and his SEXY MEATS. 

What I can get enough of is the poor service and low available quantities of this Popeyes location. Preparing for 2 minutes before shutdown, this Popeyes location has been getting ready since 1981. They don't give a damn about you. They don't give a damn about their own product.

If I ran this place I would hire people who would raise the almighty LAS VEGAS god damn location to the status it should be.

Want spicy chicken? Great!!!! Can't wait to introduce you to a 1 HOUR WAIT. Because...

Pain!

Death to Las Vegas Popeyes only so that it can be replaced by a REAL establishment in its name.

While waiting for my special 10 leg order, I watched 50,000 people get turned away due to low supplies.

WITNESS THE ULTIMATE POWER. FEAST YOUR EYES AND STAY YOUR HEART. WITNESS THE ORGASM IN THIS BOX. WITNESS YOUR GOD.

#missedrevenue.exe",GqxjnY2MzOd8rxu4ucqhhQ,0,0,4,sYBHbPsZvl9fB9In_8u3mw
