,date,funny,business_id,text,user_id,useful,cool,stars,review_id
116972,2016-04-07,0,92lt0pzWl8RRZiPCikDUpA,Havent been here in a few months. Dont recognize the guys working here tonight. The food is taking waaaaay too long. Ive been here for about 20 minutes and the customer in front of me is still waiting for his food. The last customer that came in got her food before anyone else. Wtf? Theres dirty tables and sticky floors. We finally got our food... Well 80% of it. Glad we checked before we left.,R2UDgsb8MD8XtiWYLp8ljQ,0,0,2,FzSlmJghq6vkw7wnYJk-jg
456507,2017-03-12,2,92lt0pzWl8RRZiPCikDUpA,"So this is gunna be a long one. 

Love the chimichangas here (if I get it with carnitas, the chicken is too dry). I think they're pretty amazing but the customer service is so bad that it makes me not want to come back. There's one guy in particular who's always there and who seems to have an attitude any time I ask for alternations (ex: carnitas instead of chicken, sauces on the side) which makes ordering unpleasant. 

The last time I ate here I got some enchiladas in addition to a chimichanga. I was with two other people and when I ordered only two plates he was like, ""Only two plates?"" and said it with an attitude. It was rude, but I shrugged it off. I just wanted my food and I didn't want any drama. They brought the food, but then one of the people I was with took a bite of the enchiladas, and it turned out the enchiladas were gross. So she (one of the people I was with) took it up there and asked if she could switch it for something else and pay the difference. She was very polite and patient, and even did it discreetly so the other customers wouldn't hear the exchange. 

The man flat out refused. He talked about how nobody had ever said they didn't like his food before (which I doubt, you work at a food business). He straight up said no. I couldn't believe what I was hearing. How rude he was being. How rude he had been each time I had come in. But this was so over the top and more extreme than anything else he had done. Finally, after a few minutes of arguing, the person I was with finally got upset and the guy tried to backpedal and offered to get her the chimichanga (which she had asked for in the first place). But at that point we were just upset and wanted our money back. 

Never in life have I experienced something like this. The guy took personal offense just because we didn't like his food. I find that to be both unprofessional and ridiculous. We were paying customers, didn't like what we got and wanted something else. It was simple, but he blew the entire thing out of proportion. 

This experience, despite how much I like the chimichangas, has made me not want to return. Treat your customers right. Don't be rude when they ask for alternations (people have preferences and allergies. It's not a big deal if they ask for a different meat, or sauces on the side). And please, for the love of God, don't take it personally if someone doesn't like the food. This isn't your home. This is a place of business. We pay money to eat here. 

Decent chimichangas. Horrible customer service. And I don't care how good any food is, it's not worth it if I have to deal with horrible employees.",CktWPGw_bumNynj0KVWnFg,5,0,1,csA8_w1YgaKNEMkHgM-XVw
807096,2015-07-29,0,92lt0pzWl8RRZiPCikDUpA,"Right next to Urgent Care Extra. 

Plusses are that it's open 24 hours and there's a drive-thru. For the lazy night owls. Or if you're like me and work late swing shifts and have a very limited number of places to get food from. 

Admittedly I'm not a big Mexican food connoisseur, so I just ordered some chicken tacos and an order of chips and guacamole. The chicken tacos were greasy, as to be expected. But the shells were HARD. Not crunchy or crispy, just straight up difficult to bite. Only ate half of one and threw it out.",XYSMRBNxdOOvJCkWyCZUfw,0,0,2,f3pGei85QYWTCR5AYJW_MA
1260236,2018-05-30,0,92lt0pzWl8RRZiPCikDUpA,"This the hands down the worst Don Tortaco I've ever been to. If you have a quick craving for some quick Mexican food, you're better off driving an extra 2-5 minutes to Roberto's down the street. 

Potions are so scarce and the wait time is horrendous. I dropped in on a Tuesday afternoon and there was only 2 other people dining there and there was no one in the drive thru and it took them 10 + minutes to take my order. There was no one else in line. 

If I could give 0 stars, I definitely would.",yGPjdSFz8lo0NlQS4KPhag,0,0,1,1p3C_d4PAVWgtQT9OhyQRA
1341347,2017-08-18,1,92lt0pzWl8RRZiPCikDUpA,Sometimes ill hit this place on my way home from work. Stopped the other night and ordered a chili relleno burrito. How do you fuck up a chilli relleno burrito? These guys can. Scorched tasting beans and rice and a chilli relleno that was frozen still. Basically a watery scorched tasting burrito that leaked all over and had a frozen chili in the middle. I threw it out of the window i was so pissed. Wont go back ever. Hopefully no one does. Place sucks.,GJ0MPM55TZsxPZM-Z6NU9w,1,0,1,RX3qLO2c6vbS5VYTxj1-DA
1573946,2016-04-17,0,92lt0pzWl8RRZiPCikDUpA,I have kids so a drive thru is a plus! I always get the carne asada tacos. The best!!! I love this place I come here at least once a week and the food is always good. It's worth the five minute wait in the drive-through.,yWeMW4CzbdZ9A0FWaBsobw,0,0,5,cJNxu6tfR-M6nPa54zHW8Q
1612523,2018-06-03,0,92lt0pzWl8RRZiPCikDUpA,"I have been coming here for almost 3 months  and the service and quality of the food is going down at rapid speed. However the price seems to never be the same . Overcharged yo many times here . The guy in the back that That doesn't speak English seems to put anything together no matter how old the fries may be or how old the taco maybe. It's a gamble every time I go . The rude guy at the register is ether talking on the phone to his family so he doesn't  get the my order right or his family is in they restaurant and he is spending time with them . And seems to be mad when I walk in to interrupt. He needs to look for a new job because he never seems happy . When he messes up on your order he makes you pay to replace it . The worst customer service and food is getting older and faster prepared. I would love to spend money there more often however I can't , please get new workers that look like they want to be there  and me and my family will spend our hard earned money with you mr or mrs owner",jh1bblAUZPwUpJlUYOGVgw,0,0,5,F9NdPu8BMIOjAgzKXSJ3aQ
1763286,2017-02-20,0,92lt0pzWl8RRZiPCikDUpA,"Authentic? For real? Ordered a chimichanga. Have been struggling to get a steak knife through it and its pork! Ordered pork because its pretty hard to mess up. Maybe its frozen/microwave. Anyway... rice, zero flavor. Actually kinda brown like they got grease in the white rice and forgot to make spanish rice. Carnitas.... zero, no flavor or spice, dry and tough like jerky. Beef and chicken tacos too. Everyone is unhappy.  Expensive dissapointment.",mul1Vp7ykqXcdf80b180nQ,0,0,1,BI38Iih_v_mg21tN8lCplA
1906827,2017-01-15,0,92lt0pzWl8RRZiPCikDUpA,"I finally just have to take the time and write the review. This place has let me down over and over again for the last few years. Yes, I know I'm being gullible. But in a hurry or a pinch, I'm always hoping that just this one time will be good. It never is. 

I'm a gringo. And I owned a respected Mexican joint in Washington from state. I have the urge to go in there and teach the Mexicans how to make Mexican rice. The problem is, they'll have the best rice in town, but the rest of it will still suck. 

Just don't spend your money here. It's never good.",ienO0Qy6s4bfLb7TWUkspA,1,1,1,K5vPzkZ8SYTQEe8IfWz8ZQ
1909348,2015-04-30,1,92lt0pzWl8RRZiPCikDUpA,"Food wasn't bad. Definitely better than half baked burrito I got from somehow the only stoner white kid in the entire Roberto's staff the other day. Place was awful. 

When you're at the counter ask the cashier what her name is. If it's Isabelle, she's the only staff member I have ever seen handle food without washing her hands ever. 

All an all an average experience.",BxkcslgVoX3yN6bruqlAGQ,1,0,3,x-rczOhL9VTViqUp1iaLKg
