,date,funny,business_id,text,user_id,useful,cool,stars,review_id
344875,2012-10-26,0,94GL9JkTuhSqSZ94RS5Dkw,"I think there are so few reviews about this place because it would be too crowded and you'd never get in if everyone knew about it. Seating takes place over the course of an hour, but if it's a full house I don't think you'd be able to get in at all since the meals will take the whole hour or more for everyone there. 

Since there were so many people, we ended up waiting and eating over the course of two hours. 

That being said, the price is worth the great food. The bread was cold, which was surprising, and at one point only one piece of bread was warm but the others were cold in the same basket. Not sure what was going on there, but the bread itself is fine as far as flavor and texture. 

The soup was pretty good, too, but the salads are just regular to my tastes, even with the fancy passion fruit dressing. The main course and dessert wowed me. Best creme brulee I've ever had, though the custard was a bit thin. Not sure if it was supposed to be like that. The cakes are good, too. 

Beverages come with the meal but you can only choose from the soda, and you get free refills on those. Coffee and other fancier drinks are extra.",VssuU5Ni6g455MTx3Y7YWg,0,0,5,twf1448EIIusdf_JNy2qwg
951465,2014-10-08,1,94GL9JkTuhSqSZ94RS5Dkw,"Definitely one of the best deals in town for fine dining. You receive a 3 course meal that is far superior to other dining establishments that charge far more. I enjoyed the fresh baked bread and butter initially brought out. Followed by a delicious caffe latte. 

My first course consisted of a nice potato leek soup. It definitely had great flavor and a nice creamy consistency. My second course was a salmon filet in a tasty sauce with potatoes and mushrooms. The salmon was cooked well and and split like butter when eating. The mushrooms and potatoes were lightly salted a very nice contrast to the salmon that flowed together very well. The star of this show would have to be the desert.The Raspberry Bavarian desert consisted of a delicious cake with a raspberry mousse and rice crispy filling topped with chocolate accents and paired with a raspberry sorbet and fruits. All I can say is AMAZING experience!",uccnUo9G7pDt_IpB8dWg0Q,1,2,5,Au5CV0Cl4kAjx_b0qAvoCA
1024778,2016-01-30,0,94GL9JkTuhSqSZ94RS5Dkw,"This charming restaurant is a practice restaurant in an actual setting. It has a great ambiance with subdued lighting and contemporary decor. It can host an intimate to a large group/gathering tailored fit to your requirements.
We recently had our private event here with the Knights of Columbus' Fourth Degree Anniversary celebration and had at least an attendance of 27 guests.
The food served was a three course gourmet meal- starting with a soup or salad. 
A choice of one of three entrees- chicken, beef medallion, or a fish dish. 
Dessert capped the last portion of the meal all created by the CSN culinary students.
Not only it was scrumptious and delicious but it was appealingly plated  and served like an Iron Chef dish.
The service of the CSN team under -
Eileen Metcalfe the Dean/ instructress of Food and Beverage Management Department was unparalleled and more personalized.
We were served with our drinks and made sure our water cups were always filled up.
We were taken cared of every step of the way and even took our group photo.
This was by the way our second function in two years and we shall definitely come back and recommend this establishment to our friends and family!
We were impressed with the service oriented  individuals who are the promising future of what hospitality service is meant to be!
Congratulations to the CSN Culinary and Hospitality Service Students and keep up the good work!

You guys rock!!!",QSTHCHorsaIELEPefOOF_A,1,2,5,xq1jsSQ97ZW0C82M3mX6JA
1164183,2017-11-01,0,94GL9JkTuhSqSZ94RS5Dkw,"My favorite semi private restaurant to enjoy.  I'm always impressed with the quality of food that is served.  Yes, it's a culinary school doing the cooking & there might be a dew mistakes sometimes.  But you cannot beat the quality of food, price & service here.",Okq_AH7fAUgQbBrxeNypgA,0,0,5,nofq8VpNFgBBC6oVHVRDkA
1231962,2014-11-08,0,94GL9JkTuhSqSZ94RS5Dkw,"Russell's Restaurant at the College of Southern Nevada is a secret gem that has been flying under the radar for years. Although I love singing its praises, I also am hesitant to write about it for fear that it might become so popular that it will be impossible to get a seat anymore.

Like the Westside Bistro, this is a ""teaching"" restaurant where all of the staff (cooks and servers) are students. For $7.95, you get a three-course meal with a drink. Each day, a different cuisine is offered. Today's meal, for the American Regional Cuisine class, focused on Cajun/Creole. (I also visited last week for Eastern European Cuisines, and the menu for the French Cuisine class is always a standout.) I had lunch with my husband--whom, I might add, is a CSN grad who served his time at Russell's years ago. 

For our starters, my husband had the gumbo (sadly, not very good), and I had the Oysters Rockefeller (VERY good!). We both had the muffaletta sandwich for our entree and Bananas Foster for dessert. I've had better muffalettas (including the one my husband makes), but the Bananas Foster was fantastic, from the awesome homemade ice cream to the perfectly balanced caramel sauce on the flambéed bananas.

As today's meal proved, not every dish is successful, but the menus usually offer some surprisingly high-end products that you can rarely get for under $10 per course, let alone per meal. You can check out each week's menus online (http://www.csn.edu/pages/740.asp) before heading over to the college. Just make sure to get there well before the doors open at 11:45; once the tables are full, you're out of luck.

As I said, this is a teaching restaurant, so you have to cut the staff some slack. But my one gripe with Russell's is that they need to teach their students to speed it up a bit. Service is usually slow, but today it was SUPER slow. Not many of us can take a two-hour lunch! (Although there was a large group of ladies from the Red Hat Society who were eating at a leisurely pace...)

If you're not pressed for time and you want some fine dining at a reasonable price, head over to Russell's for lunch. Just don't expect five-star service to go along with the five-star menu items.",55bAo20xQNIA2CfMKIDtPA,1,1,4,JcSHszxz2wYZTeIYer1W1Q
1633482,2016-03-31,0,94GL9JkTuhSqSZ94RS5Dkw,"Good place to go for cheap fine dining food. You can't beat a full course meal for under $9. Other drinks than water or tea are additional. Food was good except for dessert - I didn't quite like the mousse too watery, soft consistency, I usually like it more firm. But as for appetizer and entree it was well portioned and great tasting. Was going to put 5 but service is a little bit slow and proper procedures for getting orders, details was not followed but hey it's a school. For a great inexpensive lunch or dinner and if your in he area why not. Check ahead for availability since they usually sell out.",LLsyjn2GZ715AwIPlWZ4Pg,0,1,4,uh59oEOg9Q3A-EPhpnPclw
2019608,2015-10-09,0,94GL9JkTuhSqSZ94RS5Dkw,its hit and miss.  but mostly hit.  no matter what its the best deal in town for 9 bucks.  it always has something good.,neMVTHC6x9zSA45wqRfdyg,0,0,3,ZCdR0LiER64ghW5JfN8Z0Q
2260288,2014-02-26,0,94GL9JkTuhSqSZ94RS5Dkw,CSN culinary ad hospitality school has the best kept secret in town. A school lab restaurant that provides students with much needed experience and you with a three course meal for under 10 bucks per.,VwUtWQyzEtYvI45k6xtyzA,0,0,4,qixvJ5GnalBNagsB7V-3Mg
2520252,2013-11-08,0,94GL9JkTuhSqSZ94RS5Dkw,"Awesome fish tacos today! Loved the dessert too, great spiced ice cream. Service was good, very quick and polite server.",EhwFE8vhGO5xnawPqceQvw,0,0,4,9h1WI8E8_SqO3QBePUxVPw
3404675,2016-04-14,0,94GL9JkTuhSqSZ94RS5Dkw,The food was absolutely  gourmet.The waiters were a bit unsure of themselves but  their willingness  to do the right thing was appreciated.The meal we had was among the few in my life that will not be forgotten.,knRzlx1witzM4lrLZVetRg,0,0,5,TdN6SwakMGnGxcPSnwKmwg
