,date,funny,business_id,text,user_id,useful,cool,stars,review_id
65518,2012-12-07,1,Apkr-qykgpUI5ltIw7B-7Q,"One of those small hole-in-the-wall places. 
AMAZING PHILLY CHEESE STEAK.

I was starving and came here around 12PM. 
Place was pretty empty. Two other parties.
Lady who took our order was very nice. Said if we didn't try the Philly, we'd kick ourselves in the butt. I was going to order a Philly cheese steak anyway, so I did. 

Philly Cheese steak+mushroom+bell pepper+onions+BACONS
Everything about the meal was perfect. 
The bread was toasted and had this fluffy consistency to it.
It held everything together quite nicely. It was AMAZING.
Fries were crispy and nice. 
Only regret I have is not going back there the next day for more!!!!!!!!!!!!!!!
Paid about $10 which included tip. And I left feeling full as heck.",qM5-LTDO8ceGzYAtZWyufA,2,1,4,z_VWF8rTFmvZTQC0AWXPSA
128300,2011-05-24,0,Apkr-qykgpUI5ltIw7B-7Q,"This review is for their food.

Great deals! Big basket of chips and salsa for one buck. Philly cheesesteak around $5 or $6 (don't remember) and it was all so good. 

My bf has brought home the Philly for me so often but I've only been in the bar twice. And from what I can tell, service is fair. 

Great spot for locals!",o9egV9T264-gU0LLUrjPLw,3,0,4,Zhm-gZpcsfchvZnW8X1bhg
157544,2017-12-31,0,Apkr-qykgpUI5ltIw7B-7Q,"Went out to a party or club near UNLV and it's midnight? Hungry and want something reasonably affordable? If you answered yes to all of these questions then go here! I've been here only during midnight after a night out with friends. They have specials during this time for a lit price! I usually get the steak and eggs. It tastes great and for some reason their french fries are really good. It's a cool place to go with friends because there's two floors. The first floor is the bar and restaurant and the second floor is a pool area! Friendly service but food might take a while. Besides that you should definitely try it when you're out late at night. Also, the entire place smells like cigarettes immediately when you walk in, so if you don't like that then it's not the place for you.",M1pcZLW5wAjOyOZNVL8VKA,0,0,4,6pi_LE3nWmKM78fbQxNqyg
191067,2014-01-06,0,Apkr-qykgpUI5ltIw7B-7Q,"Great food, great service and at an awesome price. Daily specials and happy hour; Bills games on Sunday and Buffalo fish fry on Friday. Pool tables upstairs and juke box downstairs. Any time day or night The Stake Out is always a solid choice.",Jy6ADQpl8kVQzWjqu8RbsQ,1,0,5,mbYzsD-2UyZcsaexno5Lww
195943,2015-08-03,0,Apkr-qykgpUI5ltIw7B-7Q,"Great food, great service, great prices!  Ribs were best I've ever had.  Jim the bartender is the nicest guy you'll ever meet.  Will be back again and again!  Enjoy!",0BfLpKuexmgW54OuQ75Mlg,0,0,5,Kgn64r5A9Jxc8bdrkXvfCw
247410,2012-02-10,0,Apkr-qykgpUI5ltIw7B-7Q,"My last and final visit here was horrendous.  I used to frequent this establishment for the low-cost good food, and friendly service.  The last experience was the worst experience I had ever had in a restaurant.  The bartender/manager ridiculed me for the server's poor performance, she had gotten my order wrong twice and it was not even a modified item.  I ate 1/4 of the plate before I had realized it was the wrong order.  The bartender/manager was incredibly rude to me, yelled, and told me I lacked common sense, that I just wanted a free meal ($7.99, really?), and was very condescending with her questions to me.  Apparently, because I ate 1/4 of the wrong food, I was to pay for it and be happy with their mistakes.  The bartender/manager was so angry she started tapping her hand on the table telling me ""How it is"".  There is more to this story but I just dont have the energy to talk about how terrible other people are.  I manage a very profitable restaurant, and know that even when a guest is WRONG (which I wasn't) you are to accomodate them, and be polite, as they are potential opportunities to make money or lose money.  If I was the owner, I would be outraged.  Good luck, you should take a hard look at who's really running your place and clean up the staff.",KKOy30jkxGLE1JO5ovvVew,1,0,1,fOtAsnpcipP42hkwUlSsGw
359468,2011-09-09,0,Apkr-qykgpUI5ltIw7B-7Q,"Husband and I went on a date here for lunch. We are originally from Buffalo and heard they had wings and fish fry, cheap! WE loved it...thought it was dark to start but that changed after a few minutes. We ordered a teriyaki burger, fish fry and chips and wings, 2 beers each and tip, all for 40 dollars...AWESOME. Then we headed upstairs to play a couple of games of pool. Really relaxed but clean atmosphere and the server, Liz was so wonderful and friendly and made it a point to learn our name and NOT forget us!! What a great date that we were way over due for!!!",tj5Yg-A3M049MpiUjgTsPw,0,2,5,Ob9XHJPsPuQaXxqY2cfIug
386267,2017-05-03,1,Apkr-qykgpUI5ltIw7B-7Q,Went to grab a bite on graveyard shift the Bartender takes our order. There was a black man very dirty clothes cleaning the mats then all of a sudden he goes to the back and starts to cook our food. The black cook was the same guy cooking our food he comes back out and continues to clean the mats again. By that time we were grossed out and left. I couldn't believe the same guy that was cleaning the dirty mats was cooking our food. GROSS. We would never return. Health code violation for sure!!!,5Bx9yej4HC-966Xt2dlHnQ,0,0,1,o0iJ1Bt5b2sNMvOmwPteyg
563203,2013-12-25,0,Apkr-qykgpUI5ltIw7B-7Q,"I LOVE dive bars. Stake out is cool because they have good wings, fries, and .50 pool. Their happy hour is most of the day and makes domestic drafts $2. The staff is also very friendly. The only problem I have with the place is the massive amounts of cigarette smoke. The air is a little more clear on the second floor where the pool is!",6VhDHuE8RsB0iBG_zSKy1Q,0,0,4,ndQ_nWWHrPMUw_InCgF1yg
575959,2016-10-21,0,Apkr-qykgpUI5ltIw7B-7Q,"If your looking for quiet hidden dive bar look no further then the stake out. Dark lighting, seldom busy, the majority of the few people who are in here are older locals who play video poker. Food is all good. Great chef. Taco Tuesday is the best deal two tacos for $1.75 and their amazing. Service is good may not be super fast with it never being very busy typically one bartender working, but they all very nice. Good place to check out!",SfyzCM6KvQJqMb4vqsGgGA,0,0,4,oOqnLc0r8GCnBqPW-fufuA
