,date,funny,business_id,text,user_id,useful,cool,stars,review_id
43445,2015-10-14,1,Bhj4G0ArZqRvz9DprbNX3A,Friendly people and an amazing atmosphere! And literally the best Falafel in Las Vegas hands down!,sRYl9s8XGs0wR5YLWT9nnQ,1,1,5,OBPIYfL4S8JWCJVM9nzLrA
85580,2015-12-07,0,Bhj4G0ArZqRvz9DprbNX3A,this place is bad the managers steal the waiters tips !!!!!!ask them to make your drink infront of you becuse they use cheap alcohole and overprice it i have seen them when i went to eat there last week just bad they will throw stuff on your check you have been warned dont go here..,RQIG7T3PjqCUXuLNEMMrnw,1,0,1,t_EY-F08Xmt8Xln8DfKVZQ
91569,2017-02-15,1,Bhj4G0ArZqRvz9DprbNX3A,So me and my BF were in Vegas for Vday and of course i wouldn't be myself unless I stopped at a hookah bar. I live in Houston and hookah literally consumes people's lives down here so I had to get my fix. I found a Groupon only $10 for 1 hookah flavor between 2 people. Can't beat that. I was in a rush and didn't notice I paid for the wrong Groupon (they had 2 options to purchase. One was for 1 hookah flavor and the other was for $20 worth of food) both were the same price so I asked can they still honor the Groupon. Al said he'll do it for us even though he's not supposed to so I was so grateful!! Only thing that kinda made me upset was I asked for some water only because I seen someone drinking a cup of water at the bar while doing HW and he decides to bring out 2 bottles of water. I didn't even make a big deal even though I much rather had water with ice chips that would've been free. At the end the water was $2/bottle. But whatever he honored the wrong Groupon so I'll return the favor by giving him 5 stars.,k93EZqyzHHlBQWw4y9YI3w,1,1,5,GVckBFFUXY_8tcDn-JBhIw
135248,2013-10-19,2,Bhj4G0ArZqRvz9DprbNX3A,Good food and great atmosphere.  This place doesn't get very crowded so each visit is met with an attentive & proud staff.  The chicken shawarma plate is excellent!,IVHG8Y5b7L92GUdRI5QStg,2,2,5,bpJqy7a9ZvKArCZ2zG2zpg
147246,2016-05-18,1,Bhj4G0ArZqRvz9DprbNX3A,best hookah lounge ever ! nice costumer service amazing experience! ask for Noam he's the best,06gLB-hyiYgh-K1EztyPsg,1,1,5,sMgGyyhbA5C4XnnJpdTaOQ
190957,2016-08-23,1,Bhj4G0ArZqRvz9DprbNX3A,"Service was great staff was super friendly most of all great food, hookah and drinks.",j17UmybaVYv0d2RAbE84Zw,1,1,5,TEvzGtHNjJb3ramG0i4_UQ
195049,2013-04-22,3,Bhj4G0ArZqRvz9DprbNX3A,"Come for the delicious,  mouth-watering shawarma and delicately seasoned hummus, enjoy a masterfully prepared hookah, but stay, and return, for the love.   I adore hookah, but I'm very sensitive to loud music and distracted by the prevalence of sports television(a pox on them!) Guy, ever the gentleman, turned down the music for me and even turned off the TV, just so I could have a pleasant experience!  There aren't many hookah lounges in Vegas open in the afternoon, which all makes Layla Grill & Hookah a treasure!   Please, check them out!  You will not be dissapointed.",jXJ9Rnd1FqAeamQsL6rcag,5,3,5,rv-TRFuSzyqrEp3ANPkoAg
232769,2017-03-06,1,Bhj4G0ArZqRvz9DprbNX3A,It was amazing night with friends and we met the host owner  Niza he was very friendly and I will come here soon to enjoy uca again,6tJYmXfg_KmT3bi1071PlA,1,1,5,tHqw8KfZ9hW8lwJ-At0abA
269206,2013-12-16,3,Bhj4G0ArZqRvz9DprbNX3A,"I'm actually sitting here right now and enjoying some hookah and shawarma pita.  
I must tell that this is the best shawarma i've ever had in my life.  The meat is so soft and so testy, the service is really nice, my server name is guy and he is so friendly.  
He gave me some free home made pickles and i loved it!
The hookah flavor lasts  for long time and it's so smooth and nice.  
I recommend this place and want to thank them for the nice hospitality.  :)",_XgAfFJ64znYH7HD1IE4qw,3,3,5,XibCpEMfYqGyeKKt2X1zWg
295316,2013-04-01,0,Bhj4G0ArZqRvz9DprbNX3A,"I seen they had a group on deal for half off, so i bought it!

I was in town for 3 days and went to 3 different hookah spots, and this is by far the best spot i've been to! The hookah was hitting great, the services was wonderful, they have two huge TVs to keep you entertained, it's very clean, the workers were very friendly. 

Not only was the hookah good, their food was amazing and reasonable price! I can't wait to come back to Vegas just to go here!",1yR3wV6321krc-HwtZK5iQ,0,0,5,BZ5P3ixRURsUllvSZrIj5Q
302316,2013-10-28,2,Bhj4G0ArZqRvz9DprbNX3A,"Great food. Great hookah. Awesome
Service. Owners do everything possible to make you feel like you are in your living room.",9g0BntU7nv0hRyjVhnJPtg,3,2,5,c0xYT_PWaWg_b6bmZvKzDA
315699,2015-11-20,1,Bhj4G0ArZqRvz9DprbNX3A,"This place is hands down one of the best experiences I've had at a hookah lounge while traveling. Attractive staff, menu, and lounge! Pleasantly surprised by their selection of tobacco and quality of their food. I had the Shakshaka and double apple hookah. The food was a great portion and the hookah pipe hit like a champ. It isn't very often you find a place like this open mid morning with a quality product. I highly recondite this place to anyone. I'll be back!",HQt8kHhwpbHiAKdiv59wng,1,1,5,Tb-8RhZV1HeF6VzWxT36LQ
320755,2015-11-30,0,Bhj4G0ArZqRvz9DprbNX3A,"I don't really appreciate it when I'm specifically asking for ice water and receive a bottle just to make me spend more money. 
The food is overpriced and neither myself nor my fiancé thought it was even good. 
The hookah was just ok. 
The waiter was friendly but that's not gonna make me come back or recommend this place.",mJgddSeem7xGQoGDc1N8AQ,1,0,1,LIA3R0GivJNzQqbMzXPtCg
342217,2015-06-21,1,Bhj4G0ArZqRvz9DprbNX3A,"Shahar runs a good business. The hookah he uses is of high quality, and you feel the hit after after a couple of puffs. He gets his stuff imported, so you know it's good.

We had the hummus layla; good stuff. The owner checks on us to make sure everything is sababa (great in hebrew). Will definitely come again, if only to see Shaha. Sam, one of the servers, took good care of us as well.",V3zZIsaKTLBt0v9kI6XzjQ,1,1,5,2mGlWge4n6GhT1OEbtRkcQ
349570,2016-05-03,1,Bhj4G0ArZqRvz9DprbNX3A,"Amazing staff, best Mediterranean food in Vegas, and good hookah!",Or0sgxysTFqgZJQE6e4c4g,1,1,5,dbrcn-jrhLeehMqG_A8KyQ
350008,2014-08-16,1,Bhj4G0ArZqRvz9DprbNX3A,"Layla is the best hang out place in Vegas!! You can do hookah and order food that is really good and for good prices.the service is amazing and the employes are really nice,also the music is amazing.",EwklBsLFP6ifyUX0NbiH8Q,1,1,5,yCcKxwkkbTFzVEJWCGI4qw
367050,2013-10-14,2,Bhj4G0ArZqRvz9DprbNX3A,"Love this spot. The owners are awesome, the food and service are great and the chill atmosphere is unbeatable.",N-CtWs8EUn0Oq1Rqm49Wkg,2,2,5,NxBtj4nUwg9C8XJkAXtjrQ
370705,2015-06-15,3,Bhj4G0ArZqRvz9DprbNX3A,"Good food 
Good music 
Good service 
All goooodddddddd.........
I love it....
This restaurant is so good ...
#1",l3EfI95rMclGCfG_WBZuOg,3,2,5,0-VrR2TFEbSyjyhJxwn9vA
436249,2015-08-13,1,Bhj4G0ArZqRvz9DprbNX3A,"Great customer service! Great hookahs! The food is excellent, can't say enough good things about the place.",iCxUuVOEk1lljRMZ2-qywA,1,1,5,S6xBU3XEeuN5TFUmF_y_AQ
466358,2015-07-09,1,Bhj4G0ArZqRvz9DprbNX3A,"Awesome Place... Guy and Sean manage  the place very well... The Hookah is awesome... Food Excellent... The behavior of both the people is excellent. 
All in all the place to be, if you want to have Hookah in Vegas.,.",i1VZZ6JaZNgEDkcI_LfNCw,1,1,5,X0Suv3V-HwvDx9PTfwWEJg
505935,2014-03-07,4,Bhj4G0ArZqRvz9DprbNX3A,My favorite place to go and enjoy some great food and great hookah. The best hamburger I have ever had! The house mix hookah is great! I always bring my friends and guests from out of town. Def a must go place!,LbU1n1ehjJuhU3QRXOKpWw,6,5,5,usmZSAb3dPfqA75VWX_JOQ
515185,2015-07-28,2,Bhj4G0ArZqRvz9DprbNX3A,"Best hookah lounge in Las Vegas by far. The hookah was great, the drinks were good, great ambiance, and the service was great. All in all a great place. Highly recommend. Ask for Nitzan, he's the guy you want to know. Will definitely be a regular here",5O7rAGUeVNqXjYxkXqSzqw,2,3,5,ufDbwjpi0Gc9ciyoIN_VUQ
521316,2015-12-25,2,Bhj4G0ArZqRvz9DprbNX3A,GREAT FOOD AND HOOKAH! We always come here. The owners are so great. They sit down with the customers and everyone is super friendly. You feel so welcomed. They remember you and make each customer feel special. Been a fan since before the expansion and now it's even more welcoming. They have a projector and comfy seats. This is definitely the place to be on the weekend or any other day of the week for that matter!,rliyXkxE057rVIv7qvNxVA,2,2,5,_YlS5nlMhiyz4yAKqk3-Sw
574276,2013-11-19,1,Bhj4G0ArZqRvz9DprbNX3A,This is the best food I've had in a while. I never do reviews but couldn't resist the urge this time. Highly recommended!,6zYhP_hUA9ibH345VasOZw,1,1,5,heXhlsnDRCb1LsCcv1jhSw
589801,2014-10-20,1,Bhj4G0ArZqRvz9DprbNX3A,"great othentic food 
the best humus that i tasted in the US.
very very large dishes for a reasnable price.",9u2HMrWYppSVq1dvcAkVqw,1,1,5,UffEJxk0mecyPzc_yUeu4w
612971,2015-01-24,1,Bhj4G0ArZqRvz9DprbNX3A,"Amazing place to hangout with friends or even just do some school work. They offer free Wi-Fi to customers which is nice. The servers are friendly and make great suggestions for hookah flavors and food.  Nizan is one of the mangers I've met after visiting 3 times and is very attentive to the guest.  

Overall I would definitely recommend Layla grill as a place to try out.",AjZGwSk3g-Ji6v6Etlp3Pg,1,1,5,eYCP_Mv5OQ5wPsfE7H6edg
615276,2013-04-12,3,Bhj4G0ArZqRvz9DprbNX3A,"Good hookah, nice people, good food, definitely one of the better hookah places I've been too. I will be coming back to this place, and I think others should too!! :)",f2TM3GHHY2a--BN8twBnmw,7,6,5,chaWO_6xEJI_IMRUN5HMgA
625166,2015-02-28,1,Bhj4G0ArZqRvz9DprbNX3A,"Great device, chill place. Pretty good hookah and a good selection of food. Highly recommend it.",Qf2Suti3HLfxy7NmQtt0Ig,1,1,5,h0ld2QPo2VbzfZ8ScOgKYA
645339,2013-09-24,2,Bhj4G0ArZqRvz9DprbNX3A,"The staff are nice and helpful the place is clean and pleasant. Prices are reasonable, wi-fi is free. Dishes are fresh and very tasty.
Highly recommended.",2z3o3mG0Nog7GoUm9k-krg,3,3,5,ZSCWxB-OBU6PtsNgVUR3Iw
647162,2017-05-08,0,Bhj4G0ArZqRvz9DprbNX3A,Very nice staff and I can say it's the best hookah in Vegas since I've tried most places. Didn't try the food there but I heard it's good.,_vkFN4WW2A1oCGBQhIhClQ,0,0,4,RK5CRpIihKBg4twfpYoanA
703098,2014-03-23,1,Bhj4G0ArZqRvz9DprbNX3A,LOVED IT ! been here once and I will deff keep coming back . The customer service was great as well as the food . Try their mint lemonade !,PMnx1RL2xbXw_SntE2tzQg,1,1,5,SKW2LEiKuWlTL6-FvCsNlA
705461,2013-02-03,0,Bhj4G0ArZqRvz9DprbNX3A,"I was at your grand opening and it was really nice! Best hookah i've ever had! Also great eastern food, i love your kebabs, thanks for good service!",6f2RYc6rWPaRFH2YGlUbnQ,2,1,5,CbKzGZw-0Fqhq00Y6zo7Lw
705987,2013-07-30,2,Bhj4G0ArZqRvz9DprbNX3A,"I ate a in lot of restaurants of this kind.  but only about this place, I can say that was the most delicious food ever. Especially the hummus, falafel, and the burger, I had not eaten such good food anywhere els in Las Vegas .Recommend very much. Thank you precious Chef made us delicious food.
Also, the atmosphere is very nice and the hookah is a very good desert.  
This place is my new spot. 
Thanks.",aoPSp24msNp3BpGpCEcJQg,4,3,5,D3HNozUMbU5B3Isckk1pCg
752280,2014-08-16,1,Bhj4G0ArZqRvz9DprbNX3A,"The experience is fun and exciting! Music is great! The service is also amazing! And most important, the food is great!",GNGJGWBykZ2IdcWgYJZfOA,2,2,5,1Hu00RG0h25-BHtkrUoZHg
757839,2014-07-27,2,Bhj4G0ArZqRvz9DprbNX3A,"Before I talk about their hookah, I will like to say thank you for the best customer service we got from Gy. Thank you. The hookah we were recommended was a mix if Blue mist and  Rose, one of the best mix ever must try. This is best place to be when u stay in Las Vegas.",_qTf8bDxeotVjlVhW3FE-g,2,2,5,_0zn7_9fPg-0U-s1tBWf4A
760597,2015-08-31,0,Bhj4G0ArZqRvz9DprbNX3A,"I can't say enough bad things about this place. We went here on a Saturday night around 11pm. Ordered a hookah and 2 beers. We took the recommendation for the waiter for the choice of hookah flavor (red gummy bear and white gummy bear ). Once it arrived we tried it a few times and it was disgusting. We notified the waiter who said that we just needed to allow the tobacco to warm
up. We asked him to start the hookah and it was still nasty. After that we asked for a different flavor which they brought. The rest of the night they proceeded to ignore us. They only time we received service is if we went to the bar or flagged down the waiter, even thought he was walking back and forth around the restaurant. At one point the hookah was no longer hitting as well so we asked for them to just change the coals. The waiter told us it's not the coals it's the tobacco. He refused to put more coal on the hookah unless we got a refill ( we had only been there for about an hour). Definitely won't be going back!! Worst service ever",IVMFwypwk3aV7icMRFF7Ig,1,0,1,wAx0Dzol5v00xioBWjZtfg
768405,2015-09-20,1,Bhj4G0ArZqRvz9DprbNX3A,Try the hummus mushroom and the pita falafel! Both amazing. The service and food here are incredible!,gLtOOAx9tFh4ttriS6smng,1,1,5,YMLK_oKajAgIvjbHSwboUQ
801248,2017-01-21,1,Bhj4G0ArZqRvz9DprbNX3A,Amazing hookha lounge!!! The best hookha in las vegas!! Great atmosphere and the service is awesome!,J_JoxWlnvzKEcoDv6laNGQ,1,1,5,9fBZ5WmzMExqBHsBgxLnLg
801348,2015-01-12,2,Bhj4G0ArZqRvz9DprbNX3A,"Good food
Good hookah
Good people
If you like those things and your in the area you'll be doing yourself a service by going to Layla.",DLkzwiQRiEr1dApkXKJdXQ,2,2,5,TGK13DWxHp_-YoitI-Sg-A
810481,2017-12-13,1,Bhj4G0ArZqRvz9DprbNX3A,"my sister & i came here straight from the airport on our visit to Vegas! we had the best service with Guy he took care of us and went above and beyond to give us exceptional service!! we will be back later tonight and every time we are in town! 

it's clean, quick & amazingly friendly service! If I could give them 10 stars I would",MXYQPmsh3MzYrM4y9EZgsw,1,1,5,yFJM9dxY0m6vJnHpxQ45vw
843660,2016-09-19,0,Bhj4G0ArZqRvz9DprbNX3A,They have the best shawarma and humus. The stuf is super nice. Good music. Nice place to be,P5wF43xi0OwxU3uh4xV3mQ,0,0,5,qJGQcxGSnSc6uoiw1IJ_vA
867544,2016-04-20,1,Bhj4G0ArZqRvz9DprbNX3A,"This place is awesome. Friendly service. Great atmosphere. If you are lucky enough to live near here, you should be here. I would come here on the regular if i could, but I'm only visiting from Atlanta. Oh, did I mention the food is on point? 10/10 would hookah here anytime",pa5a5EkCIB7rfWuVZpOweA,1,1,5,_MticzPfBv-5UXpIRUs2TA
871958,2016-06-08,1,Bhj4G0ArZqRvz9DprbNX3A,"Awesome place !! This is our first time here and the staff was polite and very quick to get you what you ask for , will definitely be referring Layla Grill & Hookah to my friends ! Great selection of hookah and the menu had more than enough options to please your appetite !",73V5YBPTp9YI4IlCb6FGUA,1,1,5,ZBWzSYPcMVC66WXkIJe1_w
889158,2015-12-10,2,Bhj4G0ArZqRvz9DprbNX3A,Best chicken shawarma in town!!  The ambiance is nice and the entrees are plentiful!  Next time I will get the beef and lamb entree which also comes recommended!  Baklava is delicious!,O4otb5JsMdLGA7oLIJYgMA,3,2,5,8uQNDd1B7LDE75Kg3VgS8Q
902824,2017-01-23,0,Bhj4G0ArZqRvz9DprbNX3A,"My favorite hookah place in Vegas, very nice friendly staff, very quick service, very clean, very fresh food , love it",kTQipYHRBsZNqHwverTR3A,0,0,5,Sc5loHYSG6sxREPdVzP28Q
938734,2015-01-03,2,Bhj4G0ArZqRvz9DprbNX3A,"Amazing place and good service.shon and Vector are going to take care of you very well. If you are in Vegas just go there. Music, atmosphere, food, drinks . Everything is good. They don't mix the flavor in the hookah.",1Yvd0Pw-Jg7ev4Uxh4dciA,2,2,5,W7TgLhkQ1ZZXnEzwP9iNHw
966795,2015-07-30,0,Bhj4G0ArZqRvz9DprbNX3A,"What a gem. I had the shawarma and my mom had the marinade chicken breast. Both were outstanding. The chopped salad is a perfect accent, nice and light. The hookah was packed to perfection. The service was stellar and really felt more than welcome. I would recommend this place to anyone wanting amazing food and service. We will definitely be back. Wanting to come check out the atmosphere at night. Keep up the great work, Guy! Thank you.",gP41WaMGvgVn2TbGMhtGcQ,0,0,5,VIPySdlgScznBLC4hTJLbw
979704,2015-07-04,1,Bhj4G0ArZqRvz9DprbNX3A,Super friendly employees. The food is amazing!!! The only thing is that it is a small area and if it's busy you'll have trouble finding a seat-which I guess is a good problem to have for them!,39cRZRCPsulffX-_ayPaTw,1,1,5,jX7juWJQOEqUbdYyC2Mm5Q
