,date,funny,business_id,text,user_id,useful,cool,stars,review_id
96850,2011-09-03,0,BnpuVvPy3sfLlkqKCx6Xnw,The grand cafe has been a hit and miss type place for me at the sunset station.I did not want to try it here but the buffet had a long line. Eggs Benedict was great! The poached eggs where really not that poached but It was good.,JdQHM1wAQfDcoORmipkTtw,0,0,3,-9vYmfjj8cr2_PpUmjzgHA
112761,2013-10-01,0,BnpuVvPy3sfLlkqKCx6Xnw,"Food was ok, a bit overpriced, but it was in the casino. But the service took forever for coffee, over 20 minutes to get the bill after asking for it. stick with the basics, oatmeal, french toast, dont try anything fancy because they don't do it well.",A_fAtAUJA9PuEzjOnxQ13Q,0,0,2,tAAQzn7gJePgkYBHWPJY-Q
125231,2014-09-04,0,BnpuVvPy3sfLlkqKCx6Xnw,"I visit this location constantly when I get out of work in the very early hours of the morning. They have an amazing late dinner/early breakfast menu that has prices that are impossible to compete with. One server knows my order whenever he sees me and I love that kind of personal service. Some chefs are better than others however and the quality of the food varies from meal to meal but never really ""disappoints"". The best short stack in the world for $1.99 is unbeatable. Not to mention service is incredibly quick. The only night I've seen it otherwise was a holiday weekend when they were swamped by hotel guests. Understandable.  

This is a great place to eat if you're a visiting tourist or just with a group of friends late one night at Red Rock. Great for after a movie before you head home for the night.",8ZOvd0CvPt1AQpusNVqHZg,0,0,5,hXZpbn1wrFwdabbnGzU3UQ
143787,2017-07-24,0,BnpuVvPy3sfLlkqKCx6Xnw,Grand Cafe is a signature resto U will find at all Stations Casinos. But this one at Red Rock stands out from the rest is its upscale appeal. Don't forget to check out their baked goods counter after a satisfying meal at the GC.,o9D90Dr6z27JL6AlivsoFw,0,0,4,Va8C7RtWsVgQa5fKvUgVjg
178002,2016-01-23,0,BnpuVvPy3sfLlkqKCx6Xnw,Just had a fabulous breakfast. Service and food wonderful. Almost did not go because of the poor reviews but glad I have it a try.,VKP-zHANtEnVdNoRIC7F8w,1,0,5,t8ELDYz9Z6N0yJDk61_s4w
215609,2014-04-15,0,BnpuVvPy3sfLlkqKCx6Xnw,"It's ok. If it's late and you want a place to eat, it's a good place to find some ok food.",SqVGcbsbQMBjH33AtH79Gg,0,0,2,USNSEDIYLSV6ARSuH6lP3A
221268,2017-06-10,0,BnpuVvPy3sfLlkqKCx6Xnw,It was in unbelievable how rude Rubin was. I live here and will never come back. Good luck to you who think this place will work for you after hours.,_cE9Qy9DoWUVxDeKYiLkqQ,0,0,1,QGTM7brrKS7cNrASQQB5hw
236103,2013-09-02,0,BnpuVvPy3sfLlkqKCx6Xnw,"My boyfriend and I came here for dinner after seeing that the line for the buffet was three miles long. We wanted burgers anyway, but LBS was packed and this place was relatively empty... seemed like a good choice.

We got the buffalo chicken wings as an appetizer and they were amazing, so everything was looking good. Then we got the burgers. 

I got the bleu cheese bacon burger, and my bf got the classic. To quote him; ""Wow, this is f*cking delicious."" The burgers are VERY messy and gooey, so if you don't want your plate to look like a sea of condiments when you're done eating, then maybe this isn't the place for you. But I personally prefer that, and we left extremely happy.

Minus a star because the service was kind of slow and it took forever for us to get our appetizer. But the food was delicious. We'll be back. 

(Bonus points: they're open 24 hours... good if you are starving after a late movie, like I often am!)",vQHmyZJsrcLjtlGmVsKa5w,0,0,4,Kt3L3d3l5ak1vdLWuTTjgg
253297,2014-10-13,0,BnpuVvPy3sfLlkqKCx6Xnw,"The food and ambience were great and relaxing.  The ""early mary"" Bloody Mary is phenomenal and they will happily make it to your level of preferred spiciness. The eggs Benedict ($11-ish) and salmon Benedict ($13-ish) were tasty, and the coffee is perfect, not too strong.  

Although the service of our sever left a little to be desired, the food runner was super friendly and helpful and we enjoyed our experience overall.  The prices are great too!",qUuM4hNgENPAnWefF__vKQ,0,1,4,5uYFfe9beb1pa-HF53f_aQ
300258,2014-12-27,0,BnpuVvPy3sfLlkqKCx6Xnw,Food is good but the wait time and the speed of service is maddening slow.  Always been the same issue that makes me reluctant to return.  I only came here because other restaurants were too busy.  Really wishing I could come more often but getting drinks takes 25 min.  They need to train better,spAhjKbxkjOUcBPDSwIPFw,3,0,2,rWNIG3T8Mt3E4z9kdwqQlA
