,date,funny,business_id,text,user_id,useful,cool,stars,review_id
30420,2015-10-06,0,CAxHrXoPrbf0e0AYFPhv6g,When I was new to the area we were looking for a neighborhood bar and we decided to try village pub. Boy are we happy we have it a shot! The food is great and so is service we love our bartender Christina she is always great and makes us feel so welcomed now that we have moved we still take the drive all the way to this place keep up the great work!!,Yo-NWQy2Fu6f10yIRS3jvw,0,0,5,DZ1Ufhj7s_MEKelHezD3EA
144008,2016-04-09,0,CAxHrXoPrbf0e0AYFPhv6g,Best chicken tenders in town. My girlfriend and I can eat them twice a week. And have for a few months!,jKsVCdXotGwWRWZn8N7oVg,0,0,5,isqBQflJjiYDlpMEw-itKw
148960,2015-03-20,0,CAxHrXoPrbf0e0AYFPhv6g,"This is my favorite location of my favorite hang out! The food here is amazing! There is no other word for it. It is just consistently good. Service can be hit or miss, but I try to go on Weekday nights and sit at the bar where Roland works, he's our favorite! The happy hour deals here are outrageous! Half priced appetizers (which are basically meals) 12 wings for $4?!?! And they are the best damn wings around! The fish and chips are incredible and only $10. This is owned by Ellis island so they have their delicious beers and root beer. I love the country friend steak, it's like $6. (Also they must make their own ranch because it is like crack!) Overall this place is just somewhere I know I can go 24 hours a day whether it's 12pm or 5am  and get really good food for $10 or less!",1eSttb7yz3o-Jcl8uc3tWg,0,0,5,PzvO7yqJEndLDWMdRD_eWQ
435482,2016-01-09,0,CAxHrXoPrbf0e0AYFPhv6g,"This Village Pub has gotten so much better now that Michelle is a server. She is on the ball, friendly and gets your good out fast. 
Great steak and egg breakfast for $6 99 on weekends.",BRwcPAjkAWIODtv4DDQZwg,0,0,5,c1Q4xJdPYPAhkrRzulB-Bg
452451,2016-09-09,0,CAxHrXoPrbf0e0AYFPhv6g,"We love our neighborhood Village Pub. Service is always friendly and prompt. The dinners we order are always good, Never have been disappointed. Very worthwhile. I like the fact the bar is separate from the dinning room so no smoke.",Es61nA4hqdnt0Tnq-tfOIQ,0,0,5,ag7EoHB_5zZdxQL89jB4Yg
563168,2013-09-07,0,CAxHrXoPrbf0e0AYFPhv6g,"From the staff to the ""regulars,"" this is by far the best place in town. The food is terrific, the staff (particularly John, the manager) treat you like family, and you can't beat the value.",5MX3Gti522s7TF2823ANww,0,0,5,QgwRrVakuGM5iH8fb8l23Q
738026,2015-05-24,0,CAxHrXoPrbf0e0AYFPhv6g,"Normally my mom and I get great service here, but today it was anything but that. We never got our straws. She said she would refill my coffee and never happened. I had to ask the gal that took us to our seats for my cofee.",SEAHOopEcXgzpPmEc35ZJA,0,0,3,J1IS2FK3xoZoYKLOPeJvhQ
770281,2014-02-22,0,CAxHrXoPrbf0e0AYFPhv6g,"I have been to The Village Pub at this location several times.  I'm not quite a regular but I'm close to being a regular.  I always eat in the bar area even though I don't smoke because of the big screen t.v.'s.  It doesn't matter what shift I walk into the place on the bartenders greet me by name and by the time I have a seat at the bar my drink is waiting for me.  They remember what I eat as an appetizer and how I like it ordered.  I have had several items on the menu and all have been really good.  As far as bar food goes this place has it right.  Great food very good pricing and most importantly an amazing staff that seem to be happy at work.  A few food items I've had and loved the Chicken pot pie, chicken wings, philly steak sandwich, and the breakfast special.",Cu3OWgwZ8BoBWxRvljrqmA,1,1,5,adcxDT3P0_JzxhDB-LAEIQ
856068,2015-05-25,0,CAxHrXoPrbf0e0AYFPhv6g,"While the food continues to be wonderful,  the service continues to be horrible.   Because we get such bad service in the restaurant,  we sat at the bar.  On a Sunday night with only 4 others at the bar, we were ignored completely.   After our first drink order, we ordered food.  The order was wrong. After 5 minutes my husband had to get the bartender from the other side of the bar because she was focused on 1 male customer. The order was fixed, but we were never offered drink refills and we both ate our entire meal without a beverage.  
Service at this location is always poor.   Even sitting at the bar we were treated to some of the worst service i have received at this location. 
This female bartender has no idea about customer service and follow up.

It's a shame the food is so good, because the service standards are lower than poor.",PeMIZFop9JGU1DyxUWqt_A,0,0,2,OB3MzwszVBsWkTM_9xfbFQ
960256,2013-10-15,0,CAxHrXoPrbf0e0AYFPhv6g,"Try the cobb salad. It's fantastic. A bit dreary inside, very dark, but the food makes up for the lack of atmosphere. Great place for breakfast too.",7mkRAms7Nvxgmg-3O_h_pQ,0,0,4,W3hBtlGsVGhRwUImq4izjw
1002482,2012-09-18,0,CAxHrXoPrbf0e0AYFPhv6g,Regular visitors for years. Food only for us...no machines.  Like the room and the food. Must be good value as it always filled with seniors.,1doCaNCohVztPVGGDZACZQ,0,0,3,Ra-bPl9PfUN7u5SbpRAFXw
1120596,2017-10-16,0,CAxHrXoPrbf0e0AYFPhv6g,"It's not a fancy place and a bit old fashioned with no windows, which I found strange. However, the food was good. I really liked the fish & chips, and the french fries weren't bad. Another time I had the pot pie. It was also very good, but, as another reviewer said, it did have too many peas. If they cut back on them, it would be perfect. Also, it only had crust on the top, so I guess you could consider it healthier since it would have less calories. One suggestion is that they could work more on their slow service. I'm willing to give them a pass on my rating because they were friendly and the food was good at very reasonable prices.",y5YNzZwQuYxgE-jSDcZLxA,0,0,4,Cab3P6twcnXSt52a4YyD0Q
1197032,2014-03-13,0,CAxHrXoPrbf0e0AYFPhv6g,"Our second kitchen. We are here at least once a week. The food is great at most Village Pub locations, but this specific one is special. Kathy the manager really cares and is sure to welcome new customers and stop to chat with regulars to make you feel welcome. The service is consistently great, and a lot of the staff has been there for years so you know it's a good team. The prices are very reasonable and the ribs are back to normal and are excellent again! I also love the Village Pub Chicken, the Pot Pie, the Buffalo Chicken Wrap, the Club Sandwich, the Steak & Shrimp, the Ham Steak & Eggs, the Fish & Chips - oh and the burgers. The burgers are so good. ...and now I'm hungry.",iaQZQj_FRlQ9HJCQtgJb2Q,2,0,5,VnE_sz8YWy8rN6tL-rOXAA
1218857,2016-04-11,0,CAxHrXoPrbf0e0AYFPhv6g,Still to go fee. SMH. Not good for business. Not only that you can't even place orders for pick up. I don't come here much at all cause of the drive and getting not so affordable. Mgmt needs to wake up.,-ZIF_Tdo-9f9j3tz25dNCA,0,0,3,dWaG5k0F53fVz6EvV4uLDA
1265815,2017-06-03,0,CAxHrXoPrbf0e0AYFPhv6g,"Prime rib for medium rare got it medium well,  service is good just can't what you ask for",QaY3yCoNcEBVMkahaprXTA,1,0,2,5FcnUXDpmYVU-TSQBtIOMg
1292179,2014-10-16,0,CAxHrXoPrbf0e0AYFPhv6g,This is amazing. Great staffs and food. We get treated like family every time we walk in. Ions the service and the food.,BfcNxKpnF9z5wJLXY7elRg,0,0,5,EZRLdi97ZGcI0SlQXYNxww
1399698,2014-09-28,0,CAxHrXoPrbf0e0AYFPhv6g,"Really like Village Pub! Great food, excellent prices. I really like to order a club sandwich but in a wrap with avocado instead of mayo, they make it great every time. I also love their breakfast menu as well.",gJhzL9MM6TEJoxSuQo21Nw,0,0,5,lOnFWHsZwMnyGIT4C3AwRA
1479583,2018-03-10,0,CAxHrXoPrbf0e0AYFPhv6g,"Best most affordable breakfast in Vegas. I don't like their other meals but breakfast here is where it's at. I went out to breakfast the past 3 days here and spent twice as much at the other places. So for he quality and affordability they deserve 5 stars. This is what Vegas is about, cheap food and booze. Village pub is a staple.",FiJIx50_RZDc9hMIBwTGnQ,0,0,5,002oOBLZjn8KtpcC0p841g
1591456,2018-02-10,0,CAxHrXoPrbf0e0AYFPhv6g,This is one of the few bar / restaurants I would bring my family and friends. The service is great no complaints. They always check on you. The food is always good. The fish and chips is good and so is the chicken pot pie. The prices are very reasonable. I will be back..,1LrSW8RZ7gvXgnknqjd8fg,0,0,4,74w3B-iginyrQA4q9yfwIA
1628124,2015-10-16,0,CAxHrXoPrbf0e0AYFPhv6g,I've been coming here for years. the chicken pot pie the best. if you like fish and chips they are really great too. Their happy hour specials are great for someone on a budget. Most of the wait staff know what they're doing. And if Jamie is in the bar go say hi she makes a really good drink.,JiWIJXCf7CsiLEkk4tQhAQ,0,0,4,gIAwLFesqk0lYpKku0DXeA
1733677,2017-02-11,0,CAxHrXoPrbf0e0AYFPhv6g,"Wonderful!

My ex wanted to have breakfast here and I said huh?    Breakfast?   I had been here for dinner but had no idea they even had a breakfast menu!    

Of course I have always loved coming here, they have the best fish and chips I have ever had!   

The menu isnt huge but its satisfying.   I ordered corned beef hash patties w/eggs, toast, potatoes and sausage Patties, the portions are HUGE.    $6.49 for my meal by the way and you would think the food would not be that good for that price but nope, delicious!

He ordered a Ham steak breakfast, the ham (of course I tried a bite) was melt in your mouth!

The restaurant is clean, comfortable, quiet.    The waiter we had was great, kept coming back to fill up the coffee and I ordered a pink lemonade and asked if I could take the rest home with me and he brought me a brand new one.   :)

Will return as soon as possible!",tbivfqTrnwTp7mSKSz1j0g,0,1,5,R81VSvmvgsNMV_ffWP9eZw
1800665,2014-07-31,0,CAxHrXoPrbf0e0AYFPhv6g,"We are regulars here eating dinner a few nights a week and breakfast on Saturday. Great menu, decent prices, good portions and the ribs are amazing! Smoke free restaurant which we love since some places still allow smoking. Give it a try and it will become your second kitchen too!",J_-69KRB_HcMC5jCC1jLxg,0,0,5,gXg2ifeeypBCeZVu7ODREg
1838457,2014-07-20,0,CAxHrXoPrbf0e0AYFPhv6g,"Always great service, Ismael has is very friendly and knows what we want.  Food is good and priced right.  Since we do frequent this establishment we would love to see their menu change a bit.   New items to choose from.  Other than that.  Great food and service.",NGzXYrltR5dpYKE0UrH7ng,0,0,4,lKxC1ggbkWfixAG65tUA8Q
2130362,2017-08-04,0,CAxHrXoPrbf0e0AYFPhv6g,"Village pub is one of my favorite places to go to  with the family especially for breakfast. My personal favorite is the breakfast burrito, hands down the best breakfast burrito in town. Only thing is that they stop serving it after 11 after that you'd have to order from a smaller all day breakfast menu. For lunch or dinner I'd probably go with their delicious baked penne pasta with a side salad or a burger. Adam has a way of making you feel at home especially if your a regular like us. Can't go wrong with this place.",Z5OP_PEa57a48wRnxbhhsg,0,0,4,PwpYebbYePM7xwRG65Cy0w
2182840,2017-01-03,0,CAxHrXoPrbf0e0AYFPhv6g,"Dark, windowless bar that smells of stale cigarettes but has pretty good eats. It's been awhile since I stopped by, but the employees were friendly and it did not take long to receive drinks and food. 24 hours, which is always a plus for being down the street - believe it or not, not everything is always open.",N5URmpyygDBSC_8UShI_6Q,2,0,4,9TU0G3X-viWClT0QCorwxQ
2211145,2017-09-28,0,CAxHrXoPrbf0e0AYFPhv6g,"This place can be subbed up in one word, disappointing. As soon as you walk in the door you feel like you went back in time. Clearly a remodel hasn't been in the budget for a few decades. After you get past the decor now it's time to deal with the waiter. This individual definitely let us know he had no desire to be at work and prompt service isn't on the menu. Apparently we were out of line to ask to have the football game on the tv. It was a Sunday evening, and we wanted food and football. Our waiter told us he was busy and would get to it. He did put the game on, as soon as we walked out the door. I'm guessing asking for drink refills was too much to ask. Since we NEVER were able to get a second drink. I have never had a waiter make me feel like I was an inconvenience until this night. I can oversee the outdated atmosphere but poor customer service is inexcusable. I will not be returning and I in courage you to explore other dining options.",LhAJ8d8iGVsVIAsY8FwzNA,0,0,1,i89Rw_wKh6kj04Ss56KmIQ
2376480,2015-04-02,0,CAxHrXoPrbf0e0AYFPhv6g,"My 100th review on Yelp and what do you know, bang, 5 stars.

Love this little local joint. Breakfast steak and eggs, $6.99

More importantly, the steak was great. Would definitely go back. Can't wait!",PVsqZozwWDU8KhZPj6q6sw,1,0,5,A8QLYRE0LrhocTfgvIkZDw
