,date,funny,business_id,text,user_id,useful,cool,stars,review_id
61660,2015-12-06,0,CCVh8YKdN3c-WgqEbzya3A,Plain bland it is bad had the lite side Yuk didn't even half $16 GF had the Huevo Rancheros Same story Average service Don't waste your time 1/2 star,VdyTesw5gfEOlMPs7pcH0g,0,0,1,7FHGIUIz1CtlktoCmF38qQ
102186,2013-06-30,0,CCVh8YKdN3c-WgqEbzya3A,"$7+ for a breakfast bagel sandwich.  When the sandwich is ready, whoa, are you in for a treat.  They must have pumped some serious HGH into the sausage and the eggs.  They are massive, but not in a good way, scary to eat, there should be an asterisk on the menu for this item.  Less is more in this case.",cjJGQnketJwynr0MwtxXXg,0,0,1,9foA6K0XSg4NHVw89iZP1Q
187755,2012-01-09,0,CCVh8YKdN3c-WgqEbzya3A,"Visited the market several times during my 5 day stay. The food was always delicious. Had the salmon bagel multiple times. The burgers are pricey at $12, but they are huge and that includes fries. They have tasty baked goods as well as another favorite, fresh fruit. I bought fresh raspberries every day. They market was always well stocked.

Negatives are the service was slow always and a few times they didn't provide condiments as requested. 

For the convenience, I would definitely recommend.",QcCMeJGHRlKoeB9msii2Gg,0,0,4,0NbV7vvaYVYpvRbtwNLEuw
254904,2013-02-09,0,CCVh8YKdN3c-WgqEbzya3A,"If you're a fan of coconut macaroons, definitely give theirs a try. Yum!! 

The ""market"" offers a decent selection of snack food and drinks to grab and go or to keep in your room, but definitely pricey when compared to what you pay for the same items in a grocery store, but of course, its Vegas. 

Two secrets: First one, go to the fitness center for your juice and smoothie selections. One bottled brand in particular was a dollar cheaper in the fitness center. Second, if you desire picking up food for your room and have the time, go 2 miles south to the Whole Foods Market. Sure you spend 15-20 on a cab, but you can grab whatever you'd like for your food, fresh produce included, for half the price of what the market offers.

Comfortable seating area as well, which is nice to have so close to your hotel room. Overall, great selection of food, beverages, desserts, and souvenirs.",E9LKlL08nn4IAToQfcqu6g,1,0,4,w_PmQe0UBOWEVKQSM5UdAw
379386,2017-03-14,1,CCVh8YKdN3c-WgqEbzya3A,If you're staying at the Vdara and have no dietary restrictions then it may be worth it to pop in. If you don't mind a wait... and if you don't mind an over priced breakfast... but if you are gluten free stay away! Even their potatoes are coated in flour. Maybe I'm just disappointed because a previous reviewer said they had gf pancakes - but they don't. It's just not worth the price and the walk.,bK8e4aU89pE1xWTigYUZNg,1,0,2,NIXrYG_9njFEGae_aBu0Lg
429738,2013-10-09,0,CCVh8YKdN3c-WgqEbzya3A,"People has no idea what is a good cup of coffee therefore they can't make a good one.

Tried 2 times by different month result comes out the same.

Don't have a problem for the price, willing to pay for a good cup of specialty coffee but disappointed each time, no more",B95kN1fnsV7flTm-S0AWsg,0,0,2,_VnTaQZUBHybCkaMdB6Cmw
433070,2015-03-15,0,CCVh8YKdN3c-WgqEbzya3A,"Yesterday I purchased the grilled cheese sandwich and substituted a side salad.  The way the menu reads it says that all the sandwiches come with fries and when you substitute a side salad it replaces these fries.  The sandwich description says it comes with soup but it doesn't say it does not come with fries.  

So I thought I was getting a grilled cheese sandwich, soup, and side salad.  And this was going to be around $15.  I get just the sandwich and the side salad and the person at the counter simply says that the menu means there is soup instead of fries.  That alone would be unacceptable because it isn't what the menu says.

In addition, I took the sandwich up to my room and the thing was disgusting.  It was somewhat burnt on both sides and I think maybe there were two pieces of cheese on it.  That is not even worth $3 nonetheless $15.  

I would definitely avoid this place.",ivaX9vpFiECZUMfETzNx_A,0,0,1,pSM7HlZWY5Hth0TBdlosDQ
477593,2015-01-02,0,CCVh8YKdN3c-WgqEbzya3A,"This place is overpriced and service is slow. They served breakfast potatoes which seemed like frozen potatoes and when we asked the waiter he did say it is frozen. Pancakes were too thick and felt doughy. 

Their Mexican breakfast items are way tastier!",iiaB4ErytYDJGEtGLXcVGg,1,0,3,4ZL2nSXMHrRXt3eOAuB8Mw
504839,2012-04-12,0,CCVh8YKdN3c-WgqEbzya3A,"Decent stuff, could be much better with location being off-strip",gO3NV4X1Uod0uPWK6k4G2A,0,0,3,tvUs7XIBXZmCCiDwZhq5qQ
555145,2013-03-06,0,CCVh8YKdN3c-WgqEbzya3A,"I felt that this place was overpriced for what they served. We ordered a egg, cheese and sausage bagel and shared a blue berry scone. The bagel was huge and pre-made (it was wrapped in foil, straight out of a heat thingy). That made me sad, because it tasted pre-made and had no taste. The scone had no blue berries in it and also tasted bland. Needless to say we never went back there for breakfast or any type of meal.",VS0muc_Lo8TilpXw08wxmQ,0,0,2,EgD-Hmo3E9redlXHX5wZpw
667683,2016-09-18,0,CCVh8YKdN3c-WgqEbzya3A,"I have nothing good to say about this cafe. The ordering process was highly confusing or frustrating...maybe both. We went to the counter to order then we were told to go to the register...only to be told to go back to the counter...wow! Then the customer service was no good. I asked what type of bread came on the veggie sandwich...the cashier said I don't know. I said ok..can I have ciabatta bread? She said you have to pay extra...I said oh...well what does it come with? She again said I don't know with no effort to find out. I just let it go. Then we waited about 25 mins which was not terribly bad because they were busy...and I thought I was waiting for a nice hot sandwich. When my order finally arrived it was wrong and cold. The bread wasn't even toasted and the cheese was cold like fresh from the fridge. I was so hungry I just ate it and hated every bite. Everyone with me also complained about the bad service, wrong orders, and not so tasty food. NEVER coming back!",bvkr-Yq-NOU_PkUTngBvfA,0,0,1,NnjkfYHsrXDWhkJXFTV7WQ
678135,2015-03-26,2,CCVh8YKdN3c-WgqEbzya3A,"I have to say that this establishment is a disgrace. Yes, I expect the food to be overpriced in Vegas, but this was an outrage. I ordered the waffles with Nutella and they were still half frozen and were handed over with little Nutella packets! At least put the Nutella on the waffles! The line and the wait were always egregiously long. Unfortunately, late at night the food options, especially by the vdara are severely limited. Take your business elsewhere.",CwENFFZnsEs5KEClKdG8Vw,0,0,1,bDW3Ss_bNSr4eq9-Dj1moA
