,date,funny,business_id,text,user_id,useful,cool,stars,review_id
18989,2012-03-03,0,Cde8PHRM5c359-dnCUk7KQ,"We were starving one night and loved the dark look of the place amongst all of the trees and we were sucked in. It is a lovely place and the staff was friendly but not over the top annoying.  I will give it that.The food was sub par compared to most of the places in Vegas in the same price range. I had blandish chicken and  my boyfriend had a huge dried out looking expensive steak (something that looked more like a steak from a suburban chain for 17.99  than an upscale casino restaurant). It is the type of place that chooses not to put salt and pepper on the table, but the food needs salt and pepper. It wasn't bad, but it wasn't good. It felt much more like a $50 meal than a well over $100 meal. I would recommend going in for a drink but not staying for dinner. I won't be going back again.",yn9HxA3MyJDE0YomSYmWfg,0,0,3,KnWuFjrMcrWH3IBw7-415Q
35269,2009-12-29,0,Cde8PHRM5c359-dnCUk7KQ,"Good food - terrible service.  I was actually going to give four stars, but after reading other reviews and looking at the website I found that they have a pre fixe menu which they don't offer and apparently you just have to ask for.  
As far as food goes I was pretty pleased with everything I ate.  For an appetizer I tried the crab cake which I thought was really good, but a bit on the small side.  For an entree I had the Blackened Kansas City Strip with the brandied peppercorn sauce.  I thought the steak and sauce were really good, but the shrimp were way overdone.  For a side I had the wasabi mashed potatoes which were decent.  
As stated before, the service was terrible.  At this price point you at least expect the the waiter to come by and check on you every so often.  Or, when you see that pre-dinner cocktails are now empty at least ask if anyone needs another drink.",kngL5mBU4Dcal41rXwACXw,0,0,3,yrPVepRTNw8MkVsGKanpRA
64072,2009-03-24,0,Cde8PHRM5c359-dnCUk7KQ,"Day one of four for best friend's bday bash....let's see how great life is in Vegas by day four....ouch....here we go.......

First off, food is excellent. Australian lobster tail nearly took up half the table...seriously, I'll post a pic.
Definitely start with the oysters, really really good....and huge!
Filet Mignon was standard, but the selection of sides were great. Good to share....try them all, especially the horseradish potatoes.

The ambiance was definitely less than what we had hoped for right out the gate. Granted we had a large party (15), and it was great that put us in a private room, but that said, we were also really separated from the environment. Great music out in the larger dining room and bar, but we were stuck with easy-listening ""I'm in waiting room and really bored"" music. A few drinks in nobody really cared......on to Jet!",VhPS2_ovTUCxd_wJAEvJ4w,0,0,4,LzGXntAO5COYRm6xKD4L8A
88724,2012-08-21,0,Cde8PHRM5c359-dnCUk7KQ,"We were going to see Love in the casino and were looking for a great place for dinner because one person in our party had never been to Vegas. We wanted something really special. After looking at the menu and reviews, we chose Kokomo's.  What a sad disappointment.

The restaurant is very near to to the check-in desk. It was loud. It had a dated look - as if it's better days were in the 80's. Service was laughable - the server shook her head, ""no,"" at -every- item one person in our party ordered, prompting our friend to choose another (and another) item. At first, it seemed helpful, but it really was laughable. And the server tried hard to upsell us to a $165 ""special,"" even suggesting that the table could share it.

Food was ok. Mac & Cheese was nothing special - most of the sides were underseasoned. Proteins were fine for the most part.

Total bill was $350 for four people. Crazy expensive for ok food, bad location, and horrid service. If you are accustomed to fine dining, this will be a disappointment.",VmOKCbXzXOR2O0KE6UxW4Q,0,0,2,8H-pYzMY0lMrYVoMkDj6lA
147637,2011-10-11,0,Cde8PHRM5c359-dnCUk7KQ,"My bf and I went there for dinner after terry fator show. The service was excellent! 3 waiters were waiting on us. I ordered the sea bass, beet salad, chocolate cake, my Bf ordered the filet mignon, scallops, and ice cream dessert. All of them were delicious. The scallops were small and a bit over cooked.",uGR5GR0G2KN8TlbijUYx2Q,0,0,4,RjFgMkxgPZCo3IL8fYBiHw
159089,2012-05-08,4,Cde8PHRM5c359-dnCUk7KQ,"I USED to love this place, now I absolutely HATE it!

Before the idiots at MGM/Mandalay Bay decided to screw with changing the decor of the rooms, the casino, and the volcano....Kokomo's rocked!!!  The service was supberb and my beloved Fra Diablo was not only $18, but the best dish I've ever eaten.  And you had a server and a team of 3-4 other assistants helping him.  My husband and I always ordered the same thing, and could count on our bill being under $150.  From 2001 - 2005, I ate her 5-6 times a year before moving to Vegas in 2006...when the place went to the crapper.

The entire restaurant and menu are redone, and the server and his team are now extinct.  My beloved Fra Diablo is no where to be found on the menu.  BUT, my server assures me....the chef can make it, he just needs to know what's in it.  (WHAT????)
I was so excited to have my Fra Diablo that when it came I literally started to cry.  It was soupy, cold, and the seafood was overcooked.  I sent it back.  Fast forward to the check arriving...this dish is now $85!!! and the manager refused to take it off my bill because it was a ""special order.""  

All my friends who I referred to Kokomo's at one point in time or another, have expressed nothing but disappointment, bad service, and bad food when they have eaten here.  I'm so ashamed.....

Why do businesses do this? Muck up a perfectly fine establishment by trying to 'get with the times.'",9BuTUHt6Zlm-UCjaGD6aJQ,4,2,1,ZaHv-k_ZzSpj_ed4WUyd_w
239960,2009-04-26,0,Cde8PHRM5c359-dnCUk7KQ,"Went here by myself while at a conference. Loved the fact they had a price fixe menu (picture included). $30 for an appetizer, entree and dessert. Staff was great; loved the open air feeling of the restaurant.",_hamyU6Af7X-p0yXgv0Ckw,0,0,4,I2IGjPB5pJWNcIQMjxvHQg
267931,2009-06-07,0,Cde8PHRM5c359-dnCUk7KQ,"Dined at Kokomo's with the $29.99 per person prix fixe deal currently offered at certain Mirage restaurants. My dad had the crab cake, surf and turf, and chocolate cake, while I had the carrot salad, salmon, and butterscotch custard. The crab cake and carrot salad were just okay. The surf and turf dish was wonderful - the steak was like butter, and the shrimp was tasty. The salmon was a very hefty portion, not too fishy, in a nice light sauce, but the accompanying side of rice was terribly bland. Desserts were good but not great. For the price, this is a great deal, but I'd probably recommend trying the other higher-rated Mirage restaurants instead. On our night at Mirage, Onda and Fin were closed, Japonais was no longer serving their lounge meal for 2 (5-8PM only), and we didn't want Stack since we've eaten at sister restaurant Fix already...so we were stuck with Kokomo's. Good value for the deal, but not some of the finest Vegas has to offer.",lROh5HIO2jd2VhDOp8yO6w,0,0,3,8aKF6c5l02RJmWBhXJ3jdA
284150,2012-10-10,0,Cde8PHRM5c359-dnCUk7KQ,"We did a dinner and a show combo for Kokomos and so had a limited choice for entrees. Initially, without even seeing the place first, just from the name, I thought it was going to be an obnoxious Jimmy Buffet-type high end burger place. I was intensely mistaken.

Great ambiance, melding into the ""secret garden"" entrance of The Mirage casino. We chose the lobster bisque appetizer, petite filet mignon main course and vanilla bean cheesecake dessert. 

The five stars you see here is from the lobster bisque alone. It came with a fresh croissant puff thing on top of the bowl that was the best compliment to the bisque. I'd like to eat this as part of my final meal on this earth.

The filet was good, but it was hard to top that bisque. I was still riding that flavor roller coaster when this dish came in. I would say the meat was a smidge too charred for my personal taste, but it's ok that other people dig that.

The cheesecake was small, but I imagine that's the serving size for the show combo. Nonetheless, it was creamy and pleasant. 

EAT THE LOBSTER BISQUE.",_TaN_mLDd-m66B737LfJqA,1,0,5,WVYYsaj8B10nCuhxUa4D3A
346135,2011-12-10,0,Cde8PHRM5c359-dnCUk7KQ,"Order the Lobster Bisque soup for sure. Its amazing!
I ordered the sea bass...which was recommended but was JUST OK. 
My husband ordered the porterhouse which looked and tasted very good!",JOmZqHdhFBu8ePkIsXlqHg,0,0,4,6etvVc6njjLp5wH_OR9XWw
