,date,funny,business_id,text,user_id,useful,cool,stars,review_id
53473,2015-01-07,1,Cr066pnTj0ioEMZRTHgMOw,"bought a groupon voucher for this restaurant, as soon as my wife and I entered there  was a strong odor of sewage like smell, which explains why the restaurant was completly empty of patrons other the the owner sitting on a table. 
Our groupon voucher was declined by the cashier stating that we had to use it at their other location at Henderson which is about 30 miles away, although the groupon voucher did not state this, the cashier admitted that the goupon voucher was valid but not at this location as he put it, "" we have two stores you have to go to the other one"" I informed the  cashier that this was not stipulated in the goupon order and the restaurant is empty anyway and why not just take our order since there is no one in here at 2;00 pm? , nevertheless he said no cant take it.
Then on my way out the owner sitting on a table even attempted to add insult to me by saying: ""DONT FORGET YOUR PAPER YOU LEFT ON THE TABLE"" he was referring to a flyer that my two year old had in his hand and left it at the table.
      I did however inform the owner that he can just go ahead and keep the paper.",nd9Zs0viCYCSNxw1wWl9mQ,1,0,1,oDvrOKZrnlzWwUtNEqfZXg
119568,2012-09-09,0,Cr066pnTj0ioEMZRTHgMOw,"Great portions- freshly made, no UNLV discount and no wi-fi. A business across to UNLV should offer both! Ill be back, but would be back sooner if they had wifi!",P5zo78XMAvQrJys4b5N5PA,2,0,4,g5voB6kyBM92jlXPl7hkcw
170865,2015-03-04,0,Cr066pnTj0ioEMZRTHgMOw,This place has made a complete 360 from the previous owners! Had a delicious steak shawarma with fries and some excellent hummus. Their baklava was also amazing! Service was very friendly and attentive and the prices were very reasonable. They even have a discount for students. Will definitly be back!,MZS2uujwTApD9Hu5O_qefQ,4,0,5,uzKXc1cGe0DMqgxAcGw3Mg
241949,2014-01-22,1,Cr066pnTj0ioEMZRTHgMOw,"Dirty,Dirty ,It's not kabab ,it's junk ,they add lot of food color to cheap meat,very oily ,low quality rice , I been there 2 week s ago ,after the guy bring the food ,I ask the owner to refund the money ,He swipe the credit card  and give me the receipted for refund but after 2 weeks no money back to my account ,beware if you went there make sure ,they don't give you fake refund receipt,This is baddest experience I had in restaurant,Don't put your Health on risk.",qVM2Aurb4BT3txgJOGYhAA,2,0,1,EpF1Wsrz5M7Hz6tt-_wvPQ
253745,2016-12-26,1,Cr066pnTj0ioEMZRTHgMOw,"You can not believe how terrible is this place food !
Not fresh meat, no tasty !!
Worst experience ever!! 
Never ever try it",7OJ7ELXxqY2pwU4vC7FywQ,0,0,1,q30JZ-4qKiu7AbFAJDtfBA
305114,2014-01-20,0,Cr066pnTj0ioEMZRTHgMOw,"i mean no ill will. but i got feeling unwell after eating here.

it tasted  very good and was made fresh and the place looked clean, so i feel bad giving it a bad rating but based on how many very fast trips i had to make to the restroom not long after visiting, i cant give it a higher rating at this time... I may actually try it again in the future  after a cooling off period of a few months and get brave and try again and tell myself  that maybe some ingredient was just off or just had a bug in it and my number was up for getting a touch intestinal trouble, but at this moment I'm a little gun shy to go back any time soon. It can happen in the best restaurants, and it looks like a lot of people loved their meals so I'm happy they enjoyed the complete experience, but since this happened to me, i feel a duty to report it. it happened nov of 2013 a few months ago so maybe the problem is contained or just came in a batch of vegetables etc. this is my hope.

otherwise, I liked the staff, i liked the selection, i liked the murals on the wall. it seems like a very large place for the number of folks eating there the evening i did but I'm thinking its a lunch time rush kind of place.",XSCf9uT3ZGKU-gF79UFTNQ,3,0,2,HbF_c2wyCkltSYXA8Uu99g
351175,2013-05-04,0,Cr066pnTj0ioEMZRTHgMOw,"Incredible food, amazing service!  One of the few places that serves up lamb kabobs without including beef in it, which is great for people like me who don't eat beef.  The lamb and chicken kabobs are delicious, and the persian rice is so fragrant and flavoUrful.  The pita bread is made fresh in-house, and while a little more dry than I am usually used to, it has the rustic feel and taste that goes great with their kabobs. I also like the yogurt-mint-dill dip that comes with the kabobs. Ihaven't tried their lunch combos, but they're very reasonably priced, so I will definitely check it out soon.",ipRSbIX43AbLMKz-SL98Qw,0,0,5,JOndfGNn60PpyHPgupjSpw
462222,2015-11-13,0,Cr066pnTj0ioEMZRTHgMOw,This place is amazing and their food is out of this world!! The food is so good and fresh! Customer service is great since its under a new management !!! Love the people that work there! Cant wait to go with my friends there for their hookah nights!!,vDVihId0ppC9vw3fTULt4w,2,0,5,9cUdTZfEPmxc5lEoqE_2LA
523186,2015-06-28,0,Cr066pnTj0ioEMZRTHgMOw,"Anyone that thinks this place serves good gyros, has never had good gyros and needs to have their head examined..  Half a pita with something that looks like steak-ums does not a gyro make.  I don't know what kind of meat that was, but it wasn't gyro meat. And when someone asks for fries to be boxed separately, don't just put them in the styro containers smaller compartment, box them SEPARATELY! The place was virtually empty when I walked in long after anything resembling a lunch rush could have possibly happened, and tables were still dirty..  The cashier or manager or whatever was friendly but that does not make me ever want to go back in there..",PeKvLBZyqIWlT3PYpQ9GFg,0,0,1,nH2p6DmTlmpu1pBFTYwX5w
525723,2014-06-10,0,Cr066pnTj0ioEMZRTHgMOw,"I had gone in with a friend of mine for lunch a few days ago. The food was okay like any other reviewer would inform you of, but I felt very very uncomfortable as we were the only two in there and they would stare at us relentlessly, it was at a point in which we decided to eat in the tables outside of the building rather than inside.",-IUvswyl-KldOt2eJIHUlg,1,0,3,AB5OfsIFLbPwObA6cYB7Ng
