,date,funny,business_id,text,user_id,useful,cool,stars,review_id
33909,2016-08-31,0,CztQkxRXch0__MsSmB0tTw,"Although located across from CSN, a potentially great location for a fast-food type restaurant, I can see why this restaurant is not busier.  While the food is made-to-order and it is good, it is a little pricey.  $1.88 per dumpling-- which are bite-sized-- is too much when you can get top-grade dim-sum for a lower price at any Chinese restaurant that serves the same.  We ordered Mongolian beef, and the beef itself was tender and flavorful, but there was hardly any beef at all in this dish-- it was overrun by onions and peppers. While I appreciated that Chiam offered organic and gluten-free specialties, I thought that the cost was too steep for the value.  Sadly, my companions and I decided that it was not worth a return visit.",kmC8nIGdQeLUOBCgRDzS8g,1,1,2,X11WhWGV0MdiKXmooxAoKg
105100,2016-04-27,0,CztQkxRXch0__MsSmB0tTw,Its really a good dim sum the best love all of it .Service is good nice people and love the decorations.,iVbONkKTuFK-Lu2Qip37RA,1,1,5,nkqjH7XmJclwbmPQox43GQ
445521,2017-06-25,0,CztQkxRXch0__MsSmB0tTw,The staff was awesome! Clean and made to order fresh food!. I would come back just for the staff! The dim sum is awesome!,XfgP5cwy4UmjF2vAYo_VVA,2,1,5,X_biVo33HtakUgwtRDcDHQ
519804,2017-03-31,0,CztQkxRXch0__MsSmB0tTw,"Amazing vegetable spring rolls, delicious tiger shrimp, great service! Highly recommend :)

All their shrimp products are very fresh, especially shrimp shu mai!",YXyRk3i2Gl-FZxOgPmjDSg,1,0,5,kRZmKKyH3Rp1uU86umiUSA
701245,2016-05-11,0,CztQkxRXch0__MsSmB0tTw,Really clean restaurant. Staff is so friendly and helpful. Food is made to order and fresh. I recommend the Florida orange chicken and trying some dim sum. Definitely coming back soon.,HTdMCoo4jepD8dZwynhutg,1,0,5,FPQcEt4sOJKB8OoKkuwmuA
749081,2017-12-19,0,CztQkxRXch0__MsSmB0tTw,"I tried the Chiam at the boulevard mall. It was the most disgusting disappointment dim sum place I have ever been . I ordered the dynasty Mongolian beef and pork bun. The beef was basically ground beef the only time beef should be ground in a asian dish is almost never come to think of it I can only think of one dish that is dry cooked string beans with ground pork (Thai dish) . the vegetables were barely present their was no flavor at all . it looked like chili on top of white rice.. Wendy's chili taste better than that dog food.. And the pork bun wasn't bad but for $3 the portion was sorry . And the pricing is waaay to much they charge for each piece of dim sum lol like come I'm not that picky when it comes to food . By far worst place I've ate in Vegas get some authentic dim sum at ""Orchids Garden"". This place has never failed me . To everyone that gave this place more than 1* has never had authentic dim sum .. I honestly would rather eat McDonald's.",7WKCPbnfEoPDpUIsalI-1g,0,0,1,bwr0Bqf-mzelIf43wvUIgg
889229,2017-01-08,1,CztQkxRXch0__MsSmB0tTw,"Horrible service, no selection 2 hours before they close.  Especially if you want Dim Sum.  Inflexible if you want to substitute items.  But the Thai Bistro restaurant across the parking lot is great and the staff is friendly!",aYzCoQT7W4HtFQ7n7-vCCA,1,1,1,vVuusZtbDEQ_VMQVbkHOxQ
913409,2017-12-19,0,CztQkxRXch0__MsSmB0tTw,"Pros: This place offers dim sum and doesn't use MSG. 

Cons: The prices are expensive, especially since it's an a la carte, order and seat yourself type of place. 

Probably won't go again, even though I'm allergic to MSG and love dim sum.",jxiWra-M9WnXf92xzWlfZw,1,0,2,vnZvAxmrTqTLtg1e-aKBBg
984357,2016-02-18,0,CztQkxRXch0__MsSmB0tTw,"Wonderful place and really good food .
Coming back to this place for sure .
Place is really clean and the personnel is very friendly .
A keeper !",MZA-bZKCA_40AfA4TgozbA,0,0,4,ID4g9GHLpxwVcmetD5zNAg
1105597,2017-03-31,0,CztQkxRXch0__MsSmB0tTw,"Love this place! Great ambience, friendly staff. The food is authentic and the portion is generous! I highly recommend everybody to come experience and you'll agree with me!!!!! :)",uB5SLmjHTArZ4nsi6qP90A,1,0,5,3dvt648S3q6DGEBzg85Seg
1142048,2016-01-12,0,CztQkxRXch0__MsSmB0tTw,The food and prices seemed reasonable. The food tasted good and without an overly greasey feeling that I've  come to expect from places like this. The decor is very clean and pleasant with lots of red and pretty umbrellas hanging from the ceiling. Overral I  feel like it was a good meal and a friendly place.,PgjzouAp8FyOwh6J83D4rA,1,2,4,GQfTlq7Wl3BAwW6mIp1f4g
