,date,funny,business_id,text,user_id,useful,cool,stars,review_id
56305,2017-08-17,0,DGX2ldVGub9F1EAU9R7C5A,"The parking lot was nearly empty, but as soon as we got to the drive through they told us to wait for 10 minutes while they took care of the line inside. They were out of more than 50% of the menu. We had to repeat our simple request 3x before they understood it. Then before we were even done with our order, they cut us off with our total and told us to pull forward.  Crap service for sloppy, sub par food. Not coming back.",BR2FZ8wDqJUuFHztVLUoUQ,0,0,2,zSMEhLTzQNb693lRVom1Pg
72520,2017-08-19,0,DGX2ldVGub9F1EAU9R7C5A,This subway is so gross. Not even clean. The girl was on break and came back from break and didn't even wash her hands and got right on the floor to make my sandwich. I would give this 0 for cleanness and health hazard.,a1ZxgZXNFbsGnprZKQILGQ,0,0,1,QDkbwehmKWIH_W5TJpP3Ow
171221,2017-07-29,0,DGX2ldVGub9F1EAU9R7C5A,"Worst subway ever. 25 min wait, still haven't placed order and theirs one car in front! Stuck in between, cant even leave this line!!!!",k2sJbphl7pj99apDLtCwtw,0,0,1,Fj99GwIOviaBvB5ov-ThUA
186877,2017-06-23,2,DGX2ldVGub9F1EAU9R7C5A,"Drive through takes FOREVER.  I'm sitting here right now. It's been about 15 min already. They get on the speaker and the first thing they say is hold on, we need to help customers inside first. I'm 99% sure I've been waiting longer than the people inside. What's the point of a drive through if it's 10x faster to just go inside??",BbEEoB20LXmz8Oz1DI8PlQ,1,0,2,f3SbDahlFzvz0ZZSm3966Q
188040,2017-09-06,0,DGX2ldVGub9F1EAU9R7C5A,"If I could give zero stars, I would.   Went in around 6:30pm, and waited patiently while a very slow moving employee finished doing his ""chores"" and was barely acknowledged.   Next, order a meatball sub.... was told they were out of meatballs.... next tried ordering pizza....nope!...told me they were out of pizza.   Ordered two other sandwiches.   Asked for brown mustard (which I get at least once a week at a subway).... instead my sandwich was slathered with honey mustard.   When I objected, I was given a ""so what?"" stare by the employee.   The employee proceeded to tell me that they have never had brown mustard and honey mustard was the closest thing (defined inaccurate).  She then proceeded to pick my meat off and tried to scrape it off (not working) instead of starting over.   I finally gave up on these clowns, paid for my stuff, and got out of there before I got angry and made a scene..... Terrible customer service and poorly managed",hXbiCLh_pnrAgkQSToS5hw,0,0,1,cM1Sx_USochNPLVMchL3oQ
329017,2012-09-29,0,DGX2ldVGub9F1EAU9R7C5A,Great place to get a cheap sandwich.  Also you can add some veggies to it.  I usually get the tuna or italian bmt.  The chicken and steak are also pretty good.  The bread is also freshly made.,svbWpiDlAVFQa6dwfMtgQg,1,0,4,o1O9PFJIAgeev1kXJXpPBg
682288,2017-05-04,0,DGX2ldVGub9F1EAU9R7C5A,"Don't go to the drive thru. I asked for pepper jack, they gave me cheddar. I asked for bell peppers, they gave me none. I asked for vinaigrette, they gave me mayo. Just go inside.",GrCN7riIektS-4BH49DKlg,0,1,1,wxU7D9zPAG7xVAJXC2NmYw
731723,2017-04-10,0,DGX2ldVGub9F1EAU9R7C5A,"This is The subway I go to every time for the people. The people there are great, so nice and fast every time to help me. The food is always made right and the people always put a smile on my face. Go here and always tip!",k0TqWpYyXfj66JFtOwqrrg,0,0,5,JG85Hwum1-iAKtDs7y0i_g
807090,2015-11-15,0,DGX2ldVGub9F1EAU9R7C5A,"I've come here late nights a few times and think I'm about done with this particular location. It's always been the same woman who's helped me and each time I feel like I'm creating a huge bother for her by just being a customer. Meh, I'll pass on the sandwiches made with disdain.",XYSMRBNxdOOvJCkWyCZUfw,0,0,2,lC2NRW-tOuguV0vZpf1U0g
983598,2016-01-17,0,DGX2ldVGub9F1EAU9R7C5A,"Love this Location, it's clean, quiet and they make your sandwich fast. The staff is also very kind and polite.",rmYkiM3Hpw68KD54HN3D2Q,0,0,4,T71NT3Fo0LoupRZuNrVCOg
1020428,2015-11-05,1,DGX2ldVGub9F1EAU9R7C5A,"I went into this location last night 11.3.15 at 11:30pm and had the worst service you could possibly have in a fast food joint. Savannah was the name of the person making my sandwich and she was the worst employee I ever came across in this place by far. I don't know if she hates her job or she was just missing out on a party last night but I will never go to the place again because of how crappy her service was. She was throwing the topping back into the trays and everything I asked for it seemed like I was putting her out by asking for. She proceeded to make my sandwich and when I asked for mayonnaise she said ""really"" and started to smash my sandwich down at that point I didn't even want the sandwich anymore and I told her she can throw it out and we went to winchells and got donuts instead. I do not recommend going to this place late night if you want quality service!!",ue_nIGAZcSHO1Kk5LYN4IQ,0,0,1,edi4X9c6PWYoKhA4lMdVPA
